arm,c,group,rows,mean_r_N,mean_r_T,mean_r_ST,mean_total_distance,mean_B1_distance
M3_MARGIN,0.0,q20_like,4401,0.19325883840638972,0.5874987272881296,0.21924243430548074,0.7265606033885864,0.6631505901426418
M3_MARGIN,0.0,non_q20,1999,0.16451444037616153,0.5254770312382605,0.31000852838557796,0.8606912002204781,1.1731951544702959
M3_MARGIN,0.0,q20_like_minus_non_q20,6400,0.028744398030228185,0.06202169604986907,-0.09076609408009723,-0.13413059683189166,-0.5100445643276541
REP_C025,0.25,q20_like,4317,0.18993502658789288,0.5892461458774239,0.2208188275346833,0.7544807149725806,0.6673282805105609
REP_C025,0.25,non_q20,2083,0.16458178756104902,0.5261644724212875,0.3092537400176635,0.8979627857233072,1.1783347200860157
REP_C025,0.25,q20_like_minus_non_q20,6400,0.02535323902684386,0.06308167345613636,-0.08843491248298019,-0.1434820707507266,-0.5110064395754548
REP_C050,0.5,q20_like,4166,0.189137357673047,0.5826415842544246,0.22822105807252846,0.7976081859399929,0.6807557179972163
REP_C050,0.5,non_q20,2234,0.18597836468300277,0.5033358755464924,0.31068575977050483,0.948838990162317,1.1746213644575323
REP_C050,0.5,q20_like_minus_non_q20,6400,0.0031589929900442404,0.07930570870793219,-0.08246470169797637,-0.15123080422232404,-0.49386564646031594
REP_C100,1.0,q20_like,4030,0.19986374862997788,0.5716693469707149,0.22846690439930722,0.8238102751904088,0.6887576241189746
REP_C100,1.0,non_q20,2370,0.20343885619949387,0.49451540488731105,0.30204573891319514,0.9866957037071963,1.181454675584899
REP_C100,1.0,q20_like_minus_non_q20,6400,-0.003575107569515984,0.07715394208340387,-0.07357883451388791,-0.16288542851678744,-0.49269705146592435
REP_C200,2.0,q20_like,3991,0.20096404274548801,0.571443948389308,0.22759200886520398,0.8320864701416834,0.6901465447560805
REP_C200,2.0,non_q20,2409,0.20697128225843553,0.4985254979582269,0.2945032197833376,1.001763312210749,1.1859123641311122
REP_C200,2.0,q20_like_minus_non_q20,6400,-0.006007239512947515,0.07291845043108108,-0.06691121091813362,-0.16967684206906564,-0.4957658193750317
REP_C400,4.0,q20_like,3980,0.2005417509125045,0.5733689240857336,0.22608932500176185,0.8339368908966313,0.6902914007173463
REP_C400,4.0,non_q20,2420,0.20834053122113633,0.4971236575281755,0.2945358112506882,1.0042703611369599,1.1870246980239325
REP_C400,4.0,q20_like_minus_non_q20,6400,-0.00779878030863182,0.07624526655755809,-0.06844648624892632,-0.17033347024032863,-0.4967332973065862
