seq,model,to_n,mean_delta_q20,lo,hi,frac_runs_decrease
RANDOM,M3R05,20,0.003921568627450961,-0.009332930300844386,0.017176067555746306,0.25
RANDOM,M3R05,24,0.005882352941176483,-0.006924732958440599,0.018689438840793562,0.25
RANDOM,M3R05,28,0.005882352941176466,-0.0025283015184998725,0.014293007400852806,0.2
RANDOM,M3R05,32,-0.0039215686274509665,-0.012097896913428085,0.004254759658526152,0.3
RANDOM,M3R05,36,0.0009803921568627416,-0.004917619337703558,0.006878403651429041,0.1
RANDOM,M3R05,40,0.003921568627450983,-0.0005741152849277655,0.008417252539829731,0.05
RANDOM,M3R05,44,-0.003921568627450983,-0.008417252539829723,0.0005741152849277559,0.25
RANDOM,M3R05,48,0.002941176470588225,-0.007592916651751063,0.013475269592927512,0.2
RANDOM,M3R05,52,-0.003921568627450983,-0.009211625549642766,0.0013684882947408014,0.2
RANDOM,M3R05,56,0.0009803921568627527,-0.006642410791532308,0.008603195105257814,0.1
RANDOM,M3R05,60,0.0029411764705882305,-0.002104445939979819,0.00798679888115628,0.1
RANDOM,M3R05,64,0.000980392156862736,-0.00886718453946723,0.010827968853192703,0.2
RANDOM,M3R05,68,-0.003921568627450972,-0.010519428813908785,0.0026762915590068407,0.3
RANDOM,M3R05,72,-0.005882352941176472,-0.010791318009296745,-0.0009733878730561986,0.25
RANDOM,M3R05,76,0.0029411764705882305,-0.002823529411764719,0.00870588235294118,0.1
RANDOM,M3R05,80,0.0029411764705882413,-0.0002070371038076185,0.006089390044984102,0.0
RANDOM,M3R05,84,1.1102230246251566e-17,-0.0039429756276213625,0.003942975627621385,0.1
RANDOM,M3R05,88,0.0009803921568627416,-0.002405749362626935,0.004366533676352418,0.05
RANDOM,M3R05,92,0.0049019607843137246,-0.002408511686741448,0.012212433255368898,0.05
RANDOM,M3R05,96,-2.7755575615628914e-17,-0.007885951255242775,0.00788595125524272,0.2
RANDOM,M3R05,100,-0.0009803921568627416,-0.005366675639495854,0.003405891325770371,0.15
RANDOM,M3R05,104,0.0009803921568627416,-0.0009411764705882315,0.002901960784313715,0.0
RANDOM,M3R05,108,-0.0019607843137254832,-0.004605812774821362,0.0006842441473703964,0.1
RANDOM,M3R05,112,0.0019607843137254945,-0.006356931884851618,0.010278500512302606,0.2
RANDOM,M3R05,116,0.0019607843137254945,-0.0027871870804620693,0.006708755707913058,0.1
RANDOM,M3R05,120,-0.0019607843137255053,-0.00979729338090994,0.005875724753458928,0.2
RANDOM,M3R05,160,0.0009803921568627583,-0.009627238284952084,0.011588022598677602,0.35
RANDOM,M3R05,200,0.0029411764705882413,-0.005079169376697087,0.010961522317873569,0.15
RANDOM,M3R05,260,0.005882352941176461,-0.008631868348311283,0.020396574230664207,0.2
RANDOM,M3R05,324,0.009803921568627466,-0.0028197598357872413,0.022427602973042172,0.1
