analysis_label,phase,phase3_config_fingerprint,run_fingerprint,target,target_label,target_definition,gp_configuration,gp_configuration_label,kernel_family,matern_nu,learned_nugget,fold_index,heldout_simulation_id,heldout_numeric_simulation_id,observed_target_um,predicted_mean_um,residual_um,absolute_error_um,squared_error_um2,latent_predictive_std_um,latent_predictive_variance_um2,total_predictive_std_um,total_predictive_variance_um2,evaluation_predictive_std_um,evaluation_variance_definition,latent_nlpd,total_nlpd,evaluation_nlpd,latent_interval_lower_um,latent_interval_upper_um,total_interval_lower_um,total_interval_upper_um,latent_interval_contains_observed,total_interval_contains_observed,optimized_kernel,optimized_signal_variance_normalized,optimized_length_scale,optimized_noise_variance_normalized,optimized_noise_std_normalized,optimized_noise_variance_um2,optimized_noise_std_um,noise_std_fraction_training_target_std,noise_std_fraction_dataset_target_median,dataset_target_median_um_reporting_only,dataset_target_median_used_for_fitting,numerical_alpha_normalized,numerical_alpha_interpretation,training_size,population_size,heldout_excluded_from_training,heldout_target_used_for_scaling,heldout_target_used_for_fitting,heldout_target_used_for_tuning,x_scaler_fit_on_training_only,y_scaler_fit_on_training_only,normalize_y,feature_columns,training_y_mean_um,training_y_std_um,x_training_mean,x_training_scale,outer_training_simulation_ids_sha256,heldout_P,heldout_VX,heldout_LS,heldout_ST,fold_random_seed,optimizer,n_restarts_optimizer,log_marginal_likelihood,runtime_seconds,warning_count,convergence_warning_count,warnings,convergence_status,failed_fold,constant_bound_hit,constant_bound_side,length_scale_bound_hit,length_scale_bound_side,noise_bound_hit,noise_bound_side,any_hyperparameter_bound_hit
phase4_selected_kernel_nugget_sensitivity,Phase 3B,F7F71204D643D1027D0FF4736F24213619BF6A09C2361C3C11F169797AC98A9C,992BFD6ACDF9476D8E80ABD4DE41024D3FFA4A3AA98C63B0406D439D40E15522,total_height,T0 total vertical melt-pool height,T0,matern32_no_nugget,"Matérn 3/2, no nugget",Matern,1.5,False,0,sim_00001,1,74.86579499999999,71.3054456855379,3.560349314462087,3.560349314462087,12.676087240990652,12.024728474462458,144.59409488454824,,,12.024728474462458,latent predictive variance; numerical jitter excluded,3.449737119211366,,3.449737119211366,47.736977875591485,94.87391349548432,,,True,,"1.09**2 * Matern(length_scale=1.39, nu=1.5)",1.188656059946694,1.3943757876523282,,,,,,,71.081635,False,1e-06,numerical jitter only; separate from WhiteKernel nugget,11,12,True,False,False,False,True,True,False,"[""P"",""VX"",""LS"",""ST""]",70.57124181818182,11.207592737157183,"[110.53749362190909,0.5856232005233637,66.80839056829092,345.78568964454547]","[3.5508260439677377,0.2432480481339861,14.883016596164593,32.157820322728114]",ED6D9C3BF106FBB43801B65DED491C04AD051D3B74A91394D409ABDFD108BA91,101.127472137,0.52394730996,45.0,300.0,1040776054,fmin_l_bfgs_b,0,-15.095812914506133,0.04023929999675602,0,0,,completed_without_convergence_warning,False,False,,False,,False,,False
phase4_selected_kernel_nugget_sensitivity,Phase 3B,F7F71204D643D1027D0FF4736F24213619BF6A09C2361C3C11F169797AC98A9C,992BFD6ACDF9476D8E80ABD4DE41024D3FFA4A3AA98C63B0406D439D40E15522,total_height,T0 total vertical melt-pool height,T0,matern32_no_nugget,"Matérn 3/2, no nugget",Matern,1.5,False,1,sim_00002,2,92.05557,60.69860753291589,31.356962467084116,31.356962467084116,983.259095162122,7.180389401778684,51.557991961175645,,,7.180389401778684,latent predictive variance; numerical jitter excluded,12.42575947194323,,12.42575947194323,46.62504430542967,74.7721707604021,,,False,,"1.31**2 * Matern(length_scale=3.21, nu=1.5)",1.7205923673873043,3.210712584303938,,,,,,,71.081635,False,1e-06,numerical jitter only; separate from WhiteKernel nugget,11,12,True,False,False,False,True,True,False,"[""P"",""VX"",""LS"",""ST""]",69.008535,9.104023763717434,"[110.26712366699999,0.5499338923329999,62.873091998354546,337.1521975852727]","[4.10116334878848,0.2197435596875935,14.398275640478975,30.500163314441124]",66C692E092F77F680082E5EBF2363897F8A5E9F25CC13DA7E1161E5522F5B651,104.101541641,0.916529700054,88.2882842693,394.968412652,208595779,fmin_l_bfgs_b,0,-12.732276528683567,0.03107629995793104,0,0,,completed_without_convergence_warning,False,False,,False,,False,,False
phase4_selected_kernel_nugget_sensitivity,Phase 3B,F7F71204D643D1027D0FF4736F24213619BF6A09C2361C3C11F169797AC98A9C,992BFD6ACDF9476D8E80ABD4DE41024D3FFA4A3AA98C63B0406D439D40E15522,total_height,T0 total vertical melt-pool height,T0,matern32_no_nugget,"Matérn 3/2, no nugget",Matern,1.5,False,2,sim_00003,3,62.37197500000001,72.98593045772019,-10.613955457720174,10.613955457720174,112.65605045846786,9.399523146015197,88.35103537247542,,,9.399523146015197,latent predictive variance; numerical jitter excluded,3.7971454844584382,,3.7971454844584382,54.5628650915304,91.40899582390998,,,True,,"1.07**2 * Matern(length_scale=1.4, nu=1.5)",1.1419956057515386,1.4039657160705545,,,,,,,71.081635,False,1e-06,numerical jitter only; separate from WhiteKernel nugget,11,12,True,False,False,False,True,True,False,"[""P"",""VX"",""LS"",""ST""]",71.70704363636364,10.949205831663416,"[110.16032788199999,0.5751603187823636,63.93231472347273,339.6540002763636]","[4.242592731104162,0.24320066876460447,15.73809411827225,33.82959187798519]",028D3227674C96EC3CBFF121915CF5085370294A096AB54B9FC0D516AED76AE8,105.276295276,0.639039009111,76.636834293,367.44858305,881542415,fmin_l_bfgs_b,0,-14.822124929128448,0.027617899933829904,0,0,,completed_without_convergence_warning,False,False,,False,,False,,False
phase4_selected_kernel_nugget_sensitivity,Phase 3B,F7F71204D643D1027D0FF4736F24213619BF6A09C2361C3C11F169797AC98A9C,992BFD6ACDF9476D8E80ABD4DE41024D3FFA4A3AA98C63B0406D439D40E15522,total_height,T0 total vertical melt-pool height,T0,matern32_no_nugget,"Matérn 3/2, no nugget",Matern,1.5,False,3,sim_00004,4,72.460095,69.56113189460086,2.898963105399133,2.898963105399133,8.403987086465385,10.785972363228998,116.33719982033973,,,10.785972363228998,latent predictive variance; numerical jitter excluded,3.3333040557078695,,3.3333040557078695,48.42062606267203,90.7016377265297,,,True,,"1.06**2 * Matern(length_scale=1.32, nu=1.5)",1.11722696766648,1.3152656149351443,,,,,,,71.081635,False,1e-06,numerical jitter only; separate from WhiteKernel nugget,11,12,True,False,False,False,True,True,False,"[""P"",""VX"",""LS"",""ST""]",70.78994181818183,11.265638741043746,"[109.98761292936364,0.6040954953692728,62.94200619025455,337.2529947411818]","[4.396443852033959,0.2297744858067637,14.51744765114509,30.688653627948828]",33D282D6EAC06315CDA70B6E5C388800FCD8FBC1AEB7FCEB69ABFD4D34E29FA9,107.176159755,0.320752066655,87.53022815839999,393.859643937,1033846373,fmin_l_bfgs_b,0,-15.018946554239546,0.042687400011345744,0,0,,completed_without_convergence_warning,False,False,,False,,False,,False
phase4_selected_kernel_nugget_sensitivity,Phase 3B,F7F71204D643D1027D0FF4736F24213619BF6A09C2361C3C11F169797AC98A9C,992BFD6ACDF9476D8E80ABD4DE41024D3FFA4A3AA98C63B0406D439D40E15522,total_height,T0 total vertical melt-pool height,T0,matern32_no_nugget,"Matérn 3/2, no nugget",Matern,1.5,False,4,sim_00005,5,84.0996,71.28596539762076,12.813634602379238,12.813634602379238,164.18923172329053,10.423169401971997,108.64246038220527,,,10.423169401971997,latent predictive variance; numerical jitter excluded,4.018609937965119,,4.018609937965119,50.856553369755645,91.71537742548587,,,True,,"1.03**2 * Matern(length_scale=1.04, nu=1.5)",1.0640387354193492,1.040530311133361,,,,,,,71.081635,False,1e-06,numerical jitter only; separate from WhiteKernel nugget,11,12,True,False,False,False,True,True,False,"[""P"",""VX"",""LS"",""ST""]",69.731805,10.485431454376675,"[109.7527232299091,0.6112614853491819,66.80839056829092,345.7856896445454]","[4.4707273765554785,0.2193609469276098,14.883016596164595,32.157820322728114]",45AEDAC3F92CE8459BC9C0F0B49E8F7917D967152E2983F85AB181D9373741A8,109.759946449,0.241926176876,45.0,300.0,2181412358,fmin_l_bfgs_b,0,-15.293700136139632,0.03032679995521903,0,0,,completed_without_convergence_warning,False,False,,False,,False,,False
phase4_selected_kernel_nugget_sensitivity,Phase 3B,F7F71204D643D1027D0FF4736F24213619BF6A09C2361C3C11F169797AC98A9C,992BFD6ACDF9476D8E80ABD4DE41024D3FFA4A3AA98C63B0406D439D40E15522,total_height,T0 total vertical melt-pool height,T0,matern32_no_nugget,"Matérn 3/2, no nugget",Matern,1.5,False,5,sim_00006,6,53.52373000000001,69.3940513899297,-15.870321389929693,15.870321389929693,251.86710101965994,9.74103612372233,94.88778476366335,,,9.74103612372233,latent predictive variance; numerical jitter excluded,4.5224700315855655,,4.5224700315855655,50.30162058743393,88.48648219242547,,,True,,"1.02**2 * Matern(length_scale=0.882, nu=1.5)",1.0474856381541056,0.8820629294493013,,,,,,,71.081635,False,1e-06,numerical jitter only; separate from WhiteKernel nugget,11,12,True,False,False,False,True,True,False,"[""P"",""VX"",""LS"",""ST""]",72.51142954545455,9.854068840445011,"[109.70956636590908,0.5544739434395455,63.54857204627273,341.3329005350909]","[4.468157297319663,0.22664645300681796,15.36782263248895,34.697917489465226]",786D9B81B81CAD3B4E460439C79FEA95C54A6E693E57E3C18F29CA8E2C3FDEAC,110.234671953,0.866589137882,80.8580037422,348.980680204,8598015,fmin_l_bfgs_b,0,-15.429802726042446,0.034591900068335235,0,0,,completed_without_convergence_warning,False,False,,False,,False,,False
phase4_selected_kernel_nugget_sensitivity,Phase 3B,F7F71204D643D1027D0FF4736F24213619BF6A09C2361C3C11F169797AC98A9C,992BFD6ACDF9476D8E80ABD4DE41024D3FFA4A3AA98C63B0406D439D40E15522,total_height,T0 total vertical melt-pool height,T0,matern32_no_nugget,"Matérn 3/2, no nugget",Matern,1.5,False,6,sim_00007,7,69.703175,72.4421838898781,-2.739008889878093,2.739008889878093,7.502169698831224,10.5176846332901,110.62169004534671,,,10.5176846332901,latent predictive variance; numerical jitter excluded,3.30590575060883,,3.30590575060883,51.8275220086295,93.05684577112669,,,True,,"1.04**2 * Matern(length_scale=1.19, nu=1.5)",1.0833624287986698,1.1881656757810106,,,,,,,71.081635,False,1e-06,numerical jitter only; separate from WhiteKernel nugget,11,12,True,False,False,False,True,True,False,"[""P"",""VX"",""LS"",""ST""]",71.0405709090909,11.269339594513191,"[109.6725066980909,0.6083316162034547,64.11051783147273,340.45724035536364]","[4.461953398298924,0.22400987408569986,15.869294251763638,34.37077824057281]",CB0F63D04B07D03CA975A557BED7FBB7890310E779E905CD4F59DE80D8D4605A,110.642328299,0.274154737479,74.67660010499999,358.612942181,2770475540,fmin_l_bfgs_b,0,-15.036898454139806,0.040913900011219084,0,0,,completed_without_convergence_warning,False,False,,False,,False,,False
phase4_selected_kernel_nugget_sensitivity,Phase 3B,F7F71204D643D1027D0FF4736F24213619BF6A09C2361C3C11F169797AC98A9C,992BFD6ACDF9476D8E80ABD4DE41024D3FFA4A3AA98C63B0406D439D40E15522,total_height,T0 total vertical melt-pool height,T0,matern32_no_nugget,"Matérn 3/2, no nugget",Matern,1.5,False,7,sim_00008,8,63.44792,66.14272917399138,-2.6948091739913806,2.6948091739913806,7.261996484228107,8.87171987944334,78.70741361931016,,,8.87171987944334,latent predictive variance; numerical jitter excluded,3.14794007109058,,3.14794007109058,48.75415821028244,83.53130013770033,,,True,,"1.02**2 * Matern(length_scale=0.887, nu=1.5)",1.0327182162793633,0.88742198354936,,,,,,,71.081635,False,1e-06,numerical jitter only; separate from WhiteKernel nugget,11,12,True,False,False,False,True,True,False,"[""P"",""VX"",""LS"",""ST""]",71.60923045454545,11.027079615805405,"[109.51015240636364,0.5691760785899093,65.16305063461817,344.9455539465455]","[4.390650491424856,0.2407328412725755,16.148773724835394,33.205238392038105]",2B6BAEA93F34E3692ADCAF249A8BF2F835179267B90591C7D8BDE791A907B402,112.428225508,0.704865651228,63.098739270399996,309.241492678,3651351608,fmin_l_bfgs_b,0,-15.5092964801643,0.04009979998227209,0,0,,completed_without_convergence_warning,False,False,,False,,False,,False
phase4_selected_kernel_nugget_sensitivity,Phase 3B,F7F71204D643D1027D0FF4736F24213619BF6A09C2361C3C11F169797AC98A9C,992BFD6ACDF9476D8E80ABD4DE41024D3FFA4A3AA98C63B0406D439D40E15522,total_height,T0 total vertical melt-pool height,T0,matern32_no_nugget,"Matérn 3/2, no nugget",Matern,1.5,False,8,sim_00009,9,73.34996,73.88675459621926,-0.5367945962192664,0.5367945962192664,0.2881484385302053,9.26684269290896,85.87437349512017,,,9.26684269290896,latent predictive variance; numerical jitter excluded,3.147058993096483,,3.147058993096483,55.72374291811771,92.04976627432082,,,True,,"1.02**2 * Matern(length_scale=1.03, nu=1.5)",1.0490531962067178,1.0313632410171465,,,,,,,71.081635,False,1e-06,numerical jitter only; separate from WhiteKernel nugget,11,12,True,False,False,False,True,True,False,"[""P"",""VX"",""LS"",""ST""]",70.709045,11.250149534332055,"[109.46681886181818,0.5843735686591819,66.68958734639091,343.7703108602728]","[4.359171628117153,0.24352621682201242,15.050469317042506,34.20431848824839]",F8D40B8173107EBEF6FC0F0AD63CAB12EA9785D57C9DEA66E15D7C377279B4E6,112.904894498,0.537693260466,46.3068354409,322.169166627,3702140397,fmin_l_bfgs_b,0,-15.310582567161452,0.03357940004207194,0,0,,completed_without_convergence_warning,False,False,,False,,False,,False
phase4_selected_kernel_nugget_sensitivity,Phase 3B,F7F71204D643D1027D0FF4736F24213619BF6A09C2361C3C11F169797AC98A9C,992BFD6ACDF9476D8E80ABD4DE41024D3FFA4A3AA98C63B0406D439D40E15522,total_height,T0 total vertical melt-pool height,T0,matern32_no_nugget,"Matérn 3/2, no nugget",Matern,1.5,False,9,sim_00010,10,67.953605,69.55243535470858,-1.598830354708582,1.598830354708582,2.5562585031375704,7.876054178639899,62.03222942487102,,,7.876054178639899,latent predictive variance; numerical jitter excluded,3.003369850130439,,3.003369850130439,54.115369164574375,84.98950154484278,,,True,,"1.01**2 * Matern(length_scale=1, nu=1.5)",1.027336301094958,1.0008143094850368,,,,,,,71.081635,False,1e-06,numerical jitter only; separate from WhiteKernel nugget,11,12,True,False,False,False,True,True,False,"[""P"",""VX"",""LS"",""ST""]",71.19962272727273,11.236948634932872,"[109.43211094945454,0.5816472493751819,65.62292032678182,345.5903286875454]","[4.330042119593474,0.24386544512579544,16.010824549269785,32.42771791783]",A46128905D0C08D9571DD2B80EAA51EE1D9570590F80915623B361C30E968335,113.286681534,0.56768277259,58.0401726566,302.148970527,468721873,fmin_l_bfgs_b,0,-15.406724171293522,0.020936799934133887,0,0,,completed_without_convergence_warning,False,False,,False,,False,,False
