benchmark,metric,new_method,new_surrogate_variant,new_value,baseline_method,baseline_surrogate_variant,baseline_value,new_beats_baseline,difference_new_minus_baseline
branin,global_error,gpr_boundary_weighted_ivr,gpr_fixed_or_existing,0.170000,straddle,gpr_fixed_or_existing,0.138333,False,0.031667
branin,global_error,gpr_boundary_weighted_ivr,gpr_fixed_or_existing,0.170000,randomized_straddle,gpr_fixed_or_existing,0.138333,False,0.031667
branin,global_error,gpr_boundary_weighted_ivr,gpr_fixed_or_existing,0.170000,classifier_uncertainty_repulsion,gpc_fixed_iso,0.226667,True,-0.056667
branin,global_error,gpr_bernoulli_sur_refit,gpr_fixed_or_existing,0.273333,straddle,gpr_fixed_or_existing,0.138333,False,0.135000
branin,global_error,gpr_bernoulli_sur_refit,gpr_fixed_or_existing,0.273333,randomized_straddle,gpr_fixed_or_existing,0.138333,False,0.135000
branin,global_error,gpr_bernoulli_sur_refit,gpr_fixed_or_existing,0.273333,classifier_uncertainty_repulsion,gpc_fixed_iso,0.226667,False,0.046666
branin,global_error,gpc_bernoulli_sur_refit,gpc_fixed_iso,0.193333,straddle,gpr_fixed_or_existing,0.138333,False,0.055000
branin,global_error,gpc_bernoulli_sur_refit,gpc_fixed_iso,0.193333,randomized_straddle,gpr_fixed_or_existing,0.138333,False,0.055000
branin,global_error,gpc_bernoulli_sur_refit,gpc_fixed_iso,0.193333,classifier_uncertainty_repulsion,gpc_fixed_iso,0.226667,True,-0.033334
branin,near_boundary_error_q20,gpr_boundary_weighted_ivr,gpr_fixed_or_existing,0.375000,straddle,gpr_fixed_or_existing,0.375000,False,0.000000
branin,near_boundary_error_q20,gpr_boundary_weighted_ivr,gpr_fixed_or_existing,0.375000,randomized_straddle,gpr_fixed_or_existing,0.375000,False,0.000000
branin,near_boundary_error_q20,gpr_boundary_weighted_ivr,gpr_fixed_or_existing,0.375000,classifier_uncertainty_repulsion,gpc_fixed_iso,0.458333,True,-0.083333
branin,near_boundary_error_q20,gpr_bernoulli_sur_refit,gpr_fixed_or_existing,0.375000,straddle,gpr_fixed_or_existing,0.375000,False,0.000000
branin,near_boundary_error_q20,gpr_bernoulli_sur_refit,gpr_fixed_or_existing,0.375000,randomized_straddle,gpr_fixed_or_existing,0.375000,False,0.000000
branin,near_boundary_error_q20,gpr_bernoulli_sur_refit,gpr_fixed_or_existing,0.375000,classifier_uncertainty_repulsion,gpc_fixed_iso,0.458333,True,-0.083333
branin,near_boundary_error_q20,gpc_bernoulli_sur_refit,gpc_fixed_iso,0.441667,straddle,gpr_fixed_or_existing,0.375000,False,0.066667
branin,near_boundary_error_q20,gpc_bernoulli_sur_refit,gpc_fixed_iso,0.441667,randomized_straddle,gpr_fixed_or_existing,0.375000,False,0.066667
branin,near_boundary_error_q20,gpc_bernoulli_sur_refit,gpc_fixed_iso,0.441667,classifier_uncertainty_repulsion,gpc_fixed_iso,0.458333,True,-0.016666
branin,near_boundary_error_q30,gpr_boundary_weighted_ivr,gpr_fixed_or_existing,0.311111,straddle,gpr_fixed_or_existing,0.288889,False,0.022222
