simulation_id,numeric_simulation_id,relative_path,present_in_primary_hfapi_enumeration,present_in_http_enumeration,recursive_enumeration_method,recursive_pages_consumed,recursive_page_count_interpretation,pagination_complete,recursive_item_count,file_count,nested_folder_count
sim_00001,1,final_data_processed/sim_00001,True,True,explicit_http_limit_1000_all_next_pages,2,exact explicit HTTP page count,True,1100,1095,5
sim_00002,2,final_data_processed/sim_00002,True,True,explicit_http_limit_1000_all_next_pages,2,exact explicit HTTP page count,True,1214,1209,5
sim_00003,3,final_data_processed/sim_00003,True,True,explicit_http_limit_1000_all_next_pages,1,exact explicit HTTP page count,True,407,402,5
sim_00004,4,final_data_processed/sim_00004,True,True,explicit_http_limit_1000_all_next_pages,1,exact explicit HTTP page count,True,467,462,5
sim_00005,5,final_data_processed/sim_00005,True,True,explicit_http_limit_1000_all_next_pages,1,exact explicit HTTP page count,True,533,528,5
sim_00006,6,final_data_processed/sim_00006,True,True,explicit_http_limit_1000_all_next_pages,2,exact explicit HTTP page count,True,1169,1164,5
sim_00007,7,final_data_processed/sim_00007,True,True,explicit_http_limit_1000_all_next_pages,1,exact explicit HTTP page count,True,407,402,5
sim_00008,8,final_data_processed/sim_00008,True,True,explicit_http_limit_1000_all_next_pages,1,exact explicit HTTP page count,True,957,952,5
sim_00009,9,final_data_processed/sim_00009,True,True,explicit_http_limit_1000_all_next_pages,1,exact explicit HTTP page count,True,353,348,5
sim_00010,10,final_data_processed/sim_00010,True,True,explicit_http_limit_1000_all_next_pages,1,exact explicit HTTP page count,True,374,369,5
sim_00011,11,final_data_processed/sim_00011,True,True,explicit_http_limit_1000_all_next_pages,2,exact explicit HTTP page count,True,1253,1248,5
sim_00012,12,final_data_processed/sim_00012,True,True,explicit_http_limit_1000_all_next_pages,1,exact explicit HTTP page count,True,590,585,5
sim_00013,13,final_data_processed/sim_00013,True,True,explicit_http_limit_1000_all_next_pages,1,exact explicit HTTP page count,True,854,849,5
sim_00014,14,final_data_processed/sim_00014,True,True,explicit_http_limit_1000_all_next_pages,1,exact explicit HTTP page count,True,350,345,5
sim_00015,15,final_data_processed/sim_00015,True,True,explicit_http_limit_1000_all_next_pages,1,exact explicit HTTP page count,True,740,735,5
sim_00016,16,final_data_processed/sim_00016,True,True,explicit_http_limit_1000_all_next_pages,1,exact explicit HTTP page count,True,449,444,5
sim_00017,17,final_data_processed/sim_00017,True,True,explicit_http_limit_1000_all_next_pages,2,exact explicit HTTP page count,True,1592,1587,5
sim_00018,18,final_data_processed/sim_00018,True,True,explicit_http_limit_1000_all_next_pages,2,exact explicit HTTP page count,True,1283,1278,5
sim_00019,19,final_data_processed/sim_00019,True,True,explicit_http_limit_1000_all_next_pages,1,exact explicit HTTP page count,True,581,576,5
sim_00020,20,final_data_processed/sim_00020,True,True,explicit_http_limit_1000_all_next_pages,2,exact explicit HTTP page count,True,1193,1188,5
sim_00021,21,final_data_processed/sim_00021,True,True,explicit_http_limit_1000_all_next_pages,1,exact explicit HTTP page count,True,452,447,5
sim_00022,22,final_data_processed/sim_00022,True,True,explicit_http_limit_1000_all_next_pages,1,exact explicit HTTP page count,True,548,543,5
sim_00023,23,final_data_processed/sim_00023,True,True,explicit_http_limit_1000_all_next_pages,2,exact explicit HTTP page count,True,1010,1005,5
sim_00024,24,final_data_processed/sim_00024,True,True,explicit_http_limit_1000_all_next_pages,2,exact explicit HTTP page count,True,1526,1521,5
sim_00025,25,final_data_processed/sim_00025,True,True,explicit_http_limit_1000_all_next_pages,2,exact explicit HTTP page count,True,1106,1101,5
sim_00026,26,final_data_processed/sim_00026,True,True,explicit_http_limit_1000_all_next_pages,2,exact explicit HTTP page count,True,1343,1338,5
sim_00027,27,final_data_processed/sim_00027,True,True,explicit_http_limit_1000_all_next_pages,2,exact explicit HTTP page count,True,1667,1662,5
sim_00028,28,final_data_processed/sim_00028,True,True,explicit_http_limit_1000_all_next_pages,1,exact explicit HTTP page count,True,893,888,5
sim_00029,29,final_data_processed/sim_00029,True,True,explicit_http_limit_1000_all_next_pages,1,exact explicit HTTP page count,True,642,637,5
sim_00030,30,final_data_processed/sim_00030,True,True,explicit_http_limit_1000_all_next_pages,2,exact explicit HTTP page count,True,1106,1101,5
sim_00031,31,final_data_processed/sim_00031,True,True,explicit_http_limit_1000_all_next_pages,1,exact explicit HTTP page count,True,515,510,5
sim_00032,32,final_data_processed/sim_00032,True,True,explicit_http_limit_1000_all_next_pages,1,exact explicit HTTP page count,True,959,954,5
sim_00033,33,final_data_processed/sim_00033,True,True,explicit_http_limit_1000_all_next_pages,1,exact explicit HTTP page count,True,638,633,5
sim_00034,34,final_data_processed/sim_00034,True,True,explicit_http_limit_1000_all_next_pages,1,exact explicit HTTP page count,True,362,357,5
sim_00035,35,final_data_processed/sim_00035,True,True,explicit_http_limit_1000_all_next_pages,2,exact explicit HTTP page count,True,1097,1092,5
sim_00036,36,final_data_processed/sim_00036,True,True,explicit_http_limit_1000_all_next_pages,1,exact explicit HTTP page count,True,497,492,5
sim_00037,37,final_data_processed/sim_00037,True,True,explicit_http_limit_1000_all_next_pages,1,exact explicit HTTP page count,True,839,834,5
sim_00038,38,final_data_processed/sim_00038,True,True,explicit_http_limit_1000_all_next_pages,1,exact explicit HTTP page count,True,561,556,5
sim_00039,39,final_data_processed/sim_00039,True,True,explicit_http_limit_1000_all_next_pages,1,exact explicit HTTP page count,True,356,351,5
sim_00040,40,final_data_processed/sim_00040,True,True,explicit_http_limit_1000_all_next_pages,3,exact explicit HTTP page count,True,2021,2016,5
sim_00041,41,final_data_processed/sim_00041,True,True,explicit_http_limit_1000_all_next_pages,1,exact explicit HTTP page count,True,245,240,5
sim_00042,42,final_data_processed/sim_00042,True,True,explicit_http_limit_1000_all_next_pages,2,exact explicit HTTP page count,True,1229,1224,5
sim_00043,43,final_data_processed/sim_00043,True,True,explicit_http_limit_1000_all_next_pages,1,exact explicit HTTP page count,True,338,333,5
sim_00044,44,final_data_processed/sim_00044,True,True,explicit_http_limit_1000_all_next_pages,1,exact explicit HTTP page count,True,782,777,5
sim_00045,45,final_data_processed/sim_00045,True,True,explicit_http_limit_1000_all_next_pages,1,exact explicit HTTP page count,True,704,699,5
sim_00046,46,final_data_processed/sim_00046,True,True,explicit_http_limit_1000_all_next_pages,1,exact explicit HTTP page count,True,455,450,5
sim_00047,47,final_data_processed/sim_00047,True,True,explicit_http_limit_1000_all_next_pages,2,exact explicit HTTP page count,True,1292,1287,5
sim_00048,48,final_data_processed/sim_00048,True,True,explicit_http_limit_1000_all_next_pages,1,exact explicit HTTP page count,True,317,312,5
sim_00049,49,final_data_processed/sim_00049,True,True,explicit_http_limit_1000_all_next_pages,2,exact explicit HTTP page count,True,1829,1824,5
sim_00050,50,final_data_processed/sim_00050,True,True,explicit_http_limit_1000_all_next_pages,1,exact explicit HTTP page count,True,701,696,5
sim_00051,51,final_data_processed/sim_00051,True,True,explicit_http_limit_1000_all_next_pages,1,exact explicit HTTP page count,True,377,372,5
sim_00052,52,final_data_processed/sim_00052,True,True,explicit_http_limit_1000_all_next_pages,2,exact explicit HTTP page count,True,1154,1149,5
sim_00053,53,final_data_processed/sim_00053,True,True,explicit_http_limit_1000_all_next_pages,2,exact explicit HTTP page count,True,1310,1305,5
sim_00054,54,final_data_processed/sim_00054,True,True,explicit_http_limit_1000_all_next_pages,1,exact explicit HTTP page count,True,392,387,5
sim_00055,55,final_data_processed/sim_00055,True,True,explicit_http_limit_1000_all_next_pages,1,exact explicit HTTP page count,True,785,780,5
sim_00056,56,final_data_processed/sim_00056,True,True,explicit_http_limit_1000_all_next_pages,2,exact explicit HTTP page count,True,1181,1176,5
sim_00057,57,final_data_processed/sim_00057,True,True,explicit_http_limit_1000_all_next_pages,1,exact explicit HTTP page count,True,737,732,5
sim_00058,58,final_data_processed/sim_00058,True,True,explicit_http_limit_1000_all_next_pages,2,exact explicit HTTP page count,True,1022,1017,5
sim_00059,59,final_data_processed/sim_00059,True,True,explicit_http_limit_1000_all_next_pages,1,exact explicit HTTP page count,True,647,642,5
sim_00060,60,final_data_processed/sim_00060,True,True,explicit_http_limit_1000_all_next_pages,2,exact explicit HTTP page count,True,1262,1257,5
sim_00061,61,final_data_processed/sim_00061,True,True,explicit_http_limit_1000_all_next_pages,1,exact explicit HTTP page count,True,371,366,5
sim_00062,62,final_data_processed/sim_00062,True,True,explicit_http_limit_1000_all_next_pages,1,exact explicit HTTP page count,True,635,630,5
sim_00063,63,final_data_processed/sim_00063,True,True,explicit_http_limit_1000_all_next_pages,2,exact explicit HTTP page count,True,1256,1251,5
sim_00064,64,final_data_processed/sim_00064,True,True,explicit_http_limit_1000_all_next_pages,1,exact explicit HTTP page count,True,341,336,5
sim_00065,65,final_data_processed/sim_00065,True,True,explicit_http_limit_1000_all_next_pages,2,exact explicit HTTP page count,True,1250,1245,5
