run_id,repeat,fold,model,subset,roc_auc,pr_auc,accuracy,balanced_accuracy,keyhole_recall,conduction_recall,false_negative,false_positive,true_negative,true_positive,row_count,fit_status,kernel,residual_sd,length_scale,residual_sd_lower_bound_hit,residual_sd_upper_bound_hit,length_scale_lower_bound_hit,length_scale_upper_bound_hit,convergence_warning,warning_text
w85__r01_f01,1,1,physics_ridge_residual_gp,full81,0.997979797979798,0.992156862745098,0.9753086419753086,0.9333333333333333,0.8666666666666667,1.0,2,0,66,13,81,optimized_additive_laplace,"PhysicsRidgeResidualKernel(residual_sd=1, length_scale=1.226, physics_prior_sd=5)",1.0,1.2263938235518252,False,True,False,False,True,The optimal value found for dimension 0 of parameter residual_variance is close to the specified upper bound 1.0. Increasing the bound and calling fit again may find a better value.
w85__r01_f01,1,1,physics_ridge_residual_gp,B1_q30,0.9852941176470588,0.975,0.92,0.875,0.75,1.0,2,0,17,6,25,optimized_additive_laplace,"PhysicsRidgeResidualKernel(residual_sd=1, length_scale=1.226, physics_prior_sd=5)",1.0,1.2263938235518252,False,True,False,False,True,The optimal value found for dimension 0 of parameter residual_variance is close to the specified upper bound 1.0. Increasing the bound and calling fit again may find a better value.
w85__r01_f01,1,1,physics_ridge_residual_gp,B1_q20,0.9857142857142858,0.982142857142857,0.8823529411764706,0.8571428571428572,0.7142857142857143,1.0,2,0,10,5,17,optimized_additive_laplace,"PhysicsRidgeResidualKernel(residual_sd=1, length_scale=1.226, physics_prior_sd=5)",1.0,1.2263938235518252,False,True,False,False,True,The optimal value found for dimension 0 of parameter residual_variance is close to the specified upper bound 1.0. Increasing the bound and calling fit again may find a better value.
w85__r01_f02,1,2,physics_ridge_residual_gp,full81,0.9872068230277186,0.936873840445269,0.9506172839506173,0.9418976545842217,0.9285714285714286,0.9552238805970149,1,3,64,13,81,optimized_additive_laplace,"PhysicsRidgeResidualKernel(residual_sd=1, length_scale=1.143, physics_prior_sd=5)",1.0,1.1425411784247639,False,True,False,False,True,The optimal value found for dimension 0 of parameter residual_variance is close to the specified upper bound 1.0. Increasing the bound and calling fit again may find a better value.
w85__r01_f02,1,2,physics_ridge_residual_gp,B1_q30,0.9035087719298246,0.6496031746031745,0.84,0.8377192982456141,0.8333333333333334,0.8421052631578947,1,3,16,5,25,optimized_additive_laplace,"PhysicsRidgeResidualKernel(residual_sd=1, length_scale=1.143, physics_prior_sd=5)",1.0,1.1425411784247639,False,True,False,False,True,The optimal value found for dimension 0 of parameter residual_variance is close to the specified upper bound 1.0. Increasing the bound and calling fit again may find a better value.
w85__r01_f02,1,2,physics_ridge_residual_gp,B1_q20,0.85,0.6116666666666666,0.7647058823529411,0.775,0.8,0.75,1,3,9,4,17,optimized_additive_laplace,"PhysicsRidgeResidualKernel(residual_sd=1, length_scale=1.143, physics_prior_sd=5)",1.0,1.1425411784247639,False,True,False,False,True,The optimal value found for dimension 0 of parameter residual_variance is close to the specified upper bound 1.0. Increasing the bound and calling fit again may find a better value.
w85__r01_f03,1,3,physics_ridge_residual_gp,full81,1.0,1.0,0.9876543209876543,0.9642857142857143,0.9285714285714286,1.0,1,0,67,13,81,optimized_additive_laplace,"PhysicsRidgeResidualKernel(residual_sd=0.9404, length_scale=1.178, physics_prior_sd=5)",0.9403765954505808,1.177507506960916,False,False,False,False,False,
w85__r01_f03,1,3,physics_ridge_residual_gp,B1_q30,1.0,1.0,0.96,0.9285714285714286,0.8571428571428571,1.0,1,0,18,6,25,optimized_additive_laplace,"PhysicsRidgeResidualKernel(residual_sd=0.9404, length_scale=1.178, physics_prior_sd=5)",0.9403765954505808,1.177507506960916,False,False,False,False,False,
w85__r01_f03,1,3,physics_ridge_residual_gp,B1_q20,1.0,1.0,0.9411764705882353,0.9285714285714286,0.8571428571428571,1.0,1,0,10,6,17,optimized_additive_laplace,"PhysicsRidgeResidualKernel(residual_sd=0.9404, length_scale=1.178, physics_prior_sd=5)",0.9403765954505808,1.177507506960916,False,False,False,False,False,
w85__r01_f04,1,4,physics_ridge_residual_gp,full81,0.9888888888888889,0.9634085213032582,0.9753086419753086,0.9333333333333333,0.8666666666666667,1.0,2,0,66,13,81,optimized_additive_laplace,"PhysicsRidgeResidualKernel(residual_sd=1, length_scale=1.348, physics_prior_sd=5)",1.0,1.3479438688798053,False,True,False,False,True,The optimal value found for dimension 0 of parameter residual_variance is close to the specified upper bound 1.0. Increasing the bound and calling fit again may find a better value.
w85__r01_f04,1,4,physics_ridge_residual_gp,B1_q30,0.9338235294117646,0.9064685314685315,0.92,0.875,0.75,1.0,2,0,17,6,25,optimized_additive_laplace,"PhysicsRidgeResidualKernel(residual_sd=1, length_scale=1.348, physics_prior_sd=5)",1.0,1.3479438688798053,False,True,False,False,True,The optimal value found for dimension 0 of parameter residual_variance is close to the specified upper bound 1.0. Increasing the bound and calling fit again may find a better value.
