target,target_label,reference_target_definition,alternative_target_definition,gp_configuration,difference_direction,paired_simulation_count,bootstrap_resamples,bootstrap_seed,pairing_preserved,observed_mae_difference_um,mae_difference_ci95_lower_um,mae_difference_ci95_upper_um,observed_rmse_difference_um,rmse_difference_ci95_lower_um,rmse_difference_ci95_upper_um,alternative_robust_mae_predictability_advantage,alternative_robust_rmse_predictability_advantage
depth,Penetration depth below original surface,T0,T1,matern32_learned_nugget,"alternative minus T0 predictability metric; target quantity changes, so this is not a same-target accuracy contest",230,10000,1837134168,True,0.05163426238630109,-0.09694220808314952,0.2023278842636335,0.11641329236835318,-0.132282425744287,0.394294754629472,False,False
depth,Penetration depth below original surface,T0,T2,matern32_learned_nugget,"alternative minus T0 predictability metric; target quantity changes, so this is not a same-target accuracy contest",230,10000,1161994434,True,-0.11636897776536181,-0.25056855811647727,0.018686679206674665,-0.2556252267550354,-0.43738056238291484,-0.06066179823242426,False,True
depth,Penetration depth below original surface,T0,T3,matern32_learned_nugget,"alternative minus T0 predictability metric; target quantity changes, so this is not a same-target accuracy contest",230,10000,2179184956,True,-0.15468510857597462,-0.299866038762773,-0.00379641117970319,-0.21316337180570244,-0.4525333500673216,0.055393802964983294,True,False
depth,Penetration depth below original surface,T0,T4,matern32_learned_nugget,"alternative minus T0 predictability metric; target quantity changes, so this is not a same-target accuracy contest",230,10000,3579853250,True,0.17094825282371184,0.062386283307523285,0.2834854488366184,0.30513482502015465,0.17102997339718118,0.45783240906089884,False,False
depth,Penetration depth below original surface,T0,T5,matern32_learned_nugget,"alternative minus T0 predictability metric; target quantity changes, so this is not a same-target accuracy contest",230,10000,163937168,True,4.67691301199617,3.5517672609539335,5.881442089995259,8.44384134921827,5.943914206746582,10.888653584465745,False,False
length,Melt-pool length,T0,T1,matern52_learned_nugget,"alternative minus T0 predictability metric; target quantity changes, so this is not a same-target accuracy contest",241,10000,3541971865,True,0.25639941602619665,-0.13024548703062522,0.7072133473898353,0.4413591599507889,-0.5406057128938723,1.8319286152825272,False,False
length,Melt-pool length,T0,T2,matern52_learned_nugget,"alternative minus T0 predictability metric; target quantity changes, so this is not a same-target accuracy contest",241,10000,932875360,True,-0.010451017599512724,-0.28250043499661404,0.2610769779370466,0.28019996582561646,-0.2583228399705311,0.7670686936677986,False,False
length,Melt-pool length,T0,T3,matern52_learned_nugget,"alternative minus T0 predictability metric; target quantity changes, so this is not a same-target accuracy contest",241,10000,3956653448,True,-0.4449990878613974,-0.8864158433151025,-0.11644547882358314,-0.60351405970572,-1.4798339834757481,-0.10896964912882244,True,True
length,Melt-pool length,T0,T4,matern52_learned_nugget,"alternative minus T0 predictability metric; target quantity changes, so this is not a same-target accuracy contest",241,10000,3379310999,True,0.49799401541550736,0.09826454142948783,1.0089102729965713,0.784906513314894,-0.13463964170078258,2.4644989565555404,False,False
length,Melt-pool length,T0,T5,matern52_learned_nugget,"alternative minus T0 predictability metric; target quantity changes, so this is not a same-target accuracy contest",241,10000,723123085,True,93.73154903226072,70.37879632024564,120.44969643102483,204.7006362354215,144.6130927877992,260.66262782555333,False,False
width,Melt-pool width,T0,T1,matern32_learned_nugget,"alternative minus T0 predictability metric; target quantity changes, so this is not a same-target accuracy contest",241,10000,952590004,True,0.2672947293704939,0.018036221219801696,0.6045328155750321,0.3837391479152412,-0.11368125366977326,1.409691909069108,False,False
width,Melt-pool width,T0,T2,matern32_learned_nugget,"alternative minus T0 predictability metric; target quantity changes, so this is not a same-target accuracy contest",241,10000,2302432610,True,0.08015698874909694,-0.019015880443135735,0.18756414354517315,0.26641642578938196,-0.08657230512671969,0.6239759314040462,False,False
width,Melt-pool width,T0,T3,matern32_learned_nugget,"alternative minus T0 predictability metric; target quantity changes, so this is not a same-target accuracy contest",241,10000,2974232875,True,0.033538195357099454,-0.05997964501143279,0.13082725259087707,0.020402852553236706,-0.09805919363082835,0.12276063835903785,False,False
width,Melt-pool width,T0,T4,matern32_learned_nugget,"alternative minus T0 predictability metric; target quantity changes, so this is not a same-target accuracy contest",241,10000,1894529951,True,0.012412319552613127,-0.07709842927963186,0.0984546312655234,-0.03002748262018695,-0.10000273856769182,0.029560344754945508,False,False
width,Melt-pool width,T0,T5,matern32_learned_nugget,"alternative minus T0 predictability metric; target quantity changes, so this is not a same-target accuracy contest",241,10000,1250579047,True,9.271834835963679,7.329923087253788,11.404020834621276,14.31863425252618,9.253068615154964,19.696153689982918,False,False
