response,response_label,response_unit,feature,feature_unit,standardized_coefficient,selected_alpha,five_fold_cv_standardized_rmse,sample_size,x_standardized,y_standardized,interpretation
width,T0 melt-pool width,um,P,W,0.47498675264419715,1e-06,0.24804777428570307,241,True,True,conditional linear association after holding the other listed features in the Ridge model; not a causal effect
width,T0 melt-pool width,um,VX,m/s,-0.7481354128372115,1e-06,0.24804777428570307,241,True,True,conditional linear association after holding the other listed features in the Ridge model; not a causal effect
width,T0 melt-pool width,um,LS,um,0.3730581392954688,1e-06,0.24804777428570307,241,True,True,conditional linear association after holding the other listed features in the Ridge model; not a causal effect
width,T0 melt-pool width,um,ST,K,0.026219896073180166,1e-06,0.24804777428570307,241,True,True,conditional linear association after holding the other listed features in the Ridge model; not a causal effect
depth,T0 penetration depth,um,P,W,0.8187176048603785,1.0,0.38026449818795277,241,True,True,conditional linear association after holding the other listed features in the Ridge model; not a causal effect
depth,T0 penetration depth,um,VX,m/s,-0.49977976493227644,1.0,0.38026449818795277,241,True,True,conditional linear association after holding the other listed features in the Ridge model; not a causal effect
depth,T0 penetration depth,um,LS,um,-0.2141664210530731,1.0,0.38026449818795277,241,True,True,conditional linear association after holding the other listed features in the Ridge model; not a causal effect
depth,T0 penetration depth,um,ST,K,-0.04875587122485032,1.0,0.38026449818795277,241,True,True,conditional linear association after holding the other listed features in the Ridge model; not a causal effect
kinetic_energy,T0 melt-pool kinetic energy,nJ,P,W,0.9725668726693808,1e-06,0.22978267592286525,241,True,True,conditional linear association after holding the other listed features in the Ridge model; not a causal effect
kinetic_energy,T0 melt-pool kinetic energy,nJ,VX,m/s,-0.09410032389709662,1e-06,0.22978267592286525,241,True,True,conditional linear association after holding the other listed features in the Ridge model; not a causal effect
kinetic_energy,T0 melt-pool kinetic energy,nJ,LS,um,0.017418189309460146,1e-06,0.22978267592286525,241,True,True,conditional linear association after holding the other listed features in the Ridge model; not a causal effect
kinetic_energy,T0 melt-pool kinetic energy,nJ,ST,K,-0.020854150352566943,1e-06,0.22978267592286525,241,True,True,conditional linear association after holding the other listed features in the Ridge model; not a causal effect
total_height,T0 total vertical height,um,P,W,0.79302715821418,1.0,0.5293115643022566,241,True,True,conditional linear association after holding the other listed features in the Ridge model; not a causal effect
total_height,T0 total vertical height,um,VX,m/s,-0.37744596893967913,1.0,0.5293115643022566,241,True,True,conditional linear association after holding the other listed features in the Ridge model; not a causal effect
total_height,T0 total vertical height,um,LS,um,-0.0353322462849893,1.0,0.5293115643022566,241,True,True,conditional linear association after holding the other listed features in the Ridge model; not a causal effect
total_height,T0 total vertical height,um,ST,K,-0.05000496572853542,1.0,0.5293115643022566,241,True,True,conditional linear association after holding the other listed features in the Ridge model; not a causal effect
