analysis_label,phase,phase3_config_fingerprint,run_fingerprint,target,target_label,target_definition,gp_configuration,gp_configuration_label,kernel_family,matern_nu,learned_nugget,fold_index,heldout_simulation_id,heldout_numeric_simulation_id,observed_target_um,predicted_mean_um,residual_um,absolute_error_um,squared_error_um2,latent_predictive_std_um,latent_predictive_variance_um2,total_predictive_std_um,total_predictive_variance_um2,evaluation_predictive_std_um,evaluation_variance_definition,latent_nlpd,total_nlpd,evaluation_nlpd,latent_interval_lower_um,latent_interval_upper_um,total_interval_lower_um,total_interval_upper_um,latent_interval_contains_observed,total_interval_contains_observed,optimized_kernel,optimized_signal_variance_normalized,optimized_length_scale,optimized_noise_variance_normalized,optimized_noise_std_normalized,optimized_noise_variance_um2,optimized_noise_std_um,noise_std_fraction_training_target_std,noise_std_fraction_dataset_target_median,dataset_target_median_um_reporting_only,dataset_target_median_used_for_fitting,numerical_alpha_normalized,numerical_alpha_interpretation,training_size,population_size,heldout_excluded_from_training,heldout_target_used_for_scaling,heldout_target_used_for_fitting,heldout_target_used_for_tuning,x_scaler_fit_on_training_only,y_scaler_fit_on_training_only,normalize_y,feature_columns,training_y_mean_um,training_y_std_um,x_training_mean,x_training_scale,outer_training_simulation_ids_sha256,heldout_P,heldout_VX,heldout_LS,heldout_ST,fold_random_seed,optimizer,n_restarts_optimizer,log_marginal_likelihood,runtime_seconds,warning_count,convergence_warning_count,warnings,convergence_status,failed_fold,constant_bound_hit,constant_bound_side,length_scale_bound_hit,length_scale_bound_side,noise_bound_hit,noise_bound_side,any_hyperparameter_bound_hit
phase3c_fixed_gp_target_definition_sensitivity,Phase 3C,F7F71204D643D1027D0FF4736F24213619BF6A09C2361C3C11F169797AC98A9C,C0295840C76CCD86FC54AA952542EB1490372D1393D47944FAC48BB1B6EC03B9,length,Melt-pool length,T3,matern52_learned_nugget,Matérn 5/2 + learned nugget,Matern,2.5,True,0,sim_00001,1,262.57084999999995,260.6206802888374,1.950169711162573,1.950169711162573,3.803161902335914,7.087607313780684,50.23417743435745,17.83959031596187,318.25098264136057,17.83959031596187,total predictive variance including learned WhiteKernel nugget,2.9151406698605324,3.8063337941848947,3.8063337941848947,246.72896995382723,274.5123906238475,225.6550832695521,295.58627730812265,True,True,"3.22**2 * Matern(length_scale=5.42, nu=2.5) + WhiteKernel(noise_level=0.0337)",10.36390651762987,5.420442701728699,0.03370476781935336,0.18358858303106257,268.01680520700313,16.37121880639933,0.18358858303106257,0.04779853005323967,342.5046499999999,False,1e-08,numerical jitter only; separate from WhiteKernel nugget,240,241,True,False,False,False,True,True,False,"[""P"",""VX"",""LS"",""ST""]",344.2286110375,89.17340357504352,"[158.41685668854458,0.6174309603939917,6.476530180872957e-05,348.6835952922249]","[52.94868432117492,0.24073330218794772,1.3358446857885196e-05,32.34583139550507]",C1A71F1D3A2422A611F80239EE2F839B1B41D0A7D4B834310A9FD22BAB071E75,101.127472137,0.52394730996,4.5e-05,300.0,3403854608,fmin_l_bfgs_b,1,-23.139889578370827,1.247455800010357,0,0,,completed_without_convergence_warning,False,False,,False,,False,,False
phase3c_fixed_gp_target_definition_sensitivity,Phase 3C,F7F71204D643D1027D0FF4736F24213619BF6A09C2361C3C11F169797AC98A9C,C0295840C76CCD86FC54AA952542EB1490372D1393D47944FAC48BB1B6EC03B9,length,Melt-pool length,T3,matern52_learned_nugget,Matérn 5/2 + learned nugget,Matern,2.5,True,1,sim_00002,2,301.72975,304.8193213737086,-3.0895713737085657,3.0895713737085657,9.545451273239435,16.937137490041394,286.8666263565657,23.53762504765855,554.0197928841632,23.53762504765855,total predictive variance including learned WhiteKernel nugget,3.7650846665568016,4.086153460317945,4.086153460317945,271.62253189322746,338.0161108541897,258.6855762802978,350.95306646711936,True,True,"3.21**2 * Matern(length_scale=5.42, nu=2.5) + WhiteKernel(noise_level=0.0335)",10.318436120113816,5.417479239327247,0.03351090225463937,0.18305983244458454,267.1531665275975,16.344820786034866,0.18305983244458454,0.04772145658762551,342.5046499999999,False,1e-08,numerical jitter only; separate from WhiteKernel nugget,240,241,True,False,False,False,True,True,False,"[""P"",""VX"",""LS"",""ST""]",344.06544895416664,89.286767980533,"[158.40446473227792,0.6157952004352666,6.458493395760749e-05,348.28789357284154]","[52.961741081080795,0.24002814447852902,1.3331834273979293e-05,32.35808136104498]",FA446B729C2F19C80593618A398F5542870501B1F85B0093CCF7085D009B5698,104.101541641,0.916529700054,8.82882842693e-05,394.968412652,984718003,fmin_l_bfgs_b,1,-22.401606338601624,2.9944506000028923,0,0,,completed_without_convergence_warning,False,False,,False,,False,,False
phase3c_fixed_gp_target_definition_sensitivity,Phase 3C,F7F71204D643D1027D0FF4736F24213619BF6A09C2361C3C11F169797AC98A9C,C0295840C76CCD86FC54AA952542EB1490372D1393D47944FAC48BB1B6EC03B9,length,Melt-pool length,T3,matern52_learned_nugget,Matérn 5/2 + learned nugget,Matern,2.5,True,2,sim_00003,3,261.8447,283.2954763395902,-21.45077633959022,21.45077633959022,460.1358055711236,7.8333689248842795,61.361668713342695,18.11879096829167,328.2905861526478,18.11879096829167,total predictive variance including learned WhiteKernel nugget,6.726706146592441,4.516693773731248,4.516693773731248,267.942073246817,298.6488794323634,247.78264604173853,318.8083066374419,False,True,"3.28**2 * Matern(length_scale=5.49, nu=2.5) + WhiteKernel(noise_level=0.0336)",10.772961084442796,5.489511116464399,0.03357005457668704,0.1832213267517923,266.9289174393051,16.337959402547956,0.1832213267517923,0.04770142362314777,342.5046499999999,False,1e-08,numerical jitter only; separate from WhiteKernel nugget,240,241,True,False,False,False,True,True,False,"[""P"",""VX"",""LS"",""ST""]",344.2316366625,89.17062053960994,"[158.3995699254654,0.6169514116475291,6.463348166584206e-05,348.40255952951645]","[52.96670509691898,0.2408044033443286,1.3396689281503218e-05,32.47432872676716]",5673D08E997648C3B4BFBAB58729D083D268FAAD12401130F9A80580C9D9FD19,105.276295276,0.639039009111,7.6636834293e-05,367.44858305,3353368101,fmin_l_bfgs_b,1,-22.288441606892462,1.8673818000243045,0,0,,completed_without_convergence_warning,False,False,,False,,False,,False
phase3c_fixed_gp_target_definition_sensitivity,Phase 3C,F7F71204D643D1027D0FF4736F24213619BF6A09C2361C3C11F169797AC98A9C,C0295840C76CCD86FC54AA952542EB1490372D1393D47944FAC48BB1B6EC03B9,length,Melt-pool length,T3,matern52_learned_nugget,Matérn 5/2 + learned nugget,Matern,2.5,True,3,sim_00004,4,288.07835,275.76021399420915,12.318136005790848,12.318136005790848,151.7364746571609,13.944531170866872,194.44994957527783,21.492855729906488,461.94284742657413,21.492855729906488,total predictive variance including learned WhiteKernel nugget,3.9441943936179307,4.1508964026794235,4.1508964026794235,248.4289328993101,303.0914950891082,233.63421676359243,317.88621122482584,True,True,"3.22**2 * Matern(length_scale=5.44, nu=2.5) + WhiteKernel(noise_level=0.0336)",10.382895294596059,5.4375480706407116,0.03357708609140512,0.18324051432858707,267.49289785129633,16.355210113333804,0.18324051432858707,0.047751789978132585,342.5046499999999,False,1e-08,numerical jitter only; separate from WhiteKernel nugget,240,241,True,False,False,False,True,True,False,"[""P"",""VX"",""LS"",""ST""]",344.1223297875,89.25542570790664,"[158.39165382346957,0.6182776072410958,6.458809252473623e-05,348.2925134424874]","[52.9745014621117,0.24004473767101805,1.3337358734301948e-05,32.36466594117993]",3D71E35401DFDC45453821EF0A53158C5CD45C9E9B63F8790644DC88758BBBA6,107.176159755,0.320752066655,8.75302281584e-05,393.859643937,2028268040,fmin_l_bfgs_b,1,-22.407769472879323,1.413831999991089,0,0,,completed_without_convergence_warning,False,False,,False,,False,,False
phase3c_fixed_gp_target_definition_sensitivity,Phase 3C,F7F71204D643D1027D0FF4736F24213619BF6A09C2361C3C11F169797AC98A9C,C0295840C76CCD86FC54AA952542EB1490372D1393D47944FAC48BB1B6EC03B9,length,Melt-pool length,T3,matern52_learned_nugget,Matérn 5/2 + learned nugget,Matern,2.5,True,4,sim_00005,5,236.38402999999997,234.5702711551141,1.8137588448858537,1.8137588448858537,3.289721147401666,8.073771286606851,65.18578278843725,18.244482441586577,332.8611395613609,18.244482441586577,total predictive variance including learned WhiteKernel nugget,3.032792653280122,3.8277428174274473,3.8277428174274473,218.74567943336467,250.39486287686356,198.81108556960442,270.3294567406238,True,True,"3.22**2 * Matern(length_scale=5.44, nu=2.5) + WhiteKernel(noise_level=0.0337)",10.399809822115701,5.436444356635624,0.03374963665569279,0.18371074180812832,267.67535677292364,16.360787168499062,0.1837107418081283,0.04776807312980733,342.5046499999999,False,1e-08,numerical jitter only; separate from WhiteKernel nugget,240,241,True,False,False,False,True,True,False,"[""P"",""VX"",""LS"",""ST""]",344.3377227875,89.05732461516399,"[158.3808880455779,0.6186060484485084,6.476530180872957e-05,348.6835952922249]","[52.98464515358333,0.2395830529147136,1.3358446857885196e-05,32.34583139550507]",02334BC0EC5436E61A7F9210AA2228227887F252488785F8869DBE76D699F9AA,109.759946449,0.241926176876,4.5e-05,300.0,1330856050,fmin_l_bfgs_b,1,-23.125142289175244,1.0374870999949053,0,0,,completed_without_convergence_warning,False,False,,False,,False,,False
phase3c_fixed_gp_target_definition_sensitivity,Phase 3C,F7F71204D643D1027D0FF4736F24213619BF6A09C2361C3C11F169797AC98A9C,C0295840C76CCD86FC54AA952542EB1490372D1393D47944FAC48BB1B6EC03B9,length,Melt-pool length,T3,matern52_learned_nugget,Matérn 5/2 + learned nugget,Matern,2.5,True,5,sim_00006,6,294.5281499999999,289.85353731750223,4.6746126824976955,4.6746126824976955,21.8520037313683,8.073528148403948,65.18185676307088,18.23718026367172,332.5947439696574,18.23718026367172,total predictive variance including learned WhiteKernel nugget,3.1751524734247414,3.85525171043413,3.85525171043413,274.0294221466305,305.67765248837395,254.10866400070566,325.59841063429883,True,True,"3.2**2 * Matern(length_scale=5.41, nu=2.5) + WhiteKernel(noise_level=0.0336)",10.255563130286681,5.407285365362309,0.03355508815925094,0.18318047974402443,267.4128872065864,16.352763901144858,0.1831804797440244,0.04774464784972952,342.5046499999999,False,1e-08,numerical jitter only; separate from WhiteKernel nugget,240,241,True,False,False,False,True,True,False,"[""P"",""VX"",""LS"",""ST""]",344.0954556208333,89.27132369123684,"[158.37891002264456,0.6160032861109832,6.461589345980373e-05,348.4795091247081]","[52.986451341788005,0.24026700149970834,1.3378135022634581e-05,32.49747951712133]",EC508C39681D1A517DE8CF818879044CE7DDA531EA9FB37276409A41A2CC6C01,110.234671953,0.866589137882,8.08580037422e-05,348.980680204,1418022441,fmin_l_bfgs_b,1,-22.54341356964622,1.6774871000088751,0,0,,completed_without_convergence_warning,False,False,,False,,False,,False
phase3c_fixed_gp_target_definition_sensitivity,Phase 3C,F7F71204D643D1027D0FF4736F24213619BF6A09C2361C3C11F169797AC98A9C,C0295840C76CCD86FC54AA952542EB1490372D1393D47944FAC48BB1B6EC03B9,length,Melt-pool length,T3,matern52_learned_nugget,Matérn 5/2 + learned nugget,Matern,2.5,True,6,sim_00007,7,262.4155,260.52827458929926,1.8872254107007507,1.8872254107007507,3.561619750794617,9.32351889896141,86.9280046592906,18.82694205156911,354.45374701314125,18.82694205156911,total predictive variance including learned WhiteKernel nugget,3.1719646867968154,3.859251561628311,3.859251561628311,242.2541775473349,278.8023716312636,223.6274681682238,297.4290810103747,True,True,"3.22**2 * Matern(length_scale=5.43, nu=2.5) + WhiteKernel(noise_level=0.0336)",10.361362292662475,5.427376700351687,0.03364346131860347,0.18342153995265514,267.5257423538506,16.356214181584033,0.18342153995265514,0.04775472152446408,342.5046499999999,False,1e-08,numerical jitter only; separate from WhiteKernel nugget,240,241,True,False,False,False,True,True,False,"[""P"",""VX"",""LS"",""ST""]",344.2292583291666,89.17281026975297,"[158.37721145453625,0.6184717627793292,6.464164930829206e-05,348.43937469980403]","[52.987988101203044,0.2397850262103685,1.3403405712270068e-05,32.490887191220146]",47E5D61FE025540C84720EF3B6946A1054A8253A357677BB0CACF477630B612D,110.642328299,0.274154737479,7.4676600105e-05,358.612942181,2126296208,fmin_l_bfgs_b,1,-22.645778378034663,1.577361400006339,0,0,,completed_without_convergence_warning,False,False,,False,,False,,False
phase3c_fixed_gp_target_definition_sensitivity,Phase 3C,F7F71204D643D1027D0FF4736F24213619BF6A09C2361C3C11F169797AC98A9C,C0295840C76CCD86FC54AA952542EB1490372D1393D47944FAC48BB1B6EC03B9,length,Melt-pool length,T3,matern52_learned_nugget,Matérn 5/2 + learned nugget,Matern,2.5,True,7,sim_00008,8,297.5879,286.60208675148704,10.985813248512954,10.985813248512954,120.68809273120276,9.403018220898465,88.41675166254853,18.848723626660142,355.27438235421624,18.848723626660142,total predictive variance including learned WhiteKernel nugget,3.8424648852995213,4.025235681954279,4.025235681954279,268.172171038526,305.03200246444806,249.65858844323316,323.5455850597409,True,True,"3.23**2 * Matern(length_scale=5.42, nu=2.5) + WhiteKernel(noise_level=0.0335)",10.400690074009942,5.416084871192025,0.0334802692481311,0.1829761439317462,266.8576306916678,16.335777627394044,0.1829761439317462,0.04769505356319702,342.5046499999999,False,1e-08,numerical jitter only; separate from WhiteKernel nugget,240,241,True,False,False,False,True,True,False,"[""P"",""VX"",""LS"",""ST""]",344.0827066625,89.27818280774143,"[158.3697702161654,0.6166771339720416,6.46898903951029e-05,348.6450890727332]","[52.994565302894024,0.24074159257097874,1.3418592428444363e-05,32.39822083701424]",D68F4A8001756D53C04EA03737D32DFF0E97B392C3BD792D97F6C9182A9593E9,112.428225508,0.704865651228,6.30987392704e-05,309.241492678,2442260162,fmin_l_bfgs_b,1,-22.48894737810673,1.4991594000020996,0,0,,completed_without_convergence_warning,False,False,,False,,False,,False
phase3c_fixed_gp_target_definition_sensitivity,Phase 3C,F7F71204D643D1027D0FF4736F24213619BF6A09C2361C3C11F169797AC98A9C,C0295840C76CCD86FC54AA952542EB1490372D1393D47944FAC48BB1B6EC03B9,length,Melt-pool length,T3,matern52_learned_nugget,Matérn 5/2 + learned nugget,Matern,2.5,True,8,sim_00009,9,264.21325,285.99157565330916,-21.77832565330914,21.77832565330914,474.2954682615829,9.997355430859788,99.9471156109417,19.125750588876684,365.79433558791686,19.125750588876684,total predictive variance including learned WhiteKernel nugget,5.593991280517228,4.518283088147942,4.518283088147942,266.39675900882395,305.58639229779436,248.50510449911087,323.47804680750744,False,True,"3.26**2 * Matern(length_scale=5.45, nu=2.5) + WhiteKernel(noise_level=0.0334)",10.606667834612953,5.448801791462527,0.03342727839222285,0.18283128395387604,265.8472199769751,16.304821985442686,0.18283128395387607,0.04760467335390246,342.5046499999999,False,1e-08,numerical jitter only; separate from WhiteKernel nugget,240,241,True,False,False,False,True,True,False,"[""P"",""VX"",""LS"",""ST""]",344.2217677041666,89.17960664519536,"[158.36778409537374,0.6173736856002167,6.475985666105916e-05,348.5912237646123]","[52.99627809469381,0.24075390073481917,1.3366233832592893e-05,32.45289559521182]",F9B11A3FCE1E562647087FCED6CD5B92226595E705D76E955F6B492586AFA8CF,112.904894498,0.537693260466,4.63068354409e-05,322.169166627,4118406919,fmin_l_bfgs_b,1,-22.303965603685583,1.0352730000158772,0,0,,completed_without_convergence_warning,False,False,,False,,False,,False
phase3c_fixed_gp_target_definition_sensitivity,Phase 3C,F7F71204D643D1027D0FF4736F24213619BF6A09C2361C3C11F169797AC98A9C,C0295840C76CCD86FC54AA952542EB1490372D1393D47944FAC48BB1B6EC03B9,length,Melt-pool length,T3,matern52_learned_nugget,Matérn 5/2 + learned nugget,Matern,2.5,True,9,sim_00010,10,277.71594999999996,289.6651874115407,-11.949237411540764,11.949237411540764,142.78427471736543,9.447242178806837,89.25038478502695,18.881679065332204,356.5178043262044,18.881679065332204,total predictive variance including learned WhiteKernel nugget,3.964569853708051,4.057379072516948,4.057379072516948,271.1485927410793,308.18178208200214,252.6570964434896,326.67327837959186,True,True,"3.22**2 * Matern(length_scale=5.42, nu=2.5) + WhiteKernel(noise_level=0.0336)",10.385033779686676,5.419451456500834,0.033571070231705996,0.18322409839239487,267.2674195411775,16.348315495523615,0.18322409839239487,0.04773165998045171,342.5046499999999,False,1e-08,numerical jitter only; separate from WhiteKernel nugget,240,241,True,False,False,False,True,True,False,"[""P"",""VX"",""LS"",""ST""]",344.1655064541667,89.22579310780327,"[158.36619331605706,0.6172487292997,6.471096775599373e-05,348.6746412483623]","[52.99763697439272,0.2407874391839439,1.3412102099912544e-05,32.35900673090017]",10B9323F0E9890207C54E75E7EFB7A8E7062030760479D8B38D8D8A42E49C650,113.286681534,0.56768277259,5.80401726566e-05,302.148970527,4062214523,fmin_l_bfgs_b,1,-22.6508505387618,1.0750933000235818,0,0,,completed_without_convergence_warning,False,False,,False,,False,,False
