simulation_id,source_relative_path,raw_source_relative_path,position_bounds_order,formula,internal_unit,reported_unit,valid_melt_row_count,invalid_rule,T0_observation_count,adaptive_observation_count,nonfinite_height_count,negative_height_count,minimum_height_m,median_height_m,maximum_height_m,T0_total_height_m_recomputed,Phase1_delta_z_T0_m,T0_reproduction_absolute_error_m,identity_verified,penetration_depth_not_substituted,usable_for_primary_target,pinned_revision
sim_00001,outputs/week6_03_5_regime_target_design/regime_geometry_time_series.parquet/part-sim_00001.parquet,final_data_processed/sim_00001/monitor/position-bounds_melt.dat,"[""x_min"",""x_max"",""y_min"",""y_max"",""z_min"",""z_max""]",total_height(t) = z_max(t) - z_min(t),m,um,68685,Phase 1 sentinel/non-finite/max<min rows excluded before this partition,13744,58181,0,0,0.0,6.869064964121208e-05,7.62489580665715e-05,7.486579488613643e-05,7.486579499999999e-05,1.1386356267573117e-13,True,True,True,0e859b748fdbc8454f66e58e101e333ac0479d42
sim_00002,outputs/week6_03_5_regime_target_design/regime_geometry_time_series.parquet/part-sim_00002.parquet,final_data_processed/sim_00002/monitor/position-bounds_melt.dat,"[""x_min"",""x_max"",""y_min"",""y_max"",""z_min"",""z_max""]",total_height(t) = z_max(t) - z_min(t),m,um,78809,Phase 1 sentinel/non-finite/max<min rows excluded before this partition,10906,55785,0,0,0.0,4.645238004741259e-05,0.00012091750977560878,9.205557216773741e-05,9.205557e-05,2.1677374115571316e-12,True,True,True,0e859b748fdbc8454f66e58e101e333ac0479d42
sim_00003,outputs/week6_03_5_regime_target_design/regime_geometry_time_series.parquet/part-sim_00003.parquet,final_data_processed/sim_00003/monitor/position-bounds_melt.dat,"[""x_min"",""x_max"",""y_min"",""y_max"",""z_min"",""z_max""]",total_height(t) = z_max(t) - z_min(t),m,um,53638,Phase 1 sentinel/non-finite/max<min rows excluded before this partition,10732,45027,0,0,0.0,5.042425618739799e-05,0.00011120316048618406,6.237197521841154e-05,6.237197500000001e-05,2.1841152476019532e-13,True,True,True,0e859b748fdbc8454f66e58e101e333ac0479d42
sim_00004,outputs/week6_03_5_regime_target_design/regime_geometry_time_series.parquet/part-sim_00004.parquet,final_data_processed/sim_00004/monitor/position-bounds_melt.dat,"[""x_min"",""x_max"",""y_min"",""y_max"",""z_min"",""z_max""]",total_height(t) = z_max(t) - z_min(t),m,um,86427,Phase 1 sentinel/non-finite/max<min rows excluded before this partition,17286,69259,0,0,0.0,5.958322071819566e-05,7.528691639890894e-05,7.246009408845566e-05,7.2460095e-05,9.115443317699035e-13,True,True,True,0e859b748fdbc8454f66e58e101e333ac0479d42
sim_00005,outputs/week6_03_5_regime_target_design/regime_geometry_time_series.parquet/part-sim_00005.parquet,final_data_processed/sim_00005/monitor/position-bounds_melt.dat,"[""x_min"",""x_max"",""y_min"",""y_max"",""z_min"",""z_max""]",total_height(t) = z_max(t) - z_min(t),m,um,68695,Phase 1 sentinel/non-finite/max<min rows excluded before this partition,13746,45945,0,0,0.0,7.253787771333009e-05,8.625291229691356e-05,8.40995999169536e-05,8.40996e-05,8.304640341291053e-14,True,True,True,0e859b748fdbc8454f66e58e101e333ac0479d42
sim_00006,outputs/week6_03_5_regime_target_design/regime_geometry_time_series.parquet/part-sim_00006.parquet,final_data_processed/sim_00006/monitor/position-bounds_melt.dat,"[""x_min"",""x_max"",""y_min"",""y_max"",""z_min"",""z_max""]",total_height(t) = z_max(t) - z_min(t),m,um,84822,Phase 1 sentinel/non-finite/max<min rows excluded before this partition,11594,59297,0,0,0.0,4.922305015497841e-05,9.444806346436962e-05,5.352373045752756e-05,5.3523730000000006e-05,4.575275569648415e-13,True,True,True,0e859b748fdbc8454f66e58e101e333ac0479d42
sim_00007,outputs/week6_03_5_regime_target_design/regime_geometry_time_series.parquet/part-sim_00007.parquet,final_data_processed/sim_00007/monitor/position-bounds_melt.dat,"[""x_min"",""x_max"",""y_min"",""y_max"",""z_min"",""z_max""]",total_height(t) = z_max(t) - z_min(t),m,um,81836,Phase 1 sentinel/non-finite/max<min rows excluded before this partition,16368,61750,0,0,0.0,5.694721949112136e-05,7.243987056426704e-05,6.970317190280184e-05,6.9703175e-05,3.0971981571223037e-12,True,True,True,0e859b748fdbc8454f66e58e101e333ac0479d42
sim_00008,outputs/week6_03_5_regime_target_design/regime_geometry_time_series.parquet/part-sim_00008.parquet,final_data_processed/sim_00008/monitor/position-bounds_melt.dat,"[""x_min"",""x_max"",""y_min"",""y_max"",""z_min"",""z_max""]",total_height(t) = z_max(t) - z_min(t),m,um,99324,Phase 1 sentinel/non-finite/max<min rows excluded before this partition,14311,73196,0,0,0.0,5.461999535327777e-05,6.575007864739746e-05,6.344792200252414e-05,6.344792e-05,2.002524136638685e-12,True,True,True,0e859b748fdbc8454f66e58e101e333ac0479d42
sim_00009,outputs/week6_03_5_regime_target_design/regime_geometry_time_series.parquet/part-sim_00009.parquet,final_data_processed/sim_00009/monitor/position-bounds_melt.dat,"[""x_min"",""x_max"",""y_min"",""y_max"",""z_min"",""z_max""]",total_height(t) = z_max(t) - z_min(t),m,um,50863,Phase 1 sentinel/non-finite/max<min rows excluded before this partition,10176,40629,0,0,0.0,6.374373333528638e-05,7.590834138682112e-05,7.334995825658552e-05,7.334995999999999e-05,1.7434144676965052e-12,True,True,True,0e859b748fdbc8454f66e58e101e333ac0479d42
sim_00010,outputs/week6_03_5_regime_target_design/regime_geometry_time_series.parquet/part-sim_00010.parquet,final_data_processed/sim_00010/monitor/position-bounds_melt.dat,"[""x_min"",""x_max"",""y_min"",""y_max"",""z_min"",""z_max""]",total_height(t) = z_max(t) - z_min(t),m,um,52004,Phase 1 sentinel/non-finite/max<min rows excluded before this partition,10404,42311,0,0,0.0,6.039071922714356e-05,6.975349970161915e-05,6.795360241085291e-05,6.7953605e-05,2.5891470906277622e-12,True,True,True,0e859b748fdbc8454f66e58e101e333ac0479d42
sim_00011,outputs/week6_03_5_regime_target_design/regime_geometry_time_series.parquet/part-sim_00011.parquet,final_data_processed/sim_00011/monitor/position-bounds_melt.dat,"[""x_min"",""x_max"",""y_min"",""y_max"",""z_min"",""z_max""]",total_height(t) = z_max(t) - z_min(t),m,um,76273,Phase 1 sentinel/non-finite/max<min rows excluded before this partition,10623,54325,0,0,0.0,5.053171844338067e-05,5.8315290516475216e-05,5.636423156829551e-05,5.636423000000001e-05,1.5682955016018893e-12,True,True,True,0e859b748fdbc8454f66e58e101e333ac0479d42
sim_00012,outputs/week6_03_5_regime_target_design/regime_geometry_time_series.parquet/part-sim_00012.parquet,final_data_processed/sim_00012/monitor/position-bounds_melt.dat,"[""x_min"",""x_max"",""y_min"",""y_max"",""z_min"",""z_max""]",total_height(t) = z_max(t) - z_min(t),m,um,93297,Phase 1 sentinel/non-finite/max<min rows excluded before this partition,18661,80330,0,0,0.0,7.251075294334441e-05,8.279026224045083e-05,8.095380326267332e-05,8.09538e-05,3.262673321075514e-12,True,True,True,0e859b748fdbc8454f66e58e101e333ac0479d42
