run_id,method,formulation,budget,timing_group,held_out_positive_count,sensitivity,minimum_n3_for_interpretation
primary_common__r01_f01,binary_margin,binary,30,before_T0,5,1.0,True
primary_common__r01_f01,binary_margin,binary,30,spans_multiple_T0_regions,10,0.9,True
primary_common__r01_f01,binary_random,binary,30,before_T0,5,1.0,True
primary_common__r01_f01,binary_random,binary,30,spans_multiple_T0_regions,10,0.9,True
primary_common__r01_f01,max_depth_random,max_depth,30,before_T0,5,0.6,True
primary_common__r01_f01,max_depth_random,max_depth,30,spans_multiple_T0_regions,10,0.8,True
primary_common__r01_f01,max_depth_straddle,max_depth,30,before_T0,5,1.0,True
primary_common__r01_f01,max_depth_straddle,max_depth,30,spans_multiple_T0_regions,10,0.9,True
primary_common__r01_f02,binary_margin,binary,30,before_T0,3,1.0,True
primary_common__r01_f02,binary_margin,binary,30,inside_T0,2,0.0,False
primary_common__r01_f02,binary_margin,binary,30,spans_multiple_T0_regions,10,1.0,True
primary_common__r01_f02,binary_random,binary,30,before_T0,3,1.0,True
primary_common__r01_f02,binary_random,binary,30,inside_T0,2,0.0,False
primary_common__r01_f02,binary_random,binary,30,spans_multiple_T0_regions,10,1.0,True
primary_common__r01_f02,max_depth_random,max_depth,30,before_T0,3,1.0,True
primary_common__r01_f02,max_depth_random,max_depth,30,inside_T0,2,0.0,False
primary_common__r01_f02,max_depth_random,max_depth,30,spans_multiple_T0_regions,10,1.0,True
primary_common__r01_f02,max_depth_straddle,max_depth,30,before_T0,3,1.0,True
primary_common__r01_f02,max_depth_straddle,max_depth,30,inside_T0,2,0.0,False
primary_common__r01_f02,max_depth_straddle,max_depth,30,spans_multiple_T0_regions,10,1.0,True
