seq,model,to_n,mean_delta_q20,lo,hi,frac_runs_decrease
BAND,M3,20,-0.002941176470588247,-0.021907463052583512,0.01602511011140702,0.4
BAND,M3,24,0.02352941176470587,0.008360481656084521,0.03869834187332722,0.1
BAND,M3,28,-0.000980392156862725,-0.01637189234333728,0.014411108029611833,0.3
BAND,M3,32,0.0029411764705882305,-0.005549964554625926,0.011432317495802386,0.3
BAND,M3,36,0.0039215686274509665,-0.004717058152314298,0.012560195407216231,0.15
BAND,M3,40,0.003921568627450972,-0.004717058152314286,0.01256019540721623,0.2
BAND,M3,44,1.1102230246251566e-17,-0.010798283474706568,0.010798283474706589,0.3
BAND,M3,48,-0.005882352941176466,-0.014293007400852827,0.0025283015184998934,0.35
BAND,M3,52,0.003921568627450978,-0.004717058152314295,0.01256019540721625,0.2
BAND,M3,56,0.002941176470588247,-0.004578957777552458,0.010461310718728951,0.15
BAND,M3,60,0.002941176470588225,-0.0055499645546259295,0.01143231749580238,0.2
BAND,M3,64,-0.0009803921568627583,-0.01042503288005032,0.008464248566324802,0.25
BAND,M3,68,0.006862745098039219,-0.0011576007492461043,0.014883090945324542,0.15
BAND,M3,72,5.551115123125783e-18,-0.007376631941479571,0.007376631941479582,0.15
BAND,M3,76,0.002941176470588247,-0.005995993344855741,0.011878346286032236,0.1
BAND,M3,80,0.0009803921568627473,-0.0009411764705882374,0.002901960784313732,0.0
BAND,M3,84,0.0,0.0,0.0,0.0
BAND,M3,88,0.0,0.0,0.0,0.0
BAND,M3,92,0.0,0.0,0.0,0.0
BAND,M3,96,0.0009803921568627416,-0.0009411764705882315,0.002901960784313715,0.0
BAND,M3,100,0.0,0.0,0.0,0.0
BAND,M3,104,0.0,0.0,0.0,0.0
BAND,M3,108,-0.0009803921568627473,-0.002901960784313732,0.0009411764705882374,0.05
BAND,M3,112,0.0,0.0,0.0,0.0
BAND,M3,116,0.0,0.0,0.0,0.0
BAND,M3,120,0.0009803921568627416,-0.0009411764705882315,0.002901960784313715,0.0
BAND,M3,160,-0.0019607843137254832,-0.004605812774821362,0.0006842441473703964,0.1
BAND,M3,200,-0.0009803921568627473,-0.00536667563949585,0.003405891325770355,0.05
BAND,M3,260,-0.0019607843137254997,-0.008733067352704883,0.004811498725253884,0.2
BAND,M3,324,-0.01078431372549018,-0.019808044106551265,-0.0017605833444290942,0.3
