analysis_label,phase,phase3_config_fingerprint,run_fingerprint,target,target_label,target_definition,gp_configuration,gp_configuration_label,kernel_family,matern_nu,learned_nugget,fold_index,heldout_simulation_id,heldout_numeric_simulation_id,observed_target_um,predicted_mean_um,residual_um,absolute_error_um,squared_error_um2,latent_predictive_std_um,latent_predictive_variance_um2,total_predictive_std_um,total_predictive_variance_um2,evaluation_predictive_std_um,evaluation_variance_definition,latent_nlpd,total_nlpd,evaluation_nlpd,latent_interval_lower_um,latent_interval_upper_um,total_interval_lower_um,total_interval_upper_um,latent_interval_contains_observed,total_interval_contains_observed,optimized_kernel,optimized_signal_variance_normalized,optimized_length_scale,optimized_noise_variance_normalized,optimized_noise_std_normalized,optimized_noise_variance_um2,optimized_noise_std_um,noise_std_fraction_training_target_std,noise_std_fraction_dataset_target_median,dataset_target_median_um_reporting_only,dataset_target_median_used_for_fitting,numerical_alpha_normalized,numerical_alpha_interpretation,training_size,population_size,heldout_excluded_from_training,heldout_target_used_for_scaling,heldout_target_used_for_fitting,heldout_target_used_for_tuning,x_scaler_fit_on_training_only,y_scaler_fit_on_training_only,normalize_y,feature_columns,training_y_mean_um,training_y_std_um,x_training_mean,x_training_scale,outer_training_simulation_ids_sha256,heldout_P,heldout_VX,heldout_LS,heldout_ST,fold_random_seed,optimizer,n_restarts_optimizer,log_marginal_likelihood,runtime_seconds,warning_count,convergence_warning_count,warnings,convergence_status,failed_fold,constant_bound_hit,constant_bound_side,length_scale_bound_hit,length_scale_bound_side,noise_bound_hit,noise_bound_side,any_hyperparameter_bound_hit
phase3c_fixed_gp_target_definition_sensitivity,Phase 3C,F7F71204D643D1027D0FF4736F24213619BF6A09C2361C3C11F169797AC98A9C,DC3ABE54F9331836E04BD4533C1103D8210590CF0784C8A0083A6568A60DA172,length,Melt-pool length,T5,matern52_learned_nugget,Matérn 5/2 + learned nugget,Matern,2.5,True,0,sim_00001,1,260.82357799999994,264.36387314083856,-3.540295140838623,3.540295140838623,12.533689684245566,102.60157405213805,10527.082997976368,191.8198162858201,36794.84191992578,191.8198162858201,total predictive variance including learned WhiteKernel nugget,5.550387114333607,6.175665326330985,6.175665326330985,63.26478799864799,465.46295828302914,-111.60296677936884,640.330713061046,True,True,"0.74**2 * Matern(length_scale=0.762, nu=2.5) + WhiteKernel(noise_level=0.362)",0.5480057738074802,0.7616428790008225,0.36193735904415436,0.6016122996117635,26267.758921949415,162.07331341695158,0.6016122996117635,0.6963832885767942,232.73578799999999,False,1e-08,numerical jitter only; separate from WhiteKernel nugget,240,241,True,False,False,False,True,True,False,"[""P"",""VX"",""LS"",""ST""]",232.39095645383333,269.3982711482824,"[158.41685668854458,0.6174309603939917,6.476530180872957e-05,348.6835952922249]","[52.94868432117492,0.24073330218794772,1.3358446857885196e-05,32.34583139550507]",C1A71F1D3A2422A611F80239EE2F839B1B41D0A7D4B834310A9FD22BAB071E75,101.127472137,0.52394730996,4.5e-05,300.0,3807533510,fmin_l_bfgs_b,1,-299.1410473398463,2.393965900002513,0,0,,completed_without_convergence_warning,False,False,,False,,False,,False
phase3c_fixed_gp_target_definition_sensitivity,Phase 3C,F7F71204D643D1027D0FF4736F24213619BF6A09C2361C3C11F169797AC98A9C,DC3ABE54F9331836E04BD4533C1103D8210590CF0784C8A0083A6568A60DA172,length,Melt-pool length,T5,matern52_learned_nugget,Matérn 5/2 + learned nugget,Matern,2.5,True,1,sim_00002,2,0.0,90.90427390514463,-90.90427390514463,90.90427390514463,8263.587014221559,171.24139848438364,29323.616554887467,234.30201157301508,54897.432627161295,234.30201157301508,total predictive variance including learned WhiteKernel nugget,6.202916052836097,6.45081333914116,6.45081333914116,-244.7288671242473,426.53741493453657,-368.3276687779649,550.1362165882542,True,True,"0.748**2 * Matern(length_scale=0.75, nu=2.5) + WhiteKernel(noise_level=0.353)",0.5595038128030662,0.7499135359656853,0.3534609490206391,0.5945258186324957,25573.816072273825,159.91815429235615,0.5945258186324957,0.6871231780320617,232.73578799999999,False,1e-08,numerical jitter only; separate from WhiteKernel nugget,240,241,True,False,False,False,True,True,False,"[""P"",""VX"",""LS"",""ST""]",233.4777213621667,268.9843725545737,"[158.40446473227792,0.6157952004352666,6.458493395760749e-05,348.28789357284154]","[52.961741081080795,0.24002814447852902,1.3331834273979293e-05,32.35808136104498]",FA446B729C2F19C80593618A398F5542870501B1F85B0093CCF7085D009B5698,104.101541641,0.916529700054,8.82882842693e-05,394.968412652,2091200858,fmin_l_bfgs_b,1,-299.18113531210173,2.9778853000025265,0,0,,completed_without_convergence_warning,False,False,,False,,False,,False
phase3c_fixed_gp_target_definition_sensitivity,Phase 3C,F7F71204D643D1027D0FF4736F24213619BF6A09C2361C3C11F169797AC98A9C,DC3ABE54F9331836E04BD4533C1103D8210590CF0784C8A0083A6568A60DA172,length,Melt-pool length,T5,matern52_learned_nugget,Matérn 5/2 + learned nugget,Matern,2.5,True,2,sim_00003,3,266.23653399999995,349.409934376894,-83.17340037689405,83.17340037689405,6917.814530255119,149.0766073848551,22223.83486937823,218.80022409120969,47873.53806236357,218.80022409120969,total predictive variance including learned WhiteKernel nugget,6.0790383828526835,6.379348549949867,6.379348549949867,57.219783902578,641.60008485121,-79.43850484187698,778.258373595665,True,True,"0.747**2 * Matern(length_scale=0.75, nu=2.5) + WhiteKernel(noise_level=0.353)",0.5574402011243069,0.7500567113733514,0.3534281551828461,0.5944982381663095,25649.703192985344,160.15524716032672,0.5944982381663095,0.6881418991750712,232.73578799999999,False,1e-08,numerical jitter only; separate from WhiteKernel nugget,240,241,True,False,False,False,True,True,False,"[""P"",""VX"",""LS"",""ST""]",232.36840247049997,269.39566323075235,"[158.3995699254654,0.6169514116475291,6.463348166584206e-05,348.40255952951645]","[52.96670509691898,0.2408044033443286,1.3396689281503218e-05,32.47432872676716]",5673D08E997648C3B4BFBAB58729D083D268FAAD12401130F9A80580C9D9FD19,105.276295276,0.639039009111,7.6636834293e-05,367.44858305,113521426,fmin_l_bfgs_b,1,-298.8949190719753,2.2538175000227056,0,0,,completed_without_convergence_warning,False,False,,False,,False,,False
phase3c_fixed_gp_target_definition_sensitivity,Phase 3C,F7F71204D643D1027D0FF4736F24213619BF6A09C2361C3C11F169797AC98A9C,DC3ABE54F9331836E04BD4533C1103D8210590CF0784C8A0083A6568A60DA172,length,Melt-pool length,T5,matern52_learned_nugget,Matérn 5/2 + learned nugget,Matern,2.5,True,3,sim_00004,4,300.40316399999995,253.04020467359763,47.36295932640232,47.36295932640232,2243.24991615444,166.14455108980633,27604.011856833265,230.83360041557287,53284.151080816366,230.83360041557287,total predictive variance including learned WhiteKernel nugget,6.072429411529335,6.381685519105452,6.381685519105452,-72.60311546242278,578.683524809618,-199.39365214092518,705.4740614881205,True,True,"0.747**2 * Matern(length_scale=0.753, nu=2.5) + WhiteKernel(noise_level=0.354)",0.557517811746947,0.7529639300989771,0.3539183787326576,0.5949103955493277,25680.139223983097,160.25023938822397,0.5949103955493277,0.6885500539703159,232.73578799999999,False,1e-08,numerical jitter only; separate from WhiteKernel nugget,240,241,True,False,False,False,True,True,False,"[""P"",""VX"",""LS"",""ST""]",232.2260415121667,269.36869919755276,"[158.39165382346957,0.6182776072410958,6.458809252473623e-05,348.2925134424874]","[52.9745014621117,0.24004473767101805,1.3337358734301948e-05,32.36466594117993]",3D71E35401DFDC45453821EF0A53158C5CD45C9E9B63F8790644DC88758BBBA6,107.176159755,0.320752066655,8.75302281584e-05,393.859643937,1600167751,fmin_l_bfgs_b,1,-298.88325016422715,2.6118403999716975,0,0,,completed_without_convergence_warning,False,False,,False,,False,,False
phase3c_fixed_gp_target_definition_sensitivity,Phase 3C,F7F71204D643D1027D0FF4736F24213619BF6A09C2361C3C11F169797AC98A9C,DC3ABE54F9331836E04BD4533C1103D8210590CF0784C8A0083A6568A60DA172,length,Melt-pool length,T5,matern52_learned_nugget,Matérn 5/2 + learned nugget,Matern,2.5,True,4,sim_00005,5,243.99299,240.5018392182535,3.4911507817464837,3.4911507817464837,12.188133780889084,122.0716076764161,14901.477400704849,202.34010809044094,40941.519342051324,202.34010809044094,total predictive variance including learned WhiteKernel nugget,5.7239553111465415,6.22903736627272,6.22903736627272,1.2414881724779718,479.7621902640291,-156.08477263901074,637.0884510755177,True,True,"0.742**2 * Matern(length_scale=0.759, nu=2.5) + WhiteKernel(noise_level=0.359)",0.5508980317914143,0.7590008357589579,0.35878584451255985,0.598987349209113,26040.04194134648,161.3692719861699,0.598987349209113,0.6933582212382821,232.73578799999999,False,1e-08,numerical jitter only; separate from WhiteKernel nugget,240,241,True,False,False,False,True,True,False,"[""P"",""VX"",""LS"",""ST""]",232.46108390383336,269.4034727097953,"[158.3808880455779,0.6186060484485084,6.476530180872957e-05,348.6835952922249]","[52.98464515358333,0.2395830529147136,1.3358446857885196e-05,32.34583139550507]",02334BC0EC5436E61A7F9210AA2228227887F252488785F8869DBE76D699F9AA,109.759946449,0.241926176876,4.5e-05,300.0,2615754554,fmin_l_bfgs_b,1,-298.9670103780917,2.231513899983838,0,0,,completed_without_convergence_warning,False,False,,False,,False,,False
phase3c_fixed_gp_target_definition_sensitivity,Phase 3C,F7F71204D643D1027D0FF4736F24213619BF6A09C2361C3C11F169797AC98A9C,DC3ABE54F9331836E04BD4533C1103D8210590CF0784C8A0083A6568A60DA172,length,Melt-pool length,T5,matern52_learned_nugget,Matérn 5/2 + learned nugget,Matern,2.5,True,5,sim_00006,6,0.0,69.15528294846175,-69.15528294846175,69.15528294846175,4782.453159681804,136.6268711499182,18666.90192021635,210.96958631014147,44508.16634787223,210.96958631014147,total predictive variance including learned WhiteKernel nugget,5.9642919846188835,6.324378084977904,6.324378084977904,-198.6333845053779,336.9439504023014,-344.34510621941547,482.655672116339,True,True,"0.745**2 * Matern(length_scale=0.753, nu=2.5) + WhiteKernel(noise_level=0.357)",0.5551447682049613,0.7531350641651802,0.35715740750928215,0.5976264782531662,25841.264427655886,160.7521832749275,0.5976264782531662,0.6907067651964531,232.73578799999999,False,1e-08,numerical jitter only; separate from WhiteKernel nugget,240,241,True,False,False,False,True,True,False,"[""P"",""VX"",""LS"",""ST""]",233.4777213621667,268.9843725545737,"[158.37891002264456,0.6160032861109832,6.461589345980373e-05,348.4795091247081]","[52.986451341788005,0.24026700149970834,1.3378135022634581e-05,32.49747951712133]",EC508C39681D1A517DE8CF818879044CE7DDA531EA9FB37276409A41A2CC6C01,110.234671953,0.866589137882,8.08580037422e-05,348.980680204,357810516,fmin_l_bfgs_b,1,-299.2752948633471,2.9542964000138454,0,0,,completed_without_convergence_warning,False,False,,False,,False,,False
phase3c_fixed_gp_target_definition_sensitivity,Phase 3C,F7F71204D643D1027D0FF4736F24213619BF6A09C2361C3C11F169797AC98A9C,DC3ABE54F9331836E04BD4533C1103D8210590CF0784C8A0083A6568A60DA172,length,Melt-pool length,T5,matern52_learned_nugget,Matérn 5/2 + learned nugget,Matern,2.5,True,6,sim_00007,7,275.425472,241.03538303611077,34.39008896388924,34.39008896388924,1182.6782189442165,146.22025662264969,21380.36344679353,217.2497800582097,47197.46693534049,217.2497800582097,total predictive variance including learned WhiteKernel nugget,5.931710672692301,6.312515328314225,6.312515328314225,-45.55631994428262,527.6270860165041,-184.77418587798024,666.8449519502018,True,True,"0.745**2 * Matern(length_scale=0.754, nu=2.5) + WhiteKernel(noise_level=0.356)",0.5544822171853058,0.7539773276881944,0.35574921416448296,0.5964471595744949,25817.10348854696,160.677016055648,0.5964471595744949,0.6903837928683664,232.73578799999999,False,1e-08,numerical jitter only; separate from WhiteKernel nugget,240,241,True,False,False,False,True,True,False,"[""P"",""VX"",""LS"",""ST""]",232.33011522883334,269.39019404547906,"[158.37721145453625,0.6184717627793292,6.464164930829206e-05,348.43937469980403]","[52.987988101203044,0.2397850262103685,1.3403405712270068e-05,32.490887191220146]",47E5D61FE025540C84720EF3B6946A1054A8253A357677BB0CACF477630B612D,110.642328299,0.274154737479,7.4676600105e-05,358.612942181,1573923233,fmin_l_bfgs_b,1,-298.86000157617485,2.363569000037387,0,0,,completed_without_convergence_warning,False,False,,False,,False,,False
phase3c_fixed_gp_target_definition_sensitivity,Phase 3C,F7F71204D643D1027D0FF4736F24213619BF6A09C2361C3C11F169797AC98A9C,DC3ABE54F9331836E04BD4533C1103D8210590CF0784C8A0083A6568A60DA172,length,Melt-pool length,T5,matern52_learned_nugget,Matérn 5/2 + learned nugget,Matern,2.5,True,7,sim_00008,8,0.4732799999999969,279.17055111799925,-278.69727111799926,278.69727111799926,77672.16892861959,156.91852550939697,24623.423648043266,223.77768577463144,50076.452650649684,223.77768577463144,total predictive variance including learned WhiteKernel nugget,7.551866098173389,7.1051274718628505,7.1051274718628505,-28.38975888041881,586.7308611164174,-159.43371300027837,717.7748152362769,True,True,"0.748**2 * Matern(length_scale=0.753, nu=2.5) + WhiteKernel(noise_level=0.352)",0.5599529533160585,0.7532363004869492,0.35178705353576395,0.5931163912216252,25453.02900260642,159.5400545399381,0.5931163912216252,0.6854985901005397,232.73578799999999,False,1e-08,numerical jitter only; separate from WhiteKernel nugget,240,241,True,False,False,False,True,True,False,"[""P"",""VX"",""LS"",""ST""]",233.47574936216668,268.986082497801,"[158.3697702161654,0.6166771339720416,6.46898903951029e-05,348.6450890727332]","[52.994565302894024,0.24074159257097874,1.3418592428444363e-05,32.39822083701424]",D68F4A8001756D53C04EA03737D32DFF0E97B392C3BD792D97F6C9182A9593E9,112.428225508,0.704865651228,6.30987392704e-05,309.241492678,2086769635,fmin_l_bfgs_b,1,-298.5626854891891,2.7913347000139765,0,0,,completed_without_convergence_warning,False,False,,False,,False,,False
phase3c_fixed_gp_target_definition_sensitivity,Phase 3C,F7F71204D643D1027D0FF4736F24213619BF6A09C2361C3C11F169797AC98A9C,DC3ABE54F9331836E04BD4533C1103D8210590CF0784C8A0083A6568A60DA172,length,Melt-pool length,T5,matern52_learned_nugget,Matérn 5/2 + learned nugget,Matern,2.5,True,8,sim_00009,9,264.76605000000006,238.13750696873066,26.628543031269402,26.628543031269402,709.0793039681662,158.4172688852582,25096.0310810642,225.2180888391133,50723.18754034273,225.2180888391133,total predictive variance including learned WhiteKernel nugget,5.998298346991318,6.342997445507451,6.342997445507451,-72.3603400463754,548.6353539838367,-203.2899471559314,679.5649610933928,True,True,"0.747**2 * Matern(length_scale=0.75, nu=2.5) + WhiteKernel(noise_level=0.353)",0.5582449217108673,0.7497690044338083,0.3531155076491092,0.5942352292224934,25627.15645927853,160.08484144127615,0.5942352292224934,0.6878393856697113,232.73578799999999,False,1e-08,numerical jitter only; separate from WhiteKernel nugget,240,241,True,False,False,False,True,True,False,"[""P"",""VX"",""LS"",""ST""]",232.37452948716665,269.39641671991353,"[158.36778409537374,0.6173736856002167,6.475985666105916e-05,348.5912237646123]","[52.99627809469381,0.24075390073481917,1.3366233832592893e-05,32.45289559521182]",F9B11A3FCE1E562647087FCED6CD5B92226595E705D76E955F6B492586AFA8CF,112.904894498,0.537693260466,4.63068354409e-05,322.169166627,4177375452,fmin_l_bfgs_b,1,-298.9307010155008,2.0563837999943644,0,0,,completed_without_convergence_warning,False,False,,False,,False,,False
phase3c_fixed_gp_target_definition_sensitivity,Phase 3C,F7F71204D643D1027D0FF4736F24213619BF6A09C2361C3C11F169797AC98A9C,DC3ABE54F9331836E04BD4533C1103D8210590CF0784C8A0083A6568A60DA172,length,Melt-pool length,T5,matern52_learned_nugget,Matérn 5/2 + learned nugget,Matern,2.5,True,9,sim_00010,10,283.02206,206.47179122596555,76.55026877403446,76.55026877403446,5859.943649376916,145.28292723886256,21107.12894709263,216.42918089066768,46841.59034100535,216.42918089066768,total predictive variance including learned WhiteKernel nugget,6.036435920247072,6.358752565989451,6.358752565989451,-78.28274616220506,491.22632861413615,-217.72940331974308,630.6729857716741,True,True,"0.746**2 * Matern(length_scale=0.751, nu=2.5) + WhiteKernel(noise_level=0.355)",0.5561347311592573,0.7514123780785271,0.3546249508320715,0.5955039469491966,25734.46139391272,160.41964154651612,0.5955039469491966,0.689277927237027,232.73578799999999,False,1e-08,numerical jitter only; separate from WhiteKernel nugget,240,241,True,False,False,False,True,True,False,"[""P"",""VX"",""LS"",""ST""]",232.29846277883334,269.38468228188214,"[158.36619331605706,0.6172487292997,6.471096775599373e-05,348.6746412483623]","[52.99763697439272,0.2407874391839439,1.3412102099912544e-05,32.35900673090017]",10B9323F0E9890207C54E75E7EFB7A8E7062030760479D8B38D8D8A42E49C650,113.286681534,0.56768277259,5.80401726566e-05,302.148970527,3788247362,fmin_l_bfgs_b,1,-298.9505497464942,1.2698389000142924,0,0,,completed_without_convergence_warning,False,False,,False,,False,,False
