name,P,VX,LS,LS_micrometres,ST,observed_target,predicted_mean,predicted_std,absolute_error,residual_observed_minus_predicted,covered_95,screenshot_bug_any,initial_emptiness_frame_count,screenshot_bug_frame_count,initial_empty_like_block_timestep_width,sequence_pattern_category,first_observed_conduction_percentile,first_observed_conduction_quantile,nearest_neighbor_name,nearest_neighbor_distance_standardized,mean_5nn_distance_standardized,inverse_mean_5nn_density_proxy,sparse_region_top_decile,process_boundary_dimension_count,process_boundary_dimensions,label_sequence_rle
P-110p131967455_VX-0p225166085115_LS-5p63312318207e-05_ST-326p092691949_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-2p14247212255e-05_H-b41981edcb,110.131967455,0.225166085115,5.63312318207e-05,56.3312318207,326.092691949,42436.0,31446.78404884608,5142.5927470324805,10989.21595115392,10989.21595115392,False,False,36,0,41256.0,no_bug,1.0,Q4,P-109p759946449_VX-0p241926176876_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-7p72873359867e-06_H-fb250c7cf9,1.0540681328498813,1.1128871754536922,0.8985636837727329,False,0,,Initial Emptiness × 36 → Conduction × 64
P-210p464738138_VX-0p237113609615_LS-6p46217439158e-05_ST-306p057190902_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-2p03451864735e-05_H-12faed80a6,210.464738138,0.237113609615,6.46217439158e-05,64.62174391580001,306.057190902,36935.0,28976.431587411516,5209.763094785085,7958.568412588487,7958.568412588487,True,False,33,0,35815.0,no_bug,0.989010989010989,Q4,P-199p092557979_VX-0p316505824784_LS-5p93128195415e-05_ST-330p512210532_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p52418067071e-05_H-8bf1b39107,0.8487706055425481,1.1378108560536329,0.8788806985613645,False,0,,Initial Emptiness × 33 → Conduction × 72
P-225p511353261_VX-0p242923031869_LS-6p38341457094e-05_ST-340p774386379_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p9858638211e-05_H-5cefbb31d2,225.511353261,0.242923031869,6.38341457094e-05,63.834145709400005,340.774386379,36051.0,30051.43641449714,4443.273033992721,5999.56358550286,5999.56358550286,True,False,33,0,34957.0,no_bug,0.978021978021978,Q4,P-199p092557979_VX-0p316505824784_LS-5p93128195415e-05_ST-330p512210532_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p52418067071e-05_H-8bf1b39107,0.6992991998717357,0.9659847561045899,1.0352130234762131,False,0,,Initial Emptiness × 33 → Conduction × 74
P-188p623199531_VX-0p253450423389_LS-5p98563054886e-05_ST-373p9812389_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p90337839587e-05_H-b41981edcb,188.623199531,0.253450423389,5.98563054886e-05,59.8563054886,373.9812389,35600.0,29777.13364455368,4649.61765866467,5822.86635544632,5822.86635544632,True,False,34,0,34552.0,no_bug,0.9560439560439561,Q4,P-191p425479448_VX-0p407642571095_LS-6p68635438353e-05_ST-376p486404344_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p18341923663e-05_H-9a0fcdd2aa,0.7947635018976427,0.9753484861669506,1.0252745702501707,False,0,,Initial Emptiness × 34 → Conduction × 78
P-145p199982561_VX-0p253198682602_LS-7p7513591008e-05_ST-398p693210886_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p90527081478e-05_H-2d34966482,145.199982561,0.253198682602,7.7513591008e-05,77.513591008,398.693210886,35635.0,30821.33618652838,3525.665652319829,4813.66381347162,4813.66381347162,True,False,34,0,34586.0,no_bug,0.967032967032967,Q4,P-149p381043177_VX-0p292260061908_LS-7p79529508561e-05_ST-384p444199936_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p65062601148e-05_H-6464f5e6a2,0.4286029348731139,1.085655475852867,0.9211025249179542,False,0,,Initial Emptiness × 34 → Conduction × 78
P-53p4525830151_VX-0p394191978834_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-4p7433308439e-06_H-306f9d252b,53.4525830151,0.394191978834,4.5e-05,45.0,300.0,9915.0,14527.778485865305,2827.953579583492,4612.778485865303,-4612.778485865303,True,False,2,0,261.0,no_bug,0.1978021978021978,Q1,P-55p2363598851_VX-0p252312006514_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-7p41059847866e-06_H-fb250c7cf9,0.573151157671874,0.7162294978040267,1.3962005238050414,False,2,LS;ST,Initial Emptiness × 2 → Forming Phase × 36 → Conduction × 227
P-199p092557979_VX-0p316505824784_LS-5p93128195415e-05_ST-330p512210532_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p52418067071e-05_H-8bf1b39107,199.092557979,0.316505824784,5.93128195415e-05,59.312819541500005,330.512210532,28501.0,33096.73450388295,3432.5804267368385,4595.734503882952,-4595.734503882952,True,False,34,0,27661.0,no_bug,0.8461538461538461,Q4,P-225p511353261_VX-0p242923031869_LS-6p38341457094e-05_ST-340p774386379_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p9858638211e-05_H-5cefbb31d2,0.6967998610662258,0.8044045814238764,1.2431555253311177,False,0,,Initial Emptiness × 34 → Conduction × 105
P-133p757797566_VX-0p645163458122_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-2p89815386795e-06_H-306f9d252b,133.757797566,0.645163458122,4.5e-05,45.0,300.0,12754.0,17328.397552701572,2279.3779913885182,4574.397552701572,-4574.397552701572,False,False,1,0,0.0,no_bug,0.3956043956043956,Q2,P-133p003569327_VX-0p736244453131_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-2p53962249042e-06_H-306f9d252b,0.3664238348389911,0.5802405530457859,1.723423147088046,False,2,LS;ST,Initial Emptiness × 1 → Forming Phase × 79 → Conduction × 353
P-80p5741190929_VX-0p403249617425_LS-8p97039861056e-05_ST-397p637850573_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p19631126592e-05_H-6464f5e6a2,80.5741190929,0.403249617425,8.97039861056e-05,89.7039861056,397.637850573,25658.0,21247.51555459452,6588.541672606248,4410.484445405484,4410.484445405484,True,False,36,0,25000.0,no_bug,0.8021978021978022,Q4,P-128p682231034_VX-0p601925389683_LS-8p082715257e-05_ST-394p322355105_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-8p01448266795e-06_H-b41981edcb,1.335569903420705,1.4636621207900533,0.6832177903596619,True,1,LS,Initial Emptiness × 36 → Conduction × 138
P-101p127472137_VX-0p52394730996_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-3p56864695376e-06_H-b0e5aed98c,101.127472137,0.52394730996,4.5e-05,45.0,300.0,11779.0,15759.908885070196,823.3105354052169,3980.908885070196,-3980.908885070196,False,False,1,0,0.0,no_bug,0.3626373626373626,Q2,P-99p5435087092_VX-0p559592851831_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-3p34132747676e-06_H-306f9d252b,0.14608966924155767,0.4248218077060317,2.3539281219989214,False,2,LS;ST,Initial Emptiness × 1 → Forming Phase × 59 → Conduction × 292
