seq,model,to_n,mean_delta_q20,lo,hi,frac_runs_decrease
CAMPAIGN,M3,20,-5.551115123125783e-18,-0.014487417533853922,0.014487417533853911,0.2
CAMPAIGN,M3,24,0.008823529411764692,-0.0028316157520735102,0.020478674575602894,0.1
CAMPAIGN,M3,28,-1.1102230246251566e-17,-0.010052654833431074,0.010052654833431053,0.2
CAMPAIGN,M3,32,1.1102230246251566e-17,-0.007885951255242746,0.007885951255242767,0.25
CAMPAIGN,M3,36,-0.003921568627450972,-0.013818358907137703,0.0059752216522357595,0.3
CAMPAIGN,M3,40,-0.0009803921568627473,-0.008603195105257805,0.0066424107915323116,0.25
CAMPAIGN,M3,44,0.003921568627450983,-0.0013684882947407884,0.009211625549642754,0.1
CAMPAIGN,M3,48,-0.0009803921568627527,-0.008075009580660335,0.00611422526693483,0.2
CAMPAIGN,M3,52,0.009803921568627433,0.0026956211669806164,0.01691222197027425,0.0
CAMPAIGN,M3,56,2.2204460492503132e-17,-0.006829434120045972,0.006829434120046017,0.2
CAMPAIGN,M3,60,0.003921568627450978,-0.0013684882947408031,0.00921162554964276,0.05
CAMPAIGN,M3,64,0.0019607843137254832,-0.006356931884851619,0.010278500512302585,0.1
CAMPAIGN,M3,68,-0.003921568627450983,-0.0105194288139088,0.0026762915590068347,0.2
CAMPAIGN,M3,72,0.003921568627450989,-0.0013684882947407866,0.009211625549642765,0.05
CAMPAIGN,M3,76,-0.0019607843137254997,-0.005803921568627457,0.0018823529411764574,0.2
CAMPAIGN,M3,80,0.001960784313725489,-0.0018823529411764743,0.0058039215686274525,0.05
CAMPAIGN,M3,84,-0.003921568627450972,-0.010519428813908799,0.0026762915590068555,0.2
CAMPAIGN,M3,88,0.003921568627450978,-0.003764705882352945,0.011607843137254902,0.15
CAMPAIGN,M3,92,-0.0019607843137255053,-0.010733351278991719,0.006811782651540707,0.2
CAMPAIGN,M3,96,0.0019607843137254945,-0.0035452815013580358,0.007466850128809025,0.1
CAMPAIGN,M3,100,0.0009803921568627473,-0.004217012117390714,0.006177796431116208,0.15
CAMPAIGN,M3,104,-0.0009803921568627416,-0.004366533676352431,0.002405749362626948,0.1
CAMPAIGN,M3,108,1.1102230246251566e-17,-0.006234391870907709,0.006234391870907732,0.15
CAMPAIGN,M3,112,-0.003921568627450989,-0.011607843137254917,0.003764705882352939,0.2
CAMPAIGN,M3,116,-0.002941176470588225,-0.009925365092758364,0.004043012151581914,0.25
CAMPAIGN,M3,120,-5.551115123125783e-18,-0.005576209608688739,0.005576209608688728,0.1
CAMPAIGN,M3,160,2.7755575615628914e-17,-0.008364314413033048,0.008364314413033104,0.2
CAMPAIGN,M3,200,0.00392156862745095,-0.004254759658526162,0.012097896913428063,0.2
CAMPAIGN,M3,260,0.009803921568627433,-0.0011728580228613852,0.020780701160116252,0.15
CAMPAIGN,M3,324,3.8857805861880476e-17,-0.013077370714336166,0.013077370714336243,0.3
