run_id,method,formulation,budget,subgroup,held_out_positive_count,sensitivity,minimum_n3_for_interpretation
primary_common__r01_f01,binary_margin,binary,30,transient_Keyhole,6,1.0,True
primary_common__r01_f01,binary_margin,binary,30,persistent_Keyhole,9,0.8888888888888888,True
primary_common__r01_f01,binary_margin,binary,30,repeated_Keyhole,5,1.0,True
primary_common__r01_f01,binary_random,binary,30,transient_Keyhole,6,1.0,True
primary_common__r01_f01,binary_random,binary,30,persistent_Keyhole,9,0.8888888888888888,True
primary_common__r01_f01,binary_random,binary,30,repeated_Keyhole,5,1.0,True
primary_common__r01_f01,max_depth_random,max_depth,30,transient_Keyhole,6,0.6666666666666666,True
primary_common__r01_f01,max_depth_random,max_depth,30,persistent_Keyhole,9,0.7777777777777778,True
primary_common__r01_f01,max_depth_random,max_depth,30,repeated_Keyhole,5,0.4,True
primary_common__r01_f01,max_depth_straddle,max_depth,30,transient_Keyhole,6,1.0,True
primary_common__r01_f01,max_depth_straddle,max_depth,30,persistent_Keyhole,9,0.8888888888888888,True
primary_common__r01_f01,max_depth_straddle,max_depth,30,repeated_Keyhole,5,1.0,True
primary_common__r01_f02,binary_margin,binary,30,transient_Keyhole,7,1.0,True
primary_common__r01_f02,binary_margin,binary,30,persistent_Keyhole,8,0.75,True
primary_common__r01_f02,binary_margin,binary,30,repeated_Keyhole,5,1.0,True
primary_common__r01_f02,binary_random,binary,30,transient_Keyhole,7,1.0,True
primary_common__r01_f02,binary_random,binary,30,persistent_Keyhole,8,0.75,True
primary_common__r01_f02,binary_random,binary,30,repeated_Keyhole,5,1.0,True
primary_common__r01_f02,max_depth_random,max_depth,30,transient_Keyhole,7,1.0,True
primary_common__r01_f02,max_depth_random,max_depth,30,persistent_Keyhole,8,0.75,True
primary_common__r01_f02,max_depth_random,max_depth,30,repeated_Keyhole,5,1.0,True
primary_common__r01_f02,max_depth_straddle,max_depth,30,transient_Keyhole,7,1.0,True
primary_common__r01_f02,max_depth_straddle,max_depth,30,persistent_Keyhole,8,0.75,True
primary_common__r01_f02,max_depth_straddle,max_depth,30,repeated_Keyhole,5,1.0,True
