analysis_label,phase,phase3_config_fingerprint,run_fingerprint,target,target_label,target_definition,gp_configuration,gp_configuration_label,kernel_family,matern_nu,learned_nugget,fold_index,heldout_simulation_id,heldout_numeric_simulation_id,observed_target_um,predicted_mean_um,residual_um,absolute_error_um,squared_error_um2,latent_predictive_std_um,latent_predictive_variance_um2,total_predictive_std_um,total_predictive_variance_um2,evaluation_predictive_std_um,evaluation_variance_definition,latent_nlpd,total_nlpd,evaluation_nlpd,latent_interval_lower_um,latent_interval_upper_um,total_interval_lower_um,total_interval_upper_um,latent_interval_contains_observed,total_interval_contains_observed,optimized_kernel,optimized_signal_variance_normalized,optimized_length_scale,optimized_noise_variance_normalized,optimized_noise_std_normalized,optimized_noise_variance_um2,optimized_noise_std_um,noise_std_fraction_training_target_std,noise_std_fraction_dataset_target_median,dataset_target_median_um_reporting_only,dataset_target_median_used_for_fitting,numerical_alpha_normalized,numerical_alpha_interpretation,training_size,population_size,heldout_excluded_from_training,heldout_target_used_for_scaling,heldout_target_used_for_fitting,heldout_target_used_for_tuning,x_scaler_fit_on_training_only,y_scaler_fit_on_training_only,normalize_y,feature_columns,training_y_mean_um,training_y_std_um,x_training_mean,x_training_scale,outer_training_simulation_ids_sha256,heldout_P,heldout_VX,heldout_LS,heldout_ST,fold_random_seed,optimizer,n_restarts_optimizer,log_marginal_likelihood,runtime_seconds,warning_count,convergence_warning_count,warnings,convergence_status,failed_fold,constant_bound_hit,constant_bound_side,length_scale_bound_hit,length_scale_bound_side,noise_bound_hit,noise_bound_side,any_hyperparameter_bound_hit
phase3b_kernel_noise,Phase 3B,F7F71204D643D1027D0FF4736F24213619BF6A09C2361C3C11F169797AC98A9C,8EE00E603AA7622051F531FE6427BE9BC382D7D2507FEA27865D18BFBDDC8756,width,Melt-pool width,T0,matern52_no_nugget,"Matérn 5/2, no nugget",Matern,2.5,False,0,sim_00001,1,126.26144,122.20553094746823,4.05590905253176,4.05590905253176,16.45039824240908,1.651191631075148,2.7264338025326076,,,1.651191631075148,latent predictive variance; numerical jitter excluded,4.437270101102744,,4.437270101102744,118.96919535056094,125.44186654437553,,,False,,"0.777**2 * Matern(length_scale=1.15, nu=2.5)",0.6044940872081291,1.1453214817586839,,,,,,,159.00522,False,1e-06,numerical jitter only; separate from WhiteKernel nugget,240,241,True,False,False,False,True,True,False,"[""P"",""VX"",""LS"",""ST""]",159.66457739582123,37.45349438785815,"[158.41685668854458,0.6174309603939917,6.476530180872957e-05,348.6835952922249]","[52.94868432117492,0.24073330218794772,1.3358446857885196e-05,32.34583139550507]",C1A71F1D3A2422A611F80239EE2F839B1B41D0A7D4B834310A9FD22BAB071E75,101.127472137,0.52394730996,4.5e-05,300.0,2792328634,fmin_l_bfgs_b,1,-65.39744704305471,1.0732128999661654,0,0,,completed_without_convergence_warning,False,False,,False,,False,,False
phase3b_kernel_noise,Phase 3B,F7F71204D643D1027D0FF4736F24213619BF6A09C2361C3C11F169797AC98A9C,8EE00E603AA7622051F531FE6427BE9BC382D7D2507FEA27865D18BFBDDC8756,width,Melt-pool width,T0,matern52_no_nugget,"Matérn 5/2, no nugget",Matern,2.5,False,1,sim_00002,2,126.32872499999999,124.32580124349963,2.0029237565003655,2.0029237565003655,4.011703574353535,14.744595956004316,217.40310990581884,,,14.744595956004316,latent predictive variance; numerical jitter excluded,3.619041590169552,,3.619041590169552,95.42639316973117,153.22520931726808,,,True,,"0.773**2 * Matern(length_scale=1.13, nu=2.5)",0.5972723703746272,1.1308536193779455,,,,,,,159.00522,False,1e-06,numerical jitter only; separate from WhiteKernel nugget,240,241,True,False,False,False,True,True,False,"[""P"",""VX"",""LS"",""ST""]",159.66429704165458,37.453744169796835,"[158.40446473227792,0.6157952004352666,6.458493395760749e-05,348.28789357284154]","[52.961741081080795,0.24002814447852902,1.3331834273979293e-05,32.35808136104498]",FA446B729C2F19C80593618A398F5542870501B1F85B0093CCF7085D009B5698,104.101541641,0.916529700054,8.82882842693e-05,394.968412652,2979949255,fmin_l_bfgs_b,1,-66.13877648940476,1.1031355999875814,0,0,,completed_without_convergence_warning,False,False,,False,,False,,False
phase3b_kernel_noise,Phase 3B,F7F71204D643D1027D0FF4736F24213619BF6A09C2361C3C11F169797AC98A9C,8EE00E603AA7622051F531FE6427BE9BC382D7D2507FEA27865D18BFBDDC8756,width,Melt-pool width,T0,matern52_no_nugget,"Matérn 5/2, no nugget",Matern,2.5,False,2,sim_00003,3,127.94122499989999,143.8164872844259,-15.875262284525917,15.875262284525917,252.02395260249102,10.430608469397889,108.79759304187498,,,10.430608469397889,latent predictive variance; numerical jitter excluded,4.421907073626816,,4.421907073626816,123.37249468440604,164.26047988444577,,,True,,"0.77**2 * Matern(length_scale=1.13, nu=2.5)",0.5936482046476003,1.1291812127755971,,,,,,,159.00522,False,1e-06,numerical jitter only; separate from WhiteKernel nugget,240,241,True,False,False,False,True,True,False,"[""P"",""VX"",""LS"",""ST""]",159.65757829165497,37.459578480809114,"[158.3995699254654,0.6169514116475291,6.463348166584206e-05,348.40255952951645]","[52.96670509691898,0.2408044033443286,1.3396689281503218e-05,32.47432872676716]",5673D08E997648C3B4BFBAB58729D083D268FAAD12401130F9A80580C9D9FD19,105.276295276,0.639039009111,7.6636834293e-05,367.44858305,3838770277,fmin_l_bfgs_b,1,-65.31883194432993,0.9075374999665655,0,0,,completed_without_convergence_warning,False,False,,False,,False,,False
phase3b_kernel_noise,Phase 3B,F7F71204D643D1027D0FF4736F24213619BF6A09C2361C3C11F169797AC98A9C,8EE00E603AA7622051F531FE6427BE9BC382D7D2507FEA27865D18BFBDDC8756,width,Melt-pool width,T0,matern52_no_nugget,"Matérn 5/2, no nugget",Matern,2.5,False,3,sim_00004,4,203.32255,202.23709702734487,1.0854529726551334,1.0854529726551334,1.1782081558458657,13.688146257718499,187.36534797269294,,,13.688146257718499,latent predictive variance; numerical jitter excluded,3.5386129012084666,,3.5386129012084666,175.40833036221662,229.06586369247313,,,True,,"0.773**2 * Matern(length_scale=1.13, nu=2.5)",0.5968620864377634,1.1292575549778379,,,,,,,159.00522,False,1e-06,numerical jitter only; separate from WhiteKernel nugget,240,241,True,False,False,False,True,True,False,"[""P"",""VX"",""LS"",""ST""]",159.3434894374879,37.40813334402345,"[158.39165382346957,0.6182776072410958,6.458809252473623e-05,348.2925134424874]","[52.9745014621117,0.24004473767101805,1.3337358734301948e-05,32.36466594117993]",3D71E35401DFDC45453821EF0A53158C5CD45C9E9B63F8790644DC88758BBBA6,107.176159755,0.320752066655,8.75302281584e-05,393.859643937,1896248502,fmin_l_bfgs_b,1,-66.50215013586123,1.3173852000036277,0,0,,completed_without_convergence_warning,False,False,,False,,False,,False
phase3b_kernel_noise,Phase 3B,F7F71204D643D1027D0FF4736F24213619BF6A09C2361C3C11F169797AC98A9C,8EE00E603AA7622051F531FE6427BE9BC382D7D2507FEA27865D18BFBDDC8756,width,Melt-pool width,T0,matern52_no_nugget,"Matérn 5/2, no nugget",Matern,2.5,False,4,sim_00005,5,166.993245,169.02841894463586,-2.035173944635858,2.035173944635858,4.1419329849246775,4.669970276565888,21.808622384008874,,,4.669970276565888,latent predictive variance; numerical jitter excluded,2.5550521439153573,,2.5550521439153573,159.8752772025667,178.181560686705,,,True,,"0.769**2 * Matern(length_scale=1.13, nu=2.5)",0.5919296705314453,1.128767833842672,,,,,,,159.00522,False,1e-06,numerical jitter only; separate from WhiteKernel nugget,240,241,True,False,False,False,True,True,False,"[""P"",""VX"",""LS"",""ST""]",159.4948615416546,37.51214055879507,"[158.3808880455779,0.6186060484485084,6.476530180872957e-05,348.6835952922249]","[52.98464515358333,0.2395830529147136,1.3358446857885196e-05,32.34583139550507]",02334BC0EC5436E61A7F9210AA2228227887F252488785F8869DBE76D699F9AA,109.759946449,0.241926176876,4.5e-05,300.0,2692745098,fmin_l_bfgs_b,1,-66.80218721337798,0.8608573999954388,0,0,,completed_without_convergence_warning,False,False,,False,,False,,False
phase3b_kernel_noise,Phase 3B,F7F71204D643D1027D0FF4736F24213619BF6A09C2361C3C11F169797AC98A9C,8EE00E603AA7622051F531FE6427BE9BC382D7D2507FEA27865D18BFBDDC8756,width,Melt-pool width,T0,matern52_no_nugget,"Matérn 5/2, no nugget",Matern,2.5,False,5,sim_00006,6,128.06481,114.58743696127254,13.47737303872745,13.47737303872745,181.63958402501757,9.46488072292222,89.58396709914466,,,9.46488072292222,latent predictive variance; numerical jitter excluded,4.180321873128297,,4.180321873128297,96.03627074434499,133.1386031782001,,,True,,"0.768**2 * Matern(length_scale=1.13, nu=2.5)",0.589339643140211,1.1263394501608464,,,,,,,159.00522,False,1e-06,numerical jitter only; separate from WhiteKernel nugget,240,241,True,False,False,False,True,True,False,"[""P"",""VX"",""LS"",""ST""]",159.6570633541546,37.46001361365955,"[158.37891002264456,0.6160032861109832,6.461589345980373e-05,348.4795091247081]","[52.986451341788005,0.24026700149970834,1.3378135022634581e-05,32.49747951712133]",EC508C39681D1A517DE8CF818879044CE7DDA531EA9FB37276409A41A2CC6C01,110.234671953,0.866589137882,8.08580037422e-05,348.980680204,195346156,fmin_l_bfgs_b,1,-65.5470680505031,1.0350039000040852,0,0,,completed_without_convergence_warning,False,False,,False,,False,,False
phase3b_kernel_noise,Phase 3B,F7F71204D643D1027D0FF4736F24213619BF6A09C2361C3C11F169797AC98A9C,8EE00E603AA7622051F531FE6427BE9BC382D7D2507FEA27865D18BFBDDC8756,width,Melt-pool width,T0,matern52_no_nugget,"Matérn 5/2, no nugget",Matern,2.5,False,6,sim_00007,7,202.28875,202.14786898898393,0.14088101101606298,0.14088101101606298,0.01984745926490806,10.02053790172979,100.41117984000327,,,10.02053790172979,latent predictive variance; numerical jitter excluded,3.2236741411513767,,3.2236741411513767,182.50761470159355,221.7881232763743,,,True,,"0.772**2 * Matern(length_scale=1.13, nu=2.5)",0.5955536872727851,1.1264557802560065,,,,,,,159.00522,False,1e-06,numerical jitter only; separate from WhiteKernel nugget,240,241,True,False,False,False,True,True,False,"[""P"",""VX"",""LS"",""ST""]",159.3477969374879,37.41313737503083,"[158.37721145453625,0.6184717627793292,6.464164930829206e-05,348.43937469980403]","[52.987988101203044,0.2397850262103685,1.3403405712270068e-05,32.490887191220146]",47E5D61FE025540C84720EF3B6946A1054A8253A357677BB0CACF477630B612D,110.642328299,0.274154737479,7.4676600105e-05,358.612942181,3062494622,fmin_l_bfgs_b,1,-66.77807122089052,1.0478538000024855,0,0,,completed_without_convergence_warning,False,False,,False,,False,,False
phase3b_kernel_noise,Phase 3B,F7F71204D643D1027D0FF4736F24213619BF6A09C2361C3C11F169797AC98A9C,8EE00E603AA7622051F531FE6427BE9BC382D7D2507FEA27865D18BFBDDC8756,width,Melt-pool width,T0,matern52_no_nugget,"Matérn 5/2, no nugget",Matern,2.5,False,7,sim_00008,8,133.3735999999,128.26609230701303,5.107507692886969,5.107507692886969,26.08663483289957,11.125996088870984,123.78778896957243,,,11.125996088870984,latent predictive variance; numerical jitter excluded,3.4335912622512943,,3.4335912622512943,106.4591399728259,150.07304464120014,,,True,,"0.771**2 * Matern(length_scale=1.13, nu=2.5)",0.5938708557814085,1.126151015606196,,,,,,,159.00522,False,1e-06,numerical jitter only; separate from WhiteKernel nugget,240,241,True,False,False,False,True,True,False,"[""P"",""VX"",""LS"",""ST""]",159.63494339582167,37.4770908567498,"[158.3697702161654,0.6166771339720416,6.46898903951029e-05,348.6450890727332]","[52.994565302894024,0.24074159257097874,1.3418592428444363e-05,32.39822083701424]",D68F4A8001756D53C04EA03737D32DFF0E97B392C3BD792D97F6C9182A9593E9,112.428225508,0.704865651228,6.30987392704e-05,309.241492678,408324923,fmin_l_bfgs_b,1,-66.17271177257749,0.8672482999972999,0,0,,completed_without_convergence_warning,False,False,,False,,False,,False
phase3b_kernel_noise,Phase 3B,F7F71204D643D1027D0FF4736F24213619BF6A09C2361C3C11F169797AC98A9C,8EE00E603AA7622051F531FE6427BE9BC382D7D2507FEA27865D18BFBDDC8756,width,Melt-pool width,T0,matern52_no_nugget,"Matérn 5/2, no nugget",Matern,2.5,False,8,sim_00009,9,127.16849,128.23258848723742,-1.0640984872374162,1.0640984872374162,1.1323055905409576,12.9447714208782,167.567107138785,,,12.9447714208782,latent predictive variance; numerical jitter excluded,3.483009151599035,,3.483009151599035,102.86083650231615,153.6043404721587,,,True,,"0.772**2 * Matern(length_scale=1.13, nu=2.5)",0.5954485077074835,1.1269390528290917,,,,,,,159.00522,False,1e-06,numerical jitter only; separate from WhiteKernel nugget,240,241,True,False,False,False,True,True,False,"[""P"",""VX"",""LS"",""ST""]",159.66079802082126,37.45681894475749,"[158.36778409537374,0.6173736856002167,6.475985666105916e-05,348.5912237646123]","[52.99627809469381,0.24075390073481917,1.3366233832592893e-05,32.45289559521182]",F9B11A3FCE1E562647087FCED6CD5B92226595E705D76E955F6B492586AFA8CF,112.904894498,0.537693260466,4.63068354409e-05,322.169166627,1847676368,fmin_l_bfgs_b,1,-66.27288366762346,0.4139159999904223,0,0,,completed_without_convergence_warning,False,False,,False,,False,,False
phase3b_kernel_noise,Phase 3B,F7F71204D643D1027D0FF4736F24213619BF6A09C2361C3C11F169797AC98A9C,8EE00E603AA7622051F531FE6427BE9BC382D7D2507FEA27865D18BFBDDC8756,width,Melt-pool width,T0,matern52_no_nugget,"Matérn 5/2, no nugget",Matern,2.5,False,9,sim_00010,10,133.94807,137.3314208397482,-3.3833508397482035,3.3833508397482035,11.447062904824874,9.865875855944765,97.33550640491384,,,9.865875855944765,latent predictive variance; numerical jitter excluded,3.266822545431996,,3.266822545431996,117.99430416209647,156.66853751739995,,,True,,"0.771**2 * Matern(length_scale=1.13, nu=2.5)",0.593826425587386,1.1263520047267934,,,,,,,159.00522,False,1e-06,numerical jitter only; separate from WhiteKernel nugget,240,241,True,False,False,False,True,True,False,"[""P"",""VX"",""LS"",""ST""]",159.63254977082124,37.4787496844022,"[158.36619331605706,0.6172487292997,6.471096775599373e-05,348.6746412483623]","[52.99763697439272,0.2407874391839439,1.3412102099912544e-05,32.35900673090017]",10B9323F0E9890207C54E75E7EFB7A8E7062030760479D8B38D8D8A42E49C650,113.286681534,0.56768277259,5.80401726566e-05,302.148970527,2022083980,fmin_l_bfgs_b,1,-66.32630172942436,0.9036566999857314,0,0,,completed_without_convergence_warning,False,False,,False,,False,,False
