analysis_label,phase,phase3_config_fingerprint,run_fingerprint,target,target_label,target_definition,gp_configuration,gp_configuration_label,kernel_family,matern_nu,learned_nugget,fold_index,heldout_simulation_id,heldout_numeric_simulation_id,observed_target_um,predicted_mean_um,residual_um,absolute_error_um,squared_error_um2,latent_predictive_std_um,latent_predictive_variance_um2,total_predictive_std_um,total_predictive_variance_um2,evaluation_predictive_std_um,evaluation_variance_definition,latent_nlpd,total_nlpd,evaluation_nlpd,latent_interval_lower_um,latent_interval_upper_um,total_interval_lower_um,total_interval_upper_um,latent_interval_contains_observed,total_interval_contains_observed,optimized_kernel,optimized_signal_variance_normalized,optimized_length_scale,optimized_noise_variance_normalized,optimized_noise_std_normalized,optimized_noise_variance_um2,optimized_noise_std_um,noise_std_fraction_training_target_std,noise_std_fraction_dataset_target_median,dataset_target_median_um_reporting_only,dataset_target_median_used_for_fitting,numerical_alpha_normalized,numerical_alpha_interpretation,training_size,population_size,heldout_excluded_from_training,heldout_target_used_for_scaling,heldout_target_used_for_fitting,heldout_target_used_for_tuning,x_scaler_fit_on_training_only,y_scaler_fit_on_training_only,normalize_y,feature_columns,training_y_mean_um,training_y_std_um,x_training_mean,x_training_scale,outer_training_simulation_ids_sha256,heldout_P,heldout_VX,heldout_LS,heldout_ST,fold_random_seed,optimizer,n_restarts_optimizer,log_marginal_likelihood,runtime_seconds,warning_count,convergence_warning_count,warnings,convergence_status,failed_fold,constant_bound_hit,constant_bound_side,length_scale_bound_hit,length_scale_bound_side,noise_bound_hit,noise_bound_side,any_hyperparameter_bound_hit
phase3c_fixed_gp_target_definition_sensitivity,Phase 3C,F7F71204D643D1027D0FF4736F24213619BF6A09C2361C3C11F169797AC98A9C,67087CC01BDB578F732A48E37FE0471972B94A6EFAAE270315B6B9AAC4728642,length,Melt-pool length,T5,matern32_learned_nugget,Matérn 3/2 + learned nugget,Matern,1.5,True,0,sim_00001,1,260.82357799999994,263.7133575848673,-2.8897795848673695,2.8897795848673695,8.350826049116227,107.801263174254,11621.112341964772,189.70115490143678,35986.52817093891,189.70115490143678,total predictive variance including learned WhiteKernel nugget,5.599587204838696,6.164504525282921,6.164504525282921,52.42288176332946,475.0038334064052,-108.10090602194879,635.5276211916835,True,True,"0.763**2 * Matern(length_scale=0.8, nu=1.5) + WhiteKernel(noise_level=0.336)",0.5820505790361653,0.7997978798184868,0.3357254146939257,0.5794181691092588,24365.41582897414,156.09425302993745,0.5794181691092588,0.67069295346162,232.73578799999999,False,1e-08,numerical jitter only; separate from WhiteKernel nugget,240,241,True,False,False,False,True,True,False,"[""P"",""VX"",""LS"",""ST""]",232.39095645383333,269.3982711482824,"[158.41685668854458,0.6174309603939917,6.476530180872957e-05,348.6835952922249]","[52.94868432117492,0.24073330218794772,1.3358446857885196e-05,32.34583139550507]",C1A71F1D3A2422A611F80239EE2F839B1B41D0A7D4B834310A9FD22BAB071E75,101.127472137,0.52394730996,4.5e-05,300.0,1395110165,fmin_l_bfgs_b,1,-298.6281876508017,1.9216460000025108,0,0,,completed_without_convergence_warning,False,False,,False,,False,,False
phase3c_fixed_gp_target_definition_sensitivity,Phase 3C,F7F71204D643D1027D0FF4736F24213619BF6A09C2361C3C11F169797AC98A9C,67087CC01BDB578F732A48E37FE0471972B94A6EFAAE270315B6B9AAC4728642,length,Melt-pool length,T5,matern32_learned_nugget,Matérn 3/2 + learned nugget,Matern,1.5,True,1,sim_00002,2,0.0,85.33180137668927,-85.33180137668927,85.33180137668927,7281.516326190749,175.93327677030436,30952.517875136517,233.857921325607,54689.5273667338,233.857921325607,total predictive variance including learned WhiteKernel nugget,6.206667321274847,6.440223685964537,6.440223685964537,-259.4974210931073,430.1610238464858,-373.0297244215005,543.693327174879,True,True,"0.77**2 * Matern(length_scale=0.788, nu=1.5) + WhiteKernel(noise_level=0.328)",0.5923350632424453,0.7883675617322458,0.3280740691221336,0.5727775040293863,23737.00949159728,154.0681975347193,0.5727775040293863,0.6619875647776152,232.73578799999999,False,1e-08,numerical jitter only; separate from WhiteKernel nugget,240,241,True,False,False,False,True,True,False,"[""P"",""VX"",""LS"",""ST""]",233.4777213621667,268.9843725545737,"[158.40446473227792,0.6157952004352666,6.458493395760749e-05,348.28789357284154]","[52.961741081080795,0.24002814447852902,1.3331834273979293e-05,32.35808136104498]",FA446B729C2F19C80593618A398F5542870501B1F85B0093CCF7085D009B5698,104.101541641,0.916529700054,8.82882842693e-05,394.968412652,1877404279,fmin_l_bfgs_b,1,-298.6673802379454,1.4327379000023939,0,0,,completed_without_convergence_warning,False,False,,False,,False,,False
phase3c_fixed_gp_target_definition_sensitivity,Phase 3C,F7F71204D643D1027D0FF4736F24213619BF6A09C2361C3C11F169797AC98A9C,67087CC01BDB578F732A48E37FE0471972B94A6EFAAE270315B6B9AAC4728642,length,Melt-pool length,T5,matern32_learned_nugget,Matérn 3/2 + learned nugget,Matern,1.5,True,2,sim_00003,3,266.23653399999995,345.73931526148317,-79.50278126148322,79.50278126148322,6320.692228311248,154.72110006589546,23938.618805600836,218.4297166114388,47711.541098953465,218.4297166114388,total predictive variance including learned WhiteKernel nugget,6.092581407496144,6.371641441858968,6.371641441858968,42.485959132328105,648.9926713906382,-82.38292929693688,773.8615598199033,True,True,"0.769**2 * Matern(length_scale=0.788, nu=1.5) + WhiteKernel(noise_level=0.328)",0.5908559382831545,0.7879209154599214,0.3275679256882221,0.5723355009854116,23772.922293352633,154.1847018784699,0.5723355009854116,0.6624881510636856,232.73578799999999,False,1e-08,numerical jitter only; separate from WhiteKernel nugget,240,241,True,False,False,False,True,True,False,"[""P"",""VX"",""LS"",""ST""]",232.36840247049997,269.39566323075235,"[158.3995699254654,0.6169514116475291,6.463348166584206e-05,348.40255952951645]","[52.96670509691898,0.2408044033443286,1.3396689281503218e-05,32.47432872676716]",5673D08E997648C3B4BFBAB58729D083D268FAAD12401130F9A80580C9D9FD19,105.276295276,0.639039009111,7.6636834293e-05,367.44858305,3347537488,fmin_l_bfgs_b,1,-298.37718871568126,1.2685809999820776,0,0,,completed_without_convergence_warning,False,False,,False,,False,,False
phase3c_fixed_gp_target_definition_sensitivity,Phase 3C,F7F71204D643D1027D0FF4736F24213619BF6A09C2361C3C11F169797AC98A9C,67087CC01BDB578F732A48E37FE0471972B94A6EFAAE270315B6B9AAC4728642,length,Melt-pool length,T5,matern32_learned_nugget,Matérn 3/2 + learned nugget,Matern,1.5,True,3,sim_00004,4,300.40316399999995,255.58530391139251,44.81786008860743,44.81786008860743,2008.640582921991,171.09832610261705,29274.637195117488,230.4251175553157,53095.734800381055,230.4251175553157,total predictive variance including learned WhiteKernel nugget,6.095483770805171,6.377779745735141,6.377779745735141,-79.7674152497369,590.9380230725219,-196.04792649702622,707.2185343198113,True,True,"0.769**2 * Matern(length_scale=0.791, nu=1.5) + WhiteKernel(noise_level=0.328)",0.5906705880269671,0.7913700370445077,0.32829745082587736,0.572972469518281,23821.09760526357,154.34084879014878,0.572972469518281,0.6631590702765008,232.73578799999999,False,1e-08,numerical jitter only; separate from WhiteKernel nugget,240,241,True,False,False,False,True,True,False,"[""P"",""VX"",""LS"",""ST""]",232.2260415121667,269.36869919755276,"[158.39165382346957,0.6182776072410958,6.458809252473623e-05,348.2925134424874]","[52.9745014621117,0.24004473767101805,1.3337358734301948e-05,32.36466594117993]",3D71E35401DFDC45453821EF0A53158C5CD45C9E9B63F8790644DC88758BBBA6,107.176159755,0.320752066655,8.75302281584e-05,393.859643937,3592875529,fmin_l_bfgs_b,1,-298.3628915970136,1.0158316000015475,0,0,,completed_without_convergence_warning,False,False,,False,,False,,False
phase3c_fixed_gp_target_definition_sensitivity,Phase 3C,F7F71204D643D1027D0FF4736F24213619BF6A09C2361C3C11F169797AC98A9C,67087CC01BDB578F732A48E37FE0471972B94A6EFAAE270315B6B9AAC4728642,length,Melt-pool length,T5,matern32_learned_nugget,Matérn 3/2 + learned nugget,Matern,1.5,True,4,sim_00005,5,243.99299,240.39439096218845,3.598599037811539,3.598599037811539,12.949915034938133,129.71097833511118,16824.937900651683,202.34849050961813,40944.91161152102,202.34849050961813,total predictive variance including learned WhiteKernel nugget,5.784632107886665,6.229088082970185,6.229088082970185,-13.83912657462946,494.62790849900637,-156.20865043666308,636.99743236104,True,True,"0.765**2 * Matern(length_scale=0.797, nu=1.5) + WhiteKernel(noise_level=0.332)",0.5850485797182546,0.7965030432554996,0.3323306912088454,0.5764813016992358,24119.973710869344,155.30606463003735,0.5764813016992358,0.6673063303441642,232.73578799999999,False,1e-08,numerical jitter only; separate from WhiteKernel nugget,240,241,True,False,False,False,True,True,False,"[""P"",""VX"",""LS"",""ST""]",232.46108390383336,269.4034727097953,"[158.3808880455779,0.6186060484485084,6.476530180872957e-05,348.6835952922249]","[52.98464515358333,0.2395830529147136,1.3358446857885196e-05,32.34583139550507]",02334BC0EC5436E61A7F9210AA2228227887F252488785F8869DBE76D699F9AA,109.759946449,0.241926176876,4.5e-05,300.0,4169489935,fmin_l_bfgs_b,1,-298.4409187479727,1.3689568999689072,0,0,,completed_without_convergence_warning,False,False,,False,,False,,False
phase3c_fixed_gp_target_definition_sensitivity,Phase 3C,F7F71204D643D1027D0FF4736F24213619BF6A09C2361C3C11F169797AC98A9C,67087CC01BDB578F732A48E37FE0471972B94A6EFAAE270315B6B9AAC4728642,length,Melt-pool length,T5,matern32_learned_nugget,Matérn 3/2 + learned nugget,Matern,1.5,True,5,sim_00006,6,0.0,68.37927197712082,-68.37927197712082,68.37927197712082,4675.724836121061,143.7818383568041,20673.217041262138,211.2179929692186,44613.040553944884,211.2179929692186,total predictive variance including learned WhiteKernel nugget,6.000322204462353,6.324232393157308,6.324232393157308,-213.43313120221518,350.1916751564568,-345.60799424254765,482.3665381967893,True,True,"0.767**2 * Matern(length_scale=0.791, nu=1.5) + WhiteKernel(noise_level=0.331)",0.5890479931387488,0.7906363256514449,0.33087720324044306,0.5752192653592568,23939.82351268275,154.72499317396253,0.5752192653592568,0.6648096302832572,232.73578799999999,False,1e-08,numerical jitter only; separate from WhiteKernel nugget,240,241,True,False,False,False,True,True,False,"[""P"",""VX"",""LS"",""ST""]",233.4777213621667,268.9843725545737,"[158.37891002264456,0.6160032861109832,6.461589345980373e-05,348.4795091247081]","[52.986451341788005,0.24026700149970834,1.3378135022634581e-05,32.49747951712133]",EC508C39681D1A517DE8CF818879044CE7DDA531EA9FB37276409A41A2CC6C01,110.234671953,0.866589137882,8.08580037422e-05,348.980680204,982906959,fmin_l_bfgs_b,1,-298.74964480443134,1.326137199997902,0,0,,completed_without_convergence_warning,False,False,,False,,False,,False
phase3c_fixed_gp_target_definition_sensitivity,Phase 3C,F7F71204D643D1027D0FF4736F24213619BF6A09C2361C3C11F169797AC98A9C,67087CC01BDB578F732A48E37FE0471972B94A6EFAAE270315B6B9AAC4728642,length,Melt-pool length,T5,matern32_learned_nugget,Matérn 3/2 + learned nugget,Matern,1.5,True,6,sim_00007,7,275.425472,245.74326627789785,29.682205722102168,29.682205722102168,881.0333365291947,152.61601761354947,23291.64883221924,217.27464863243588,47208.27293834847,217.27464863243588,total predictive variance including learned WhiteKernel nugget,5.965776684833129,6.3094320930875485,6.3094320930875485,-53.38412824465914,544.8706608004549,-180.1150450416765,671.6015775974722,True,True,"0.767**2 * Matern(length_scale=0.792, nu=1.5) + WhiteKernel(noise_level=0.33)",0.5882291469502076,0.7915275848773397,0.32956137914531275,0.574074367260299,23916.624106129224,154.65000519278757,0.574074367260299,0.6644874280907223,232.73578799999999,False,1e-08,numerical jitter only; separate from WhiteKernel nugget,240,241,True,False,False,False,True,True,False,"[""P"",""VX"",""LS"",""ST""]",232.33011522883334,269.39019404547906,"[158.37721145453625,0.6184717627793292,6.464164930829206e-05,348.43937469980403]","[52.987988101203044,0.2397850262103685,1.3403405712270068e-05,32.490887191220146]",47E5D61FE025540C84720EF3B6946A1054A8253A357677BB0CACF477630B612D,110.642328299,0.274154737479,7.4676600105e-05,358.612942181,2758683477,fmin_l_bfgs_b,1,-298.335639790358,1.4010530000086874,0,0,,completed_without_convergence_warning,False,False,,False,,False,,False
phase3c_fixed_gp_target_definition_sensitivity,Phase 3C,F7F71204D643D1027D0FF4736F24213619BF6A09C2361C3C11F169797AC98A9C,67087CC01BDB578F732A48E37FE0471972B94A6EFAAE270315B6B9AAC4728642,length,Melt-pool length,T5,matern32_learned_nugget,Matérn 3/2 + learned nugget,Matern,1.5,True,7,sim_00008,8,0.4732799999999969,273.5659092106806,-273.0926292106806,273.0926292106806,74579.5841292023,162.00569661730708,26245.84573645894,223.25773287622383,49844.01528903131,223.25773287622383,total predictive variance including learned WhiteKernel nugget,7.4273583899851054,7.075395167538877,7.075395167538877,-43.96525615924128,591.0970745806026,-164.01924722671805,711.1510656480793,True,True,"0.77**2 * Matern(length_scale=0.792, nu=1.5) + WhiteKernel(noise_level=0.326)",0.593315823875412,0.7916912120120639,0.3261509871727536,0.5710963028883601,23598.169552572374,153.61695724291758,0.5710963028883601,0.6600487125895635,232.73578799999999,False,1e-08,numerical jitter only; separate from WhiteKernel nugget,240,241,True,False,False,False,True,True,False,"[""P"",""VX"",""LS"",""ST""]",233.47574936216668,268.986082497801,"[158.3697702161654,0.6166771339720416,6.46898903951029e-05,348.6450890727332]","[52.994565302894024,0.24074159257097874,1.3418592428444363e-05,32.39822083701424]",D68F4A8001756D53C04EA03737D32DFF0E97B392C3BD792D97F6C9182A9593E9,112.428225508,0.704865651228,6.30987392704e-05,309.241492678,1602882767,fmin_l_bfgs_b,1,-298.0656032440175,2.307615600002464,0,0,,completed_without_convergence_warning,False,False,,False,,False,,False
phase3c_fixed_gp_target_definition_sensitivity,Phase 3C,F7F71204D643D1027D0FF4736F24213619BF6A09C2361C3C11F169797AC98A9C,67087CC01BDB578F732A48E37FE0471972B94A6EFAAE270315B6B9AAC4728642,length,Melt-pool length,T5,matern32_learned_nugget,Matérn 3/2 + learned nugget,Matern,1.5,True,8,sim_00009,9,264.76605000000006,236.3888632942702,28.377186705729855,28.377186705729855,805.2647253318512,163.2571588887388,26652.899928422903,224.55535278453036,50425.106464184886,224.55535278453036,total predictive variance including learned WhiteKernel nugget,6.029371665081943,6.341045530076687,6.341045530076687,-83.59516812765781,556.3728947161983,-203.7396281634093,676.5173547519497,True,True,"0.769**2 * Matern(length_scale=0.788, nu=1.5) + WhiteKernel(noise_level=0.328)",0.5912202954922263,0.7879894185402334,0.3275562309128458,0.5723252841809855,23772.206535761987,154.1823807565637,0.5723252841809855,0.6624781778579052,232.73578799999999,False,1e-08,numerical jitter only; separate from WhiteKernel nugget,240,241,True,False,False,False,True,True,False,"[""P"",""VX"",""LS"",""ST""]",232.37452948716665,269.39641671991353,"[158.36778409537374,0.6173736856002167,6.475985666105916e-05,348.5912237646123]","[52.99627809469381,0.24075390073481917,1.3366233832592893e-05,32.45289559521182]",F9B11A3FCE1E562647087FCED6CD5B92226595E705D76E955F6B492586AFA8CF,112.904894498,0.537693260466,4.63068354409e-05,322.169166627,1649697310,fmin_l_bfgs_b,1,-298.40841932617536,1.4007001999998465,0,0,,completed_without_convergence_warning,False,False,,False,,False,,False
phase3c_fixed_gp_target_definition_sensitivity,Phase 3C,F7F71204D643D1027D0FF4736F24213619BF6A09C2361C3C11F169797AC98A9C,67087CC01BDB578F732A48E37FE0471972B94A6EFAAE270315B6B9AAC4728642,length,Melt-pool length,T5,matern32_learned_nugget,Matérn 3/2 + learned nugget,Matern,1.5,True,9,sim_00010,10,283.02206,209.05410955904443,73.96795044095558,73.96795044095558,5471.25769243566,151.56272895909441,22971.260809527917,216.39482383096455,46826.71978083419,216.39482383096455,total predictive variance including learned WhiteKernel nugget,6.059027315129638,6.354463414069826,6.354463414069826,-88.00883920078059,506.11705831886945,-215.0797451496461,633.187964267735,True,True,"0.768**2 * Matern(length_scale=0.789, nu=1.5) + WhiteKernel(noise_level=0.329)",0.5895485080742574,0.7892440262715509,0.328732000071199,0.5733515501602826,23855.458971306267,154.45212517575234,0.5733515501602826,0.6636371935018105,232.73578799999999,False,1e-08,numerical jitter only; separate from WhiteKernel nugget,240,241,True,False,False,False,True,True,False,"[""P"",""VX"",""LS"",""ST""]",232.29846277883334,269.38468228188214,"[158.36619331605706,0.6172487292997,6.471096775599373e-05,348.6746412483623]","[52.99763697439272,0.2407874391839439,1.3412102099912544e-05,32.35900673090017]",10B9323F0E9890207C54E75E7EFB7A8E7062030760479D8B38D8D8A42E49C650,113.286681534,0.56768277259,5.80401726566e-05,302.148970527,2748215615,fmin_l_bfgs_b,1,-298.4288831558258,2.0042268999968655,0,0,,completed_without_convergence_warning,False,False,,False,,False,,False
