simulation_id,numeric_simulation_id,relative_path,experiment_details_available,parameters_available,metadata_available,labeling_provenance_available,frames_csv_available,monitor_available,monitor_dat_count,front_frame_image_count,side_frame_image_count,top_frame_image_count,frames_csv_row_count,missing_or_incomplete,unexpected_files,complete_for_phase1
sim_00001,1,final_data_processed/sim_00001,True,True,True,True,True,True,34,352,352,352,352,,,True
sim_00002,2,final_data_processed/sim_00002,True,True,True,True,True,True,34,390,390,390,390,,,True
sim_00003,3,final_data_processed/sim_00003,True,True,True,True,True,True,34,121,121,121,121,,,True
sim_00004,4,final_data_processed/sim_00004,True,True,True,True,True,True,34,141,141,141,141,,,True
sim_00005,5,final_data_processed/sim_00005,True,True,True,True,True,True,34,163,163,163,163,,,True
sim_00006,6,final_data_processed/sim_00006,True,True,True,True,True,True,34,375,375,375,375,,,True
sim_00007,7,final_data_processed/sim_00007,True,True,True,True,True,True,34,121,121,121,121,,,True
sim_00008,8,final_data_processed/sim_00008,True,True,True,True,True,True,34,304,304,304,304,,.DS_Store,True
sim_00009,9,final_data_processed/sim_00009,True,True,True,True,True,True,34,103,103,103,103,,,True
sim_00010,10,final_data_processed/sim_00010,True,True,True,True,True,True,34,110,110,110,110,,,True
sim_00011,11,final_data_processed/sim_00011,True,True,True,True,True,True,34,403,403,403,403,,,True
sim_00012,12,final_data_processed/sim_00012,True,True,True,True,True,True,34,182,182,182,182,,,True
sim_00013,13,final_data_processed/sim_00013,True,True,True,True,True,True,34,270,270,270,270,,,True
sim_00014,14,final_data_processed/sim_00014,True,True,True,True,True,True,34,102,102,102,102,,,True
sim_00015,15,final_data_processed/sim_00015,True,True,True,True,True,True,34,232,232,232,232,,,True
sim_00016,16,final_data_processed/sim_00016,True,True,True,True,True,True,34,135,135,135,135,,,True
sim_00017,17,final_data_processed/sim_00017,True,True,True,True,True,True,34,516,516,516,516,,,True
sim_00018,18,final_data_processed/sim_00018,True,True,True,True,True,True,34,413,413,413,413,,,True
sim_00019,19,final_data_processed/sim_00019,True,True,True,True,True,True,34,179,179,179,179,,,True
sim_00020,20,final_data_processed/sim_00020,True,True,True,True,True,True,34,383,383,383,383,,,True
sim_00021,21,final_data_processed/sim_00021,True,True,True,True,True,True,34,136,136,136,136,,,True
sim_00022,22,final_data_processed/sim_00022,True,True,True,True,True,True,34,168,168,168,168,,,True
sim_00023,23,final_data_processed/sim_00023,True,True,True,True,True,True,34,322,322,322,322,,,True
sim_00024,24,final_data_processed/sim_00024,True,True,True,True,True,True,34,494,494,494,494,,,True
sim_00025,25,final_data_processed/sim_00025,True,True,True,True,True,True,34,354,354,354,354,,,True
sim_00026,26,final_data_processed/sim_00026,True,True,True,True,True,True,34,433,433,433,433,,,True
sim_00027,27,final_data_processed/sim_00027,True,True,True,True,True,True,34,541,541,541,541,,,True
sim_00028,28,final_data_processed/sim_00028,True,True,True,True,True,True,34,283,283,283,283,,,True
sim_00029,29,final_data_processed/sim_00029,True,True,True,True,True,True,34,199,199,199,199,,.DS_Store,True
sim_00030,30,final_data_processed/sim_00030,True,True,True,True,True,True,34,354,354,354,354,,,True
sim_00031,31,final_data_processed/sim_00031,True,True,True,True,True,True,34,157,157,157,157,,,True
sim_00032,32,final_data_processed/sim_00032,True,True,True,True,True,True,34,305,305,305,305,,,True
sim_00033,33,final_data_processed/sim_00033,True,True,True,True,True,True,34,198,198,198,198,,,True
sim_00034,34,final_data_processed/sim_00034,True,True,True,True,True,True,34,106,106,106,106,,,True
sim_00035,35,final_data_processed/sim_00035,True,True,True,True,True,True,34,351,351,351,351,,,True
sim_00036,36,final_data_processed/sim_00036,True,True,True,True,True,True,34,151,151,151,151,,,True
sim_00037,37,final_data_processed/sim_00037,True,True,True,True,True,True,34,265,265,265,265,,,True
sim_00038,38,final_data_processed/sim_00038,True,True,True,True,True,True,34,172,172,172,172,,.DS_Store,True
sim_00039,39,final_data_processed/sim_00039,True,True,True,True,True,True,34,104,104,104,104,,,True
sim_00040,40,final_data_processed/sim_00040,True,True,True,True,True,True,34,659,659,659,659,,,True
sim_00041,41,final_data_processed/sim_00041,True,True,True,True,True,True,34,67,67,67,67,,,True
sim_00042,42,final_data_processed/sim_00042,True,True,True,True,True,True,34,395,395,395,395,,,True
sim_00043,43,final_data_processed/sim_00043,True,True,True,True,True,True,34,98,98,98,98,,,True
sim_00044,44,final_data_processed/sim_00044,True,True,True,True,True,True,34,246,246,246,246,,,True
sim_00045,45,final_data_processed/sim_00045,True,True,True,True,True,True,34,220,220,220,220,,,True
sim_00046,46,final_data_processed/sim_00046,True,True,True,True,True,True,34,137,137,137,137,,,True
sim_00047,47,final_data_processed/sim_00047,True,True,True,True,True,True,34,416,416,416,416,,,True
sim_00048,48,final_data_processed/sim_00048,True,True,True,True,True,True,34,91,91,91,91,,,True
sim_00049,49,final_data_processed/sim_00049,True,True,True,True,True,True,34,595,595,595,595,,,True
sim_00050,50,final_data_processed/sim_00050,True,True,True,True,True,True,34,219,219,219,219,,,True
sim_00051,51,final_data_processed/sim_00051,True,True,True,True,True,True,34,111,111,111,111,,,True
sim_00052,52,final_data_processed/sim_00052,True,True,True,True,True,True,34,370,370,370,370,,,True
sim_00053,53,final_data_processed/sim_00053,True,True,True,True,True,True,34,422,422,422,422,,,True
sim_00054,54,final_data_processed/sim_00054,True,True,True,True,True,True,34,116,116,116,116,,,True
sim_00055,55,final_data_processed/sim_00055,True,True,True,True,True,True,34,247,247,247,247,,,True
sim_00056,56,final_data_processed/sim_00056,True,True,True,True,True,True,34,379,379,379,379,,,True
sim_00057,57,final_data_processed/sim_00057,True,True,True,True,True,True,34,231,231,231,231,,,True
sim_00058,58,final_data_processed/sim_00058,True,True,True,True,True,True,34,326,326,326,326,,,True
sim_00059,59,final_data_processed/sim_00059,True,True,True,True,True,True,34,201,201,201,201,,,True
sim_00060,60,final_data_processed/sim_00060,True,True,True,True,True,True,34,406,406,406,406,,,True
sim_00061,61,final_data_processed/sim_00061,True,True,True,True,True,True,34,109,109,109,109,,,True
sim_00062,62,final_data_processed/sim_00062,True,True,True,True,True,True,34,197,197,197,197,,,True
sim_00063,63,final_data_processed/sim_00063,True,True,True,True,True,True,34,404,404,404,404,,,True
sim_00064,64,final_data_processed/sim_00064,True,True,True,True,True,True,34,99,99,99,99,,,True
sim_00065,65,final_data_processed/sim_00065,True,True,True,True,True,True,34,402,402,402,402,,,True
sim_00066,66,final_data_processed/sim_00066,True,True,True,True,True,True,34,213,213,213,213,,,True
sim_00067,67,final_data_processed/sim_00067,True,True,True,True,True,True,34,170,170,170,170,,,True
sim_00068,68,final_data_processed/sim_00068,True,True,True,True,True,True,34,418,418,418,418,,,True
sim_00069,69,final_data_processed/sim_00069,True,True,True,True,True,True,34,103,103,103,103,,,True
sim_00070,70,final_data_processed/sim_00070,True,True,True,True,True,True,34,390,390,390,390,,,True
sim_00071,71,final_data_processed/sim_00071,True,True,True,True,True,True,34,102,102,102,102,,,True
sim_00072,72,final_data_processed/sim_00072,True,True,True,True,True,True,34,425,425,425,425,,,True
