run_id,repeat,fold,method,method_label,boundary_definition,quantile,target_accuracy,target_accuracy_percent,queries_required,status,available_start_budget,final_budget,crossing_definition,no_extrapolation
primary_common__r01_f01,1,1,binary_uncertainty_repulsion,Binary,B1,20,0.7,70,16,reached,12,80,target met at current and next two stored integer-budget checkpoints,True
primary_common__r01_f02,1,2,binary_uncertainty_repulsion,Binary,B1,20,0.7,70,12,reached,12,80,target met at current and next two stored integer-budget checkpoints,True
primary_common__r01_f03,1,3,binary_uncertainty_repulsion,Binary,B1,20,0.7,70,20,reached,12,80,target met at current and next two stored integer-budget checkpoints,True
primary_common__r01_f04,1,4,binary_uncertainty_repulsion,Binary,B1,20,0.7,70,15,reached,12,80,target met at current and next two stored integer-budget checkpoints,True
primary_common__r01_f05,1,5,binary_uncertainty_repulsion,Binary,B1,20,0.7,70,12,reached,12,80,target met at current and next two stored integer-budget checkpoints,True
primary_common__r02_f01,2,1,binary_uncertainty_repulsion,Binary,B1,20,0.7,70,16,reached,16,80,target met at current and next two stored integer-budget checkpoints,True
primary_common__r02_f02,2,2,binary_uncertainty_repulsion,Binary,B1,20,0.7,70,12,reached,12,80,target met at current and next two stored integer-budget checkpoints,True
primary_common__r02_f03,2,3,binary_uncertainty_repulsion,Binary,B1,20,0.7,70,12,reached,12,80,target met at current and next two stored integer-budget checkpoints,True
primary_common__r02_f04,2,4,binary_uncertainty_repulsion,Binary,B1,20,0.7,70,12,reached,12,80,target met at current and next two stored integer-budget checkpoints,True
primary_common__r02_f05,2,5,binary_uncertainty_repulsion,Binary,B1,20,0.7,70,13,reached,12,80,target met at current and next two stored integer-budget checkpoints,True
primary_common__r03_f01,3,1,binary_uncertainty_repulsion,Binary,B1,20,0.7,70,30,reached,12,80,target met at current and next two stored integer-budget checkpoints,True
primary_common__r03_f02,3,2,binary_uncertainty_repulsion,Binary,B1,20,0.7,70,19,reached,12,80,target met at current and next two stored integer-budget checkpoints,True
primary_common__r03_f03,3,3,binary_uncertainty_repulsion,Binary,B1,20,0.7,70,45,reached,12,80,target met at current and next two stored integer-budget checkpoints,True
primary_common__r03_f04,3,4,binary_uncertainty_repulsion,Binary,B1,20,0.7,70,12,reached,12,80,target met at current and next two stored integer-budget checkpoints,True
primary_common__r03_f05,3,5,binary_uncertainty_repulsion,Binary,B1,20,0.7,70,12,reached,12,80,target met at current and next two stored integer-budget checkpoints,True
primary_common__r04_f01,4,1,binary_uncertainty_repulsion,Binary,B1,20,0.7,70,12,reached,12,80,target met at current and next two stored integer-budget checkpoints,True
primary_common__r04_f02,4,2,binary_uncertainty_repulsion,Binary,B1,20,0.7,70,12,reached,12,80,target met at current and next two stored integer-budget checkpoints,True
primary_common__r04_f03,4,3,binary_uncertainty_repulsion,Binary,B1,20,0.7,70,12,reached,12,80,target met at current and next two stored integer-budget checkpoints,True
primary_common__r04_f04,4,4,binary_uncertainty_repulsion,Binary,B1,20,0.7,70,13,reached,12,80,target met at current and next two stored integer-budget checkpoints,True
primary_common__r04_f05,4,5,binary_uncertainty_repulsion,Binary,B1,20,0.7,70,14,reached,12,80,target met at current and next two stored integer-budget checkpoints,True
primary_common__r01_f01,1,1,max_depth_straddle,Max-Depth,B1,20,0.7,70,13,reached,12,80,target met at current and next two stored integer-budget checkpoints,True
primary_common__r01_f02,1,2,max_depth_straddle,Max-Depth,B1,20,0.7,70,12,reached,12,80,target met at current and next two stored integer-budget checkpoints,True
primary_common__r01_f03,1,3,max_depth_straddle,Max-Depth,B1,20,0.7,70,13,reached,12,80,target met at current and next two stored integer-budget checkpoints,True
primary_common__r01_f04,1,4,max_depth_straddle,Max-Depth,B1,20,0.7,70,13,reached,12,80,target met at current and next two stored integer-budget checkpoints,True
primary_common__r01_f05,1,5,max_depth_straddle,Max-Depth,B1,20,0.7,70,22,reached,12,80,target met at current and next two stored integer-budget checkpoints,True
primary_common__r02_f01,2,1,max_depth_straddle,Max-Depth,B1,20,0.7,70,19,reached,16,80,target met at current and next two stored integer-budget checkpoints,True
primary_common__r02_f02,2,2,max_depth_straddle,Max-Depth,B1,20,0.7,70,14,reached,12,80,target met at current and next two stored integer-budget checkpoints,True
primary_common__r02_f03,2,3,max_depth_straddle,Max-Depth,B1,20,0.7,70,12,reached,12,80,target met at current and next two stored integer-budget checkpoints,True
