benchmark,display_name,surrogate_variant,acquisition_rule,method,seed,query_number,budget_before_query,budget_after_query,selected_pool_index,true_boundary_distance,acquisition_time_seconds,in_pool_boundary_band_q10,in_pool_boundary_band_q20,in_pool_boundary_band_q30,acquisition_selected_position,acquisition_selected_score,acquisition_selected_p_plus,acquisition_selected_membership_uncertainty,acquisition_selected_straddle_score,acquisition_weighted_variance_reduction,acquisition_reference_set_size,acquisition_candidate_gate_size,acquisition_candidate_gate_fraction,acquisition_posterior_covariance_used,acquisition_p_star,acquisition_U_current,acquisition_U_plus,acquisition_U_minus,acquisition_expected_future_uncertainty,acquisition_expected_uncertainty_reduction,acquisition_shortlist_size,acquisition_fantasy_refit_time_seconds,acquisition_fantasy_refit_mode,acquisition_shortlist_source,acquisition_selected_uncertainty_score,acquisition_selected_repulsion
ackley,Thresholded 4D Ackley,gpr_fixed_or_existing,gpr_boundary_weighted_ivr,gpr_boundary_weighted_ivr,0,1,12,13,339,2.390755584441333,0.01832309999917925,False,False,False,327,0.08653367325767163,0.3307888419478901,0.22136758399066386,1.2225789944027157,0.08653367325767163,348,348,0.3,True,null,null,null,null,null,null,null,null,null,null,null,null
ackley,Thresholded 4D Ackley,gpr_fixed_or_existing,gpr_boundary_weighted_ivr,gpr_boundary_weighted_ivr,0,2,13,14,54,0.6245168309977043,0.017128800000136835,False,False,False,52,0.0506634731398241,0.3366811825788,0.22332696387614073,1.30605533491133,0.0506634731398241,347,347,0.3,True,null,null,null,null,null,null,null,null,null,null,null,null
ackley,Thresholded 4D Ackley,gpr_fixed_or_existing,gpr_boundary_weighted_ivr,gpr_boundary_weighted_ivr,0,3,14,15,105,0.5025298318905769,0.01679340000009688,False,False,True,100,0.03712030028118872,0.7256691337670165,0.19907344206484442,1.0108206815600151,0.03712030028118872,346,346,0.3,True,null,null,null,null,null,null,null,null,null,null,null,null
ackley,Thresholded 4D Ackley,gpr_fixed_or_existing,gpr_boundary_weighted_ivr,gpr_boundary_weighted_ivr,0,4,15,16,8,1.2474023572017803,0.01710610000009183,False,False,False,8,0.03289770244903107,0.41431029948800885,0.2426572752261653,1.4557062284753837,0.03289770244903107,345,345,0.3,True,null,null,null,null,null,null,null,null,null,null,null,null
ackley,Thresholded 4D Ackley,gpr_fixed_or_existing,gpr_bernoulli_sur_refit,gpr_bernoulli_sur_refit,0,1,12,13,301,2.2927692820499086,0.02216709999993327,False,False,False,290,5.663219944528777,null,null,null,null,348,348,null,null,0.3318721883411843,49.02773538217582,40.31874585258007,44.87740892859391,43.36451543764704,5.663219944528777,40,0.018965500001286273,exact_fixed_kernel_rank_one_update_equivalent_to_refit,gpr_boundary_weighted_ivr_score,null,null
ackley,Thresholded 4D Ackley,gpr_fixed_or_existing,gpr_bernoulli_sur_refit,gpr_bernoulli_sur_refit,0,2,13,14,215,2.264171547826381,0.022468399998615496,False,False,False,209,4.113673788641101,null,null,null,null,347,347,null,null,0.5387627057173758,43.11877626102514,36.72327069572669,41.67046773495647,39.00510247238404,4.113673788641101,40,0.019262599998910446,exact_fixed_kernel_rank_one_update_equivalent_to_refit,gpr_boundary_weighted_ivr_score,null,null
ackley,Thresholded 4D Ackley,gpr_fixed_or_existing,gpr_bernoulli_sur_refit,gpr_bernoulli_sur_refit,0,3,14,15,240,1.6007925738100521,0.022611099999267026,False,False,False,231,3.6293852161743843,null,null,null,null,346,346,null,null,0.25024457532525657,47.72052695350584,44.51455055839186,43.94982130519028,44.091141737331455,3.6293852161743843,40,0.01917450000109966,exact_fixed_kernel_rank_one_update_equivalent_to_refit,gpr_boundary_weighted_ivr_score,null,null
ackley,Thresholded 4D Ackley,gpr_fixed_or_existing,gpr_bernoulli_sur_refit,gpr_bernoulli_sur_refit,0,4,15,16,232,2.177027165311314,0.02253220000056899,False,False,False,223,3.4613247178129996,null,null,null,null,345,345,null,null,0.20919396012449126,42.6436346512158,40.65603208670551,38.792462413496246,39.1823099334028,3.4613247178129996,40,0.01928810000026715,exact_fixed_kernel_rank_one_update_equivalent_to_refit,gpr_boundary_weighted_ivr_score,null,null
ackley,Thresholded 4D Ackley,gpc_fixed_iso,gpc_bernoulli_sur_refit,gpc_bernoulli_sur_refit,0,1,12,13,178,0.6017239168630013,0.24099820000083128,False,False,False,173,0.0560596537132767,null,null,null,null,348,null,null,null,0.49852547883268583,86.29517334347369,86.27909771616092,86.19936479910777,86.23911368976042,0.0560596537132767,10,0.23848589999943215,null,classifier_uncertainty_repulsion,0.9970509576653717,0.9995914110292681
ackley,Thresholded 4D Ackley,gpc_fixed_iso,gpc_bernoulli_sur_refit,gpc_bernoulli_sur_refit,0,2,13,14,9,0.41494156230813495,0.24434370000017225,False,False,True,9,0.05080867624216978,null,null,null,null,347,null,null,null,0.5014710983777055,86.03606115172,86.00341010561289,85.96698768341035,85.98525247547784,0.05080867624216978,10,0.24103800000011688,null,classifier_uncertainty_repulsion,0.9970578032445889,0.9997909160313916
