benchmark_population,run_id,method,formulation,mean_query_boundary_distance,median_query_boundary_distance,minimum_query_boundary_distance,query_count
primary_common,primary_common__r01_f01,binary_margin,binary,1.1286189631117196,0.9531133182700346,0.39583640882565674,30
primary_common,primary_common__r01_f01,binary_random,binary,1.5278560736912965,1.4390939059932601,0.4435659871271194,30
primary_common,primary_common__r01_f01,max_depth_random,max_depth,1.5278560736912965,1.4390939059932601,0.4435659871271194,30
primary_common,primary_common__r01_f01,max_depth_straddle,max_depth,1.2930319284676726,1.2491852284944838,0.35088821695067496,30
primary_common,primary_common__r01_f02,binary_margin,binary,1.0366221643693359,0.9583212688632237,0.1705316360150575,30
primary_common,primary_common__r01_f02,binary_random,binary,1.4105784144591693,1.2799533667538032,0.4040986836694981,30
primary_common,primary_common__r01_f02,max_depth_random,max_depth,1.4105784144591693,1.2799533667538032,0.4040986836694981,30
primary_common,primary_common__r01_f02,max_depth_straddle,max_depth,1.2809073728642335,1.170821401309548,0.5236292277987136,30
secondary_g3_common,secondary_g3_common__r01_f01,binary_g3_common_margin,binary,1.1171169469249072,1.026939983284659,0.27479774882523406,30
secondary_g3_common,secondary_g3_common__r01_f01,g3_random,g3,1.3558741972835666,1.3627627917130298,0.4435659871271194,30
secondary_g3_common,secondary_g3_common__r01_f01,g3_straddle,g3,1.4217212888995534,1.3880085062188183,0.1705316360150575,30
secondary_g3_common,secondary_g3_common__r01_f01,max_depth_g3_common_straddle,max_depth,1.2635994826542147,1.2042280697282373,0.1705316360150575,30
