path,budget,residual_sd_upper_bound,q20_accuracy,q20_balanced_accuracy,q20_keyhole_recall,full81_accuracy,lower_bound_hit_fraction,upper_bound_hit_fraction,length_lower_hit_fraction,length_upper_hit_fraction,residual_rms_q20,fitted_residual_sd,fitted_length_scale,convergence_warning_fraction
A0,16,0.5,0.786470588235294,0.7721836358086358,0.7241468253968254,0.9434567901234567,0.56,0.39,0.17,0.56,0.011318505309210563,0.22920974480955317,2.7030982594813993,1.0
A0,16,1.0,0.7847058823529411,0.7706618104118104,0.7221031746031745,0.9429629629629629,0.56,0.38,0.21,0.56,0.03822352163498538,0.41936658204638094,2.7354814133906844,1.0
A0,16,2.0,0.7805882352941177,0.7657114135864136,0.7105357142857143,0.9419753086419753,0.56,0.3,0.19,0.59,0.11095609441653101,0.7700492234595151,2.8103770414621465,0.95
A0,40,0.5,0.8352941176470589,0.8191372238872239,0.7463888888888889,0.9604938271604938,0.47,0.36,0.19,0.17,0.027829748986431913,0.2545738756789501,1.2240857991658955,0.87
A0,40,1.0,0.8352941176470589,0.8191056582306583,0.7480555555555556,0.9607407407407408,0.47,0.08,0.19,0.18,0.06216842623740627,0.35979492817968084,1.2390346867703275,0.64
A0,40,2.0,0.8352941176470589,0.8192761127761128,0.7493055555555556,0.9607407407407408,0.47,0.0,0.19,0.18,0.06741711272368239,0.3735827984939826,1.2406252092853003,0.56
A0,80,0.5,0.8376470588235294,0.814824383949384,0.7196468253968255,0.9632098765432099,0.05,0.81,0.06,0.01,0.08544242400456299,0.4543010395176922,0.8762240289813715,0.89
A0,80,1.0,0.8364705882352941,0.8138184315684316,0.7211349206349206,0.9632098765432099,0.05,0.33,0.06,0.01,0.20613108786964918,0.7332683465501795,0.9303865295477282,0.41
A0,80,2.0,0.8364705882352941,0.8142924575424576,0.7239920634920636,0.9632098765432099,0.05,0.0,0.06,0.01,0.23918478934957568,0.8045889348176136,0.9513018554494116,0.08
A1,16,0.5,0.786470588235294,0.7721836358086358,0.7241468253968254,0.9434567901234567,0.56,0.39,0.17,0.56,0.011318505309210563,0.22920974480955317,2.7030982594813993,1.0
A1,16,1.0,0.7847058823529411,0.7706618104118104,0.7221031746031745,0.9429629629629629,0.56,0.38,0.21,0.56,0.03822352163498538,0.41936658204638094,2.7354814133906844,1.0
A1,16,2.0,0.7805882352941177,0.7657114135864136,0.7105357142857143,0.9419753086419753,0.56,0.3,0.19,0.59,0.11095609441653101,0.7700492234595151,2.8103770414621465,0.95
A1,40,0.5,0.8323529411764706,0.8105754662004663,0.7236587301587302,0.9612345679012345,0.12,0.78,0.03,0.0,0.06767169626450804,0.4323997444761645,0.9049557565415651,0.9
A1,40,1.0,0.8341176470588235,0.8129428349428349,0.728079365079365,0.9622222222222221,0.12,0.48,0.03,0.0,0.18235645280508694,0.753644097613909,0.9611836314526616,0.6
A1,40,2.0,0.8241176470588235,0.8018172938172938,0.716,0.96,0.12,0.15,0.03,0.01,0.29544382615760534,1.0528804520645263,1.0361131255342286,0.27
A1,80,0.5,0.8394117647058823,0.8170579698079697,0.722563492063492,0.9634567901234568,0.0,0.97,0.0,0.0,0.10831160153412123,0.49446181256806876,0.9922906750744401,0.97
A1,80,1.0,0.8458823529411764,0.8239717504717504,0.7328531746031746,0.9651851851851851,0.0,0.71,0.0,0.0,0.30901326266933654,0.9358606938548215,1.0916923777091805,0.71
A1,80,2.0,0.8452941176470589,0.824686161061161,0.7401547619047619,0.9651851851851851,0.0,0.03,0.0,0.0,0.43300331389484137,1.229720873032326,1.1946167029724197,0.03
