budget,subset,binary_margin_accuracy,matched_random_accuracy,margin_minus_random
40,full81,0.9579012345679008,0.9440534979423872,0.0138477366255137
40,B1_q30,0.8708000000000005,0.8287599999999997,0.0420400000000007
40,B1_q20,0.8170588235294112,0.774509803921569,0.0425490196078421
80,full81,0.962469135802469,0.9515185185185192,0.0109506172839497
80,B1_q30,0.8792000000000004,0.8491599999999999,0.0300400000000005
80,B1_q20,0.8329411764705873,0.7958627450980391,0.0370784313725481
160,full81,0.9625925925925924,0.9574115226337446,0.0051810699588477
160,B1_q30,0.8796,0.8653866666666667,0.0142133333333333
160,B1_q20,0.8352941176470583,0.8157450980392156,0.0195490196078427
320,full81,0.9625925925925924,0.9624115226337449,0.0001810699588475
320,B1_q30,0.8796,0.8791066666666667,0.0004933333333333
320,B1_q20,0.8347058823529407,0.8341176470588235,0.0005882352941172
