benchmark,display_name,surrogate_variant,acquisition_rule,method,seed,budget,global_error,uncertainty_region_fraction,integrated_bernoulli_uncertainty,fit_time_seconds,near_boundary_error_q10,near_boundary_test_size_q10,uncertainty_region_fraction_q10,integrated_bernoulli_uncertainty_q10,near_boundary_error_q20,near_boundary_test_size_q20,uncertainty_region_fraction_q20,integrated_bernoulli_uncertainty_q20,near_boundary_error_q30,near_boundary_test_size_q30,uncertainty_region_fraction_q30,integrated_bernoulli_uncertainty_q30
branin,Thresholded Branin,gpr_fixed_or_existing,random,random,0,6,0.2833333333333333,0.85,0.1630326823609525,0.03393789999972796,0.36666666666666664,60,0.85,0.16771271007868524,0.3416666666666667,120,0.8416666666666667,0.16965051670022113,0.28888888888888886,180,0.85,0.16216333027411278
branin,Thresholded Branin,gpr_fixed_or_existing,random,random,0,7,0.16833333333333333,0.8733333333333333,0.17016784397827864,0.03521730000102252,0.38333333333333336,60,0.85,0.1827213583982721,0.325,120,0.8833333333333333,0.1842909566177679,0.2777777777777778,180,0.8888888888888888,0.17976966472515904
branin,Thresholded Branin,gpr_fixed_or_existing,random,random,0,8,0.18166666666666667,0.7916666666666666,0.14101931753680622,0.03312000000005355,0.4,60,0.85,0.1665465385404084,0.36666666666666664,120,0.85,0.16690081141174923,0.3333333333333333,180,0.8555555555555555,0.16317405831326917
branin,Thresholded Branin,gpr_fixed_or_existing,random,random,0,9,0.17166666666666666,0.535,0.07869271203285401,0.03508470000087982,0.45,60,0.6166666666666667,0.09739121922745143,0.36666666666666664,120,0.6416666666666667,0.0995227653917191,0.3,180,0.5944444444444444,0.0873242989832786
branin,Thresholded Branin,gpr_fixed_or_existing,random,random,0,10,0.18,0.29333333333333333,0.03986620914784555,0.041424700000789016,0.4666666666666667,60,0.36666666666666664,0.048088979142982075,0.39166666666666666,120,0.3333333333333333,0.05399498860174709,0.31666666666666665,180,0.3055555555555556,0.04465570018520095
branin,Thresholded Branin,gpr_fixed_or_existing,smallest_abs_mu,smallest_abs_mu,0,6,0.2833333333333333,0.85,0.1630326823609525,0.029731999999057734,0.36666666666666664,60,0.85,0.16771271007868524,0.3416666666666667,120,0.8416666666666667,0.16965051670022113,0.28888888888888886,180,0.85,0.16216333027411278
branin,Thresholded Branin,gpr_fixed_or_existing,smallest_abs_mu,smallest_abs_mu,0,7,0.25833333333333336,0.8233333333333334,0.15209844484000526,0.036068299999897135,0.43333333333333335,60,0.8333333333333334,0.16128937230798746,0.36666666666666664,120,0.7833333333333333,0.1613888552479556,0.28888888888888886,180,0.8111111111111111,0.15545625983026337
branin,Thresholded Branin,gpr_fixed_or_existing,smallest_abs_mu,smallest_abs_mu,0,8,0.23333333333333334,0.8816666666666667,0.17399290302893103,0.040573199999926146,0.43333333333333335,60,0.8666666666666667,0.18383148359913626,0.36666666666666664,120,0.9,0.18544709347347296,0.2833333333333333,180,0.9111111111111111,0.184058421900615
branin,Thresholded Branin,gpr_fixed_or_existing,smallest_abs_mu,smallest_abs_mu,0,9,0.13166666666666665,0.8733333333333333,0.16874435283014455,0.03962700000010955,0.43333333333333335,60,0.8666666666666667,0.18411820197987172,0.36666666666666664,120,0.9,0.18573023550835005,0.2833333333333333,180,0.9111111111111111,0.18431958628693823
branin,Thresholded Branin,gpr_fixed_or_existing,smallest_abs_mu,smallest_abs_mu,0,10,0.13166666666666665,0.87,0.1650025979002101,0.038644800000838586,0.43333333333333335,60,0.8666666666666667,0.1839537639619971,0.36666666666666664,120,0.9,0.18554220981685224,0.2833333333333333,180,0.9111111111111111,0.1841192246354151
branin,Thresholded Branin,gpr_fixed_or_existing,straddle,straddle,0,6,0.2833333333333333,0.85,0.1630326823609525,0.029197800000474672,0.36666666666666664,60,0.85,0.16771271007868524,0.3416666666666667,120,0.8416666666666667,0.16965051670022113,0.28888888888888886,180,0.85,0.16216333027411278
