budget,arm,mean_accuracy,q05,q95
16,binary_margin,0.7317647058823529,0.5294117647058824,0.8823529411764706
16,binary_random,0.7317647058823529,0.5294117647058824,0.8823529411764706
17,binary_margin,0.7458823529411763,0.5882352941176471,0.8823529411764706
17,binary_random,0.7379607843137255,0.57,0.8787254901960784
18,binary_margin,0.7470588235294118,0.5882352941176471,0.8823529411764706
18,binary_random,0.7425882352941174,0.5912745098039216,0.8804901960784314
19,binary_margin,0.7511764705882352,0.5882352941176471,0.8823529411764706
19,binary_random,0.7461764705882353,0.5956862745098039,0.8765686274509804
20,binary_margin,0.7635294117647059,0.6470588235294118,0.8823529411764706
20,binary_random,0.7477843137254903,0.5919607843137255,0.8785294117647059
21,binary_margin,0.758235294117647,0.5882352941176471,0.8823529411764706
21,binary_random,0.7497843137254903,0.5881372549019608,0.8805882352941176
22,binary_margin,0.7688235294117647,0.5882352941176471,0.8852941176470587
22,binary_random,0.7513725490196079,0.5994117647058823,0.8844117647058823
23,binary_margin,0.7735294117647059,0.5882352941176471,0.8823529411764706
23,binary_random,0.7535686274509805,0.605,0.8806862745098039
24,binary_margin,0.7823529411764706,0.5882352941176471,0.9411764705882353
24,binary_random,0.7548039215686275,0.6084313725490196,0.8786274509803921
25,binary_margin,0.7823529411764706,0.5882352941176471,0.9411764705882353
25,binary_random,0.7559607843137255,0.6051960784313725,0.8803921568627451
26,binary_margin,0.7835294117647058,0.5882352941176471,0.9411764705882353
26,binary_random,0.7574509803921569,0.6097058823529411,0.8765686274509804
27,binary_margin,0.7882352941176469,0.6441176470588236,0.9411764705882353
27,binary_random,0.7594901960784313,0.6115686274509803,0.8730392156862745
28,binary_margin,0.7888235294117646,0.6441176470588236,0.9411764705882353
28,binary_random,0.760313725490196,0.6253921568627451,0.8726470588235294
29,binary_margin,0.7923529411764706,0.6441176470588236,0.9411764705882353
29,binary_random,0.7619019607843136,0.6313725490196078,0.870686274509804
30,binary_margin,0.7970588235294116,0.6470588235294118,0.9411764705882353
30,binary_random,0.7631176470588233,0.6309803921568627,0.870686274509804
31,binary_margin,0.7941176470588238,0.6470588235294118,0.9411764705882353
31,binary_random,0.7634117647058823,0.6331372549019607,0.8726470588235294
32,binary_margin,0.7947058823529413,0.6470588235294118,0.9411764705882353
32,binary_random,0.7657450980392158,0.6404901960784313,0.8726470588235294
33,binary_margin,0.79,0.6441176470588236,0.9411764705882353
33,binary_random,0.7665098039215686,0.6331372549019607,0.8705882352941177
34,binary_margin,0.8005882352941177,0.5882352941176471,0.9411764705882353
34,binary_random,0.768156862745098,0.6405882352941176,0.870686274509804
35,binary_margin,0.7982352941176472,0.5882352941176471,0.9411764705882353
35,binary_random,0.770313725490196,0.6520588235294118,0.8726470588235294
36,binary_margin,0.8011764705882353,0.5882352941176471,0.9411764705882353
36,binary_random,0.7701568627450981,0.6536274509803922,0.870686274509804
37,binary_margin,0.8035294117647058,0.5882352941176471,0.9411764705882353
37,binary_random,0.7716078431372548,0.6516666666666667,0.870686274509804
38,binary_margin,0.8170588235294117,0.7029411764705883,0.9411764705882353
38,binary_random,0.7721960784313725,0.6534313725490196,0.8725490196078431
39,binary_margin,0.8200000000000002,0.6470588235294118,0.9411764705882353
39,binary_random,0.7729803921568628,0.65,0.8707843137254901
40,binary_margin,0.8170588235294117,0.7029411764705883,0.9411764705882353
40,binary_random,0.7745098039215687,0.6481372549019608,0.8745098039215686
41,binary_margin,0.82,0.7029411764705883,0.9411764705882353
41,binary_random,0.7756078431372551,0.642843137254902,0.8726470588235294
42,binary_margin,0.82,0.7029411764705883,0.9411764705882353
42,binary_random,0.7769607843137255,0.654607843137255,0.8767647058823529
43,binary_margin,0.8229411764705883,0.7058823529411765,0.9411764705882353
43,binary_random,0.7774117647058821,0.6525490196078432,0.8747058823529411
44,binary_margin,0.8194117647058823,0.6470588235294118,0.9411764705882353
44,binary_random,0.7781176470588234,0.6541176470588236,0.8765686274509804
45,binary_margin,0.8170588235294116,0.6470588235294118,0.9411764705882353
45,binary_random,0.7780392156862745,0.6465686274509804,0.8765686274509804
46,binary_margin,0.82,0.7029411764705883,0.9411764705882353
46,binary_random,0.7787254901960783,0.6409803921568626,0.8764705882352941
47,binary_margin,0.8217647058823527,0.7058823529411765,0.9411764705882353
47,binary_random,0.7791960784313724,0.6447058823529412,0.8728431372549019
48,binary_margin,0.821764705882353,0.7029411764705883,0.9411764705882353
48,binary_random,0.779705882352941,0.6448039215686275,0.8727450980392156
49,binary_margin,0.828235294117647,0.7058823529411765,0.9411764705882353
49,binary_random,0.7806274509803921,0.6484313725490196,0.8784313725490196
50,binary_margin,0.826470588235294,0.7058823529411765,0.9411764705882353
50,binary_random,0.7809999999999998,0.6468627450980392,0.8748039215686274
51,binary_margin,0.8276470588235293,0.7058823529411765,0.9411764705882353
