seq,model,to_n,mean_delta_q20,lo,hi,frac_runs_decrease
BAND,M3R05,20,-0.002941176470588236,-0.021493075831849267,0.015610722890672796,0.4
BAND,M3R05,24,0.02156862745098037,0.007108063355475057,0.036029191546485685,0.1
BAND,M3R05,28,2.2204460492503132e-17,-0.014753263882959104,0.01475326388295915,0.3
BAND,M3R05,32,0.0029411764705882136,-0.005079169376697108,0.010961522317873534,0.25
BAND,M3R05,36,0.003921568627450978,-0.003764705882352933,0.011607843137254888,0.1
BAND,M3R05,40,0.0019607843137254945,-0.00681178265154071,0.0107333512789917,0.25
BAND,M3R05,44,1.1102230246251566e-17,-0.009658278355902609,0.00965827835590263,0.3
BAND,M3R05,48,-5.551115123125783e-18,-0.007885951255242772,0.007885951255242761,0.2
BAND,M3R05,52,-0.0009803921568627527,-0.006878403651429048,0.004917619337703542,0.2
BAND,M3R05,56,-0.001960784313725472,-0.010278500512302571,0.0063569318848516266,0.25
BAND,M3R05,60,0.008823529411764697,-0.0014111320477125568,0.01905819087124195,0.1
BAND,M3R05,64,0.0009803921568627306,-0.006642410791532337,0.008603195105257798,0.2
BAND,M3R05,68,0.002941176470588236,-0.005079169376697079,0.010961522317873552,0.2
BAND,M3R05,72,0.003921568627450983,-0.0013684882947407927,0.00921162554964276,0.05
BAND,M3R05,76,0.002941176470588247,-0.0034623664792203016,0.009344719420396795,0.05
BAND,M3R05,80,0.0009803921568627473,-0.0009411764705882374,0.002901960784313732,0.0
BAND,M3R05,84,0.001960784313725489,-0.0018823529411764683,0.0058039215686274456,0.0
BAND,M3R05,88,0.0,0.0,0.0,0.0
BAND,M3R05,92,0.0,0.0,0.0,0.0
BAND,M3R05,96,0.0,0.0,0.0,0.0
BAND,M3R05,100,-0.0009803921568627473,-0.002901960784313732,0.0009411764705882374,0.05
BAND,M3R05,104,0.0,0.0,0.0,0.0
BAND,M3R05,108,0.0,0.0,0.0,0.0
BAND,M3R05,112,0.0,0.0,0.0,0.0
BAND,M3R05,116,-0.0009803921568627416,-0.002901960784313715,0.0009411764705882315,0.05
BAND,M3R05,120,0.0,0.0,0.0,0.0
BAND,M3R05,160,-0.0009803921568627473,-0.002901960784313732,0.0009411764705882374,0.05
BAND,M3R05,200,0.0,0.0,0.0,0.0
BAND,M3R05,260,-0.0019607843137254997,-0.005803921568627474,0.0018823529411764748,0.15
BAND,M3R05,324,-0.0039215686274509665,-0.011084339560550346,0.003241202305648413,0.1
