benchmark,method,budget,mean_global_error,std_global_error,mean_near_boundary_error_q10,std_near_boundary_error_q10,mean_near_boundary_error_q20,std_near_boundary_error_q20,mean_near_boundary_error_q30,std_near_boundary_error_q30,mean_latent_uncertainty_region_fraction,std_latent_uncertainty_region_fraction,mean_latent_uncertainty_region_fraction_q10,std_latent_uncertainty_region_fraction_q10,mean_latent_uncertainty_region_fraction_q20,std_latent_uncertainty_region_fraction_q20,mean_latent_uncertainty_region_fraction_q30,std_latent_uncertainty_region_fraction_q30
ackley,random,12,0.425160,0.029076,0.493600,0.008777,0.489800,0.009973,0.482733,0.007307,0.873200,0.149364,0.870000,0.186133,0.874400,0.175145,0.874600,0.174432
ackley,random,40,0.332480,0.014578,0.486400,0.006375,0.475000,0.010616,0.455867,0.004838,0.926840,0.074090,0.954800,0.036668,0.955200,0.038741,0.953200,0.040669
ackley,random,80,0.282660,0.019293,0.478000,0.007376,0.459300,0.003881,0.434200,0.008090,0.919440,0.065801,0.950200,0.034948,0.949300,0.038796,0.947000,0.038351
ackley,smallest_abs_mu,12,0.425160,0.029076,0.493600,0.008777,0.489800,0.009973,0.482733,0.007307,0.873200,0.149364,0.870000,0.186133,0.874400,0.175145,0.874600,0.174432
ackley,smallest_abs_mu,40,0.301520,0.016847,0.473400,0.020016,0.459100,0.013162,0.440533,0.014118,0.954120,0.044332,0.974600,0.021914,0.973300,0.023555,0.970800,0.025379
ackley,smallest_abs_mu,80,0.236240,0.022286,0.461800,0.021563,0.439600,0.016209,0.412600,0.019825,0.943340,0.018807,0.964200,0.011771,0.963800,0.008970,0.960933,0.009810
ackley,straddle,12,0.425160,0.029076,0.493600,0.008777,0.489800,0.009973,0.482733,0.007307,0.873200,0.149364,0.870000,0.186133,0.874400,0.175145,0.874600,0.174432
ackley,straddle,40,0.243140,0.041430,0.473800,0.008565,0.442400,0.013226,0.416667,0.019765,0.803640,0.193644,0.897400,0.128160,0.896800,0.122022,0.891533,0.124924
ackley,straddle,80,0.168400,0.021478,0.460000,0.015007,0.415400,0.017080,0.369733,0.016774,0.696420,0.075812,0.883200,0.030268,0.878700,0.033780,0.868533,0.033719
ackley,randomized_straddle,12,0.425160,0.029076,0.493600,0.008777,0.489800,0.009973,0.482733,0.007307,0.873200,0.149364,0.870000,0.186133,0.874400,0.175145,0.874600,0.174432
ackley,randomized_straddle,40,0.243240,0.032288,0.467800,0.011754,0.436000,0.013889,0.412600,0.020073,0.844920,0.094964,0.933800,0.053678,0.932600,0.050268,0.928800,0.049403
ackley,randomized_straddle,80,0.175380,0.008484,0.450800,0.012156,0.408400,0.012575,0.368200,0.010649,0.697440,0.069228,0.879400,0.045129,0.876500,0.045566,0.865600,0.044380
ackley,expected_feasibility,12,0.425160,0.029076,0.493600,0.008777,0.489800,0.009973,0.482733,0.007307,0.873200,0.149364,0.870000,0.186133,0.874400,0.175145,0.874600,0.174432
ackley,expected_feasibility,40,0.254980,0.050784,0.471800,0.018862,0.445700,0.019974,0.419733,0.025251,0.798140,0.174092,0.891000,0.112401,0.891100,0.109508,0.887000,0.109135
ackley,expected_feasibility,80,0.189820,0.011489,0.469600,0.017188,0.429300,0.017628,0.389867,0.016386,0.683880,0.103941,0.861800,0.045762,0.856500,0.047147,0.841800,0.055545
