arm,model,path,budget,accuracy
Y00,M0,A0,16,0.7317647058823529
Y00,M0,A0,17,0.7458823529411766
Y00,M0,A0,18,0.7470588235294118
Y00,M0,A0,19,0.7511764705882352
Y00,M0,A0,20,0.7635294117647058
Y00,M0,A0,21,0.7582352941176471
Y00,M0,A0,22,0.7688235294117647
Y00,M0,A0,23,0.7735294117647058
Y00,M0,A0,24,0.7823529411764706
Y00,M0,A0,25,0.7823529411764706
Y00,M0,A0,26,0.7835294117647058
Y00,M0,A0,27,0.7882352941176469
Y00,M0,A0,28,0.7888235294117646
Y00,M0,A0,29,0.7923529411764706
Y00,M0,A0,30,0.7970588235294117
Y00,M0,A0,31,0.7941176470588235
Y00,M0,A0,32,0.7947058823529412
Y00,M0,A0,33,0.79
Y00,M0,A0,34,0.8005882352941177
Y00,M0,A0,35,0.7982352941176469
Y00,M0,A0,36,0.8011764705882353
Y00,M0,A0,37,0.8035294117647058
Y00,M0,A0,38,0.8170588235294117
Y00,M0,A0,39,0.82
Y00,M0,A0,40,0.8170588235294117
Y00,M0,A0,41,0.82
Y00,M0,A0,42,0.82
Y00,M0,A0,43,0.8229411764705883
Y00,M0,A0,44,0.8194117647058823
Y00,M0,A0,45,0.8170588235294117
Y00,M0,A0,46,0.82
Y00,M0,A0,47,0.821764705882353
Y00,M0,A0,48,0.821764705882353
Y00,M0,A0,49,0.828235294117647
Y00,M0,A0,50,0.8264705882352941
Y00,M0,A0,51,0.8276470588235294
Y00,M0,A0,52,0.8276470588235294
Y00,M0,A0,53,0.8311764705882352
Y00,M0,A0,54,0.8264705882352941
Y00,M0,A0,55,0.8258823529411764
Y00,M0,A0,56,0.83
Y00,M0,A0,57,0.8317647058823529
Y00,M0,A0,58,0.8305882352941175
Y00,M0,A0,59,0.8341176470588235
Y00,M0,A0,60,0.8329411764705883
Y00,M0,A0,61,0.8352941176470589
Y00,M0,A0,62,0.8347058823529412
Y00,M0,A0,63,0.8376470588235294
Y00,M0,A0,64,0.8370588235294117
Y00,M0,A0,65,0.8388235294117646
Y00,M0,A0,66,0.8388235294117646
Y00,M0,A0,67,0.838235294117647
Y00,M0,A0,68,0.84
Y00,M0,A0,69,0.8364705882352941
Y00,M0,A0,70,0.838235294117647
Y00,M0,A0,71,0.8376470588235294
Y00,M0,A0,72,0.838235294117647
Y00,M0,A0,73,0.84
Y00,M0,A0,74,0.838235294117647
Y00,M0,A0,75,0.8347058823529412
Y00,M0,A0,76,0.8352941176470589
Y00,M0,A0,77,0.8364705882352941
Y00,M0,A0,78,0.8358823529411764
Y00,M0,A0,79,0.8358823529411764
Y00,M0,A0,80,0.8329411764705883
Y01,M0,A1,16,0.7317647058823529
Y01,M0,A1,17,0.7423529411764705
Y01,M0,A1,18,0.743529411764706
Y01,M0,A1,19,0.75
Y01,M0,A1,20,0.75
Y01,M0,A1,21,0.7547058823529411
Y01,M0,A1,22,0.7523529411764706
Y01,M0,A1,23,0.7582352941176471
Y01,M0,A1,24,0.7576470588235295
Y01,M0,A1,25,0.7552941176470589
Y01,M0,A1,26,0.7635294117647059
Y01,M0,A1,27,0.7605882352941177
Y01,M0,A1,28,0.7670588235294118
Y01,M0,A1,29,0.7647058823529411
Y01,M0,A1,30,0.7717647058823529
Y01,M0,A1,31,0.7776470588235295
Y01,M0,A1,32,0.7735294117647058
Y01,M0,A1,33,0.7811764705882352
Y01,M0,A1,34,0.7788235294117647
Y01,M0,A1,35,0.7870588235294117
Y01,M0,A1,36,0.7876470588235294
Y01,M0,A1,37,0.7841176470588235
Y01,M0,A1,38,0.7923529411764706
Y01,M0,A1,39,0.8005882352941177
Y01,M0,A1,40,0.7988235294117646
Y01,M0,A1,41,0.8070588235294117
Y01,M0,A1,42,0.8041176470588235
Y01,M0,A1,43,0.8058823529411765
Y01,M0,A1,44,0.8105882352941177
Y01,M0,A1,45,0.81
Y01,M0,A1,46,0.8123529411764706
Y01,M0,A1,47,0.8170588235294117
Y01,M0,A1,48,0.8194117647058823
Y01,M0,A1,49,0.8223529411764706
Y01,M0,A1,50,0.82
Y01,M0,A1,51,0.8270588235294117
Y01,M0,A1,52,0.8247058823529412
Y01,M0,A1,53,0.8264705882352941
Y01,M0,A1,54,0.8270588235294117
Y01,M0,A1,55,0.8282352941176471
Y01,M0,A1,56,0.8294117647058823
Y01,M0,A1,57,0.8335294117647059
Y01,M0,A1,58,0.8388235294117646
Y01,M0,A1,59,0.8394117647058823
Y01,M0,A1,60,0.8447058823529412
Y01,M0,A1,61,0.8441176470588235
Y01,M0,A1,62,0.8435294117647057
Y01,M0,A1,63,0.8417647058823529
Y01,M0,A1,64,0.84
Y01,M0,A1,65,0.8417647058823529
Y01,M0,A1,66,0.8441176470588235
Y01,M0,A1,67,0.8394117647058823
Y01,M0,A1,68,0.8411764705882352
Y01,M0,A1,69,0.8405882352941176
Y01,M0,A1,70,0.8417647058823529
Y01,M0,A1,71,0.8405882352941176
Y01,M0,A1,72,0.8405882352941176
Y01,M0,A1,73,0.8394117647058823
Y01,M0,A1,74,0.8405882352941176
Y01,M0,A1,75,0.84
Y01,M0,A1,76,0.8405882352941176
Y01,M0,A1,77,0.8376470588235294
Y01,M0,A1,78,0.8382352941176471
Y01,M0,A1,79,0.8376470588235294
Y01,M0,A1,80,0.8376470588235294
Y10,M1,A0,16,0.7847058823529411
Y10,M1,A0,17,0.806470588235294
Y10,M1,A0,18,0.806470588235294
Y10,M1,A0,19,0.8070588235294117
Y10,M1,A0,20,0.8105882352941177
Y10,M1,A0,21,0.8147058823529412
Y10,M1,A0,22,0.8129411764705883
Y10,M1,A0,23,0.8170588235294117
Y10,M1,A0,24,0.821764705882353
Y10,M1,A0,25,0.8282352941176471
Y10,M1,A0,26,0.8264705882352941
Y10,M1,A0,27,0.8288235294117646
Y10,M1,A0,28,0.8270588235294117
Y10,M1,A0,29,0.8252941176470588
Y10,M1,A0,30,0.8247058823529412
Y10,M1,A0,31,0.8276470588235294
Y10,M1,A0,32,0.8294117647058823
Y10,M1,A0,33,0.8311764705882352
Y10,M1,A0,34,0.8276470588235294
Y10,M1,A0,35,0.8329411764705883
Y10,M1,A0,36,0.8276470588235294
Y10,M1,A0,37,0.8282352941176471
Y10,M1,A0,38,0.8329411764705883
Y10,M1,A0,39,0.8364705882352941
Y10,M1,A0,40,0.8352941176470589
Y10,M1,A0,41,0.8341176470588235
Y10,M1,A0,42,0.8329411764705883
Y10,M1,A0,43,0.8347058823529412
Y10,M1,A0,44,0.8358823529411764
Y10,M1,A0,45,0.8364705882352941
Y10,M1,A0,46,0.8358823529411764
Y10,M1,A0,47,0.8376470588235294
Y10,M1,A0,48,0.8311764705882352
Y10,M1,A0,49,0.8341176470588235
Y10,M1,A0,50,0.8329411764705883
Y10,M1,A0,51,0.8352941176470589
Y10,M1,A0,52,0.8317647058823529
Y10,M1,A0,53,0.8329411764705883
Y10,M1,A0,54,0.8317647058823529
Y10,M1,A0,55,0.8329411764705883
Y10,M1,A0,56,0.8323529411764706
Y10,M1,A0,57,0.8323529411764706
Y10,M1,A0,58,0.8329411764705883
Y10,M1,A0,59,0.8329411764705883
Y10,M1,A0,60,0.8329411764705883
Y10,M1,A0,61,0.8341176470588235
Y10,M1,A0,62,0.8335294117647059
Y10,M1,A0,63,0.8352941176470589
Y10,M1,A0,64,0.8358823529411764
Y10,M1,A0,65,0.8347058823529412
Y10,M1,A0,66,0.8347058823529412
Y10,M1,A0,67,0.8347058823529412
Y10,M1,A0,68,0.8341176470588235
Y10,M1,A0,69,0.8341176470588235
Y10,M1,A0,70,0.8347058823529412
Y10,M1,A0,71,0.8347058823529412
Y10,M1,A0,72,0.8341176470588235
Y10,M1,A0,73,0.8358823529411764
Y10,M1,A0,74,0.8352941176470589
Y10,M1,A0,75,0.8352941176470589
Y10,M1,A0,76,0.8364705882352941
Y10,M1,A0,77,0.8352941176470589
Y10,M1,A0,78,0.8358823529411764
Y10,M1,A0,79,0.8376470588235294
Y10,M1,A0,80,0.8364705882352941
Y11,M1,A1,16,0.7847058823529411
Y11,M1,A1,17,0.8058823529411764
Y11,M1,A1,18,0.8082352941176469
Y11,M1,A1,19,0.8147058823529412
Y11,M1,A1,20,0.8158823529411764
Y11,M1,A1,21,0.8188235294117646
Y11,M1,A1,22,0.821764705882353
Y11,M1,A1,23,0.8241176470588235
Y11,M1,A1,24,0.818235294117647
Y11,M1,A1,25,0.8270588235294117
Y11,M1,A1,26,0.8241176470588235
Y11,M1,A1,27,0.8229411764705883
Y11,M1,A1,28,0.8323529411764706
Y11,M1,A1,29,0.828235294117647
Y11,M1,A1,30,0.8229411764705883
Y11,M1,A1,31,0.8264705882352941
Y11,M1,A1,32,0.8288235294117646
Y11,M1,A1,33,0.8288235294117646
Y11,M1,A1,34,0.8264705882352941
Y11,M1,A1,35,0.8235294117647058
Y11,M1,A1,36,0.8276470588235294
Y11,M1,A1,37,0.8258823529411764
Y11,M1,A1,38,0.8305882352941175
Y11,M1,A1,39,0.8317647058823529
Y11,M1,A1,40,0.8341176470588235
Y11,M1,A1,41,0.8394117647058823
Y11,M1,A1,42,0.8358823529411764
Y11,M1,A1,43,0.8341176470588235
Y11,M1,A1,44,0.8352941176470589
Y11,M1,A1,45,0.8347058823529412
Y11,M1,A1,46,0.8370588235294117
Y11,M1,A1,47,0.8376470588235294
Y11,M1,A1,48,0.8347058823529412
Y11,M1,A1,49,0.8376470588235294
Y11,M1,A1,50,0.838235294117647
Y11,M1,A1,51,0.8370588235294117
Y11,M1,A1,52,0.8347058823529412
Y11,M1,A1,53,0.8370588235294117
Y11,M1,A1,54,0.8347058823529412
Y11,M1,A1,55,0.8370588235294117
