benchmark,display_name,surrogate_variant,acquisition_rule,method,final_budget,seed_count,mean_final_global_error,std_final_global_error,mean_final_near_boundary_error_q10,std_final_near_boundary_error_q10,mean_final_near_boundary_error_q20,std_final_near_boundary_error_q20,mean_final_near_boundary_error_q30,std_final_near_boundary_error_q30,mean_final_classifier_uncertainty_region_fraction_eps010,std_final_classifier_uncertainty_region_fraction_eps010,mean_final_classifier_uncertainty_region_fraction_q20_eps010,std_final_classifier_uncertainty_region_fraction_q20_eps010,mean_final_classifier_uncertainty_region_fraction_q30_eps010,std_final_classifier_uncertainty_region_fraction_q30_eps010,mean_query_distance,median_query_distance,query_distance_q25,query_distance_q75,fraction_queries_in_pool_boundary_band_q10,fraction_queries_in_pool_boundary_band_q20,fraction_queries_in_pool_boundary_band_q30,mean_fit_time_seconds,mean_learned_constant,mean_learned_length_scale_mean,length_scale_bound_hit_fraction,constant_bound_hit_fraction,rank_global_error,rank_near_boundary_error_q10,rank_near_boundary_error_q20,rank_near_boundary_error_q30,rank_median_query_distance
ackley,Thresholded 4D Ackley,fixed_iso_gpc,classifier_entropy,classifier_entropy,80,5,0.208520,0.027502,0.465000,0.013957,0.427100,0.019916,0.389867,0.025389,0.766180,0.018511,0.950300,0.026391,0.945667,0.025091,1.052224,0.844044,0.377741,1.527394,0.117647,0.258824,0.376471,0.002443,1.000000,0.250000,0.000000,0.000000,4,3,3,4,1
ackley,Thresholded 4D Ackley,fixed_iso_gpc,classifier_gated_diversity,classifier_gated_diversity,80,5,0.180320,0.010805,0.470200,0.016042,0.427500,0.007556,0.385667,0.007829,0.784320,0.011347,0.964900,0.006651,0.959867,0.007638,1.279375,1.121980,0.499518,1.792626,0.111765,0.211765,0.279412,0.002389,1.000000,0.250000,0.000000,0.000000,2,6,5,3,9
ackley,Thresholded 4D Ackley,fixed_iso_gpc,classifier_margin,classifier_margin,80,5,0.208520,0.027502,0.465000,0.013957,0.427100,0.019916,0.389867,0.025389,0.766180,0.018511,0.950300,0.026391,0.945667,0.025091,1.052224,0.844044,0.377741,1.527394,0.117647,0.258824,0.376471,0.002435,1.000000,0.250000,0.000000,0.000000,5,4,4,5,2
ackley,Thresholded 4D Ackley,fixed_iso_gpc,classifier_uncertainty_repulsion,classifier_uncertainty_repulsion,80,5,0.175900,0.017044,0.460800,0.019291,0.417500,0.023522,0.379667,0.021146,0.776640,0.014867,0.960600,0.015370,0.953867,0.014482,1.139799,1.003809,0.464171,1.671172,0.105882,0.208824,0.329412,0.002496,1.000000,0.250000,0.000000,0.000000,1,2,1,1,5
ackley,Thresholded 4D Ackley,fixed_iso_gpc,random,random,80,5,0.254480,0.033133,0.468000,0.011883,0.449800,0.011518,0.420400,0.014434,0.649560,0.044011,0.801400,0.064707,0.795800,0.066468,1.354989,1.064590,0.550973,1.859176,0.108824,0.200000,0.273529,0.002768,1.000000,0.250000,0.000000,0.000000,9,5,8,6,6
ackley,Thresholded 4D Ackley,optimized_ard_gpc,classifier_entropy,classifier_entropy,80,5,0.248280,0.038387,0.471000,0.011367,0.447900,0.011543,0.422400,0.020801,0.179020,0.049955,0.253600,0.086539,0.248600,0.082231,1.129416,0.934140,0.445625,1.645445,0.120588,0.217647,0.341176,0.105261,9.435425,1.400420,0.942029,0.869565,6,8,6,8,3
ackley,Thresholded 4D Ackley,optimized_ard_gpc,classifier_gated_diversity,classifier_gated_diversity,80,5,0.328200,0.089813,0.477000,0.017065,0.460600,0.011011,0.444667,0.020918,0.135140,0.072705,0.157500,0.085393,0.158600,0.087020,1.552606,1.435574,0.626810,2.352517,0.070588,0.155882,0.241176,0.062735,6.978289,1.966999,0.994203,0.359420,11,11,12,12,11
ackley,Thresholded 4D Ackley,optimized_ard_gpc,classifier_margin,classifier_margin,80,5,0.248280,0.038387,0.471000,0.011367,0.447900,0.011543,0.422400,0.020801,0.179020,0.049955,0.253600,0.086539,0.248600,0.082231,1.129416,0.934140,0.445625,1.645445,0.120588,0.217647,0.341176,0.106193,9.435425,1.400420,0.942029,0.869565,7,9,7,9,4
ackley,Thresholded 4D Ackley,optimized_ard_gpc,classifier_uncertainty_repulsion,classifier_uncertainty_repulsion,80,5,0.253700,0.051608,0.471400,0.014568,0.450000,0.019652,0.420600,0.028193,0.190700,0.038423,0.257800,0.098679,0.255267,0.094317,1.330417,1.143972,0.505446,1.988985,0.097059,0.214706,0.264706,0.074686,7.074554,1.742073,0.994203,0.452174,8,10,9,7,10
ackley,Thresholded 4D Ackley,optimized_ard_gpc,random,random,80,5,0.275840,0.028811,0.470600,0.020953,0.450300,0.010548,0.431400,0.010164,0.220240,0.019196,0.275600,0.032612,0.272200,0.030587,1.354989,1.064590,0.550973,1.859176,0.108824,0.200000,0.273529,0.107408,7.556023,1.340276,0.913043,0.562319,10,7,10,10,7
