analysis_label,phase,phase3_config_fingerprint,run_fingerprint,target,target_label,target_definition,gp_configuration,gp_configuration_label,kernel_family,matern_nu,learned_nugget,fold_index,heldout_simulation_id,heldout_numeric_simulation_id,observed_target_um,predicted_mean_um,residual_um,absolute_error_um,squared_error_um2,latent_predictive_std_um,latent_predictive_variance_um2,total_predictive_std_um,total_predictive_variance_um2,evaluation_predictive_std_um,evaluation_variance_definition,latent_nlpd,total_nlpd,evaluation_nlpd,latent_interval_lower_um,latent_interval_upper_um,total_interval_lower_um,total_interval_upper_um,latent_interval_contains_observed,total_interval_contains_observed,optimized_kernel,optimized_signal_variance_normalized,optimized_length_scale,optimized_noise_variance_normalized,optimized_noise_std_normalized,optimized_noise_variance_um2,optimized_noise_std_um,noise_std_fraction_training_target_std,noise_std_fraction_dataset_target_median,dataset_target_median_um_reporting_only,dataset_target_median_used_for_fitting,numerical_alpha_normalized,numerical_alpha_interpretation,training_size,population_size,heldout_excluded_from_training,heldout_target_used_for_scaling,heldout_target_used_for_fitting,heldout_target_used_for_tuning,x_scaler_fit_on_training_only,y_scaler_fit_on_training_only,normalize_y,feature_columns,training_y_mean_um,training_y_std_um,x_training_mean,x_training_scale,outer_training_simulation_ids_sha256,heldout_P,heldout_VX,heldout_LS,heldout_ST,fold_random_seed,optimizer,n_restarts_optimizer,log_marginal_likelihood,runtime_seconds,warning_count,convergence_warning_count,warnings,convergence_status,failed_fold,constant_bound_hit,constant_bound_side,length_scale_bound_hit,length_scale_bound_side,noise_bound_hit,noise_bound_side,any_hyperparameter_bound_hit
phase3c_fixed_gp_target_definition_sensitivity,Phase 3C,F7F71204D643D1027D0FF4736F24213619BF6A09C2361C3C11F169797AC98A9C,9FC1AA5C725CCA419F7B610F156CD01248366D26E89426E23FAF62DACDA00188,width,Melt-pool width,T2,matern32_learned_nugget,Matérn 3/2 + learned nugget,Matern,1.5,True,0,sim_00001,1,126.182315,125.67797233011446,0.5043426698855455,0.5043426698855455,0.25436152866728035,2.2977382344823996,5.279600994202294,6.848688527049142,46.90453454053455,6.848688527049142,total predictive variance including learned WhiteKernel nugget,1.7749528823632623,2.8457071924591615,2.8457071924591615,121.17440539052896,130.18153926969995,112.25454281709814,139.1014018431308,True,True,"7.85**2 * Matern(length_scale=29.6, nu=1.5) + WhiteKernel(noise_level=0.0302)",61.62299185117885,29.56999570150079,0.03021436888978329,0.17382280888819882,41.62493354633225,6.451738800225273,0.17382280888819882,0.04063360251702529,158.77841,False,1e-08,numerical jitter only; separate from WhiteKernel nugget,240,241,True,False,False,False,True,True,False,"[""P"",""VX"",""LS"",""ST""]",159.6012206666667,37.11675608909859,"[158.41685668854458,0.6174309603939917,6.476530180872957e-05,348.6835952922249]","[52.94868432117492,0.24073330218794772,1.3358446857885196e-05,32.34583139550507]",C1A71F1D3A2422A611F80239EE2F839B1B41D0A7D4B834310A9FD22BAB071E75,101.127472137,0.52394730996,4.5e-05,300.0,1942855860,fmin_l_bfgs_b,1,24.959676095436606,2.0615290999994613,0,0,,completed_without_convergence_warning,False,False,,False,,False,,False
phase3c_fixed_gp_target_definition_sensitivity,Phase 3C,F7F71204D643D1027D0FF4736F24213619BF6A09C2361C3C11F169797AC98A9C,9FC1AA5C725CCA419F7B610F156CD01248366D26E89426E23FAF62DACDA00188,width,Melt-pool width,T2,matern32_learned_nugget,Matérn 3/2 + learned nugget,Matern,1.5,True,1,sim_00002,2,121.78725,123.72724293541813,-1.9399929354181324,1.9399929354181324,3.763572589472262,4.541192536468489,20.62242965327711,7.887486357587369,62.21244104112686,7.887486357587369,total predictive variance including learned WhiteKernel nugget,2.523377679151548,3.014463780340751,3.014463780340751,114.82650556393989,132.62798030689638,108.26776967454688,139.18671619628938,True,True,"7.78**2 * Matern(length_scale=29.4, nu=1.5) + WhiteKernel(noise_level=0.0302)",60.594108928709744,29.402001107327543,0.030217639683124013,0.17383221704598953,41.59001138784974,6.449031817866132,0.17383221704598953,0.040616553710709984,158.77841,False,1e-08,numerical jitter only; separate from WhiteKernel nugget,240,241,True,False,False,False,True,True,False,"[""P"",""VX"",""LS"",""ST""]",159.61953343750002,37.099174867912765,"[158.40446473227792,0.6157952004352666,6.458493395760749e-05,348.28789357284154]","[52.961741081080795,0.24002814447852902,1.3331834273979293e-05,32.35808136104498]",FA446B729C2F19C80593618A398F5542870501B1F85B0093CCF7085D009B5698,104.101541641,0.916529700054,8.82882842693e-05,394.968412652,1663689701,fmin_l_bfgs_b,1,25.05133683397409,1.9196872999891639,0,0,,completed_without_convergence_warning,False,False,,False,,False,,False
phase3c_fixed_gp_target_definition_sensitivity,Phase 3C,F7F71204D643D1027D0FF4736F24213619BF6A09C2361C3C11F169797AC98A9C,9FC1AA5C725CCA419F7B610F156CD01248366D26E89426E23FAF62DACDA00188,width,Melt-pool width,T2,matern32_learned_nugget,Matérn 3/2 + learned nugget,Matern,1.5,True,2,sim_00003,3,127.87167999999998,144.76294380349398,-16.891263803494,16.891263803494,285.31479287922656,2.4368536218751755,5.938255574446161,6.817304613730097,46.475642196385664,6.817304613730097,total predictive variance including learned WhiteKernel nugget,25.833098019405657,5.907911589316204,5.907911589316204,139.98671070461864,149.53917690236932,131.401026760583,158.12486084640497,False,False,"8.19**2 * Matern(length_scale=30.7, nu=1.5) + WhiteKernel(noise_level=0.0294)",67.09597487950836,30.685872318072498,0.029415158753252756,0.1715084801205257,40.537386621939504,6.3668977235337705,0.1715084801205257,0.04009926616303671,158.77841,False,1e-08,numerical jitter only; separate from WhiteKernel nugget,240,241,True,False,False,False,True,True,False,"[""P"",""VX"",""LS"",""ST""]",159.59418164583337,37.12293245826389,"[158.3995699254654,0.6169514116475291,6.463348166584206e-05,348.40255952951645]","[52.96670509691898,0.2408044033443286,1.3396689281503218e-05,32.47432872676716]",5673D08E997648C3B4BFBAB58729D083D268FAAD12401130F9A80580C9D9FD19,105.276295276,0.639039009111,7.6636834293e-05,367.44858305,1768678318,fmin_l_bfgs_b,1,28.086932487004958,0.7588641999755055,0,0,,completed_without_convergence_warning,False,False,,False,,False,,False
phase3c_fixed_gp_target_definition_sensitivity,Phase 3C,F7F71204D643D1027D0FF4736F24213619BF6A09C2361C3C11F169797AC98A9C,9FC1AA5C725CCA419F7B610F156CD01248366D26E89426E23FAF62DACDA00188,width,Melt-pool width,T2,matern32_learned_nugget,Matérn 3/2 + learned nugget,Matern,1.5,True,3,sim_00004,4,202.75515,201.7830336111125,0.9721163888874855,0.9721163888874855,0.945010273543645,4.232927800541296,17.91767776459537,7.714380475596696,59.5116661222675,7.714380475596696,total predictive variance including learned WhiteKernel nugget,2.3882033297931824,2.969964420582254,2.969964420582254,193.48649512205156,210.07957210017344,186.66284787894298,216.90321934328202,True,True,"7.8**2 * Matern(length_scale=29.4, nu=1.5) + WhiteKernel(noise_level=0.0303)",60.892989172941824,29.42817268604274,0.03026237086296037,0.17396083140454455,41.593988357672124,6.449340149013086,0.17396083140454455,0.04061849560663245,158.77841,False,1e-08,numerical jitter only; separate from WhiteKernel nugget,240,241,True,False,False,False,True,True,False,"[""P"",""VX"",""LS"",""ST""]",159.28216718750002,37.07351877397732,"[158.39165382346957,0.6182776072410958,6.458809252473623e-05,348.2925134424874]","[52.9745014621117,0.24004473767101805,1.3337358734301948e-05,32.36466594117993]",3D71E35401DFDC45453821EF0A53158C5CD45C9E9B63F8790644DC88758BBBA6,107.176159755,0.320752066655,8.75302281584e-05,393.859643937,1842135852,fmin_l_bfgs_b,1,24.84426839954557,1.139263299992308,0,0,,completed_without_convergence_warning,False,False,,False,,False,,False
phase3c_fixed_gp_target_definition_sensitivity,Phase 3C,F7F71204D643D1027D0FF4736F24213619BF6A09C2361C3C11F169797AC98A9C,9FC1AA5C725CCA419F7B610F156CD01248366D26E89426E23FAF62DACDA00188,width,Melt-pool width,T2,matern32_learned_nugget,Matérn 3/2 + learned nugget,Matern,1.5,True,4,sim_00005,5,166.95134000000002,163.3821672500837,3.569172749916305,3.569172749916305,12.738994118745119,2.6802442046236497,7.183708996418661,6.983773618903972,48.77309396009908,6.983773618903972,total predictive variance including learned WhiteKernel nugget,2.7915050026370634,2.9931224213920866,2.9931224213920866,158.12888860902135,168.63544589114608,149.69397095703192,177.0703635431355,True,True,"7.81**2 * Matern(length_scale=29.6, nu=1.5) + WhiteKernel(noise_level=0.0301)",61.056165915617,29.59782148518257,0.030092466273039454,0.17347180253009264,41.589384963680416,6.448983250379894,0.17347180253009264,0.04061624782852967,158.77841,False,1e-08,numerical jitter only; separate from WhiteKernel nugget,240,241,True,False,False,False,True,True,False,"[""P"",""VX"",""LS"",""ST""]",159.4313497291667,37.175974171716874,"[158.3808880455779,0.6186060484485084,6.476530180872957e-05,348.6835952922249]","[52.98464515358333,0.2395830529147136,1.3358446857885196e-05,32.34583139550507]",02334BC0EC5436E61A7F9210AA2228227887F252488785F8869DBE76D699F9AA,109.759946449,0.241926176876,4.5e-05,300.0,2917786101,fmin_l_bfgs_b,1,25.564560021974273,0.7135017999680713,0,0,,completed_without_convergence_warning,False,False,,False,,False,,False
phase3c_fixed_gp_target_definition_sensitivity,Phase 3C,F7F71204D643D1027D0FF4736F24213619BF6A09C2361C3C11F169797AC98A9C,9FC1AA5C725CCA419F7B610F156CD01248366D26E89426E23FAF62DACDA00188,width,Melt-pool width,T2,matern32_learned_nugget,Matérn 3/2 + learned nugget,Matern,1.5,True,5,sim_00006,6,132.03865999999996,125.12063174181068,6.918028258189281,6.918028258189281,47.85911498110542,2.5268813087416393,6.385129148467859,6.907992608269587,47.72036187590725,6.907992608269587,total predictive variance including learned WhiteKernel nugget,5.593625797796404,3.353071437933659,3.353071437933659,120.16794437667707,130.0733191069443,111.5809662296023,138.66029725401907,False,True,"7.66**2 * Matern(length_scale=29, nu=1.5) + WhiteKernel(noise_level=0.03)",58.68747764185908,28.972528046660816,0.029971723014885206,0.17312343288788265,41.33523272743938,6.429248224126938,0.17312343288788265,0.04049195494605934,158.77841,False,1e-08,numerical jitter only; separate from WhiteKernel nugget,240,241,True,False,False,False,True,True,False,"[""P"",""VX"",""LS"",""ST""]",159.57681922916666,37.1367879950175,"[158.37891002264456,0.6160032861109832,6.461589345980373e-05,348.4795091247081]","[52.986451341788005,0.24026700149970834,1.3378135022634581e-05,32.49747951712133]",EC508C39681D1A517DE8CF818879044CE7DDA531EA9FB37276409A41A2CC6C01,110.234671953,0.866589137882,8.08580037422e-05,348.980680204,2352692985,fmin_l_bfgs_b,1,25.683483497544188,2.271596700011287,0,0,,completed_without_convergence_warning,False,False,,False,,False,,False
phase3c_fixed_gp_target_definition_sensitivity,Phase 3C,F7F71204D643D1027D0FF4736F24213619BF6A09C2361C3C11F169797AC98A9C,9FC1AA5C725CCA419F7B610F156CD01248366D26E89426E23FAF62DACDA00188,width,Melt-pool width,T2,matern32_learned_nugget,Matérn 3/2 + learned nugget,Matern,1.5,True,6,sim_00007,7,201.7465,198.94571658016983,2.800783419830168,2.800783419830168,7.844387764795571,2.8403657057253433,8.067677342260627,7.047198191440196,49.66300234943797,7.047198191440196,total predictive variance including learned WhiteKernel nugget,2.4490328174776246,2.9505448247281674,2.9505448247281674,193.37859979694815,204.5128333633915,185.13320812494703,212.75822503539263,True,True,"7.84**2 * Matern(length_scale=29.6, nu=1.5) + WhiteKernel(noise_level=0.0303)",61.519026567571665,29.56774299711645,0.030255393402941744,0.1739407755615162,41.595325007177344,6.4494437750225675,0.1739407755615162,0.04061914825209906,158.77841,False,1e-08,numerical jitter only; separate from WhiteKernel nugget,240,241,True,False,False,False,True,True,False,"[""P"",""VX"",""LS"",""ST""]",159.28636989583336,37.078389205765305,"[158.37721145453625,0.6184717627793292,6.464164930829206e-05,348.43937469980403]","[52.987988101203044,0.2397850262103685,1.3403405712270068e-05,32.490887191220146]",47E5D61FE025540C84720EF3B6946A1054A8253A357677BB0CACF477630B612D,110.642328299,0.274154737479,7.4676600105e-05,358.612942181,3845436384,fmin_l_bfgs_b,1,24.94498024532905,1.060094200016465,0,0,,completed_without_convergence_warning,False,False,,False,,False,,False
phase3c_fixed_gp_target_definition_sensitivity,Phase 3C,F7F71204D643D1027D0FF4736F24213619BF6A09C2361C3C11F169797AC98A9C,9FC1AA5C725CCA419F7B610F156CD01248366D26E89426E23FAF62DACDA00188,width,Melt-pool width,T2,matern32_learned_nugget,Matérn 3/2 + learned nugget,Matern,1.5,True,7,sim_00008,8,133.54512499999998,129.86588789628703,3.67923710371295,3.67923710371295,13.536785665338057,2.8490401534093346,8.117029795738684,7.044283950088797,49.621936369478625,7.044283950088797,total predictive variance including learned WhiteKernel nugget,2.7997716110841706,3.007554242192483,3.007554242192483,124.28176919560474,135.45000659696933,116.059091354113,143.6726844384611,True,True,"7.74**2 * Matern(length_scale=29.2, nu=1.5) + WhiteKernel(noise_level=0.0301)",59.87636676579877,29.170837825878852,0.03008741676641382,0.1734572476618196,41.50490657373994,6.4424301760857245,0.1734572476618196,0.040574976006408706,158.77841,False,1e-08,numerical jitter only; separate from WhiteKernel nugget,240,241,True,False,False,False,True,True,False,"[""P"",""VX"",""LS"",""ST""]",159.57054229166667,37.14131443297307,"[158.3697702161654,0.6166771339720416,6.46898903951029e-05,348.6450890727332]","[52.994565302894024,0.24074159257097874,1.3418592428444363e-05,32.39822083701424]",D68F4A8001756D53C04EA03737D32DFF0E97B392C3BD792D97F6C9182A9593E9,112.428225508,0.704865651228,6.30987392704e-05,309.241492678,1801640504,fmin_l_bfgs_b,1,25.32548219513049,1.0591682000085711,0,0,,completed_without_convergence_warning,False,False,,False,,False,,False
phase3c_fixed_gp_target_definition_sensitivity,Phase 3C,F7F71204D643D1027D0FF4736F24213619BF6A09C2361C3C11F169797AC98A9C,9FC1AA5C725CCA419F7B610F156CD01248366D26E89426E23FAF62DACDA00188,width,Melt-pool width,T2,matern32_learned_nugget,Matérn 3/2 + learned nugget,Matern,1.5,True,8,sim_00009,9,127.03961000000001,131.26035286271554,-4.220742862715525,4.220742862715525,17.814670313164047,2.8251885292428836,7.9816902257655675,7.038071186684136,49.53444602883344,7.038071186684136,total predictive variance including learned WhiteKernel nugget,3.073484673392704,3.0500937177048697,3.0500937177048697,125.72298334539948,136.7977223800316,117.46573333681462,145.05497238861645,True,True,"7.86**2 * Matern(length_scale=29.6, nu=1.5) + WhiteKernel(noise_level=0.0302)",61.83866373287198,29.59486240208915,0.03015681819978547,0.17365718585703693,41.552755803067875,6.446142707314807,0.17365718585703693,0.04059835784547034,158.77841,False,1e-08,numerical jitter only; separate from WhiteKernel nugget,240,241,True,False,False,False,True,True,False,"[""P"",""VX"",""LS"",""ST""]",159.5976486041667,37.119930715804564,"[158.36778409537374,0.6173736856002167,6.475985666105916e-05,348.5912237646123]","[52.99627809469381,0.24075390073481917,1.3366233832592893e-05,32.45289559521182]",F9B11A3FCE1E562647087FCED6CD5B92226595E705D76E955F6B492586AFA8CF,112.904894498,0.537693260466,4.63068354409e-05,322.169166627,491092858,fmin_l_bfgs_b,1,25.22006547043847,1.4489581999951042,0,0,,completed_without_convergence_warning,False,False,,False,,False,,False
phase3c_fixed_gp_target_definition_sensitivity,Phase 3C,F7F71204D643D1027D0FF4736F24213619BF6A09C2361C3C11F169797AC98A9C,9FC1AA5C725CCA419F7B610F156CD01248366D26E89426E23FAF62DACDA00188,width,Melt-pool width,T2,matern32_learned_nugget,Matérn 3/2 + learned nugget,Matern,1.5,True,9,sim_00010,10,133.55442499999998,140.07603248951523,-6.521607489515247,6.521607489515247,42.53136424730137,2.81841073100367,7.943439048636642,7.030259895615956,49.42455419990607,7.030259895615956,total predictive variance including learned WhiteKernel nugget,4.6322496378460425,3.2994277401915504,3.2994277401915504,134.55194745674802,145.60011752228243,126.29672309410796,153.8553418849225,False,True,"7.93**2 * Matern(length_scale=29.8, nu=1.5) + WhiteKernel(noise_level=0.0301)",62.95491264611917,29.830314242792426,0.0300701261134965,0.1734073992466772,41.48111515126943,6.440583448047966,0.1734073992466772,0.04056334515535182,158.77841,False,1e-08,numerical jitter only; separate from WhiteKernel nugget,240,241,True,False,False,False,True,True,False,"[""P"",""VX"",""LS"",""ST""]",159.57050354166668,37.14134158073638,"[158.36619331605706,0.6172487292997,6.471096775599373e-05,348.6746412483623]","[52.99763697439272,0.2407874391839439,1.3412102099912544e-05,32.35900673090017]",10B9323F0E9890207C54E75E7EFB7A8E7062030760479D8B38D8D8A42E49C650,113.286681534,0.56768277259,5.80401726566e-05,302.148970527,4038505420,fmin_l_bfgs_b,1,25.599496916014147,0.9562457000138238,0,0,,completed_without_convergence_warning,False,False,,False,,False,,False
