policy,endpoint,estimate,repeat_blocks,kind
P0_M3_MARGIN_B16,q20_accuracy_AULC_B16_B40,0.8233374183006537,60,AULC
P0_M3_MARGIN_B16,q20_accuracy_AULC_B16_B80,0.8421001838235295,60,AULC
P0_M3_MARGIN_B16,q20_balanced_accuracy_AULC_B16_B40,0.8068249192936692,60,AULC
P0_M3_MARGIN_B16,q20_balanced_accuracy_AULC_B16_B80,0.8242127679539789,60,AULC
P0_M3_MARGIN_B16,q20_keyhole_recall_AULC_B16_B40,0.7257761869688952,60,AULC
P0_M3_MARGIN_B16,q20_keyhole_recall_AULC_B16_B80,0.7363329443993506,60,AULC
P0_M3_MARGIN_B16,q30_accuracy_AULC_B16_B40,0.8685083333333332,60,AULC
P0_M3_MARGIN_B16,q30_accuracy_AULC_B16_B80,0.886625,60,AULC
P0_M3_MARGIN_B16,full81_accuracy_AULC_B16_B40,0.9583058984910837,60,AULC
P0_M3_MARGIN_B16,full81_accuracy_AULC_B16_B80,0.9642817644032922,60,AULC
P0_M3_MARGIN_B16,B1_q20_accuracy_B24,0.8203921568627451,60,checkpoint
P0_M3_MARGIN_B16,B1_q20_balanced_accuracy_B24,0.8055529516779518,60,checkpoint
P0_M3_MARGIN_B16,B1_q20_keyhole_recall_B24,0.7295058922558922,60,checkpoint
P0_M3_MARGIN_B16,B1_q20_false_negative_B24,1.8,60,checkpoint
P0_M3_MARGIN_B16,B1_q20_false_positive_B24,1.2533333333333334,60,checkpoint
P0_M3_MARGIN_B16,B1_q30_accuracy_B24,0.8644,60,checkpoint
P0_M3_MARGIN_B16,full81_accuracy_B24,0.9568312757201644,60,checkpoint
P0_M3_MARGIN_B16,B1_q20_accuracy_B32,0.8325490196078431,60,checkpoint
P0_M3_MARGIN_B16,B1_q20_balanced_accuracy_B32,0.8155910154660155,60,checkpoint
P0_M3_MARGIN_B16,B1_q20_keyhole_recall_B32,0.7300111832611832,60,checkpoint
P0_M3_MARGIN_B16,B1_q20_false_negative_B32,1.7966666666666666,60,checkpoint
P0_M3_MARGIN_B16,B1_q20_false_positive_B32,1.05,60,checkpoint
P0_M3_MARGIN_B16,B1_q30_accuracy_B32,0.8770666666666667,60,checkpoint
P0_M3_MARGIN_B16,full81_accuracy_B32,0.9614814814814815,60,checkpoint
P0_M3_MARGIN_B16,B1_q20_accuracy_B40,0.8382352941176471,60,checkpoint
P0_M3_MARGIN_B16,B1_q20_balanced_accuracy_B40,0.8213423104673105,60,checkpoint
P0_M3_MARGIN_B16,B1_q20_keyhole_recall_B40,0.7407720057720057,60,checkpoint
P0_M3_MARGIN_B16,B1_q20_false_negative_B40,1.7133333333333334,60,checkpoint
P0_M3_MARGIN_B16,B1_q20_false_positive_B40,1.0366666666666666,60,checkpoint
P0_M3_MARGIN_B16,B1_q30_accuracy_B40,0.8835999999999999,60,checkpoint
