benchmark,method,seed,query_number,budget_before_query,budget_after_query,selected_pool_index,true_boundary_distance,in_pool_boundary_band_q10,in_pool_boundary_band_q20,in_pool_boundary_band_q30,acquisition_selected_position,acquisition_selected_score,acquisition_beta,acquisition_quadrature_nodes,acquisition_alpha,acquisition_selected_normalized_straddle,acquisition_selected_normalized_diversity,acquisition_selected_raw_straddle,acquisition_selected_raw_diversity,acquisition_gate_fraction,acquisition_min_shortlist_size,acquisition_shortlist_size,acquisition_shortlist_fraction_actual,acquisition_selected_shortlist_position,acquisition_selected_gated_score,acquisition_requested_shortlist_size,acquisition_finite_difference_h,acquisition_curvature_clip,acquisition_repulsion_bandwidth,acquisition_boundary_weight_power,acquisition_selected_normalized_uncertainty,acquisition_selected_boundary_weight,acquisition_selected_raw_curvature,acquisition_selected_normalized_curvature,acquisition_selected_repulsion,acquisition_selected_gbc_score,acquisition_fallback_used
branin,random,0,1,6,7,171,62.61713381791127,False,False,False,170,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
branin,random,0,2,7,8,362,25.36994880037181,False,False,False,358,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
branin,random,0,3,8,9,1109,50.22754129362457,False,False,False,1102,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
branin,random,0,4,9,10,1233,17.764270620644226,False,False,False,1225,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
branin,random,0,5,10,11,133,28.359214286625225,False,False,False,132,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
branin,random,0,6,11,12,11,55.60252173010183,False,False,False,11,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
branin,random,0,7,12,13,884,23.462355612735195,False,False,False,875,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
branin,random,0,8,13,14,1153,45.65924249577374,False,False,False,1142,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
branin,random,0,9,14,15,480,37.586102512870696,False,False,False,473,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
branin,random,0,10,15,16,495,5.725639305720094,False,True,True,487,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
branin,random,0,11,16,17,1181,51.819246359621985,False,False,False,1167,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
branin,random,0,12,17,18,1440,18.214506459056768,False,False,False,1424,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
branin,random,0,13,18,19,570,167.66905416131513,False,False,False,561,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
branin,random,0,14,19,20,428,11.991949460130655,False,False,True,421,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
branin,random,0,15,20,21,1111,36.37115770685958,False,False,False,1096,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
branin,random,0,16,21,22,948,22.110908073526062,False,False,False,934,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
branin,random,0,17,22,23,45,127.34087586889194,False,False,False,43,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
branin,random,0,18,23,24,1477,65.07185060709685,False,False,False,1455,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
branin,random,0,19,24,25,299,18.525120918728774,False,False,False,292,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
branin,random,0,20,25,26,1372,9.704889803147427,False,False,True,1350,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
branin,random,0,21,26,27,646,20.237631716983017,False,False,False,632,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
branin,random,0,22,27,28,116,55.780569754672214,False,False,False,113,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
branin,random,0,23,28,29,257,17.13466500759828,False,False,False,249,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
branin,random,0,24,29,30,1191,10.305729344939472,False,False,True,1167,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
branin,random,0,25,30,31,163,25.857195747517846,False,False,False,158,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
branin,random,0,26,31,32,756,73.5912266725218,False,False,False,737,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
branin,random,0,27,32,33,1346,48.679088919579044,False,False,False,1318,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
branin,random,0,28,33,34,1012,23.55324020211188,False,False,False,990,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
branin,random,0,29,34,35,1084,19.114961481873124,False,False,False,1061,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
branin,random,0,30,35,36,605,90.68676411480509,False,False,False,588,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
branin,random,0,31,36,37,942,0.8067879843526384,True,True,True,920,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
branin,random,0,32,37,38,181,23.92444595861551,False,False,False,174,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
branin,random,0,33,38,39,549,8.663990378349624,False,True,True,533,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
branin,random,0,34,39,40,268,4.154283701156505,True,True,True,257,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
branin,random,0,35,40,41,1138,22.27216416307368,False,False,False,1107,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
branin,random,0,36,41,42,1037,3.963209008809173,True,True,True,1009,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
branin,random,0,37,42,43,342,73.352186758807,False,False,False,329,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
branin,random,0,38,43,44,114,2.9867752328859822,True,True,True,111,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
branin,random,0,39,44,45,273,0.8214646349381098,True,True,True,260,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
branin,random,0,40,45,46,802,23.06410404080522,False,False,False,775,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
branin,random,0,41,46,47,103,26.76050033054537,False,False,False,100,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
branin,random,0,42,47,48,1106,24.977558142747533,False,False,False,1071,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
branin,random,0,43,48,49,1491,1.372230449540087,True,True,True,1444,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
branin,random,0,44,49,50,29,44.81570246669716,False,False,False,27,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
branin,random,1,1,6,7,780,14.011109682933835,False,False,False,777,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
branin,random,1,2,7,8,300,46.9073315671035,False,False,False,299,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
branin,random,1,3,8,9,1104,8.53840317077103,False,True,True,1099,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
branin,random,1,4,9,10,839,2.188062511494863,True,True,True,834,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
branin,random,1,5,10,11,909,43.03896433625238,False,False,False,903,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
branin,random,1,6,11,12,110,17.086107357130075,False,False,False,109,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
branin,random,1,7,12,13,1336,155.3831624944744,False,False,False,1325,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
branin,random,1,8,13,14,1128,14.875028278304207,False,False,False,1119,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
