benchmark,display_name,surrogate_variant,acquisition_rule,method,seed,query_number,budget_before_query,budget_after_query,selected_pool_index,true_boundary_distance,acquisition_time_seconds,in_pool_boundary_band_q10,in_pool_boundary_band_q20,in_pool_boundary_band_q30,acquisition_selected_position,acquisition_selected_score,acquisition_beta,acquisition_quadrature_nodes,acquisition_gate_fraction,acquisition_min_shortlist_size,acquisition_shortlist_size,acquisition_selected_shortlist_position,acquisition_selected_raw_straddle,acquisition_selected_raw_diversity,acquisition_selected_p_plus,acquisition_selected_membership_uncertainty,acquisition_selected_straddle_score,acquisition_weighted_variance_reduction,acquisition_reference_set_size,acquisition_candidate_gate_size,acquisition_candidate_gate_fraction,acquisition_posterior_covariance_used,acquisition_p_star,acquisition_U_current,acquisition_U_plus,acquisition_U_minus,acquisition_expected_future_uncertainty,acquisition_expected_uncertainty_reduction,acquisition_fantasy_refit_time_seconds,acquisition_fantasy_refit_mode,acquisition_shortlist_source,acquisition_selected_uncertainty_score,acquisition_selected_entropy,acquisition_binary_entropy_margin_note,acquisition_repulsion_bandwidth,acquisition_selected_repulsion
ackley,Thresholded 4D Ackley,gpr_fixed_or_existing,random,random,0,1,12,13,1495,1.2313157422212662,6.600000051548705e-05,False,False,False,1491,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,Thresholded 4D Ackley,gpr_fixed_or_existing,random,random,0,2,13,14,812,6.623292014881391,6.779999966965988e-05,False,False,False,808,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,Thresholded 4D Ackley,gpr_fixed_or_existing,random,random,0,3,14,15,3766,0.35410761925636436,6.599999869649764e-05,False,True,True,3752,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,Thresholded 4D Ackley,gpr_fixed_or_existing,random,random,0,4,15,16,3155,0.6322544374598653,9.719999980006833e-05,False,False,False,3142,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,Thresholded 4D Ackley,gpr_fixed_or_existing,random,random,0,5,16,17,3449,3.0129380996290767,7.650000043213367e-05,False,False,False,3435,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,Thresholded 4D Ackley,gpr_fixed_or_existing,random,random,0,6,17,18,3220,1.0988729815149814,6.639999992330559e-05,False,False,False,3206,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,Thresholded 4D Ackley,gpr_fixed_or_existing,random,random,0,7,18,19,3561,0.11238258447222371,6.650000068475492e-05,True,True,True,3545,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,Thresholded 4D Ackley,gpr_fixed_or_existing,random,random,0,8,19,20,800,3.484462500424769,6.809999831602909e-05,False,False,False,796,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,Thresholded 4D Ackley,gpr_fixed_or_existing,random,random,0,9,20,21,2592,2.5077520218753975,6.83999987813877e-05,False,False,False,2581,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,Thresholded 4D Ackley,gpr_fixed_or_existing,random,random,0,10,21,22,2904,3.1269071435549876,6.450000000768341e-05,False,False,False,2891,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,Thresholded 4D Ackley,gpr_fixed_or_existing,random,random,0,11,22,23,1092,1.125018109376862,6.620000021939632e-05,False,False,False,1086,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,Thresholded 4D Ackley,gpr_fixed_or_existing,random,random,0,12,23,24,3518,2.127117504903703,6.679999933112413e-05,False,False,False,3498,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,Thresholded 4D Ackley,gpr_fixed_or_existing,random,random,0,13,24,25,3333,0.45398989072500484,7.74000000092201e-05,False,False,True,3314,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,Thresholded 4D Ackley,gpr_fixed_or_existing,random,random,0,14,25,26,129,1.8836011829515016,6.519999988086056e-05,False,False,False,129,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,Thresholded 4D Ackley,gpr_fixed_or_existing,random,random,0,15,26,27,1959,0.053559335185473955,7.879999975557439e-05,True,True,True,1949,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,Thresholded 4D Ackley,gpr_fixed_or_existing,random,random,0,16,27,28,3001,1.647850499745216,6.709999979648273e-05,False,False,False,2984,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,Thresholded 4D Ackley,gpr_fixed_or_existing,random,random,0,17,28,29,3141,2.5377363636862924,8.610000077169389e-05,False,False,False,3121,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,Thresholded 4D Ackley,gpr_fixed_or_existing,random,random,0,18,29,30,3917,0.49638939118525016,7.18000010238029e-05,False,False,True,3888,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,Thresholded 4D Ackley,gpr_fixed_or_existing,random,random,0,19,30,31,2019,1.7721109300421887,7.120000009308569e-05,False,False,False,2008,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,Thresholded 4D Ackley,gpr_fixed_or_existing,random,random,0,20,31,32,341,1.619056038246514,6.750000102329068e-05,False,False,False,339,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,Thresholded 4D Ackley,gpr_fixed_or_existing,random,random,0,21,32,33,2801,0.8385335864138792,6.690000009257346e-05,False,False,False,2784,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,Thresholded 4D Ackley,gpr_fixed_or_existing,random,random,0,22,33,34,951,0.6380033884198433,6.56000011076685e-05,False,False,False,943,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,Thresholded 4D Ackley,gpr_fixed_or_existing,random,random,0,23,34,35,1023,1.275513996865044,6.679999933112413e-05,False,False,False,1014,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,Thresholded 4D Ackley,gpr_fixed_or_existing,random,random,0,24,35,36,19,1.3858842002681158,6.639999992330559e-05,False,False,False,19,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,Thresholded 4D Ackley,gpr_fixed_or_existing,random,random,0,25,36,37,1015,0.7192262565348795,6.610000127693638e-05,False,False,False,1005,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,Thresholded 4D Ackley,gpr_fixed_or_existing,random,random,0,26,37,38,3089,2.1932181215543114,8.750000051804818e-05,False,False,False,3063,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,Thresholded 4D Ackley,gpr_fixed_or_existing,random,random,0,27,38,39,1312,0.21813945341850705,8.750000051804818e-05,False,True,True,1299,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,Thresholded 4D Ackley,gpr_fixed_or_existing,random,random,0,28,39,40,2975,1.9003212353045509,6.84000006003771e-05,False,False,False,2950,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,Thresholded 4D Ackley,gpr_fixed_or_existing,random,random,0,29,40,41,3947,0.13387468892516097,8.989999878394883e-05,True,True,True,3907,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,Thresholded 4D Ackley,gpr_fixed_or_existing,random,random,0,30,41,42,2900,2.4383044079551546,6.920000123500358e-05,False,False,False,2876,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,Thresholded 4D Ackley,gpr_fixed_or_existing,random,random,0,31,42,43,692,0.44067111084295796,9.73999995039776e-05,False,False,True,686,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,Thresholded 4D Ackley,gpr_fixed_or_existing,random,random,0,32,43,44,374,0.4779398460069135,7.700000060140155e-05,False,False,True,370,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,Thresholded 4D Ackley,gpr_fixed_or_existing,random,random,0,33,44,45,823,0.8608481988463534,6.86999992467463e-05,False,False,False,812,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,Thresholded 4D Ackley,gpr_fixed_or_existing,random,random,0,34,45,46,993,0.9499087724001125,6.740000026184134e-05,False,False,False,980,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,Thresholded 4D Ackley,gpr_fixed_or_existing,random,random,0,35,46,47,1599,1.5283129291560602,6.600000051548705e-05,False,False,False,1580,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,Thresholded 4D Ackley,gpr_fixed_or_existing,random,random,0,36,47,48,2669,3.4690141904882683,7.15000005584443e-05,False,False,False,2642,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,Thresholded 4D Ackley,gpr_fixed_or_existing,random,random,0,37,48,49,1385,0.7864010374451738,6.769999890821055e-05,False,False,False,1367,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,Thresholded 4D Ackley,gpr_fixed_or_existing,random,random,0,38,49,50,3457,0.436363834845082,6.769999890821055e-05,False,False,True,3414,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,Thresholded 4D Ackley,gpr_fixed_or_existing,random,random,0,39,50,51,3578,1.6646491166085937,6.679999933112413e-05,False,False,False,3532,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,Thresholded 4D Ackley,gpr_fixed_or_existing,random,random,0,40,51,52,2141,2.742134238635364,7.430000005115289e-05,False,False,False,2117,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,Thresholded 4D Ackley,gpr_fixed_or_existing,random,random,0,41,52,53,721,1.985237657510666,6.769999890821055e-05,False,False,False,713,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,Thresholded 4D Ackley,gpr_fixed_or_existing,random,random,0,42,53,54,3248,0.20506001877656566,6.589999975403771e-05,False,True,True,3205,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,Thresholded 4D Ackley,gpr_fixed_or_existing,random,random,0,43,54,55,511,0.10969167252092404,6.600000051548705e-05,True,True,True,505,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,Thresholded 4D Ackley,gpr_fixed_or_existing,random,random,0,44,55,56,793,0.8306907062001248,6.680000115011353e-05,False,False,False,782,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,Thresholded 4D Ackley,gpr_fixed_or_existing,random,random,0,45,56,57,776,0.20605512692767292,6.650000068475492e-05,False,True,True,765,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,Thresholded 4D Ackley,gpr_fixed_or_existing,random,random,0,46,57,58,2285,0.3021398540934719,6.67000003886642e-05,False,True,True,2256,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,Thresholded 4D Ackley,gpr_fixed_or_existing,random,random,0,47,58,59,1920,0.08711484004794912,7.040000127744861e-05,True,True,True,1894,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,Thresholded 4D Ackley,gpr_fixed_or_existing,random,random,0,48,59,60,930,0.4499229870384891,6.659999962721486e-05,False,False,True,914,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,Thresholded 4D Ackley,gpr_fixed_or_existing,random,random,0,49,60,61,3539,3.6347100833248263,6.629999916185625e-05,False,False,False,3485,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
