benchmark,display_name,surrogate_variant,acquisition_rule,method,final_budget,seed_count,mean_final_global_error,std_final_global_error,mean_final_near_boundary_error_q10,std_final_near_boundary_error_q10,mean_final_near_boundary_error_q20,std_final_near_boundary_error_q20,mean_final_near_boundary_error_q30,std_final_near_boundary_error_q30,mean_final_uncertainty_region_fraction,std_final_uncertainty_region_fraction,mean_final_uncertainty_region_fraction_q20,std_final_uncertainty_region_fraction_q20,mean_final_uncertainty_region_fraction_q30,std_final_uncertainty_region_fraction_q30,mean_final_integrated_bernoulli_uncertainty,std_final_integrated_bernoulli_uncertainty,mean_query_distance,median_query_distance,query_distance_q25,query_distance_q75,fraction_queries_in_pool_boundary_band_q10,fraction_queries_in_pool_boundary_band_q20,fraction_queries_in_pool_boundary_band_q30,mean_acquisition_time_seconds,full_seed_count_for_benchmark,is_limited_seed_count,rank_global_error,rank_near_boundary_error_q20,rank_near_boundary_error_q30,rank_median_query_distance,rank_integrated_bernoulli_uncertainty
branin,Thresholded Branin,gpc_fixed_iso,classifier_entropy,classifier_entropy,50,5,0.150750,0.055601,0.378000,0.040137,0.283500,0.040762,0.224667,0.035113,0.416350,0.078803,0.685000,0.144406,0.642500,0.149312,0.233829,0.002268,11.728456,8.267937,3.741514,15.421556,1.000000,1.000000,1.000000,0.006374,5,False,11,10,10,1,11
branin,Thresholded Branin,gpc_fixed_iso,classifier_margin,classifier_margin,50,5,0.150750,0.055601,0.378000,0.040137,0.283500,0.040762,0.224667,0.035113,0.416350,0.078803,0.685000,0.144406,0.642500,0.149312,0.233829,0.002268,11.728456,8.267937,3.741514,15.421556,1.000000,1.000000,1.000000,0.006566,5,False,12,11,11,2,12
branin,Thresholded Branin,gpc_fixed_iso,classifier_uncertainty_repulsion,classifier_uncertainty_repulsion,50,5,0.073200,0.024616,0.363500,0.043376,0.256000,0.036899,0.189667,0.035338,0.453650,0.039827,0.863000,0.041273,0.777833,0.040888,0.233647,0.001557,21.443843,11.810021,6.302780,21.880127,1.000000,1.000000,1.000000,0.011770,5,False,8,4,4,3,10
branin,Thresholded Branin,gpc_fixed_iso,gpc_bernoulli_sur_refit,gpc_bernoulli_sur_refit,50,1,0.058500,0.000000,0.322500,0.000000,0.221250,0.000000,0.156667,0.000000,0.325500,0.000000,0.768750,0.000000,0.662500,0.000000,0.225466,0.000000,26.691203,16.173992,8.823701,25.463933,1.000000,1.000000,1.000000,0.490631,5,True,1,1,1,5,9
branin,Thresholded Branin,gpr_fixed_or_existing,boundary_gated_diversified_straddle,boundary_gated_diversified_straddle,50,5,0.063450,0.007442,0.368500,0.031369,0.262750,0.030212,0.197333,0.026084,0.351450,0.048995,0.495750,0.071526,0.432667,0.062500,0.036974,0.004116,44.612256,20.654992,9.845669,56.295721,1.000000,1.000000,1.000000,0.006093,5,False,4,6,6,8,3
branin,Thresholded Branin,gpr_fixed_or_existing,expected_feasibility,expected_feasibility,50,5,0.066350,0.010226,0.389500,0.043168,0.282250,0.029616,0.211333,0.027420,0.185050,0.014716,0.422250,0.040089,0.364000,0.022101,0.023699,0.001625,46.597989,22.232665,11.103026,64.021034,1.000000,1.000000,1.000000,0.007330,5,False,6,8,7,9,1
branin,Thresholded Branin,gpr_fixed_or_existing,gpr_bernoulli_sur_refit,gpr_bernoulli_sur_refit,50,5,0.074200,0.006560,0.378500,0.018682,0.283250,0.014243,0.215833,0.014366,0.451500,0.170209,0.556500,0.115635,0.526000,0.128378,0.053757,0.020787,37.764101,22.241423,10.551701,52.574809,1.000000,1.000000,1.000000,0.250349,5,False,9,9,9,10,5
branin,Thresholded Branin,gpr_fixed_or_existing,gpr_boundary_weighted_ivr,gpr_boundary_weighted_ivr,50,5,0.071350,0.008376,0.390500,0.046027,0.278250,0.027233,0.212000,0.021887,0.248850,0.064904,0.417000,0.062757,0.368833,0.058477,0.029123,0.006483,40.553792,22.343977,9.459757,56.261676,1.000000,1.000000,1.000000,0.216205,5,False,7,7,8,11,2
branin,Thresholded Branin,gpr_fixed_or_existing,random,random,50,5,0.119400,0.029243,0.417000,0.041575,0.343250,0.047648,0.282333,0.044983,0.479850,0.107541,0.570750,0.100214,0.545500,0.091985,0.073928,0.017144,42.336557,24.899938,12.019579,54.677847,1.000000,1.000000,1.000000,0.000068,5,False,10,12,12,12,6
branin,Thresholded Branin,gpr_fixed_or_existing,randomized_straddle,randomized_straddle,50,5,0.060200,0.004279,0.363000,0.027221,0.251500,0.011549,0.186500,0.008873,0.632600,0.048045,0.619500,0.044375,0.606500,0.035498,0.077289,0.010650,39.665499,17.551774,8.402247,38.435918,1.000000,1.000000,1.000000,0.004668,5,False,2,3,2,6,7
branin,Thresholded Branin,gpr_fixed_or_existing,smallest_abs_mu,smallest_abs_mu,50,5,0.065900,0.010975,0.364000,0.005831,0.246750,0.022144,0.186833,0.019188,0.742200,0.019692,0.613250,0.032650,0.623333,0.028122,0.131788,0.004565,27.717099,12.038580,5.020593,23.453951,1.000000,1.000000,1.000000,0.004472,5,False,5,2,3,4,8
branin,Thresholded Branin,gpr_fixed_or_existing,straddle,straddle,50,5,0.062000,0.008296,0.358500,0.030602,0.257250,0.033998,0.192833,0.028851,0.482300,0.049739,0.539250,0.069681,0.498167,0.069758,0.051554,0.007409,43.034971,19.439750,8.472150,52.963831,1.000000,1.000000,1.000000,0.004559,5,False,3,5,5,7,4
