benchmark,display_name,surrogate_variant,acquisition_rule,method,seed,query_number,budget_before_query,budget_after_query,selected_pool_index,true_boundary_distance,acquisition_time_seconds,in_pool_boundary_band_q10,in_pool_boundary_band_q20,in_pool_boundary_band_q30,acquisition_selected_position,acquisition_selected_score,acquisition_selected_p_plus,acquisition_selected_membership_uncertainty,acquisition_selected_straddle_score,acquisition_weighted_variance_reduction,acquisition_reference_set_size,acquisition_candidate_gate_size,acquisition_candidate_gate_fraction,acquisition_posterior_covariance_used,acquisition_p_star,acquisition_U_current,acquisition_U_plus,acquisition_U_minus,acquisition_expected_future_uncertainty,acquisition_expected_uncertainty_reduction,acquisition_shortlist_size,acquisition_fantasy_refit_time_seconds,acquisition_fantasy_refit_mode,acquisition_shortlist_source,acquisition_selected_uncertainty_score,acquisition_selected_repulsion
hartmann4,Thresholded 4D Hartmann,gpr_fixed_or_existing,gpr_boundary_weighted_ivr,gpr_boundary_weighted_ivr,0,1,12,13,215,0.9423894637205577,0.2685973000006925,False,False,False,215,0.08683528122348631,0.532346835567507,0.24895368222876868,1.5799673398089409,0.08683528122348631,1500,1197,0.3,True,null,null,null,null,null,null,null,null,null,null,null,null
hartmann4,Thresholded 4D Hartmann,gpr_fixed_or_existing,gpr_boundary_weighted_ivr,gpr_boundary_weighted_ivr,0,2,13,14,1554,1.4616611912259343,0.26702560000012454,False,False,False,1547,0.04026394440662587,0.43636799556942396,0.24595096801214716,1.4465716158947541,0.04026394440662587,1500,1197,0.3,True,null,null,null,null,null,null,null,null,null,null,null,null
hartmann4,Thresholded 4D Hartmann,gpr_fixed_or_existing,gpr_boundary_weighted_ivr,gpr_boundary_weighted_ivr,0,3,14,15,1673,0.4545014949740598,0.2693221999998059,False,False,False,1664,0.04171979296167505,0.35267313575820236,0.22829479507267894,1.0668086584647825,0.04171979296167505,1500,1196,0.3,True,null,null,null,null,null,null,null,null,null,null,null,null
hartmann4,Thresholded 4D Hartmann,gpr_fixed_or_existing,gpr_boundary_weighted_ivr,gpr_boundary_weighted_ivr,0,4,15,16,65,0.804093792079213,0.26723589999892283,False,False,False,65,0.04237077566194494,0.4092359331880387,0.24176188417575384,1.4078696553331338,0.04237077566194494,1500,1196,0.3,True,null,null,null,null,null,null,null,null,null,null,null,null
hartmann4,Thresholded 4D Hartmann,gpr_fixed_or_existing,gpr_boundary_weighted_ivr,gpr_boundary_weighted_ivr,0,5,16,17,2407,0.9302073889592043,0.2767349000005197,False,False,False,2394,0.04399374645318596,0.37822487261938253,0.23517081835143439,1.3622927514792156,0.04399374645318596,1500,1196,0.3,True,null,null,null,null,null,null,null,null,null,null,null,null
hartmann4,Thresholded 4D Hartmann,gpr_fixed_or_existing,gpr_boundary_weighted_ivr,gpr_boundary_weighted_ivr,0,6,17,18,112,0.32700835656922467,0.27057390000118176,False,False,True,111,0.03766210099101286,0.4528890327000169,0.24778055676005992,1.4372646330653245,0.03766210099101286,1500,1195,0.3,True,null,null,null,null,null,null,null,null,null,null,null,null
hartmann4,Thresholded 4D Hartmann,gpr_fixed_or_existing,gpr_boundary_weighted_ivr,gpr_boundary_weighted_ivr,0,7,18,19,1573,0.8136293770522722,0.27088090000142984,False,False,False,1563,0.023998619112432052,0.38260473196358663,0.23621835104265868,1.2449240939030337,0.023998619112432052,1500,1195,0.3,True,null,null,null,null,null,null,null,null,null,null,null,null
hartmann4,Thresholded 4D Hartmann,gpr_fixed_or_existing,gpr_boundary_weighted_ivr,gpr_boundary_weighted_ivr,0,8,19,20,1829,0.11717520580938379,0.2707728000004863,True,True,True,1815,0.02417641244503076,0.5132098437338544,0.24982550002852716,1.4388707099933207,0.02417641244503076,1500,1195,0.3,True,null,null,null,null,null,null,null,null,null,null,null,null
hartmann4,Thresholded 4D Hartmann,gpr_fixed_or_existing,gpr_boundary_weighted_ivr,gpr_boundary_weighted_ivr,0,9,20,21,3970,0.9194144239354667,0.2714112000012392,False,False,False,3950,0.02419235742696349,0.397232423307056,0.23943882518065987,1.2622087491934517,0.02419235742696349,1500,1194,0.3,True,null,null,null,null,null,null,null,null,null,null,null,null
hartmann4,Thresholded 4D Hartmann,gpr_fixed_or_existing,gpr_boundary_weighted_ivr,gpr_boundary_weighted_ivr,0,10,21,22,902,1.7149062175105063,0.2745567000001756,False,False,False,897,0.024112307759461295,0.3793548538556214,0.23544474871180152,1.416472533981931,0.024112307759461295,1500,1194,0.3,True,null,null,null,null,null,null,null,null,null,null,null,null
