benchmark,display_name,surrogate_variant,acquisition_rule,method,seed,query_number,budget_before_query,budget_after_query,selected_pool_index,true_boundary_distance,acquisition_time_seconds,in_pool_boundary_band_q10,in_pool_boundary_band_q20,in_pool_boundary_band_q30,acquisition_selected_position,acquisition_selected_score,acquisition_selected_p_plus,acquisition_selected_membership_uncertainty,acquisition_selected_straddle_score,acquisition_weighted_variance_reduction,acquisition_reference_set_size,acquisition_candidate_gate_size,acquisition_candidate_gate_fraction,acquisition_posterior_covariance_used,acquisition_p_star,acquisition_U_current,acquisition_U_plus,acquisition_U_minus,acquisition_expected_future_uncertainty,acquisition_expected_uncertainty_reduction,acquisition_shortlist_size,acquisition_fantasy_refit_time_seconds,acquisition_fantasy_refit_mode,acquisition_shortlist_source,acquisition_selected_uncertainty_score,acquisition_selected_repulsion
branin,Thresholded Branin,gpr_fixed_or_existing,gpr_boundary_weighted_ivr,gpr_boundary_weighted_ivr,0,1,6,7,110,26.495087119354988,0.00869319999947038,False,False,False,106,0.07750098734689301,0.40515115735942386,0.24100369704974323,1.5679839509372877,0.07750098734689301,254,254,0.3,True,null,null,null,null,null,null,null,null,null,null,null,null
branin,Thresholded Branin,gpr_fixed_or_existing,gpr_boundary_weighted_ivr,gpr_boundary_weighted_ivr,0,2,7,8,10,178.9843611375828,0.008072399999946356,False,False,False,9,0.17903508436118534,0.37107382214114704,0.23337804066270743,1.6509099674067595,0.17903508436118534,253,253,0.3,True,null,null,null,null,null,null,null,null,null,null,null,null
branin,Thresholded Branin,gpr_fixed_or_existing,gpr_boundary_weighted_ivr,gpr_boundary_weighted_ivr,0,3,8,9,207,67.67682954377332,0.008360099998753867,False,False,False,200,0.09028509401875628,0.8325650997821689,0.13940045440687607,1.0001451916625663,0.09028509401875628,252,252,0.3,True,null,null,null,null,null,null,null,null,null,null,null,null
branin,Thresholded Branin,gpr_fixed_or_existing,gpr_boundary_weighted_ivr,gpr_boundary_weighted_ivr,0,4,9,10,107,31.770644989433173,0.008604200000263518,False,False,False,102,0.0688366674456398,0.4333122959229198,0.24555275012492775,1.2306530012234396,0.0688366674456398,251,251,0.3,True,null,null,null,null,null,null,null,null,null,null,null,null
branin,Thresholded Branin,gpr_fixed_or_existing,gpr_bernoulli_sur_refit,gpr_bernoulli_sur_refit,0,1,6,7,71,17.290491219148137,0.012349799999356037,False,False,False,68,4.433792013576372,null,null,null,null,254,254,null,null,0.3008084247586723,42.089131697743674,37.212026391895975,37.846063339664276,37.6553396841673,4.433792013576372,40,0.01058269999884942,exact_fixed_kernel_rank_one_update_equivalent_to_refit,gpr_boundary_weighted_ivr_score,null,null
branin,Thresholded Branin,gpr_fixed_or_existing,gpr_bernoulli_sur_refit,gpr_bernoulli_sur_refit,0,2,7,8,30,12.33707807401817,0.013865299999451963,False,False,True,29,2.77800893073059,null,null,null,null,253,253,null,null,4.805847055291962e-11,9.909594759324747,13.686145853279005,7.131585828279155,7.131585828594157,2.77800893073059,40,0.012100500000087777,exact_fixed_kernel_rank_one_update_equivalent_to_refit,gpr_boundary_weighted_ivr_score,null,null
branin,Thresholded Branin,gpr_fixed_or_existing,gpr_bernoulli_sur_refit,gpr_bernoulli_sur_refit,0,3,8,9,50,24.639980116857384,0.014219099999536411,False,False,False,46,1.3917769710863874,null,null,null,null,252,252,null,null,8.485995097598612e-23,6.406451249238012,7.207736984696619,5.014674278151625,5.014674278151625,1.3917769710863874,40,0.012442100000043865,exact_fixed_kernel_rank_one_update_equivalent_to_refit,gpr_boundary_weighted_ivr_score,null,null
branin,Thresholded Branin,gpr_fixed_or_existing,gpr_bernoulli_sur_refit,gpr_bernoulli_sur_refit,0,4,9,10,137,166.87405040027275,0.014196300000548945,False,False,False,129,0.980714535943191,null,null,null,null,251,251,null,null,0.9973305781499526,4.090588697407682,3.1050341693493424,4.9181579043868675,3.109874161464491,0.980714535943191,40,0.012352099998679478,exact_fixed_kernel_rank_one_update_equivalent_to_refit,gpr_boundary_weighted_ivr_score,null,null
branin,Thresholded Branin,gpc_fixed_iso,gpc_bernoulli_sur_refit,gpc_bernoulli_sur_refit,0,1,6,7,251,25.427973963232553,0.23047930000029737,False,False,False,246,0.17148877794170403,null,null,null,null,254,null,null,null,0.4878585280527865,62.30710829029967,62.26746761408837,62.01002292555513,62.13561951235796,0.17148877794170403,10,0.22825029999876278,null,classifier_uncertainty_repulsion,0.975717056105573,0.8189897015035852
branin,Thresholded Branin,gpc_fixed_iso,gpc_bernoulli_sur_refit,gpc_bernoulli_sur_refit,0,2,7,8,47,106.82165303539907,0.23053110000000743,False,False,False,44,0.11254579406773502,null,null,null,null,253,null,null,null,0.528609081055528,61.76792211516206,61.44999915728085,61.8856824841327,61.65537632109432,0.11254579406773502,10,0.22826579999855312,null,classifier_uncertainty_repulsion,0.9427818378889441,0.9859583176089161
branin,Thresholded Branin,gpc_fixed_iso,gpc_bernoulli_sur_refit,gpc_bernoulli_sur_refit,0,3,8,9,70,16.891421734412404,0.2337216999985685,False,False,False,66,0.22878415886936665,null,null,null,null,252,null,null,null,0.5044168406289824,61.211459095216306,61.09650104937896,60.86681989319018,60.98267493634694,0.22878415886936665,10,0.23149799999919196,null,classifier_uncertainty_repulsion,0.9911663187420352,0.6807892045457307
branin,Thresholded Branin,gpc_fixed_iso,gpc_bernoulli_sur_refit,gpc_bernoulli_sur_refit,0,4,9,10,177,22.353136173555697,0.23326099999940197,False,False,False,170,0.1443779048722149,null,null,null,null,251,null,null,null,0.45633401007837904,60.85245234689886,61.083001352580844,60.393374049228186,60.70807444202664,0.1443779048722149,10,0.23087649999979476,null,classifier_uncertainty_repulsion,0.9126680201567581,0.963916359754875
