name,hash,P,VX,LS,ST,LS_micrometres,observed_conduction,first_observed_conduction_timestep,initial_emptiness_frame_count,screenshot_bug_frame_count,preconduction_screenshot_bug_frame_count,screenshot_bug_any,screenshot_bug_before_first_observed_conduction,first_label,first_non_initial_emptiness_label,first_non_empty_like_label,initial_empty_like_block_stored_frames,initial_empty_like_block_timestep_width,begins_initial_emptiness_then_bug,all_preconduction_bug_in_initial_empty_like_block,all_bug_frames_in_initial_empty_like_block,initial_empty_like_block_contains_bug,screenshot_bug_after_physical_regime,screenshot_bug_block_count,screenshot_bug_block_structure,stored_frame_count,label_sequence_rle,sequence_pattern_category
P-100p408926704_VX-0p564694322144_LS-6p38706769001e-05_ST-381p633419878_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-8p54288845105e-06_H-790e4fd6dd,790e4fd6dd,100.408926704,0.564694322144,6.38706769001e-05,381.633419878,63.8706769001,True,17386.0,37,0,0,False,False,Initial Emptiness,Conduction,Conduction,37,16916.0,False,,False,False,False,0,none,247,Initial Emptiness × 37 → Conduction × 210,no_bug
P-101p127472137_VX-0p52394730996_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-3p56864695376e-06_H-b0e5aed98c,b0e5aed98c,101.127472137,0.52394730996,4.5e-05,300.0,45.0,True,11779.0,1,0,0,False,False,Initial Emptiness,Forming Phase,Forming Phase,1,0.0,False,,False,False,False,0,none,352,Initial Emptiness × 1 → Forming Phase × 59 → Conduction × 292,no_bug
P-102p025474754_VX-0p424029390103_LS-7p94734719352e-05_ST-354p238131711_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p13768543304e-05_H-6f31342894,6f31342894,102.025474754,0.424029390103,7.94734719352e-05,354.238131711,79.4734719352,True,23150.0,37,0,0,False,False,Initial Emptiness,Conduction,Conduction,37,22525.0,False,,False,False,False,0,none,185,Initial Emptiness × 37 → Conduction × 148,no_bug
P-102p449509144_VX-0p918837420936_LS-5p51471704636e-05_ST-339p471112188_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p25024394207e-06_H-b41981edcb,b41981edcb,102.449509144,0.918837420936,5.51471704636e-05,339.471112188,55.1471704636,True,10686.0,131,0,0,False,False,Initial Emptiness,Conduction,Conduction,35,10397.0,False,,False,False,False,0,none,392,Initial Emptiness × 35 → Conduction × 261 → Initial Emptiness × 96,no_bug
P-104p101541641_VX-0p916529700054_LS-8p82882842693e-05_ST-394p968412652_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p2634634783e-06_H-6014a1f9c3,6014a1f9c3,104.101541641,0.916529700054,8.82882842693e-05,394.968412652,88.2882842693,True,71553.0,1,122,36,True,True,Screenshot Bug,Screenshot Bug,Forming Phase,37,11002.0,False,True,False,True,True,2,multiple_separated_blocks,390,Screenshot Bug × 36 → Initial Emptiness × 1 → Forming Phase × 206 → Conduction × 61 → Screenshot Bug × 86,multiple_separated_bug_blocks
P-105p276295276_VX-0p639039009111_LS-7p6636834293e-05_ST-367p44858305_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p00125_DT-1p00822530836e-05_H-bf889bf790,bf889bf790,105.276295276,0.639039009111,7.6636834293e-05,367.44858305,76.636834293,True,29945.0,0,24,24,True,True,Screenshot Bug,Screenshot Bug,Forming Phase,24,14974.0,False,True,True,True,False,1,one_contiguous_block,121,Screenshot Bug × 24 → Forming Phase × 26 → Conduction × 71,initial_empty_like_block_bug_only
P-107p176159755_VX-0p320752066655_LS-8p75302281584e-05_ST-393p859643937_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p50400296819e-05_H-8daf8adcd4,8daf8adcd4,107.176159755,0.320752066655,8.75302281584e-05,393.859643937,87.53022815839999,True,53796.0,0,36,36,True,True,Screenshot Bug,Screenshot Bug,Forming Phase,36,28951.0,False,True,True,True,False,1,one_contiguous_block,141,Screenshot Bug × 36 → Forming Phase × 29 → Conduction × 76,initial_empty_like_block_bug_only
P-109p759946449_VX-0p241926176876_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-7p72873359867e-06_H-fb250c7cf9,fb250c7cf9,109.759946449,0.241926176876,4.5e-05,300.0,45.0,True,28904.0,1,0,0,False,False,Initial Emptiness,Forming Phase,Forming Phase,1,0.0,False,,False,False,False,0,none,163,Initial Emptiness × 1 → Forming Phase × 67 → Conduction × 95,no_bug
P-110p110895975_VX-0p451651242475_LS-8p6859144947e-05_ST-349p969995372_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p06810745755e-05_H-6f31342894,6f31342894,110.110895975,0.451651242475,8.6859144947e-05,349.969995372,86.859144947,True,21148.0,33,0,0,False,False,Initial Emptiness,Conduction,Conduction,33,20561.0,False,,False,False,False,0,none,195,Initial Emptiness × 33 → Conduction × 162,no_bug
P-110p131967455_VX-0p225166085115_LS-5p63312318207e-05_ST-326p092691949_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-2p14247212255e-05_H-b41981edcb,b41981edcb,110.131967455,0.225166085115,5.63312318207e-05,326.092691949,56.3312318207,True,42436.0,36,0,0,False,False,Initial Emptiness,Conduction,Conduction,36,41256.0,False,,False,False,False,0,none,100,Initial Emptiness × 36 → Conduction × 64,no_bug
