name,observed_target,clean_trained_prediction,clean_trained_std,clean_trained_absolute_error,broad_observed_target_check,broad_trained_prediction,broad_trained_std,broad_trained_absolute_error,paired_improvement_clean_minus_broad,paired_outcome
P-101p127472137_VX-0p52394730996_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-3p56864695376e-06_H-b0e5aed98c,11779.0,17417.782353810486,1005.4298682859936,5638.782353810486,11779.0,15772.054175505735,3562.0225490816138,3993.0541755057347,1645.728178304751,improved_by_broad_training
P-109p759946449_VX-0p241926176876_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-7p72873359867e-06_H-fb250c7cf9,28904.0,39388.7969609602,1134.4029476259432,10484.7969609602,28904.0,28322.017102571423,5787.277732241003,581.9828974285774,9902.814063531623,improved_by_broad_training
P-122p148440758_VX-0p768953415756_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-2p43159459768e-06_H-306f9d252b,9630.0,11919.03220127673,1211.6757385297472,2289.03220127673,9630.0,11787.311332004989,3983.8142999304714,2157.311332004989,131.72086927174132,improved_by_broad_training
P-126p228008246_VX-0p201684842681_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-9p27081552964e-06_H-306f9d252b,33658.0,32365.1365155403,1265.0592948738104,1292.8634844597,33658.0,31782.52116799012,4111.400753522441,1875.4788320098814,-582.6153475501815,worsened_by_broad_training
P-133p003569327_VX-0p736244453131_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-2p53962249042e-06_H-306f9d252b,13551.0,10257.125346559751,1505.1888117791516,3293.874653440249,13551.0,10504.27815434185,4399.217752488056,3046.7218456581504,247.15280778209853,improved_by_broad_training
P-133p757797566_VX-0p645163458122_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-2p89815386795e-06_H-306f9d252b,12754.0,15690.159998631427,2298.6972045084294,2936.159998631427,12754.0,18143.28197114345,7893.47880845437,5389.2819711434495,-2453.1219725120227,worsened_by_broad_training
P-134p442185153_VX-0p806363522352_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-2p3187841709e-06_H-b0e5aed98c,9949.0,9364.54840280122,1509.2998431307014,584.4515971987803,9949.0,10238.79850918497,4257.506012404925,289.7985091849696,294.6530880138107,improved_by_broad_training
P-135p208661893_VX-0p295797438033_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-6p32116012922e-06_H-fb250c7cf9,24334.0,27018.66186579939,1253.8118107505375,2684.6618657993895,24334.0,27737.670287921377,4356.644213783112,3403.670287921377,-719.0084221219877,worsened_by_broad_training
P-138p247900083_VX-0p876957934743_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-2p13212389961e-06_H-306f9d252b,8679.0,8671.38944031981,1043.7105642828863,7.610559680189908,8679.0,7076.581580033049,3780.510363932877,1602.4184199669508,-1594.8078602867608,worsened_by_broad_training
P-140p119887795_VX-0p222892199661_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-8p38873219639e-06_H-fb250c7cf9,31376.0,33548.59844729804,811.5609369634017,2172.5984472980417,31376.0,33207.570994275586,2530.901155552843,1831.5709942755857,341.02745302245603,improved_by_broad_training
P-140p539865228_VX-0p255658736827_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-7p31358918074e-06_H-fb250c7cf9,30169.0,28541.116106861802,746.4693368941258,1627.883893138198,30169.0,28365.151241026862,2282.0620435471874,1803.8487589731376,-175.9648658349397,worsened_by_broad_training
P-140p974625597_VX-0p98622838083_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-1p89589248085e-06_H-b0e5aed98c,8656.0,9528.604568771374,2593.662364643245,872.604568771374,8656.0,10239.156736371773,11294.523128494862,1583.1567363717731,-710.5521676003991,worsened_by_broad_training
P-149p254341218_VX-0p887957223036_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-2p10571289147e-06_H-306f9d252b,8108.0,8648.32972874751,1151.9516347503982,540.3297287475107,8108.0,10308.691904119427,4647.404011568662,2200.691904119427,-1660.3621753719162,worsened_by_broad_training
P-243p936893462_VX-0p545516283598_LS-5p6904291389e-05_ST-360p082453969_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-8p84322017154e-06_H-e0ed0fec98,16538.0,16409.681652136944,2556.7248478128668,128.31834786305626,16538.0,20710.55642248215,15388.979887381105,4172.55642248215,-4044.238074619094,worsened_by_broad_training
P-52p5445860993_VX-0p633129978235_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-2p95323714861e-06_H-306f9d252b,13322.0,8827.105220442361,1249.4807312392716,4494.894779557639,13322.0,10768.54891086687,5560.130030422928,2553.45108913313,1941.4436904245085,improved_by_broad_training
P-53p4525830151_VX-0p394191978834_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-4p7433308439e-06_H-306f9d252b,9915.0,21052.239311028083,3551.62983573624,11137.239311028083,9915.0,14659.46919598912,10677.319562213772,4744.469195989121,6392.770115038962,improved_by_broad_training
P-55p2363598851_VX-0p252312006514_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-7p41059847866e-06_H-fb250c7cf9,14268.0,12747.812467277505,1335.6268358122434,1520.1875327224952,14268.0,12695.095727758475,3591.93902275387,1572.9042722415252,-52.71673951902994,worsened_by_broad_training
P-59p3859586774_VX-0p222677981218_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-8p39680224058e-06_H-306f9d252b,15242.0,16551.592008476684,936.8638509904619,1309.592008476684,15242.0,16943.325887297335,2724.8358667493944,1701.3258872973347,-391.7338788206507,worsened_by_broad_training
P-63p4364244112_VX-0p87794698955_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-2p12972194663e-06_H-306f9d252b,5389.0,8654.408997512479,2488.0187142467157,3265.408997512479,5389.0,7676.36339204825,7001.380656313921,2287.36339204825,978.0456054642291,improved_by_broad_training
P-67p3007401579_VX-0p639039009111_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-2p92592931724e-06_H-306f9d252b,8852.0,11057.673621581587,1030.7579385920271,2205.673621581587,8852.0,9824.255359438892,3869.293310974215,972.2553594388919,1233.4182621426953,improved_by_broad_training
P-71p6599397131_VX-0p537693260466_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-3p47741567376e-06_H-306f9d252b,10329.0,9090.817221520445,1134.915582292596,1238.182778479555,10329.0,9057.270181096294,3094.5260479059807,1271.7298189037065,-33.54704042415142,worsened_by_broad_training
P-71p8781037338_VX-0p56768277259_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-3p29371096306e-06_H-306f9d252b,8696.0,10388.910855868584,971.6168242699061,1692.910855868584,8696.0,9820.46860921432,2599.3388736175907,1124.4686092143202,568.4422466542637,improved_by_broad_training
P-72p876222127_VX-0p956216556443_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-1p95539698515e-06_H-306f9d252b,4840.0,8706.777930524355,2997.7382076686886,3866.777930524355,4840.0,6664.288867064977,9702.414939450735,1824.2888670649772,2042.4890634593776,improved_by_broad_training
P-74p5163352518_VX-0p201002332148_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-9p30229491189e-06_H-fb250c7cf9,21999.0,21521.93146463327,1505.654397291571,477.0685353667286,21999.0,19930.775489070453,4913.887108643375,2068.2245109295473,-1591.1559755628186,worsened_by_broad_training
P-78p18378444_VX-0p804643363326_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-2p32374124592e-06_H-b0e5aed98c,8564.0,8104.899926316417,2452.935991276201,459.1000736835831,8564.0,6651.836600233011,7368.0501044299335,1912.1633997669887,-1453.0633260834056,worsened_by_broad_training
P-93p7887593651_VX-0p596649793105_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-3p13380310062e-06_H-306f9d252b,9653.0,12090.097169545614,878.1854295343487,2437.0971695456137,9653.0,12015.308670644969,2714.816549411446,2362.3086706449685,74.78849890064521,improved_by_broad_training
P-97p6596954152_VX-0p666705631564_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-2p80451054123e-06_H-b0e5aed98c,9719.0,7864.4260137910605,1828.966728991337,1854.5739862089395,9719.0,8015.399837976642,5391.0188811892085,1703.6001620233583,150.97382418558118,improved_by_broad_training
