dataset,name,observed_target,isotropic_predicted_mean,isotropic_predicted_std,isotropic_absolute_error,isotropic_squared_error,ard_observed_target_check,ard_predicted_mean,ard_predicted_std,ard_absolute_error,ard_squared_error,paired_absolute_error_improvement_isotropic_minus_ard,paired_squared_error_improvement_isotropic_minus_ard,paired_outcome
clean,P-101p127472137_VX-0p52394730996_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-3p56864695376e-06_H-b0e5aed98c,11779.0,15759.908885070196,823.3105354052169,3980.908885070196,15847635.551230827,11779.0,17417.782353810486,1005.4298682859936,5638.782353810486,31795866.433644522,-1657.8734687402898,-15948230.882413695,ARD_worsened
clean,P-109p759946449_VX-0p241926176876_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-7p72873359867e-06_H-fb250c7cf9,28904.0,28732.380762150147,2011.426137893068,171.61923784985265,29453.162800164297,28904.0,39388.7969609602,1134.4029476259432,10484.7969609602,109930967.31256026,-10313.177723110348,-109901514.1497601,ARD_worsened
clean,P-122p148440758_VX-0p768953415756_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-2p43159459768e-06_H-306f9d252b,9630.0,12114.646718936145,1401.7065780479752,2484.6467189361447,6173469.317920149,9630.0,11919.03220127673,1211.6757385297472,2289.03220127673,5239668.418481792,195.61451765941456,933800.899438357,ARD_improved
clean,P-126p228008246_VX-0p201684842681_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-9p27081552964e-06_H-306f9d252b,33658.0,31402.898583385577,1412.1526693434298,2255.101416614423,5085482.399216378,33658.0,32365.1365155403,1265.0592948738104,1292.8634844597,1671495.9894492768,962.2379321547232,3413986.4097671015,ARD_improved
clean,P-133p003569327_VX-0p736244453131_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-2p53962249042e-06_H-306f9d252b,13551.0,10725.591291422528,1164.3233925392035,2825.408708577472,7982934.370505417,13551.0,10257.125346559751,1505.1888117791516,3293.874653440249,10849610.23257612,-468.4659448627767,-2866675.862070704,ARD_worsened
clean,P-133p757797566_VX-0p645163458122_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-2p89815386795e-06_H-306f9d252b,12754.0,17328.397552701572,2279.3779913885182,4574.397552701572,20925112.97016213,12754.0,15690.159998631427,2298.6972045084294,2936.159998631427,8621035.5375633,1638.237554070145,12304077.432598831,ARD_improved
clean,P-134p442185153_VX-0p806363522352_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-2p3187841709e-06_H-b0e5aed98c,9949.0,10615.749833924549,1127.5475394296072,666.7498339245467,444555.3410384106,9949.0,9364.54840280122,1509.2998431307014,584.4515971987803,341583.6694682053,82.2982367257664,102971.6715702053,ARD_improved
clean,P-135p208661893_VX-0p295797438033_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-6p32116012922e-06_H-fb250c7cf9,24334.0,27811.82676633928,1132.6659261645707,3477.826766339276,12095279.016665906,24334.0,27018.66186579939,1253.8118107505375,2684.6618657993895,7207409.3336774595,793.1649005398867,4887869.682988446,ARD_improved
clean,P-138p247900083_VX-0p876957934743_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-2p13212389961e-06_H-306f9d252b,8679.0,7678.795090883323,1195.0291672808808,1000.2049091166772,1000409.8602211009,8679.0,8671.38944031981,1043.7105642828863,7.610559680189908,57.92061864573232,992.5943494364873,1000351.9396024551,ARD_improved
clean,P-140p119887795_VX-0p222892199661_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-8p38873219639e-06_H-fb250c7cf9,31376.0,33356.94840657567,697.529011116528,1980.9484065756697,3924156.589514685,31376.0,33548.59844729804,811.5609369634017,2172.5984472980417,4720184.013201862,-191.65004072237207,-796027.4236871768,ARD_worsened
clean,P-140p539865228_VX-0p255658736827_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-7p31358918074e-06_H-fb250c7cf9,30169.0,28369.57048709412,564.8544203700163,1799.429512905881,3237946.571916696,30169.0,28541.116106861802,746.4693368941258,1627.883893138198,2650005.9695387757,171.5456197676831,587940.6023779204,ARD_improved
clean,P-140p974625597_VX-0p98622838083_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-1p89589248085e-06_H-b0e5aed98c,8656.0,7969.85574470881,3236.6484467140963,686.1442552911903,470793.93906910217,8656.0,9528.604568771374,2593.662364643245,872.604568771374,761438.7334406757,-186.4603134801837,-290644.7943715735,ARD_worsened
