benchmark,method,seed,query_number,budget_before_query,budget_after_query,selected_pool_index,true_boundary_distance,in_pool_boundary_band_q10,in_pool_boundary_band_q20,in_pool_boundary_band_q30,acquisition_shortlist_size,acquisition_requested_shortlist_size,acquisition_finite_difference_h,acquisition_curvature_clip,acquisition_repulsion_bandwidth,acquisition_boundary_weight_power,acquisition_selected_position,acquisition_selected_shortlist_position,acquisition_selected_raw_straddle,acquisition_selected_normalized_uncertainty,acquisition_selected_boundary_weight,acquisition_selected_raw_curvature,acquisition_selected_normalized_curvature,acquisition_selected_repulsion,acquisition_selected_gbc_score,acquisition_fallback_used
branin,gated_geometric_boundary_contraction,0,1,6,7,634,4.503604985256828,True,True,True,200,200,0.001,10.0,0.15,1.0,630,115,1.9700655248060965,0.9315903856797724,0.9999948068716586,0.8084277008730167,0.9999999999987631,0.8966897222437223,0.8353431861121813,False
branin,gated_geometric_boundary_contraction,0,2,7,8,1159,257.19156557067254,False,False,False,200,200,0.001,10.0,0.15,1.0,1153,133,1.9683369313000534,0.9998041495696921,0.9998286849769507,2.0897145359561935,0.20897145294586975,0.8995218774007655,0.18790538228050008,False
branin,gated_geometric_boundary_contraction,0,3,8,9,387,24.39408539577969,False,False,False,200,200,0.001,10.0,0.15,1.0,384,174,1.9660215932224667,0.7037708752094826,0.9994458746470778,10.0,0.9999999999999,0.6904005052268107,0.48561452729417687,False
branin,gated_geometric_boundary_contraction,0,4,9,10,427,16.92740757112702,False,False,False,200,200,0.001,10.0,0.15,1.0,423,110,1.966200424413692,0.9999733216576836,0.9998324384512267,6.221001905420773,0.9999999999998392,0.9180763292534612,0.9178980063111513,False
branin,gated_geometric_boundary_contraction,0,5,10,11,663,53.97224215034656,False,False,False,200,200,0.001,10.0,0.15,1.0,656,191,1.9572395818061423,0.9346915417930969,0.9954511979164108,8.89650566373742,0.8896505662830152,0.6751572247157883,0.5588724034059362,False
branin,gated_geometric_boundary_contraction,0,6,11,12,95,19.88488419371498,False,False,False,200,200,0.001,10.0,0.15,1.0,94,173,1.9604682371448106,0.6583156179507008,0.9976625002351691,10.0,0.9999999999999,0.6103948140718194,0.4008931559873756,False
branin,gated_geometric_boundary_contraction,0,7,12,13,1468,58.34071743702734,False,False,False,200,200,0.001,10.0,0.15,1.0,1457,187,1.9568653599563262,0.9832701117594638,0.9943275518325467,5.2328709663319914,0.9999999999998089,0.7278156750221927,0.7115799727154606,False
branin,gated_geometric_boundary_contraction,0,8,13,14,1011,26.057925400300128,False,False,False,200,200,0.001,10.0,0.15,1.0,1001,190,1.9519777326963492,0.8882334271463487,0.9933827318211416,10.0,0.9999999999999,0.6287020616523918,0.5547388781006257,False
branin,gated_geometric_boundary_contraction,0,9,14,15,562,69.28906999134817,False,False,False,200,200,0.001,10.0,0.15,1.0,556,178,1.9535324847149427,0.9409190253331007,0.9946290408158593,3.331484646972947,0.8102862863123016,0.7782921628358663,0.590193648588656,False
branin,gated_geometric_boundary_contraction,0,10,15,16,265,47.517880410889376,False,False,False,200,200,0.001,10.0,0.15,1.0,261,15,1.9815687098204426,0.9796898355338471,0.9717773282768043,9.211669891551495,0.9207399800430776,0.9021518403706362,0.7908097326489992,False
branin,gated_geometric_boundary_contraction,0,11,16,17,1405,175.77517785117627,False,False,False,200,200,0.001,10.0,0.15,1.0,1391,3,1.731304097930536,0.9879156813356782,0.8529096027587422,5.59476477654128,0.5589574539506362,0.8700664867802941,0.4097831306688394,False
branin,gated_geometric_boundary_contraction,0,12,17,18,134,4.519286021858228,True,True,True,200,200,0.001,10.0,0.15,1.0,132,15,1.4140881373721634,0.7529612151223878,0.9543163564786361,10.0,0.9999999999998997,0.4691985166058257,0.33714878911589025,False
branin,gated_geometric_boundary_contraction,0,13,18,19,1259,7.732855442165601,False,True,True,200,200,0.001,10.0,0.15,1.0,1244,1,1.7679437611098408,0.9367139771088442,0.9999595040660941,4.957296817461676,0.6307467346338859,0.6048816432329711,0.35736731466717375,False
branin,gated_geometric_boundary_contraction,0,14,19,20,1042,57.36191575868351,False,False,False,200,200,0.001,10.0,0.15,1.0,1028,0,1.551740865911466,0.8226302878813868,0.9743287131961653,5.3894014810110376,0.6657865607639792,0.5158463084860401,0.2752742247279712,False
branin,gated_geometric_boundary_contraction,0,15,20,21,1141,138.46096778017312,False,False,False,200,200,0.001,10.0,0.15,1.0,1126,193,0.5386087015209198,0.87908207662605,0.40290606490970493,7.147153900095979,0.9999999999998596,0.5548961969644121,0.19653729688774133,False
branin,gated_geometric_boundary_contraction,0,16,21,22,803,19.35000580154196,False,False,False,200,200,0.001,10.0,0.15,1.0,790,10,1.1564590823889331,0.818547522156784,0.8001754279036638,2.996439955615644,0.4437963196316395,0.6038103379702585,0.1755146408364018,False
branin,gated_geometric_boundary_contraction,0,17,22,23,827,10.569014389655564,False,False,True,200,200,0.001,10.0,0.15,1.0,813,128,0.5822149036945287,0.6729045485261008,0.5562331403970454,3.2542049614482607,0.448672330967907,0.5343846998488122,0.08974156269001118,False
branin,gated_geometric_boundary_contraction,0,18,23,24,923,33.385779858261515,False,False,False,200,200,0.001,10.0,0.15,1.0,908,4,0.8560152538280045,0.5073486054664031,0.8742780364205343,2.4971670887298143,0.3485664701746677,0.5318228569607398,0.08222590201778059,False
branin,gated_geometric_boundary_contraction,0,19,24,25,602,25.28400007001605,False,False,False,200,200,0.001,10.0,0.15,1.0,592,170,0.4179021551590534,0.45717454337240754,0.5810884870981452,5.764420447740248,0.679349852433703,0.44577728589528653,0.08045179381162297,False
branin,gated_geometric_boundary_contraction,0,20,25,26,114,2.9867752328859822,True,True,True,200,200,0.001,10.0,0.15,1.0,112,30,0.7189313170162229,0.3431677744200313,0.9503943259200138,6.482239574364928,0.7107895848570038,0.3393468496690284,0.07866747489684435,False
branin,gated_geometric_boundary_contraction,0,21,26,27,1320,26.59814208014088,False,False,False,200,200,0.001,10.0,0.15,1.0,1297,37,0.8611222868676286,0.7136369955112087,0.6367048558730999,6.676510910516688,0.6674842492132387,0.33688508522262406,0.10217351262268277,False
