simulation_id,numeric_simulation_id,row_index,iteration,time_s,x_min_m,x_max_m,y_min_m,y_max_m,z_min_m,z_max_m,delta_x_m,delta_y_m,delta_z_m,center_x_m,center_y_m,center_z_m,penetration_depth_m,melt_bounds_valid,in_selected_window
sim_00001,1,0,0.0,0.0,3.402823e+38,-3.402823e+38,3.402823e+38,-3.402823e+38,3.402823e+38,-3.402823e+38,,,,,,,,False,False
sim_00001,1,111,111.0,2.018181e-06,2e-06,2e-06,-2e-06,2e-06,-1.99999e-06,-1.99999e-06,0.0,4e-06,0.0,2e-06,0.0,-1.99999e-06,1.99999e-06,True,False
sim_00001,1,172,172.0,3.127266e-06,-1.395794e-05,1.797706e-05,-1.798447e-05,1.798447e-05,-2.186249e-06,-6.438376e-08,3.1935e-05,3.596894e-05,2.1218652399999997e-06,2.009560000000001e-06,0.0,-1.12531638e-06,2.186249e-06,True,False
sim_00001,1,344,344.0,6.25452e-06,-2.530753e-05,2.969841e-05,-2.488474e-05,2.488475e-05,-2.979243e-06,2.652063e-06,5.5005940000000004e-05,4.976949e-05,5.6313059999999995e-06,2.1954400000000004e-06,5.000000000349777e-12,-1.6358999999999994e-07,2.979243e-06,True,False
sim_00001,1,517,517.0,9.399955e-06,-2.567961e-05,3.306521e-05,-2.957206e-05,2.960463e-05,-6.042206e-06,3.464112e-06,5.8744819999999995e-05,5.917669e-05,9.506318e-06,3.692799999999998e-06,1.6284999999999116e-08,-1.289047e-06,6.042206e-06,True,False
sim_00001,1,689,689.0,1.252721e-05,-2.938916e-05,3.766889e-05,-3.388959e-05,3.38713e-05,-6.540822e-06,5.91984e-06,6.705805e-05,6.776089000000001e-05,1.2460662e-05,4.139865e-06,-9.144999999999385e-09,-3.104910000000002e-07,6.540822e-06,True,False
sim_00001,1,862,862.0,1.567267e-05,-2.970609e-05,3.662018e-05,-3.388475e-05,3.390072e-05,-1.015636e-05,7.86561e-06,6.632627e-05,6.778547e-05,1.8021970000000003e-05,3.457044999999999e-06,7.984999999999552e-09,-1.145375e-06,1.015636e-05,True,False
sim_00001,1,1034,1034.0,1.880008e-05,-2.658868e-05,4.057381e-05,-3.38061e-05,3.372168e-05,-1.043356e-05,4.910977e-06,6.716249e-05,6.752778e-05,1.5344537e-05,6.992565000000001e-06,-4.221000000000175e-08,-2.7612915000000002e-06,1.043356e-05,True,False
sim_00001,1,1206,1206.0,2.192749e-05,-2.767149e-05,4.572359e-05,-3.75671e-05,3.741005e-05,-1.399892e-05,3.334027e-06,7.339508e-05,7.497715e-05,1.7332947e-05,9.026050000000001e-06,-7.852500000000108e-08,-5.3324465000000005e-06,1.399892e-05,True,False
sim_00001,1,1379,1379.0,2.507308e-05,-2.960973e-05,4.510376e-05,-3.779427e-05,3.756121e-05,-1.418186e-05,5.404181e-06,7.471349e-05,7.535548e-05,1.9586041e-05,7.747014999999998e-06,-1.1653000000000005e-07,-4.388839499999999e-06,1.418186e-05,True,False
sim_00001,1,1551,1551.0,2.820049e-05,-3.074358e-05,4.934082e-05,-3.764209e-05,3.768364e-05,-1.434127e-05,4.154068e-06,8.00844e-05,7.532573000000001e-05,1.8495338e-05,9.29862e-06,2.0774999999999814e-08,-5.093601000000001e-06,1.434127e-05,True,False
sim_00001,1,1724,1724.0,3.134608e-05,-3.105085e-05,4.809508e-05,-4.167757e-05,4.12344e-05,-1.798959e-05,3.986586e-06,7.914593e-05,8.291196999999999e-05,2.1976176000000002e-05,8.522114999999999e-06,-2.2158500000000035e-07,-7.001502e-06,1.798959e-05,True,False
sim_00001,1,1896,1896.0,3.447349e-05,-3.496281e-05,5.326949e-05,-4.195179e-05,4.169048e-05,-1.834842e-05,5.108991e-06,8.82323e-05,8.364227e-05,2.3457411e-05,9.153340000000002e-06,-1.3065499999999884e-07,-6.6197145e-06,1.834842e-05,True,False
sim_00001,1,2069,2069.0,3.761908e-05,-3.55612e-05,5.398816e-05,-4.189091e-05,4.195979e-05,-1.858743e-05,4.382006e-06,8.954936e-05,8.38507e-05,2.2969436e-05,9.213480000000001e-06,3.443999999999691e-08,-7.102712e-06,1.858743e-05,True,False
sim_00001,1,2241,2241.0,4.074649e-05,-3.538066e-05,5.651837e-05,-4.321371e-05,4.351779e-05,-2.211433e-05,5.38263e-06,9.189903000000001e-05,8.67315e-05,2.7496960000000002e-05,1.0568855e-05,1.5203999999999728e-07,-8.36585e-06,2.211433e-05,True,False
sim_00001,1,2413,2413.0,4.38739e-05,-3.50942e-05,5.629065e-05,-4.59337e-05,4.599368e-05,-2.238683e-05,6.624953e-06,9.138485000000001e-05,9.192738e-05,2.9011783e-05,1.0598225000000001e-05,2.999000000000071e-08,-7.8809385e-06,2.238683e-05,True,False
sim_00001,1,2586,2586.0,4.70195e-05,-3.595705e-05,6.090393e-05,-4.629784e-05,4.610038e-05,-2.241163e-05,7.208317e-06,9.686098e-05,9.239822000000001e-05,2.9619947e-05,1.2473440000000001e-05,-9.872999999999829e-08,-7.6016565e-06,2.241163e-05,True,False
sim_00001,1,2758,2758.0,5.014691e-05,-3.566133e-05,6.127775e-05,-4.68064e-05,4.62381e-05,-2.260377e-05,6.993732e-06,9.693908e-05,9.30445e-05,2.9597502e-05,1.2808210000000001e-05,-2.8414999999999964e-07,-7.805019e-06,2.260377e-05,True,False
sim_00001,1,2931,2931.0,5.32925e-05,-3.573582e-05,6.215231e-05,-4.648139e-05,4.683701e-05,-2.615178e-05,7.173144e-06,9.788813e-05,9.33184e-05,3.3324924e-05,1.3208245000000003e-05,1.7781000000000093e-07,-9.489318e-06,2.615178e-05,True,False
sim_00001,1,3103,3103.0,5.641991e-05,-3.64314e-05,6.469373e-05,-4.719295e-05,4.708328e-05,-2.628894e-05,7.71268e-06,0.00010112513,9.427622999999999e-05,3.4001620000000005e-05,1.4131164999999999e-05,-5.483499999999725e-08,-9.28813e-06,2.628894e-05,True,False
sim_00001,1,3275,3275.0,5.954732e-05,-3.656088e-05,6.594176e-05,-4.745801e-05,4.756847e-05,-2.650121e-05,8.378414e-06,0.00010250263999999999,9.502648e-05,3.4879624e-05,1.4690439999999997e-05,5.5230000000001164e-08,-9.061398e-06,2.650121e-05,True,False
sim_00001,1,3448,3448.0,6.269291e-05,-3.627085e-05,6.971083e-05,-5e-05,4.767211e-05,-2.670591e-05,8.60238e-06,0.00010598168,9.767211e-05,3.530829e-05,1.671999e-05,-1.1639450000000006e-06,-9.051765e-06,2.670591e-05,True,False
sim_00001,1,3620,3620.0,6.582032e-05,-3.57095e-05,6.833799e-05,-4.992441e-05,4.993355e-05,-2.999251e-05,8.774487e-06,0.00010404749,9.985796e-05,3.8766997e-05,1.6314244999999997e-05,4.5700000000012115e-09,-1.06090115e-05,2.999251e-05,True,False
sim_00001,1,3793,3793.0,6.896591e-05,-3.593692e-05,7.363587e-05,-4.970839e-05,5.02552e-05,-3.014308e-05,9.17442e-06,0.00010957279,9.996359e-05,3.93175e-05,1.8849475e-05,2.7340500000000014e-07,-1.0484330000000001e-05,3.014308e-05,True,False
sim_00001,1,3965,3965.0,7.209332e-05,-3.644247e-05,7.385026e-05,-5.021104e-05,5.029469e-05,-3.033626e-05,9.549572e-06,0.00011029272999999999,0.00010050573,3.9885832e-05,1.8703895e-05,4.1824999999998537e-08,-1.0393344000000001e-05,3.033626e-05,True,False
sim_00001,1,4138,4138.0,7.523892e-05,-3.636691e-05,7.326849e-05,-5.04957e-05,5.044528e-05,-3.042978e-05,1.002049e-05,0.00010963539999999999,0.00010094098,4.045027e-05,1.845079e-05,-2.5209999999998358e-08,-1.0204645e-05,3.042978e-05,True,False
sim_00001,1,4310,4310.0,7.836633e-05,-3.596177e-05,7.677177e-05,-5.160592e-05,5.107678e-05,-3.028906e-05,1.063484e-05,0.00011273354,0.0001026827,4.09239e-05,2.0405e-05,-2.645700000000021e-07,-9.82711e-06,3.028906e-05,True,False
sim_00001,1,4482,4482.0,8.149374e-05,-3.591545e-05,7.520516e-05,-5.140463e-05,5.156829e-05,-3.060385e-05,1.077641e-05,0.00011112061,0.00010297292,4.138026e-05,1.9644854999999996e-05,8.18299999999985e-08,-9.913719999999998e-06,3.060385e-05,True,False
sim_00001,1,4655,4655.0,8.463933e-05,-3.618557e-05,8.06693e-05,-5.120134e-05,5.146559e-05,-3.400049e-05,1.115202e-05,0.00011685487,0.00010266693,4.515251e-05,2.2241865000000002e-05,1.3212500000000003e-07,-1.1424235e-05,3.400049e-05,True,False
sim_00001,1,4827,4827.0,8.776674e-05,-3.685289e-05,8.10226e-05,-5.130072e-05,5.149056e-05,-3.409997e-05,1.096206e-05,0.00011787549,0.00010279128,4.506203e-05,2.2084855e-05,9.491999999999942e-08,-1.1568955e-05,3.409997e-05,True,False
sim_00001,1,5000,5000.0,9.091233e-05,-3.645925e-05,8.543233e-05,-5.143826e-05,5.152054e-05,-3.427692e-05,1.095274e-05,0.00012189158,0.0001029588,4.522966e-05,2.448654e-05,4.113999999999805e-08,-1.1662089999999999e-05,3.427692e-05,True,False
sim_00001,1,5172,5172.0,9.403974e-05,-3.577788e-05,8.351491e-05,-5.397435e-05,5.161149e-05,-3.426142e-05,1.160434e-05,0.00011929279,0.00010558584,4.5865759999999994e-05,2.3868514999999998e-05,-1.1814300000000006e-06,-1.132854e-05,3.426142e-05,True,False
sim_00001,1,5344,5344.0,9.716715e-05,-3.546973e-05,8.28126e-05,-5.39498e-05,5.380026e-05,-3.439189e-05,1.164733e-05,0.00011828233,0.00010775006,4.603922e-05,2.3671434999999997e-05,-7.477000000000267e-08,-1.1372279999999998e-05,3.439189e-05,True,False
sim_00001,1,5517,5517.0,0.0001003127,-3.575041e-05,8.969359e-05,-5.388412e-05,5.419721e-05,-3.440142e-05,1.138838e-05,0.000125444,0.00010808133000000001,4.57898e-05,2.6971589999999997e-05,1.5654499999999733e-07,-1.150652e-05,3.440142e-05,True,False
sim_00001,1,5689,5689.0,0.0001034402,-3.54457e-05,8.808827e-05,-5.399068e-05,5.442382e-05,-3.443633e-05,1.15139e-05,0.00012353397,0.0001084145,4.595023e-05,2.6321285000000004e-05,2.165699999999985e-07,-1.1461215000000002e-05,3.443633e-05,True,False
sim_00001,1,5862,5862.0,0.0001065858,-3.56382e-05,9.37572e-05,-5.425798e-05,5.447401e-05,-3.44838e-05,1.124713e-05,0.0001293954,0.00010873199,4.5730929999999995e-05,2.9059500000000002e-05,1.0801500000000069e-07,-1.1618335e-05,3.44838e-05,True,False
sim_00001,1,6034,6034.0,0.0001097132,-3.545281e-05,9.398749e-05,-5.403105e-05,5.414175e-05,-3.799831e-05,1.176727e-05,0.0001294403,0.0001081728,4.9765579999999995e-05,2.926734e-05,5.5349999999999394e-08,-1.311552e-05,3.799831e-05,True,False
sim_00001,1,6207,6207.0,0.0001128588,-3.46271e-05,9.370918e-05,-5.510698e-05,5.501695e-05,-3.807297e-05,1.233683e-05,0.00012833628000000002,0.00011012393,5.04098e-05,2.9541040000000003e-05,-4.501499999999808e-08,-1.2868069999999998e-05,3.807297e-05,True,False
sim_00001,1,6379,6379.0,0.0001159862,-3.412768e-05,9.734347e-05,-5.499467e-05,5.554386e-05,-3.817985e-05,1.256831e-05,0.00013147115,0.00011053853,5.074816e-05,3.1607895e-05,2.745949999999987e-07,-1.280577e-05,3.817985e-05,True,False
sim_00001,1,6551,6551.0,0.0001191136,-3.445869e-05,9.526423e-05,-5.541217e-05,5.532313e-05,-3.82915e-05,1.272358e-05,0.00012972292,0.00011073530000000001,5.101508e-05,3.040277e-05,-4.452000000000072e-08,-1.2783959999999999e-05,3.82915e-05,True,False
sim_00001,1,6724,6724.0,0.0001222591,-3.36632e-05,0.0001014395,-5.521075e-05,5.556249e-05,-3.834897e-05,1.274609e-05,0.0001351027,0.00011077324000000001,5.109506e-05,3.3888149999999995e-05,1.7587000000000074e-07,-1.2801439999999999e-05,3.834897e-05,True,False
sim_00001,1,6896,6896.0,0.0001253853,-3.280458e-05,0.0001013755,-5.533953e-05,5.553215e-05,-3.834865e-05,1.185352e-05,0.00013418008,0.00011087168000000001,5.0202169999999996e-05,3.4285460000000006e-05,9.63099999999984e-08,-1.3247565e-05,3.834865e-05,True,False
sim_00001,1,7069,7069.0,0.0001285296,-3.224167e-05,0.0001008381,-5.561063e-05,5.525765e-05,-3.842609e-05,1.202316e-05,0.00013307977,0.00011086828,5.044925e-05,3.4298215000000004e-05,-1.7649000000000007e-07,-1.3201465e-05,3.842609e-05,True,False
sim_00001,1,7241,7241.0,0.0001316557,-3.216726e-05,0.0001046714,-5.569314e-05,5.564421e-05,-3.868094e-05,1.241419e-05,0.00013683865999999999,0.00011133734999999999,5.109513e-05,3.625207e-05,-2.446500000000045e-08,-1.3133375e-05,3.868094e-05,True,False
sim_00001,1,7413,7413.0,0.0001347819,-3.090497e-05,0.0001024772,-5.566583e-05,5.592173e-05,-3.884829e-05,1.223231e-05,0.00013338217,0.00011158756,5.10806e-05,3.5786115e-05,1.2794999999999934e-07,-1.3307989999999998e-05,3.884829e-05,True,False
sim_00001,1,7586,7586.0,0.0001379262,-3.020898e-05,0.0001088612,-5.54837e-05,5.586596e-05,-3.894154e-05,1.139916e-05,0.00013907018,0.00011134966,5.0340700000000004e-05,3.9326110000000004e-05,1.91130000000001e-07,-1.377119e-05,3.894154e-05,True,False
sim_00001,1,7758,7758.0,0.0001410524,-2.931677e-05,0.0001087543,-5.539484e-05,5.585807e-05,-3.884732e-05,1.130216e-05,0.00013807107000000002,0.00011125291,5.014948e-05,3.9718765e-05,2.3161499999999727e-07,-1.377258e-05,3.884732e-05,True,False
sim_00001,1,7931,7931.0,0.0001441967,-2.896359e-05,0.0001137725,-5.571856e-05,5.551099e-05,-4.21452e-05,1.245248e-05,0.00014273609,0.00011122955,5.459768e-05,4.2404455e-05,-1.0378500000000294e-07,-1.4846359999999998e-05,4.21452e-05,True,False
sim_00001,1,8103,8103.0,0.0001473229,-2.866929e-05,0.0001117164,-5.573533e-05,5.563147e-05,-4.218775e-05,1.251907e-05,0.00014038568999999999,0.0001113668,5.470682e-05,4.1523555e-05,-5.1929999999997316e-08,-1.483434e-05,4.218775e-05,True,False
sim_00001,1,8276,8276.0,0.0001504672,-2.860355e-05,0.0001139628,-5.776311e-05,5.755902e-05,-4.21657e-05,1.271761e-05,0.00014256635000000001,0.00011532213,5.4883310000000004e-05,4.2679625e-05,-1.0204500000000319e-07,-1.4724045e-05,4.21657e-05,True,False
sim_00001,1,8448,8448.0,0.0001535934,-2.814541e-05,0.0001179118,-5.712284e-05,5.694875e-05,-4.229522e-05,1.280106e-05,0.00014605721,0.00011407159,5.509628e-05,4.4883195000000004e-05,-8.70449999999974e-08,-1.4747080000000002e-05,4.229522e-05,True,False
sim_00001,1,8620,8620.0,0.0001567195,-2.901033e-05,0.0001159928,-5.728751e-05,5.799946e-05,-4.243488e-05,1.208731e-05,0.00014500313,0.00011528697000000001,5.4522190000000004e-05,4.3491235e-05,3.55975000000003e-07,-1.5173785000000001e-05,4.243488e-05,True,False
sim_00001,1,8793,8793.0,0.0001598639,-2.740125e-05,0.0001219115,-5.677892e-05,5.754115e-05,-4.243324e-05,1.286623e-05,0.00014931275,0.00011432007,5.529947e-05,4.7255124999999996e-05,3.811149999999998e-07,-1.4783505000000002e-05,4.243324e-05,True,False
sim_00001,1,8965,8965.0,0.00016299,-2.473408e-05,0.0001188606,-5.771077e-05,5.80054e-05,-4.246668e-05,1.239525e-05,0.00014359468,0.00011571617,5.486193e-05,4.706326e-05,1.4731499999999878e-07,-1.5035715000000002e-05,4.246668e-05,True,False
sim_00001,1,9138,9138.0,0.0001661344,-2.643708e-05,0.000121688,-5.742677e-05,5.823306e-05,-4.255386e-05,1.242893e-05,0.00014812508000000001,0.00011565983,5.4982790000000004e-05,4.7625460000000004e-05,4.0314499999999934e-07,-1.5062465000000001e-05,4.255386e-05,True,False
sim_00001,1,9310,9310.0,0.0001692605,-2.540979e-05,0.000125292,-5.692444e-05,5.691159e-05,-4.262734e-05,1.276119e-05,0.00015070178999999998,0.00011383603,5.538853e-05,4.9941104999999996e-05,-6.42500000000223e-09,-1.4933075e-05,4.262734e-05,True,False
sim_00001,1,9483,9483.0,0.0001724049,-2.47473e-05,0.0001228517,-5.796011e-05,5.823546e-05,-4.259287e-05,1.21203e-05,0.000147599,0.00011619557000000001,5.471317e-05,4.905219999999999e-05,1.3767499999999864e-07,-1.5236285e-05,4.259287e-05,True,False
sim_00001,1,9655,9655.0,0.000175531,-2.372903e-05,0.0001293131,-5.804078e-05,5.815484e-05,-4.262232e-05,1.329144e-05,0.00015304212999999998,0.00011619562,5.5913760000000004e-05,5.2792034999999994e-05,5.7029999999998334e-08,-1.466544e-05,4.262232e-05,True,False
sim_00001,1,9827,9827.0,0.0001786572,-2.28194e-05,0.000129687,-5.763537e-05,5.81663e-05,-4.270641e-05,1.220806e-05,0.00015250639999999998,0.00011580166999999999,5.491447e-05,5.3433799999999997e-05,2.6546500000000035e-07,-1.5249175000000001e-05,4.270641e-05,True,False
sim_00001,1,10000,10000.0,0.0001818015,-2.266795e-05,0.0001290469,-5.787903e-05,5.861908e-05,-4.276354e-05,1.192811e-05,0.00015171485,0.00011649811,5.469165e-05,5.3189474999999994e-05,3.700249999999999e-07,-1.5417715e-05,4.276354e-05,True,False
sim_00001,1,10172,10172.0,0.0001849277,-2.170871e-05,0.0001325929,-5.747819e-05,5.920231e-05,-4.275731e-05,1.193946e-05,0.00015430160999999997,0.00011668050000000001,5.469677e-05,5.5442094999999995e-05,8.620600000000003e-07,-1.5408925e-05,4.275731e-05,True,False
sim_00001,1,10345,10345.0,0.000188072,-2.144455e-05,0.0001305208,-5.862657e-05,5.945372e-05,-4.274993e-05,1.221886e-05,0.00015196534999999998,0.00011808028999999999,5.4968789999999994e-05,5.4538124999999994e-05,4.135750000000005e-07,-1.5265535e-05,4.274993e-05,True,False
sim_00001,1,10517,10517.0,0.0001911982,-2.114604e-05,0.0001367601,-5.946298e-05,5.925274e-05,-4.290299e-05,1.320413e-05,0.00015790613999999998,0.00011871572,5.610712e-05,5.780703e-05,-1.0512000000000146e-07,-1.484943e-05,4.290299e-05,True,False
sim_00001,1,10689,10689.0,0.0001943243,-2.062247e-05,0.0001369685,-5.938726e-05,5.950528e-05,-4.282811e-05,1.245047e-05,0.00015759097,0.00011889254,5.5278579999999995e-05,5.8173014999999994e-05,5.901000000000132e-08,-1.5188819999999999e-05,4.282811e-05,True,False
sim_00001,1,10862,10862.0,0.0001974687,-1.877647e-05,0.0001417614,-5.954063e-05,5.926656e-05,-4.299867e-05,1.252518e-05,0.00016053786999999998,0.00011880719,5.5523849999999995e-05,6.1492465e-05,-1.3703499999999792e-07,-1.5236744999999999e-05,4.299867e-05,True,False
