simulation_id,numeric_simulation_id,response,candidate,value_m,available,window_observation_count,window_cv,absolute_relative_trend,relative_difference_from_selected,laser_exits_domain_before_recording_end
sim_00001,1,melt_pool_depth_below_surface,final_20pct_before_90pct_domain_exit_median,5.071019e-05,True,13744,0.001829450972291435,0.0002244527802837052,0.0,False
sim_00002,2,melt_pool_depth_below_surface,final_20pct_before_90pct_domain_exit_median,2.6660184999999998e-05,True,10906,0.008398962162670678,0.010667639736030007,0.0,True
sim_00003,3,melt_pool_depth_below_surface,final_20pct_before_90pct_domain_exit_median,3.4838855e-05,True,10732,0.002427615413732977,0.0019666945094808336,0.0,False
sim_00004,4,melt_pool_depth_below_surface,final_20pct_before_90pct_domain_exit_median,4.6715575e-05,True,17286,0.0034365315924275433,0.010458189672006608,0.0,False
sim_00005,5,melt_pool_depth_below_surface,final_20pct_before_90pct_domain_exit_median,6.661901499999999e-05,True,13746,0.01640878643116823,0.033840116583218255,0.0,False
sim_00006,6,melt_pool_depth_below_surface,final_20pct_before_90pct_domain_exit_median,2.6879505e-05,True,11594,0.0033698177117541623,0.0010878279160511047,0.0,True
sim_00007,7,melt_pool_depth_below_surface,final_20pct_before_90pct_domain_exit_median,5.078583e-05,True,16368,0.001588698639644637,0.0021245552449354658,0.0,False
sim_00008,8,melt_pool_depth_below_surface,final_20pct_before_90pct_domain_exit_median,3.868263e-05,True,14311,0.04240078104386767,0.12432343897721485,0.0,True
sim_00009,9,melt_pool_depth_below_surface,final_20pct_before_90pct_domain_exit_median,5.458924e-05,True,10176,0.0028751539341820404,0.006691609553037272,0.0,False
sim_00010,10,melt_pool_depth_below_surface,final_20pct_before_90pct_domain_exit_median,4.68229e-05,True,10404,0.001441271130423931,0.0013595360297827535,0.0,False
sim_00011,11,melt_pool_depth_below_surface,final_20pct_before_90pct_domain_exit_median,3.480239e-05,True,10623,0.004097437823945928,0.0062020104009908325,0.0,True
sim_00012,12,melt_pool_depth_below_surface,final_20pct_before_90pct_domain_exit_median,5.470013e-05,True,18661,0.020877728903427248,0.05032829735534139,0.0,False
sim_00013,13,melt_pool_depth_below_surface,final_20pct_before_90pct_domain_exit_median,3.869279e-05,True,16282,0.04782079567911501,0.14720601458191196,0.0,True
sim_00014,14,melt_pool_depth_below_surface,final_20pct_before_90pct_domain_exit_median,5.081113e-05,True,15247,0.0010896688377020401,0.0003271963988461769,0.0,False
sim_00015,15,melt_pool_depth_below_surface,final_20pct_before_90pct_domain_exit_median,4.677987e-05,True,18867,0.05826821411106961,0.19369040995491643,0.0,False
sim_00016,16,melt_pool_depth_below_surface,final_20pct_before_90pct_domain_exit_median,5.4776695e-05,True,16966,0.0015928881506102693,0.0010430147180249083,0.0,False
sim_00017,17,melt_pool_depth_below_surface,final_20pct_before_90pct_domain_exit_median,5.05307e-05,True,13749,0.0029200615463156987,0.006446002967723921,0.0,False
sim_00018,18,melt_pool_depth_below_surface,final_20pct_before_90pct_domain_exit_median,3.058443e-05,True,10497,0.0037710213642878233,0.005348986423656755,0.0,True
sim_00019,19,melt_pool_depth_below_surface,final_20pct_before_90pct_domain_exit_median,5.47679e-05,True,18581,0.002018805082158512,0.0028389577855371995,0.0,False
sim_00020,20,melt_pool_depth_below_surface,final_20pct_before_90pct_domain_exit_median,4.280561e-05,True,11253,0.023660975903678248,0.05629782358563457,0.0,True
sim_00021,21,melt_pool_depth_below_surface,final_20pct_before_90pct_domain_exit_median,7.479356e-05,True,13749,0.025106876926278367,0.07690600842914208,0.0,False
sim_00022,22,melt_pool_depth_below_surface,final_20pct_before_90pct_domain_exit_median,5.078823e-05,True,18328,0.0013293954549584148,0.0016968351384389273,0.0,False
sim_00023,23,melt_pool_depth_below_surface,final_20pct_before_90pct_domain_exit_median,3.4760244999999996e-05,True,13474,0.02845286712806971,0.06380884186543531,0.0,True
sim_00024,24,melt_pool_depth_below_surface,final_20pct_before_90pct_domain_exit_median,5.4766359999999995e-05,True,13750,0.0023598915063014125,0.0011296788801097397,0.0,False
sim_00025,25,melt_pool_depth_below_surface,final_20pct_before_90pct_domain_exit_median,4.6692314999999994e-05,True,12360,0.03526808813047582,0.10270343047570649,0.0,True
sim_00026,26,melt_pool_depth_below_surface,final_20pct_before_90pct_domain_exit_median,6.205676e-05,True,13751,0.026831836141225234,0.06398041124941381,0.0,False
sim_00027,27,melt_pool_depth_below_surface,final_20pct_before_90pct_domain_exit_median,5.08492e-05,True,13751,0.020174613319019482,0.039114289821413004,0.0,False
sim_00028,28,melt_pool_depth_below_surface,final_20pct_before_90pct_domain_exit_median,4.930793e-05,True,15540,0.05792200030119953,0.18851233662506434,0.0,True
sim_00029,29,melt_pool_depth_below_surface,final_20pct_before_90pct_domain_exit_median,0.0001191028,True,13751,0.19786997777929016,0.608732060437075,0.0,False
sim_00030,30,melt_pool_depth_below_surface,final_20pct_before_90pct_domain_exit_median,4.278062e-05,True,12348,0.01371010144459353,0.025456295796961965,0.0,True
sim_00031,31,melt_pool_depth_below_surface,final_20pct_before_90pct_domain_exit_median,5.880416e-05,True,17916,0.0012326521746226324,0.0004260339016890956,0.0,False
