simulation_id,frame_count,first_timestep,last_timestep,stored_sequence,unique_label_count,label_change_count,initial_emptiness_frames,forming_phase_frames,conduction_frames,keyhole_frames,screenshot_bug_frames,usable_physical_label_frames,any_keyhole,any_conduction,both_conduction_and_keyhole,conduction_only_definition,no_usable_physical_label,keyhole_fraction,persistent_keyhole_3_consecutive_frames,first_keyhole_timestep,first_keyhole_position_s,labels_dense_relative_to_monitor
sim_00001,352,0,68795,Initial Emptiness -> Forming Phase -> Conduction,3,2,1,59,292,0,0,351,False,True,False,True,False,0.0,False,,,False
sim_00002,390,0,115599,Screenshot Bug -> Initial Emptiness -> Forming Phase -> Conduction -> Screenshot Bug,4,4,1,206,61,0,122,267,False,True,False,True,False,0.0,False,,,False
sim_00003,121,0,68795,Screenshot Bug -> Forming Phase -> Conduction,3,2,0,26,71,0,24,97,False,True,False,True,False,0.0,False,,,False
sim_00004,141,0,115599,Screenshot Bug -> Forming Phase -> Conduction,3,2,0,29,76,0,36,105,False,True,False,True,False,0.0,False,,,False
sim_00005,163,0,68795,Initial Emptiness -> Forming Phase -> Conduction,3,2,1,67,95,0,0,162,False,True,False,True,False,0.0,False,,,False
sim_00006,375,0,115599,Screenshot Bug -> Initial Emptiness -> Forming Phase -> Conduction -> Screenshot Bug,4,4,1,163,110,0,101,273,False,True,False,True,False,0.0,False,,,False
sim_00007,121,0,115599,Screenshot Bug -> Forming Phase -> Conduction,3,2,0,51,35,0,35,86,False,True,False,True,False,0.0,False,,,False
sim_00008,304,0,115599,Screenshot Bug -> Forming Phase -> Conduction -> Screenshot Bug,3,3,0,66,195,0,43,261,False,True,False,True,False,0.0,False,,,False
sim_00009,103,0,68795,Screenshot Bug -> Forming Phase -> Conduction,3,2,0,22,56,0,25,78,False,True,False,True,False,0.0,False,,,False
sim_00010,110,0,68795,Screenshot Bug -> Initial Emptiness -> Forming Phase -> Conduction,4,3,1,26,58,0,25,84,False,True,False,True,False,0.0,False,,,False
