simulation_id,candidate_id,value,unit,analysis_domain,persistence_window_um,event_position_s,available,note
sim_00001,G0,50.71019,um,Phase1_T0_window,,0.4864297429284914,True,Existing late-active median depth geometry target.
sim_00001,G1,51.0315,um,full_valid_track,,0.22818592705377508,True,Spike-sensitive global maximum depth reference.
sim_00001,G2,50.8968,um,adaptive_active_interior,,,True,Interior q95 depth.
sim_00001,G3,50.852430000000005,um,adaptive_active_interior,50.0,0.4315086953609772,True,Maximum trailing 50 um rolling-median depth.
sim_00001,G4,50.8982,um,adaptive_active_interior,50.0,0.229763950870233,True,Maximum trailing 50 um rolling-q80 depth sensitivity.
sim_00001,R0,0.4017770885616717,dimensionless,Phase1_T0_window,,0.4864297429284914,True,T0-window median depth/width.
sim_00001,R1,0.42176272124764735,dimensionless,full_valid_track,,0.2063921398380989,True,Spike-sensitive global maximum depth/width reference.
sim_00001,R2,0.417834744365117,dimensionless,adaptive_active_interior,,,True,Interior q95 depth/width.
sim_00001,R3,0.417644601644933,dimensionless,adaptive_active_interior,50.0,0.2248100549925468,True,Maximum trailing 50 um rolling-median depth/width.
sim_00002,G0,26.660185000000002,um,Phase1_T0_window,,0.8251096435367327,True,Existing late-active median depth geometry target.
sim_00002,G1,26.93815,um,full_valid_track,,0.8532422655675981,True,Spike-sensitive global maximum depth reference.
sim_00002,G2,26.78012,um,adaptive_active_interior,,,True,Interior q95 depth.
sim_00002,G3,26.758460000000003,um,adaptive_active_interior,50.0,0.6946626634449875,True,Maximum trailing 50 um rolling-median depth.
sim_00002,G4,26.852036,um,adaptive_active_interior,50.0,0.8568131015772144,True,Maximum trailing 50 um rolling-q80 depth sensitivity.
sim_00002,R0,0.21169147250332032,dimensionless,Phase1_T0_window,,0.8251096435367327,True,T0-window median depth/width.
sim_00002,R1,0.23888217762787134,dimensionless,full_valid_track,,0.8728811074078641,True,Spike-sensitive global maximum depth/width reference.
sim_00002,R2,0.22882816433715747,dimensionless,adaptive_active_interior,,,True,Interior q95 depth/width.
sim_00002,R3,0.23345659750047726,dimensionless,adaptive_active_interior,50.0,0.8933986683169937,True,Maximum trailing 50 um rolling-median depth/width.
sim_00003,G0,34.838855,um,Phase1_T0_window,,0.6077007891889527,True,Existing late-active median depth geometry target.
sim_00003,G1,35.43061,um,full_valid_track,,0.40120129143169914,True,Spike-sensitive global maximum depth reference.
sim_00003,G2,35.117549,um,adaptive_active_interior,,,True,Interior q95 depth.
sim_00003,G3,34.942479999999996,um,adaptive_active_interior,50.0,0.34488803506743543,True,Maximum trailing 50 um rolling-median depth.
sim_00003,G4,35.092268000000004,um,adaptive_active_interior,50.0,0.5227138735762747,True,Maximum trailing 50 um rolling-q80 depth sensitivity.
sim_00003,R0,0.27234653280211363,dimensionless,Phase1_T0_window,,0.6077007891889527,True,T0-window median depth/width.
sim_00003,R1,0.2801971542456051,dimensionless,full_valid_track,,0.33907573274001296,True,Spike-sensitive global maximum depth/width reference.
sim_00003,R2,0.27683617771929436,dimensionless,adaptive_active_interior,,,True,Interior q95 depth/width.
sim_00003,R3,0.2758077184472268,dimensionless,adaptive_active_interior,50.0,0.34101952911871647,True,Maximum trailing 50 um rolling-median depth/width.
sim_00004,G0,46.715575,um,Phase1_T0_window,,0.5142219326418573,True,Existing late-active median depth geometry target.
sim_00004,G1,47.02387,um,full_valid_track,,0.4477209253702388,True,Spike-sensitive global maximum depth reference.
sim_00004,G2,46.897463,um,adaptive_active_interior,,,True,Interior q95 depth.
sim_00004,G3,46.834655000000005,um,adaptive_active_interior,50.0,0.4504412310576536,True,Maximum trailing 50 um rolling-median depth.
sim_00004,G4,46.895742,um,adaptive_active_interior,50.0,0.4499029392230197,True,Maximum trailing 50 um rolling-q80 depth sensitivity.
sim_00004,R0,0.2300159409100304,dimensionless,Phase1_T0_window,,0.5142219326418573,True,T0-window median depth/width.
sim_00004,R1,0.2432739885542446,dimensionless,full_valid_track,,0.3379088618110866,True,Spike-sensitive global maximum depth/width reference.
sim_00004,R2,0.24031467592735245,dimensionless,adaptive_active_interior,,,True,Interior q95 depth/width.
sim_00004,R3,0.2399825212892579,dimensionless,adaptive_active_interior,50.0,0.3585756690629202,True,Maximum trailing 50 um rolling-median depth/width.
sim_00005,G0,66.61901499999999,um,Phase1_T0_window,,0.22459931230706903,True,Existing late-active median depth geometry target.
sim_00005,G1,66.84565,um,full_valid_track,,0.2311514795974607,True,Spike-sensitive global maximum depth reference.
sim_00005,G2,62.844898,um,adaptive_active_interior,,,True,Interior q95 depth.
sim_00005,G3,62.788959999999996,um,adaptive_active_interior,50.0,0.2082557219520747,True,Maximum trailing 50 um rolling-median depth.
sim_00005,G4,62.84507000000001,um,adaptive_active_interior,50.0,0.20825212898905182,True,Maximum trailing 50 um rolling-q80 depth sensitivity.
sim_00005,R0,0.3986545826497126,dimensionless,Phase1_T0_window,,0.22459931230706903,True,T0-window median depth/width.
sim_00005,R1,0.40136385153567433,dimensionless,full_valid_track,,0.23258347497114754,True,Spike-sensitive global maximum depth/width reference.
sim_00005,R2,0.3870638927618621,dimensionless,adaptive_active_interior,,,True,Interior q95 depth/width.
sim_00005,R3,0.38221912949112613,dimensionless,adaptive_active_interior,50.0,0.16965967402004092,True,Maximum trailing 50 um rolling-median depth/width.
sim_00006,G0,26.879504999999998,um,Phase1_T0_window,,0.8247283064740465,True,Existing late-active median depth geometry target.
sim_00006,G1,27.21585,um,full_valid_track,,0.5157282171752396,True,Spike-sensitive global maximum depth reference.
sim_00006,G2,27.057952,um,adaptive_active_interior,,,True,Interior q95 depth.
sim_00006,G3,26.996355,um,adaptive_active_interior,50.0,0.7263203887966742,True,Maximum trailing 50 um rolling-median depth.
sim_00006,G4,27.080174,um,adaptive_active_interior,50.0,0.5257137979697271,True,Maximum trailing 50 um rolling-q80 depth sensitivity.
sim_00006,R0,0.2098830342350716,dimensionless,Phase1_T0_window,,0.8247283064740465,True,T0-window median depth/width.
sim_00006,R1,0.2213876966501116,dimensionless,full_valid_track,,0.9389514759177655,True,Spike-sensitive global maximum depth/width reference.
sim_00006,R2,0.21392550358374712,dimensionless,adaptive_active_interior,,,True,Interior q95 depth/width.
sim_00006,R3,0.21690405425321668,dimensionless,adaptive_active_interior,50.0,0.9491839488156444,True,Maximum trailing 50 um rolling-median depth/width.
sim_00007,G0,50.78583,um,Phase1_T0_window,,0.4414038303592891,True,Existing late-active median depth geometry target.
sim_00007,G1,51.032129999999995,um,full_valid_track,,0.4372978429049006,True,Spike-sensitive global maximum depth reference.
sim_00007,G2,50.865036499999995,um,adaptive_active_interior,,,True,Interior q95 depth.
sim_00007,G3,50.79339,um,adaptive_active_interior,50.0,0.43022795320200774,True,Maximum trailing 50 um rolling-median depth.
sim_00007,G4,50.85236,um,adaptive_active_interior,50.0,0.39167460394360576,True,Maximum trailing 50 um rolling-q80 depth sensitivity.
sim_00007,R0,0.2511304773067642,dimensionless,Phase1_T0_window,,0.4414038303592891,True,T0-window median depth/width.
sim_00007,R1,0.26376913725751855,dimensionless,full_valid_track,,0.31889783115685366,True,Spike-sensitive global maximum depth/width reference.
sim_00007,R2,0.26218405057140576,dimensionless,adaptive_active_interior,,,True,Interior q95 depth/width.
sim_00007,R3,0.261540922976943,dimensionless,adaptive_active_interior,50.0,0.3498185044195842,True,Maximum trailing 50 um rolling-median depth/width.
sim_00008,G0,38.68263,um,Phase1_T0_window,,0.8244223808081947,True,Existing late-active median depth geometry target.
sim_00008,G1,39.16272,um,full_valid_track,,0.5673269381579461,True,Spike-sensitive global maximum depth reference.
sim_00008,G2,38.9889225,um,adaptive_active_interior,,,True,Interior q95 depth.
sim_00008,G3,38.95446,um,adaptive_active_interior,50.0,0.6002797562962469,True,Maximum trailing 50 um rolling-median depth.
sim_00008,G4,39.082409999999996,um,adaptive_active_interior,50.0,0.5973224610516145,True,Maximum trailing 50 um rolling-q80 depth sensitivity.
sim_00008,R0,0.28924770466374,dimensionless,Phase1_T0_window,,0.8244223808081947,True,T0-window median depth/width.
sim_00008,R1,0.30180808235297213,dimensionless,full_valid_track,,0.42924177973649463,True,Spike-sensitive global maximum depth/width reference.
sim_00008,R2,0.2987406395549153,dimensionless,adaptive_active_interior,,,True,Interior q95 depth/width.
sim_00008,R3,0.2991706437356488,dimensionless,adaptive_active_interior,50.0,0.43614923048960125,True,Maximum trailing 50 um rolling-median depth/width.
sim_00009,G0,54.58924,um,Phase1_T0_window,,0.5135649408645443,True,Existing late-active median depth geometry target.
sim_00009,G1,54.88841,um,full_valid_track,,0.44264417581994775,True,Spike-sensitive global maximum depth reference.
sim_00009,G2,54.76775,um,adaptive_active_interior,,,True,Interior q95 depth.
sim_00009,G3,54.66952,um,adaptive_active_interior,50.0,0.4900346497409006,True,Maximum trailing 50 um rolling-median depth.
sim_00009,G4,54.79103,um,adaptive_active_interior,50.0,0.48221147898590266,True,Maximum trailing 50 um rolling-q80 depth sensitivity.
sim_00009,R0,0.42936618864670084,dimensionless,Phase1_T0_window,,0.5135649408645443,True,T0-window median depth/width.
sim_00009,R1,0.43404779393141185,dimensionless,full_valid_track,,0.4455609399373237,True,Spike-sensitive global maximum depth/width reference.
sim_00009,R2,0.43157983596291216,dimensionless,adaptive_active_interior,,,True,Interior q95 depth/width.
sim_00009,R3,0.43070498612578373,dimensionless,adaptive_active_interior,50.0,0.4988085438104023,True,Maximum trailing 50 um rolling-median depth/width.
sim_00010,G0,46.822900000000004,um,Phase1_T0_window,,0.541238919344538,True,Existing late-active median depth geometry target.
sim_00010,G1,47.08422,um,full_valid_track,,0.47976828961407164,True,Spike-sensitive global maximum depth reference.
sim_00010,G2,46.947435,um,adaptive_active_interior,,,True,Interior q95 depth.
sim_00010,G3,46.864115,um,adaptive_active_interior,50.0,0.5337918300353015,True,Maximum trailing 50 um rolling-median depth.
sim_00010,G4,46.969986,um,adaptive_active_interior,50.0,0.5104592249886258,True,Maximum trailing 50 um rolling-q80 depth sensitivity.
sim_00010,R0,0.3497364273876965,dimensionless,Phase1_T0_window,,0.541238919344538,True,T0-window median depth/width.
sim_00010,R1,0.3560649241375567,dimensionless,full_valid_track,,0.4746394724854739,True,Spike-sensitive global maximum depth/width reference.
sim_00010,R2,0.35255994210803343,dimensionless,adaptive_active_interior,,,True,Interior q95 depth/width.
sim_00010,R3,0.3523172676823187,dimensionless,adaptive_active_interior,50.0,0.48536549186856875,True,Maximum trailing 50 um rolling-median depth/width.
sim_00011,G0,34.802389999999995,um,Phase1_T0_window,,0.8245353611533336,True,Existing late-active median depth geometry target.
sim_00011,G1,35.31319,um,full_valid_track,,0.7421014616380835,True,Spike-sensitive global maximum depth reference.
sim_00011,G2,35.025614,um,adaptive_active_interior,,,True,Interior q95 depth.
sim_00011,G3,35.00247,um,adaptive_active_interior,50.0,0.7588240997958386,True,Maximum trailing 50 um rolling-median depth.
sim_00011,G4,35.18661,um,adaptive_active_interior,50.0,0.7554426146747286,True,Maximum trailing 50 um rolling-q80 depth sensitivity.
sim_00011,R0,0.30127538417479127,dimensionless,Phase1_T0_window,,0.8245353611533336,True,T0-window median depth/width.
sim_00011,R1,0.3155504781553899,dimensionless,full_valid_track,,0.8640049273206813,True,Spike-sensitive global maximum depth/width reference.
