record_type,normalized_position,simulation_count,simulation_fraction,definition
cutoff,0.85,136,0.5643153526970954,last active melt position reaches cutoff
cutoff,0.9,130,0.5394190871369294,last active melt position reaches cutoff
cutoff,0.95,121,0.5020746887966805,last active melt position reaches cutoff
cutoff,1.0,113,0.46887966804979253,last active melt position reaches cutoff
active_melt_coverage_curve,0.0,241,1.0,simulation has valid melt at or beyond position
recording_coverage_curve,0.0,241,1.0,recording reaches position regardless of melt validity
active_melt_coverage_curve,0.005,241,1.0,simulation has valid melt at or beyond position
recording_coverage_curve,0.005,241,1.0,recording reaches position regardless of melt validity
active_melt_coverage_curve,0.01,241,1.0,simulation has valid melt at or beyond position
recording_coverage_curve,0.01,241,1.0,recording reaches position regardless of melt validity
active_melt_coverage_curve,0.015,241,1.0,simulation has valid melt at or beyond position
recording_coverage_curve,0.015,241,1.0,recording reaches position regardless of melt validity
active_melt_coverage_curve,0.02,241,1.0,simulation has valid melt at or beyond position
recording_coverage_curve,0.02,241,1.0,recording reaches position regardless of melt validity
active_melt_coverage_curve,0.025,241,1.0,simulation has valid melt at or beyond position
recording_coverage_curve,0.025,241,1.0,recording reaches position regardless of melt validity
active_melt_coverage_curve,0.03,241,1.0,simulation has valid melt at or beyond position
recording_coverage_curve,0.03,241,1.0,recording reaches position regardless of melt validity
active_melt_coverage_curve,0.035,241,1.0,simulation has valid melt at or beyond position
recording_coverage_curve,0.035,241,1.0,recording reaches position regardless of melt validity
active_melt_coverage_curve,0.04,241,1.0,simulation has valid melt at or beyond position
recording_coverage_curve,0.04,241,1.0,recording reaches position regardless of melt validity
active_melt_coverage_curve,0.045,241,1.0,simulation has valid melt at or beyond position
recording_coverage_curve,0.045,241,1.0,recording reaches position regardless of melt validity
active_melt_coverage_curve,0.05,241,1.0,simulation has valid melt at or beyond position
recording_coverage_curve,0.05,241,1.0,recording reaches position regardless of melt validity
active_melt_coverage_curve,0.055,241,1.0,simulation has valid melt at or beyond position
recording_coverage_curve,0.055,241,1.0,recording reaches position regardless of melt validity
active_melt_coverage_curve,0.06,241,1.0,simulation has valid melt at or beyond position
