analysis_label,phase,phase3_config_fingerprint,run_fingerprint,target,target_label,target_definition,gp_configuration,gp_configuration_label,kernel_family,matern_nu,learned_nugget,fold_index,heldout_simulation_id,heldout_numeric_simulation_id,observed_target_um,predicted_mean_um,residual_um,absolute_error_um,squared_error_um2,latent_predictive_std_um,latent_predictive_variance_um2,total_predictive_std_um,total_predictive_variance_um2,evaluation_predictive_std_um,evaluation_variance_definition,latent_nlpd,total_nlpd,evaluation_nlpd,latent_interval_lower_um,latent_interval_upper_um,total_interval_lower_um,total_interval_upper_um,latent_interval_contains_observed,total_interval_contains_observed,optimized_kernel,optimized_signal_variance_normalized,optimized_length_scale,optimized_noise_variance_normalized,optimized_noise_std_normalized,optimized_noise_variance_um2,optimized_noise_std_um,noise_std_fraction_training_target_std,noise_std_fraction_dataset_target_median,dataset_target_median_um_reporting_only,dataset_target_median_used_for_fitting,numerical_alpha_normalized,numerical_alpha_interpretation,training_size,population_size,heldout_excluded_from_training,heldout_target_used_for_scaling,heldout_target_used_for_fitting,heldout_target_used_for_tuning,x_scaler_fit_on_training_only,y_scaler_fit_on_training_only,normalize_y,feature_columns,training_y_mean_um,training_y_std_um,x_training_mean,x_training_scale,outer_training_simulation_ids_sha256,heldout_P,heldout_VX,heldout_LS,heldout_ST,fold_random_seed,optimizer,n_restarts_optimizer,log_marginal_likelihood,runtime_seconds,warning_count,convergence_warning_count,warnings,convergence_status,failed_fold,constant_bound_hit,constant_bound_side,length_scale_bound_hit,length_scale_bound_side,noise_bound_hit,noise_bound_side,any_hyperparameter_bound_hit
phase3b_kernel_noise,Phase 3B,F7F71204D643D1027D0FF4736F24213619BF6A09C2361C3C11F169797AC98A9C,E3E41FD0A915BE42A1C8872758FFCAFC04ECE3F11ABB0977B7E0016F2D6C8E0C,length,Melt-pool length,T0,rbf_learned_nugget,RBF + learned nugget,RBF,,True,0,sim_00001,1,262.5708499999,263.21888954258156,-0.6480395426815448,0.6480395426815448,0.4199552488789058,6.261766378382924,39.209718177446796,18.097971714717914,327.5365801867297,18.097971714717914,total predictive variance including learned WhiteKernel nugget,2.758756092004207,3.8153794866829163,3.8153794866829163,250.94582744095104,275.4919516442121,227.74686498173446,298.69091410342867,True,True,2.55**2 * RBF(length_scale=2.78) + WhiteKernel(noise_level=0.0352),6.488962601321929,2.77921549941153,0.035203138555946804,0.1876249944862006,288.32686200928293,16.98019028189269,0.1876249944862006,0.04974044823285032,341.3759,False,1e-08,numerical jitter only; separate from WhiteKernel nugget,240,241,True,False,False,False,True,True,False,"[""P"",""VX"",""LS"",""ST""]",344.20952020413836,90.50068370896898,"[158.41685668854458,0.6174309603939917,6.476530180872957e-05,348.6835952922249]","[52.94868432117492,0.24073330218794772,1.3358446857885196e-05,32.34583139550507]",C1A71F1D3A2422A611F80239EE2F839B1B41D0A7D4B834310A9FD22BAB071E75,101.127472137,0.52394730996,4.5e-05,300.0,2875622588,fmin_l_bfgs_b,1,-25.09842665577176,0.5532406000420451,0,0,,completed_without_convergence_warning,False,False,,False,,False,,False
phase3b_kernel_noise,Phase 3B,F7F71204D643D1027D0FF4736F24213619BF6A09C2361C3C11F169797AC98A9C,E3E41FD0A915BE42A1C8872758FFCAFC04ECE3F11ABB0977B7E0016F2D6C8E0C,length,Melt-pool length,T0,rbf_learned_nugget,RBF + learned nugget,RBF,,True,1,sim_00002,2,297.7007,301.6044328883285,-3.903732888328534,3.903732888328534,15.239130463417839,16.00908745080999,256.2908810076819,23.324216750647594,544.0190870311898,23.324216750647594,total predictive variance including learned WhiteKernel nugget,3.721825205579916,4.082436761863776,4.082436761863776,270.2266214847409,332.9822442919161,255.88896805705923,347.3198977195978,True,True,2.53**2 * RBF(length_scale=2.77) + WhiteKernel(noise_level=0.035),6.386244928442405,2.773330673031965,0.035049866770148416,0.18721609645046128,287.7282060235079,16.962553051457434,0.18721609645046128,0.04968878310231459,341.3759,False,1e-08,numerical jitter only; separate from WhiteKernel nugget,240,241,True,False,False,False,True,True,False,"[""P"",""VX"",""LS"",""ST""]",344.0631458291379,90.60413806857599,"[158.40446473227792,0.6157952004352666,6.458493395760749e-05,348.28789357284154]","[52.961741081080795,0.24002814447852902,1.3331834273979293e-05,32.35808136104498]",FA446B729C2F19C80593618A398F5542870501B1F85B0093CCF7085D009B5698,104.101541641,0.916529700054,8.82882842693e-05,394.968412652,440543945,fmin_l_bfgs_b,1,-24.40452967960786,0.5133846999960952,0,0,,completed_without_convergence_warning,False,False,,False,,False,,False
phase3b_kernel_noise,Phase 3B,F7F71204D643D1027D0FF4736F24213619BF6A09C2361C3C11F169797AC98A9C,E3E41FD0A915BE42A1C8872758FFCAFC04ECE3F11ABB0977B7E0016F2D6C8E0C,length,Melt-pool length,T0,rbf_learned_nugget,RBF + learned nugget,RBF,,True,2,sim_00003,3,261.8447,279.35781684938564,-17.513116849385653,17.513116849385653,306.7092617802357,5.7768259510787034,33.371718069056364,17.921191099764595,321.1690904342817,17.921191099764595,total predictive variance including learned WhiteKernel nugget,7.268140112721485,4.282411166625202,4.282411166625202,268.0352379852714,290.6803957134999,244.23228229384705,314.48335140492424,False,True,2.6**2 * RBF(length_scale=2.81) + WhiteKernel(noise_level=0.0351),6.746602367023584,2.8082659654118185,0.035140619786548956,0.1874583147970475,287.7973723652254,16.964591724094788,0.1874583147970475,0.0496947550313153,341.3759,False,1e-08,numerical jitter only; separate from WhiteKernel nugget,240,241,True,False,False,False,True,True,False,"[""P"",""VX"",""LS"",""ST""]",344.21254582913787,90.49794212895583,"[158.3995699254654,0.6169514116475291,6.463348166584206e-05,348.40255952951645]","[52.96670509691898,0.2408044033443286,1.3396689281503218e-05,32.47432872676716]",5673D08E997648C3B4BFBAB58729D083D268FAAD12401130F9A80580C9D9FD19,105.276295276,0.639039009111,7.6636834293e-05,367.44858305,174049985,fmin_l_bfgs_b,1,-24.49561174758523,0.5308213999960572,0,0,,completed_without_convergence_warning,False,False,,False,,False,,False
phase3b_kernel_noise,Phase 3B,F7F71204D643D1027D0FF4736F24213619BF6A09C2361C3C11F169797AC98A9C,E3E41FD0A915BE42A1C8872758FFCAFC04ECE3F11ABB0977B7E0016F2D6C8E0C,length,Melt-pool length,T0,rbf_learned_nugget,RBF + learned nugget,RBF,,True,3,sim_00004,4,288.07835,278.7393309155641,9.339019084435904,9.339019084435904,87.21727745945803,13.110159271150465,171.8762761149325,21.44177464859831,459.74970008127326,21.44177464859831,total predictive variance including learned WhiteKernel nugget,3.7460470849134797,4.079132639701664,4.079132639701664,253.04341874410918,304.435243087019,236.7134526043114,320.7652092268168,True,True,2.53**2 * RBF(length_scale=2.78) + WhiteKernel(noise_level=0.0351),6.409136746780206,2.7780548946545434,0.035085101196154184,0.1873101737657466,287.87342396634074,16.966833056476414,0.1873101737657466,0.04970132061600252,341.3759,False,1e-08,numerical jitter only; separate from WhiteKernel nugget,240,241,True,False,False,False,True,True,False,"[""P"",""VX"",""LS"",""ST""]",344.10323895413785,90.58148158943803,"[158.39165382346957,0.6182776072410958,6.458809252473623e-05,348.2925134424874]","[52.9745014621117,0.24004473767101805,1.3337358734301948e-05,32.36466594117993]",3D71E35401DFDC45453821EF0A53158C5CD45C9E9B63F8790644DC88758BBBA6,107.176159755,0.320752066655,8.75302281584e-05,393.859643937,3360179665,fmin_l_bfgs_b,1,-24.45389327137471,0.7398956000106409,0,0,,completed_without_convergence_warning,False,False,,False,,False,,False
phase3b_kernel_noise,Phase 3B,F7F71204D643D1027D0FF4736F24213619BF6A09C2361C3C11F169797AC98A9C,E3E41FD0A915BE42A1C8872758FFCAFC04ECE3F11ABB0977B7E0016F2D6C8E0C,length,Melt-pool length,T0,rbf_learned_nugget,RBF + learned nugget,RBF,,True,4,sim_00005,5,236.38402999989998,234.56692631390587,1.8171036859941125,1.8171036859941125,3.3018658056533905,7.397262587215937,54.71949378422462,18.51564116121438,342.8289676108562,18.51564116121438,total predictive variance including learned WhiteKernel nugget,2.9502193808764705,3.8423699929591817,3.8423699929591817,220.06829164296263,249.0655609848491,198.27626963792568,270.85758298988605,True,True,2.54**2 * RBF(length_scale=2.78) + WhiteKernel(noise_level=0.0353),6.452582379306551,2.783311388841248,0.035265659561136496,0.18779153218698785,288.1094738266316,16.973787845576236,0.18779153218698785,0.049721693434059744,341.3759,False,1e-08,numerical jitter only; separate from WhiteKernel nugget,240,241,True,False,False,False,True,True,False,"[""P"",""VX"",""LS"",""ST""]",344.3186319541383,90.38633237559982,"[158.3808880455779,0.6186060484485084,6.476530180872957e-05,348.6835952922249]","[52.98464515358333,0.2395830529147136,1.3358446857885196e-05,32.34583139550507]",02334BC0EC5436E61A7F9210AA2228227887F252488785F8869DBE76D699F9AA,109.759946449,0.241926176876,4.5e-05,300.0,3852695954,fmin_l_bfgs_b,1,-25.065177388402333,0.377599100000225,0,0,,completed_without_convergence_warning,False,False,,False,,False,,False
phase3b_kernel_noise,Phase 3B,F7F71204D643D1027D0FF4736F24213619BF6A09C2361C3C11F169797AC98A9C,E3E41FD0A915BE42A1C8872758FFCAFC04ECE3F11ABB0977B7E0016F2D6C8E0C,length,Melt-pool length,T0,rbf_learned_nugget,RBF + learned nugget,RBF,,True,5,sim_00006,6,292.1034,291.08036275399894,1.0230372460010813,1.0230372460010813,1.0466052067054767,6.285515699623167,39.50770761020931,18.09979144539499,327.60245036679373,18.09979144539499,total predictive variance including learned WhiteKernel nugget,2.7704320068980475,3.816436319902381,3.816436319902381,278.76075198273753,303.39997352526035,255.60477152102476,326.5559539869731,True,True,2.53**2 * RBF(length_scale=2.78) + WhiteKernel(noise_level=0.0351),6.414286478377972,2.775367599553276,0.03510432490304194,0.18736148190874755,288.0947427565845,16.973353904181238,0.18736148190874757,0.04972042227990095,341.3759,False,1e-08,numerical jitter only; separate from WhiteKernel nugget,240,241,True,False,False,False,True,True,False,"[""P"",""VX"",""LS"",""ST""]",344.0864679124712,90.59147980291878,"[158.37891002264456,0.6160032861109832,6.461589345980373e-05,348.4795091247081]","[52.986451341788005,0.24026700149970834,1.3378135022634581e-05,32.49747951712133]",EC508C39681D1A517DE8CF818879044CE7DDA531EA9FB37276409A41A2CC6C01,110.234671953,0.866589137882,8.08580037422e-05,348.980680204,122478472,fmin_l_bfgs_b,1,-24.57620318648503,0.7345079000224359,0,0,,completed_without_convergence_warning,False,False,,False,,False,,False
phase3b_kernel_noise,Phase 3B,F7F71204D643D1027D0FF4736F24213619BF6A09C2361C3C11F169797AC98A9C,E3E41FD0A915BE42A1C8872758FFCAFC04ECE3F11ABB0977B7E0016F2D6C8E0C,length,Melt-pool length,T0,rbf_learned_nugget,RBF + learned nugget,RBF,,True,6,sim_00007,7,262.4155,259.43181127086774,2.9836887291322682,2.9836887291322682,8.90239843235093,8.06931326787476,65.11381661509964,18.794553885954503,353.23525577204754,18.794553885954503,total predictive variance including learned WhiteKernel nugget,3.075367202327321,3.8651069056112584,3.8651069056112584,243.6159572658332,275.24766527590225,222.59448565439692,296.26913688733856,True,True,2.54**2 * RBF(length_scale=2.78) + WhiteKernel(noise_level=0.0352),6.4557548187497416,2.7827574948551477,0.03517851192015074,0.18755935572546292,288.1214391569479,16.97414030685937,0.18755935572546292,0.04972272590671857,341.3759,False,1e-08,numerical jitter only; separate from WhiteKernel nugget,240,241,True,False,False,False,True,True,False,"[""P"",""VX"",""LS"",""ST""]",344.2101674958046,90.50009924167686,"[158.37721145453625,0.6184717627793292,6.464164930829206e-05,348.43937469980403]","[52.987988101203044,0.2397850262103685,1.3403405712270068e-05,32.490887191220146]",47E5D61FE025540C84720EF3B6946A1054A8253A357677BB0CACF477630B612D,110.642328299,0.274154737479,7.4676600105e-05,358.612942181,2687040446,fmin_l_bfgs_b,1,-24.607333984304233,0.5705375999677926,0,0,,completed_without_convergence_warning,False,False,,False,,False,,False
phase3b_kernel_noise,Phase 3B,F7F71204D643D1027D0FF4736F24213619BF6A09C2361C3C11F169797AC98A9C,E3E41FD0A915BE42A1C8872758FFCAFC04ECE3F11ABB0977B7E0016F2D6C8E0C,length,Melt-pool length,T0,rbf_learned_nugget,RBF + learned nugget,RBF,,True,7,sim_00008,8,291.7725,279.2241533875609,12.548346612439104,12.548346612439104,157.46100270591194,7.413994832718507,54.96731937957673,18.49248381624884,341.97195769422524,18.49248381624884,total predictive variance including learned WhiteKernel nugget,4.3546226734621785,4.066527924150179,4.066527924150179,264.6927235154326,293.75558325968916,242.97888510771315,315.4694216674086,True,True,2.55**2 * RBF(length_scale=2.78) + WhiteKernel(noise_level=0.035),6.500212608880244,2.7750949836836423,0.03497210853871096,0.18700831141612653,287.0046383146485,16.941211241072715,0.18700831141612653,0.049626266063517416,341.3759,False,1e-08,numerical jitter only; separate from WhiteKernel nugget,240,241,True,False,False,False,True,True,False,"[""P"",""VX"",""LS"",""ST""]",344.0878466624712,90.5906861186267,"[158.3697702161654,0.6166771339720416,6.46898903951029e-05,348.6450890727332]","[52.994565302894024,0.24074159257097874,1.3418592428444363e-05,32.39822083701424]",D68F4A8001756D53C04EA03737D32DFF0E97B392C3BD792D97F6C9182A9593E9,112.428225508,0.704865651228,6.30987392704e-05,309.241492678,105052909,fmin_l_bfgs_b,1,-24.454501892037825,0.4187287999666296,0,0,,completed_without_convergence_warning,False,False,,False,,False,,False
phase3b_kernel_noise,Phase 3B,F7F71204D643D1027D0FF4736F24213619BF6A09C2361C3C11F169797AC98A9C,E3E41FD0A915BE42A1C8872758FFCAFC04ECE3F11ABB0977B7E0016F2D6C8E0C,length,Melt-pool length,T0,rbf_learned_nugget,RBF + learned nugget,RBF,,True,8,sim_00009,9,264.21325,289.14390429274954,-24.930654292749523,24.930654292749523,621.5375234645902,8.096818770051058,65.55847419505113,18.728942284314783,350.77327908919426,18.728942284314783,total predictive variance including learned WhiteKernel nugget,7.75073915936426,4.734961926419679,4.734961926419679,273.2741395034495,305.0136690820496,252.43517741549257,325.85263117000653,False,True,2.6**2 * RBF(length_scale=2.8) + WhiteKernel(noise_level=0.0348),6.753205538813654,2.798059071594059,0.034818471256349,0.1865970826576584,285.21480489414313,16.88830378972806,0.1865970826576584,0.04947128309212238,341.3759,False,1e-08,numerical jitter only; separate from WhiteKernel nugget,240,241,True,False,False,False,True,True,False,"[""P"",""VX"",""LS"",""ST""]",344.2026768708046,90.50679436779996,"[158.36778409537374,0.6173736856002167,6.475985666105916e-05,348.5912237646123]","[52.99627809469381,0.24075390073481917,1.3366233832592893e-05,32.45289559521182]",F9B11A3FCE1E562647087FCED6CD5B92226595E705D76E955F6B492586AFA8CF,112.904894498,0.537693260466,4.63068354409e-05,322.169166627,2174127267,fmin_l_bfgs_b,1,-24.062039456302955,0.6971129000303335,0,0,,completed_without_convergence_warning,False,False,,False,,False,,False
phase3b_kernel_noise,Phase 3B,F7F71204D643D1027D0FF4736F24213619BF6A09C2361C3C11F169797AC98A9C,E3E41FD0A915BE42A1C8872758FFCAFC04ECE3F11ABB0977B7E0016F2D6C8E0C,length,Melt-pool length,T0,rbf_learned_nugget,RBF + learned nugget,RBF,,True,9,sim_00010,10,277.71594999999996,288.67702769164237,-10.961077691642402,10.961077691642402,120.14522416222071,8.159688606718486,66.58051815861147,18.819102666990524,354.1586251907299,18.819102666990524,total predictive variance including learned WhiteKernel nugget,3.920399640689318,4.023431624816568,4.023431624816568,272.6840380224741,304.6700173608106,251.79158646434092,325.5624689189438,True,True,2.54**2 * RBF(length_scale=2.77) + WhiteKernel(noise_level=0.0351),6.456919057060826,2.7735986832051407,0.03507170872332459,0.1872744208997176,287.5781070321183,16.95812805212056,0.1872744208997176,0.049675820853553404,341.3759,False,1e-08,numerical jitter only; separate from WhiteKernel nugget,240,241,True,False,False,False,True,True,False,"[""P"",""VX"",""LS"",""ST""]",344.1464156208046,90.5522920356612,"[158.36619331605706,0.6172487292997,6.471096775599373e-05,348.6746412483623]","[52.99763697439272,0.2407874391839439,1.3412102099912544e-05,32.35900673090017]",10B9323F0E9890207C54E75E7EFB7A8E7062030760479D8B38D8D8A42E49C650,113.286681534,0.56768277259,5.80401726566e-05,302.148970527,2032620259,fmin_l_bfgs_b,1,-24.6512720628846,0.5267476000008173,0,0,,completed_without_convergence_warning,False,False,,False,,False,,False
