analysis_label,phase,phase3_config_fingerprint,run_fingerprint,target,target_label,target_definition,gp_configuration,gp_configuration_label,kernel_family,matern_nu,learned_nugget,fold_index,heldout_simulation_id,heldout_numeric_simulation_id,observed_target_um,predicted_mean_um,residual_um,absolute_error_um,squared_error_um2,latent_predictive_std_um,latent_predictive_variance_um2,total_predictive_std_um,total_predictive_variance_um2,evaluation_predictive_std_um,evaluation_variance_definition,latent_nlpd,total_nlpd,evaluation_nlpd,latent_interval_lower_um,latent_interval_upper_um,total_interval_lower_um,total_interval_upper_um,latent_interval_contains_observed,total_interval_contains_observed,optimized_kernel,optimized_signal_variance_normalized,optimized_length_scale,optimized_noise_variance_normalized,optimized_noise_std_normalized,optimized_noise_variance_um2,optimized_noise_std_um,noise_std_fraction_training_target_std,noise_std_fraction_dataset_target_median,dataset_target_median_um_reporting_only,dataset_target_median_used_for_fitting,numerical_alpha_normalized,numerical_alpha_interpretation,training_size,population_size,heldout_excluded_from_training,heldout_target_used_for_scaling,heldout_target_used_for_fitting,heldout_target_used_for_tuning,x_scaler_fit_on_training_only,y_scaler_fit_on_training_only,normalize_y,feature_columns,training_y_mean_um,training_y_std_um,x_training_mean,x_training_scale,outer_training_simulation_ids_sha256,heldout_P,heldout_VX,heldout_LS,heldout_ST,fold_random_seed,optimizer,n_restarts_optimizer,log_marginal_likelihood,runtime_seconds,warning_count,convergence_warning_count,warnings,convergence_status,failed_fold,constant_bound_hit,constant_bound_side,length_scale_bound_hit,length_scale_bound_side,noise_bound_hit,noise_bound_side,any_hyperparameter_bound_hit
phase3c_fixed_gp_target_definition_sensitivity,Phase 3C,F7F71204D643D1027D0FF4736F24213619BF6A09C2361C3C11F169797AC98A9C,6B8822C48C48F0F0D9A0E24FC88600D120EE5B4FD2CB1516A3CEB7844E25C91B,width,Melt-pool width,T4,matern32_learned_nugget,Matérn 3/2 + learned nugget,Matern,1.5,True,0,sim_00001,1,126.26144,125.78259697975959,0.47884302024040437,0.47884302024040437,0.2292906380329523,2.252845287033447,5.075311887308814,6.549150994208672,42.89137874494443,6.549150994208672,total predictive variance including learned WhiteKernel nugget,1.7537213449715015,2.80094687745929,2.80094687745929,121.36702021717403,130.19817374234515,112.9462610311106,138.61893292840858,True,True,"7.5**2 * Matern(length_scale=28.7, nu=1.5) + WhiteKernel(noise_level=0.0265)",56.21668986058774,28.705554477729457,0.02650118978509533,0.16279186031585036,37.81606685763561,6.1494769580538815,0.16279186031585036,0.038744506683484774,158.71868,False,1e-08,numerical jitter only; separate from WhiteKernel nugget,240,241,True,False,False,False,True,True,False,"[""P"",""VX"",""LS"",""ST""]",159.21331383333333,37.77508866919148,"[158.41685668854458,0.6174309603939917,6.476530180872957e-05,348.6835952922249]","[52.94868432117492,0.24073330218794772,1.3358446857885196e-05,32.34583139550507]",C1A71F1D3A2422A611F80239EE2F839B1B41D0A7D4B834310A9FD22BAB071E75,101.127472137,0.52394730996,4.5e-05,300.0,2397005410,fmin_l_bfgs_b,1,38.12465680404918,1.8225765999522991,0,0,,completed_without_convergence_warning,False,False,,False,,False,,False
phase3c_fixed_gp_target_definition_sensitivity,Phase 3C,F7F71204D643D1027D0FF4736F24213619BF6A09C2361C3C11F169797AC98A9C,6B8822C48C48F0F0D9A0E24FC88600D120EE5B4FD2CB1516A3CEB7844E25C91B,width,Melt-pool width,T4,matern32_learned_nugget,Matérn 3/2 + learned nugget,Matern,1.5,True,1,sim_00002,2,123.55794,119.56568592810055,3.9922540718994526,3.9922540718994526,15.938092574597759,4.482075943765735,20.089004765683505,7.599199526590744,57.74783344493699,7.599199526590744,total predictive variance including learned WhiteKernel nugget,2.815711815464928,3.0849787701262366,3.0849787701262366,110.78081707831971,128.3505547778814,104.6712548559827,134.46011700021842,True,True,"7.5**2 * Matern(length_scale=28.6, nu=1.5) + WhiteKernel(noise_level=0.0264)",56.2826453946123,28.630819915923297,0.026405301869113895,0.16249708264800908,37.65882867925349,6.136678961722985,0.16249708264800908,0.038663873475529055,158.71868,False,1e-08,numerical jitter only; separate from WhiteKernel nugget,240,241,True,False,False,False,True,True,False,"[""P"",""VX"",""LS"",""ST""]",159.22457841666667,37.764856216008944,"[158.40446473227792,0.6157952004352666,6.458493395760749e-05,348.28789357284154]","[52.961741081080795,0.24002814447852902,1.3331834273979293e-05,32.35808136104498]",FA446B729C2F19C80593618A398F5542870501B1F85B0093CCF7085D009B5698,104.101541641,0.916529700054,8.82882842693e-05,394.968412652,3262088075,fmin_l_bfgs_b,1,38.381674725290424,0.8612050000228919,0,0,,completed_without_convergence_warning,False,False,,False,,False,,False
phase3c_fixed_gp_target_definition_sensitivity,Phase 3C,F7F71204D643D1027D0FF4736F24213619BF6A09C2361C3C11F169797AC98A9C,6B8822C48C48F0F0D9A0E24FC88600D120EE5B4FD2CB1516A3CEB7844E25C91B,width,Melt-pool width,T4,matern32_learned_nugget,Matérn 3/2 + learned nugget,Matern,1.5,True,2,sim_00003,3,127.94122499999999,141.9511690354577,-14.009944035457707,14.009944035457707,196.27853187665698,2.410048369301296,5.808333142371835,6.556452766701262,42.98707288198463,6.556452766701262,total predictive variance including learned WhiteKernel nugget,18.694872724907786,5.082383101548851,5.082383101548851,137.22747423162716,146.67486383928824,129.1005216127232,154.80181645819218,False,False,"7.86**2 * Matern(length_scale=30, nu=1.5) + WhiteKernel(noise_level=0.026)",61.81603132978251,29.97574289763785,0.026046352115986916,0.16138882277278968,37.1787397396128,6.097437145195742,0.16138882277278968,0.03841663215190387,158.71868,False,1e-08,numerical jitter only; separate from WhiteKernel nugget,240,241,True,False,False,False,True,True,False,"[""P"",""VX"",""LS"",""ST""]",159.20631472916665,37.78103737567987,"[158.3995699254654,0.6169514116475291,6.463348166584206e-05,348.40255952951645]","[52.96670509691898,0.2408044033443286,1.3396689281503218e-05,32.47432872676716]",5673D08E997648C3B4BFBAB58729D083D268FAAD12401130F9A80580C9D9FD19,105.276295276,0.639039009111,7.6636834293e-05,367.44858305,906891948,fmin_l_bfgs_b,1,40.48286015358596,0.8634117000037804,0,0,,completed_without_convergence_warning,False,False,,False,,False,,False
phase3c_fixed_gp_target_definition_sensitivity,Phase 3C,F7F71204D643D1027D0FF4736F24213619BF6A09C2361C3C11F169797AC98A9C,6B8822C48C48F0F0D9A0E24FC88600D120EE5B4FD2CB1516A3CEB7844E25C91B,width,Melt-pool width,T4,matern32_learned_nugget,Matérn 3/2 + learned nugget,Matern,1.5,True,3,sim_00004,4,203.32255,202.81437266116438,0.5081773388356225,0.5081773388356225,0.2582442077060551,4.141488446780004,17.15192655481225,7.411936109616764,54.9367968930409,7.411936109616764,total predictive variance including learned WhiteKernel nugget,2.3475219246044525,2.924380597276662,2.924380597276662,194.69705530547557,210.9316900168532,188.28697788631553,217.34176743601324,True,True,"7.46**2 * Matern(length_scale=28.6, nu=1.5) + WhiteKernel(noise_level=0.0265)",55.65247942610087,28.580054638582748,0.026547896297034395,0.16293525185494512,37.784870338228636,6.146939916594976,0.16293525185494512,0.038728522166357325,158.71868,False,1e-08,numerical jitter only; separate from WhiteKernel nugget,240,241,True,False,False,False,True,True,False,"[""P"",""VX"",""LS"",""ST""]",158.892225875,37.726273759759216,"[158.39165382346957,0.6182776072410958,6.458809252473623e-05,348.2925134424874]","[52.9745014621117,0.24004473767101805,1.3337358734301948e-05,32.36466594117993]",3D71E35401DFDC45453821EF0A53158C5CD45C9E9B63F8790644DC88758BBBA6,107.176159755,0.320752066655,8.75302281584e-05,393.859643937,51905327,fmin_l_bfgs_b,1,37.97943818627422,1.6458124999771826,0,0,,completed_without_convergence_warning,False,False,,False,,False,,False
phase3c_fixed_gp_target_definition_sensitivity,Phase 3C,F7F71204D643D1027D0FF4736F24213619BF6A09C2361C3C11F169797AC98A9C,6B8822C48C48F0F0D9A0E24FC88600D120EE5B4FD2CB1516A3CEB7844E25C91B,width,Melt-pool width,T4,matern32_learned_nugget,Matérn 3/2 + learned nugget,Matern,1.5,True,4,sim_00005,5,166.993245,163.7414031672299,3.2518418327701113,3.2518418327701113,10.574475305353676,2.613690901563035,6.83138012891339,6.679302483840211,44.61308167063402,6.679302483840211,total predictive variance including learned WhiteKernel nugget,2.653665215276445,2.9364652649306753,2.9364652649306753,158.61856900016633,168.86423733429345,150.64997029890307,176.8328360355567,True,True,"7.46**2 * Matern(length_scale=28.7, nu=1.5) + WhiteKernel(noise_level=0.0264)",55.64228028093655,28.710776670331825,0.026398606588101378,0.16247648010743396,37.78170154172063,6.146682157206491,0.16247648010743396,0.038726898164768576,158.71868,False,1e-08,numerical jitter only; separate from WhiteKernel nugget,240,241,True,False,False,False,True,True,False,"[""P"",""VX"",""LS"",""ST""]",159.04359797916666,37.831211958445515,"[158.3808880455779,0.6186060484485084,6.476530180872957e-05,348.6835952922249]","[52.98464515358333,0.2395830529147136,1.3358446857885196e-05,32.34583139550507]",02334BC0EC5436E61A7F9210AA2228227887F252488785F8869DBE76D699F9AA,109.759946449,0.241926176876,4.5e-05,300.0,3021375271,fmin_l_bfgs_b,1,38.69658381418853,1.4076230999780819,0,0,,completed_without_convergence_warning,False,False,,False,,False,,False
phase3c_fixed_gp_target_definition_sensitivity,Phase 3C,F7F71204D643D1027D0FF4736F24213619BF6A09C2361C3C11F169797AC98A9C,6B8822C48C48F0F0D9A0E24FC88600D120EE5B4FD2CB1516A3CEB7844E25C91B,width,Melt-pool width,T4,matern32_learned_nugget,Matérn 3/2 + learned nugget,Matern,1.5,True,5,sim_00006,6,127.22963499999999,122.04045589119089,5.1891791088091,5.1891791088091,26.927579823300803,2.49198170498708,6.209972817990313,6.62064903636183,43.83299366267883,6.62064903636183,total predictive variance including learned WhiteKernel nugget,4.000108394011944,3.116293025537445,3.116293025537445,117.15617174941622,126.92474003296556,109.0639837799217,135.01692800246008,False,True,"7.34**2 * Matern(length_scale=28.2, nu=1.5) + WhiteKernel(noise_level=0.0264)",53.81443525957046,28.17306255268894,0.026361065681955235,0.16236091180439716,37.62302084468852,6.1337607423740055,0.16236091180439716,0.03864548736402045,158.71868,False,1e-08,numerical jitter only; separate from WhiteKernel nugget,240,241,True,False,False,False,True,True,False,"[""P"",""VX"",""LS"",""ST""]",159.20927968750001,37.77855565238263,"[158.37891002264456,0.6160032861109832,6.461589345980373e-05,348.4795091247081]","[52.986451341788005,0.24026700149970834,1.3378135022634581e-05,32.49747951712133]",EC508C39681D1A517DE8CF818879044CE7DDA531EA9FB37276409A41A2CC6C01,110.234671953,0.866589137882,8.08580037422e-05,348.980680204,2518748989,fmin_l_bfgs_b,1,38.55134355726486,1.0270553000154905,0,0,,completed_without_convergence_warning,False,False,,False,,False,,False
phase3c_fixed_gp_target_definition_sensitivity,Phase 3C,F7F71204D643D1027D0FF4736F24213619BF6A09C2361C3C11F169797AC98A9C,6B8822C48C48F0F0D9A0E24FC88600D120EE5B4FD2CB1516A3CEB7844E25C91B,width,Melt-pool width,T4,matern32_learned_nugget,Matérn 3/2 + learned nugget,Matern,1.5,True,6,sim_00007,7,202.28875,200.19062845565907,2.098121544340927,2.098121544340927,4.402114014827556,2.8011379783027532,7.846373973490036,6.756555227895261,45.65103854759879,6.756555227895261,total predictive variance including learned WhiteKernel nugget,2.2294832920501655,2.8776665404910275,2.8776665404910275,194.70039801818567,205.68085889313247,186.94778020898434,213.4334767023338,True,True,"7.5**2 * Matern(length_scale=28.7, nu=1.5) + WhiteKernel(noise_level=0.0266)",56.182774872640444,28.716239103375358,0.026554745791984642,0.1629562695694297,37.80466457410874,6.148549794391255,0.1629562695694297,0.03873866512997244,158.71868,False,1e-08,numerical jitter only; separate from WhiteKernel nugget,240,241,True,False,False,False,True,True,False,"[""P"",""VX"",""LS"",""ST""]",158.89653337500002,37.731287115477215,"[158.37721145453625,0.6184717627793292,6.464164930829206e-05,348.43937469980403]","[52.987988101203044,0.2397850262103685,1.3403405712270068e-05,32.490887191220146]",47E5D61FE025540C84720EF3B6946A1054A8253A357677BB0CACF477630B612D,110.642328299,0.274154737479,7.4676600105e-05,358.612942181,3527774268,fmin_l_bfgs_b,1,38.05738481180501,0.9064002000377513,0,0,,completed_without_convergence_warning,False,False,,False,,False,,False
phase3c_fixed_gp_target_definition_sensitivity,Phase 3C,F7F71204D643D1027D0FF4736F24213619BF6A09C2361C3C11F169797AC98A9C,6B8822C48C48F0F0D9A0E24FC88600D120EE5B4FD2CB1516A3CEB7844E25C91B,width,Melt-pool width,T4,matern32_learned_nugget,Matérn 3/2 + learned nugget,Matern,1.5,True,7,sim_00008,8,130.914485,128.75269433411233,2.161790665887679,2.161790665887679,4.673338883119095,2.8174608066330196,7.938085396913185,6.759253164103827,45.68750333644759,6.759253164103827,total predictive variance including learned WhiteKernel nugget,2.2491364316239326,2.8809955463184562,2.8809955463184562,123.23047115311162,134.27491751511306,115.50455813246883,142.00083053575582,True,True,"7.42**2 * Matern(length_scale=28.4, nu=1.5) + WhiteKernel(noise_level=0.0264)",55.09041470905365,28.419229832053475,0.026432492693273735,0.16258072669684354,37.74941793953441,6.144055496130744,0.16258072669684354,0.038710349003222205,158.71868,False,1e-08,numerical jitter only; separate from WhiteKernel nugget,240,241,True,False,False,False,True,True,False,"[""P"",""VX"",""LS"",""ST""]",159.19392614583333,37.79079858332328,"[158.3697702161654,0.6166771339720416,6.46898903951029e-05,348.6450890727332]","[52.994565302894024,0.24074159257097874,1.3418592428444363e-05,32.39822083701424]",D68F4A8001756D53C04EA03737D32DFF0E97B392C3BD792D97F6C9182A9593E9,112.428225508,0.704865651228,6.30987392704e-05,309.241492678,684757546,fmin_l_bfgs_b,1,38.35332713309762,2.08205889997771,0,0,,completed_without_convergence_warning,False,False,,False,,False,,False
phase3c_fixed_gp_target_definition_sensitivity,Phase 3C,F7F71204D643D1027D0FF4736F24213619BF6A09C2361C3C11F169797AC98A9C,6B8822C48C48F0F0D9A0E24FC88600D120EE5B4FD2CB1516A3CEB7844E25C91B,width,Melt-pool width,T4,matern32_learned_nugget,Matérn 3/2 + learned nugget,Matern,1.5,True,8,sim_00009,9,127.16849,130.8379182631382,-3.6694282631381867,3.6694282631381867,13.464703778317329,2.8036735944599718,7.860585624272098,6.75441609111021,45.62213673184853,6.75441609111021,total predictive variance including learned WhiteKernel nugget,2.806338594829272,2.976702718299789,2.976702718299789,125.34271801799665,136.33311850827974,117.59926272456218,144.0765738017142,True,True,"7.5**2 * Matern(length_scale=28.7, nu=1.5) + WhiteKernel(noise_level=0.0265)",56.298371858948364,28.70651767236958,0.02645843111071892,0.1626604780231477,37.761551107576416,6.145042807627658,0.1626604780231477,0.038716569515495326,158.71868,False,1e-08,numerical jitter only; separate from WhiteKernel nugget,240,241,True,False,False,False,True,True,False,"[""P"",""VX"",""LS"",""ST""]",159.20953445833337,37.77833978056536,"[158.36778409537374,0.6173736856002167,6.475985666105916e-05,348.5912237646123]","[52.99627809469381,0.24075390073481917,1.3366233832592893e-05,32.45289559521182]",F9B11A3FCE1E562647087FCED6CD5B92226595E705D76E955F6B492586AFA8CF,112.904894498,0.537693260466,4.63068354409e-05,322.169166627,3979546915,fmin_l_bfgs_b,1,38.35633625156558,1.4828180000185966,0,0,,completed_without_convergence_warning,False,False,,False,,False,,False
phase3c_fixed_gp_target_definition_sensitivity,Phase 3C,F7F71204D643D1027D0FF4736F24213619BF6A09C2361C3C11F169797AC98A9C,6B8822C48C48F0F0D9A0E24FC88600D120EE5B4FD2CB1516A3CEB7844E25C91B,width,Melt-pool width,T4,matern32_learned_nugget,Matérn 3/2 + learned nugget,Matern,1.5,True,9,sim_00010,10,133.94807000000003,139.42270770047506,-5.474637700475029,5.474637700475029,29.97165795146251,2.7846115076838664,7.7540612487254155,6.743435038768599,45.47391612209206,6.743435038768599,total predictive variance including learned WhiteKernel nugget,3.8756894872729415,3.1570557770977565,3.1570557770977565,133.96486914541467,144.88054625553545,126.20557502448861,152.6398403764615,False,True,"7.56**2 * Matern(length_scale=28.9, nu=1.5) + WhiteKernel(noise_level=0.0264)",57.22373866927404,28.91477551846807,0.02639928914967395,0.16247858058733142,37.719854873366636,6.141649198168732,0.16247858058733142,0.03869518822969503,158.71868,False,1e-08,numerical jitter only; separate from WhiteKernel nugget,240,241,True,False,False,False,True,True,False,"[""P"",""VX"",""LS"",""ST""]",159.18128620833335,37.799746747957506,"[158.36619331605706,0.6172487292997,6.471096775599373e-05,348.6746412483623]","[52.99763697439272,0.2407874391839439,1.3412102099912544e-05,32.35900673090017]",10B9323F0E9890207C54E75E7EFB7A8E7062030760479D8B38D8D8A42E49C650,113.286681534,0.56768277259,5.80401726566e-05,302.148970527,2727544455,fmin_l_bfgs_b,1,38.66795985186499,1.1721499999985099,0,0,,completed_without_convergence_warning,False,False,,False,,False,,False
