target,target_label,target_definition,gp_configuration,gp_configuration_label,kernel_family,matern_nu,learned_nugget,fold_index,heldout_simulation_id,heldout_numeric_simulation_id,training_size,population_size,optimized_kernel,optimized_signal_variance_normalized,optimized_length_scale,optimized_noise_variance_normalized,optimized_noise_std_normalized,optimized_noise_variance_um2,optimized_noise_std_um,noise_std_fraction_training_target_std,noise_std_fraction_dataset_target_median,numerical_alpha_normalized,optimizer,n_restarts_optimizer,log_marginal_likelihood,runtime_seconds,warning_count,convergence_warning_count,warnings,convergence_status,failed_fold,constant_bound_hit,constant_bound_side,length_scale_bound_hit,length_scale_bound_side,noise_bound_hit,noise_bound_side,any_hyperparameter_bound_hit,fold_random_seed
depth,Penetration depth below original surface,T0,matern32_learned_nugget,Matérn 3/2 + learned nugget,Matern,1.5,True,0,sim_00001,1,229,230,"2.45**2 * Matern(length_scale=6.63, nu=1.5) + WhiteKernel(noise_level=0.013)",5.987933784354661,6.634524190985247,0.0130344052862691,0.1141683199765555,3.131578614554939,1.769626687907633,0.1141683199765555,0.0323382979359726,1e-08,fmin_l_bfgs_b,1,18.87956240301523,1.1410085000097752,0,0,,completed_without_convergence_warning,False,False,,False,,False,,False,2635540376
depth,Penetration depth below original surface,T0,matern32_learned_nugget,Matérn 3/2 + learned nugget,Matern,1.5,True,1,sim_00003,3,229,230,"2.39**2 * Matern(length_scale=6.47, nu=1.5) + WhiteKernel(noise_level=0.0129)",5.698583747719034,6.473899328109182,0.0128887370231827,0.1135285735979394,3.0769237362626964,1.754116226554756,0.1135285735979394,0.0320548585395275,1e-08,fmin_l_bfgs_b,1,18.932659149741568,1.9357079000328667,0,0,,completed_without_convergence_warning,False,False,,False,,False,,False,329694695
depth,Penetration depth below original surface,T0,matern32_learned_nugget,Matérn 3/2 + learned nugget,Matern,1.5,True,2,sim_00004,4,229,230,"2.39**2 * Matern(length_scale=6.56, nu=1.5) + WhiteKernel(noise_level=0.0129)",5.711640567564362,6.564478738036,0.0128851686960369,0.1135128569635923,3.093458794508965,1.7588231276933348,0.1135128569635923,0.0321408728228871,1e-08,fmin_l_bfgs_b,1,20.814620384013324,1.0943822000408543,0,0,,completed_without_convergence_warning,False,False,,False,,False,,False,3879711203
depth,Penetration depth below original surface,T0,matern32_learned_nugget,Matérn 3/2 + learned nugget,Matern,1.5,True,3,sim_00005,5,229,230,"2.46**2 * Matern(length_scale=6.7, nu=1.5) + WhiteKernel(noise_level=0.0133)",6.061781926279772,6.699520968425261,0.0132911840413622,0.115287397582573,3.1841176548147088,1.7844096095949238,0.115287397582573,0.0326084422150764,1e-08,fmin_l_bfgs_b,1,18.608779513336746,1.4782788999727927,0,0,,completed_without_convergence_warning,False,False,,False,,False,,False,2770192592
depth,Penetration depth below original surface,T0,matern32_learned_nugget,Matérn 3/2 + learned nugget,Matern,1.5,True,4,sim_00007,7,229,230,"2.45**2 * Matern(length_scale=6.66, nu=1.5) + WhiteKernel(noise_level=0.0132)",5.988846405782505,6.65526781392424,0.0131811556041518,0.1148092139340387,3.1668621606492806,1.7795679702245937,0.1148092139340387,0.0325199657146223,1e-08,fmin_l_bfgs_b,1,19.140548083997345,0.8422132999985479,0,0,,completed_without_convergence_warning,False,False,,False,,False,,False,1865053148
depth,Penetration depth below original surface,T0,matern32_learned_nugget,Matérn 3/2 + learned nugget,Matern,1.5,True,5,sim_00008,8,229,230,"2.44**2 * Matern(length_scale=6.61, nu=1.5) + WhiteKernel(noise_level=0.0132)",5.959328762515156,6.614622700608622,0.013203086146421,0.1149046828742026,3.159522116099453,1.7775044630322177,0.1149046828742026,0.0324822570211244,1e-08,fmin_l_bfgs_b,1,18.50181283506933,0.9110554000362754,0,0,,completed_without_convergence_warning,False,False,,False,,False,,False,2756063408
depth,Penetration depth below original surface,T0,matern32_learned_nugget,Matérn 3/2 + learned nugget,Matern,1.5,True,6,sim_00009,9,229,230,"2.44**2 * Matern(length_scale=6.63, nu=1.5) + WhiteKernel(noise_level=0.0131)",5.976880231038847,6.633514488440481,0.0131249088896752,0.1145639947351488,3.15380479976162,1.7758954923535393,0.1145639947351488,0.0324528545637966,1e-08,fmin_l_bfgs_b,1,19.074252785793306,0.5897868000320159,0,0,,completed_without_convergence_warning,False,False,,False,,False,,False,1454534353
depth,Penetration depth below original surface,T0,matern32_learned_nugget,Matérn 3/2 + learned nugget,Matern,1.5,True,7,sim_00010,10,229,230,"2.45**2 * Matern(length_scale=6.64, nu=1.5) + WhiteKernel(noise_level=0.0132)",5.988235203711353,6.637109823583747,0.0131571909792595,0.1147047992860783,3.158851855059845,1.7773159131285146,0.1147047992860783,0.0324788114452843,1e-08,fmin_l_bfgs_b,1,18.85611707022528,0.7212446999619715,0,0,,completed_without_convergence_warning,False,False,,False,,False,,False,944422621
depth,Penetration depth below original surface,T0,matern32_learned_nugget,Matérn 3/2 + learned nugget,Matern,1.5,True,8,sim_00011,11,229,230,"2.47**2 * Matern(length_scale=6.67, nu=1.5) + WhiteKernel(noise_level=0.0132)",6.07622865508086,6.667069698430563,0.0131871293165597,0.1148352268102421,3.148079066111175,1.774282690585459,0.1148352268102421,0.0324233820968383,1e-08,fmin_l_bfgs_b,1,18.644707525199323,0.715173100004904,0,0,,completed_without_convergence_warning,False,False,,False,,False,,False,686251515
depth,Penetration depth below original surface,T0,matern32_learned_nugget,Matérn 3/2 + learned nugget,Matern,1.5,True,9,sim_00012,12,229,230,"2.44**2 * Matern(length_scale=6.64, nu=1.5) + WhiteKernel(noise_level=0.0131)",5.960153274162995,6.641978379916165,0.013086172526449,0.1143948098754881,3.1444851304698824,1.7732696158424084,0.1143948098754881,0.0324048690889276,1e-08,fmin_l_bfgs_b,1,19.637140102355403,0.7809955999837257,0,0,,completed_without_convergence_warning,False,False,,False,,False,,False,3790933744
