comparison_type,target,target_definition,reference_model,candidate_model,difference_direction,paired_simulation_count,bootstrap_resamples,bootstrap_seed,pairing_preserved,observed_mae_difference_um,mae_difference_ci95_lower_um,mae_difference_ci95_upper_um,observed_rmse_difference_um,rmse_difference_ci95_lower_um,rmse_difference_ci95_upper_um,candidate_robust_mae_advantage,candidate_robust_rmse_advantage,reference_robust_mae_advantage,reference_robust_rmse_advantage,kernel_family_comparison,nugget_conclusion,summary_scope
GP candidate minus current Matérn 3/2 learned nugget,depth,T0,matern32_learned_nugget,matern32_no_nugget,candidate minus reference; negative favors candidate,230,10000,1474546436,True,0.286910284773638,0.14261083598204627,0.4328750145342923,0.30791179502089827,0.06735319300171598,0.5762751724451888,False,False,True,True,,,candidate_vs_current
GP candidate minus current Matérn 3/2 learned nugget,depth,T0,matern32_learned_nugget,matern52_learned_nugget,candidate minus reference; negative favors candidate,230,10000,104102929,True,-0.014017114180040036,-0.051178340564518345,0.022627567656541805,-0.01197662646145714,-0.049632164891811416,0.029443556687565896,False,False,False,False,,,candidate_vs_current
GP candidate minus current Matérn 3/2 learned nugget,depth,T0,matern32_learned_nugget,matern52_no_nugget,candidate minus reference; negative favors candidate,230,10000,3013280744,True,0.6111920964802062,0.4011113328257679,0.8313672425985161,0.768541382059265,0.39791141564418336,1.1716068055155149,False,False,True,True,,,candidate_vs_current
GP candidate minus current Matérn 3/2 learned nugget,depth,T0,matern32_learned_nugget,rbf_learned_nugget,candidate minus reference; negative favors candidate,230,10000,4253415309,True,0.023218894572430537,-0.06958458853887795,0.11695303624438286,0.040904367837569566,-0.07482155135742616,0.1450920908837191,False,False,False,False,,,candidate_vs_current
GP candidate minus current Matérn 3/2 learned nugget,depth,T0,matern32_learned_nugget,rbf_no_nugget,candidate minus reference; negative favors candidate,230,10000,1904358082,True,1.6002642503084676,1.2531947699343011,1.9656710467168952,2.129273300793633,1.4184206289595198,2.854097032359336,False,False,True,True,,,candidate_vs_current
within-kernel learned nugget minus no nugget,depth,T0,matern32_no_nugget,matern32_learned_nugget,candidate minus reference; negative favors candidate,230,10000,904150956,True,-0.286910284773638,-0.4324435521133622,-0.1441211732227648,-0.30791179502089827,-0.5758882938799625,-0.06569386282657495,True,True,False,False,Matérn 3/2,learned nugget robustly improves MAE and RMSE,within_kernel
within-kernel learned nugget minus no nugget,depth,T0,matern52_no_nugget,matern52_learned_nugget,candidate minus reference; negative favors candidate,230,10000,4273339438,True,-0.6252092106602463,-0.8579643411941477,-0.4048236047316228,-0.7805180085207222,-1.1962032783223662,-0.40675684617981545,True,True,False,False,Matérn 5/2,learned nugget robustly improves MAE and RMSE,within_kernel
within-kernel learned nugget minus no nugget,depth,T0,rbf_no_nugget,rbf_learned_nugget,candidate minus reference; negative favors candidate,230,10000,436399279,True,-1.577045355736037,-1.9679210233424311,-1.2019247250570824,-2.0883689329560635,-2.8386134412569484,-1.3699168916797622,True,True,False,False,RBF,learned nugget robustly improves MAE and RMSE,within_kernel
GP candidate minus current Matérn 3/2 learned nugget,length,T0,matern32_learned_nugget,matern32_no_nugget,candidate minus reference; negative favors candidate,241,10000,2334011809,True,4.451151433847473,3.0221856895000303,5.987717513439829,6.349914334271858,3.5749190846367003,9.863627217045936,False,False,True,True,,,candidate_vs_current
GP candidate minus current Matérn 3/2 learned nugget,length,T0,matern32_learned_nugget,matern52_learned_nugget,candidate minus reference; negative favors candidate,241,10000,179058651,True,-0.2608203377849616,-0.48773286072997263,-0.03739185343622163,-0.44891039537476374,-0.7261250891028415,-0.19170979655568465,True,True,False,False,,,candidate_vs_current
GP candidate minus current Matérn 3/2 learned nugget,length,T0,matern32_learned_nugget,matern52_no_nugget,candidate minus reference; negative favors candidate,241,10000,105464268,True,8.274296228584612,6.299663690767463,10.504180244474858,11.363489723866731,7.184489362924407,16.718613074685337,False,False,True,True,,,candidate_vs_current
GP candidate minus current Matérn 3/2 learned nugget,length,T0,matern32_learned_nugget,rbf_learned_nugget,candidate minus reference; negative favors candidate,241,10000,3714751255,True,-0.14914046392428126,-0.6635024397352621,0.3570405127860607,-0.6953989272419001,-1.2401897538685265,-0.14940216950732776,False,True,False,False,,,candidate_vs_current
GP candidate minus current Matérn 3/2 learned nugget,length,T0,matern32_learned_nugget,rbf_no_nugget,candidate minus reference; negative favors candidate,241,10000,1483376162,True,21.11426016181693,17.349510804269347,25.224715119374203,28.319866982674963,20.223951069596566,38.68405031057166,False,False,True,True,,,candidate_vs_current
within-kernel learned nugget minus no nugget,length,T0,matern32_no_nugget,matern32_learned_nugget,candidate minus reference; negative favors candidate,241,10000,245416005,True,-4.451151433847473,-6.036012970832145,-3.0445498378753157,-6.349914334271858,-9.846809944644319,-3.6399424303526278,True,True,False,False,Matérn 3/2,learned nugget robustly improves MAE and RMSE,within_kernel
