simulation_id,numeric_simulation_id,target,target_label,target_definition,target_definition_label,aggregation,available,target_value_m,target_value_um,window_observation_count,within_window_cv,within_window_relative_trend,within_window_absolute_relative_trend,window_unstable,instability_cv_threshold,in_target_modelling_population,minimum_50_row_fallback_used,fewer_than_50_valid_rows,selected_rows_after_90pct_cutoff,selected_rows_after_full_domain_exit,sentinel_rows_excluded,P,VX,LS,ST
sim_00001,1,depth,Penetration depth below original surface,T0,Current: median over final 20% before 90% +X cutoff,median,True,5.071019e-05,50.71019,13744,0.001829450972291435,0.0002244527802837052,0.0002244527802837052,False,0.15,True,False,False,0,0,True,101.127472137,0.52394730996,4.5e-05,300.0
sim_00002,2,depth,Penetration depth below original surface,T0,Current: median over final 20% before 90% +X cutoff,median,True,2.6660184999999998e-05,26.660185,10906,0.008398962162670678,-0.010667639736030007,0.010667639736030007,False,0.15,True,False,False,0,0,True,104.101541641,0.916529700054,8.82882842693e-05,394.968412652
sim_00003,3,depth,Penetration depth below original surface,T0,Current: median over final 20% before 90% +X cutoff,median,True,3.4838855e-05,34.838855,10732,0.002427615413732977,-0.0019666945094808336,0.0019666945094808336,False,0.15,True,False,False,0,0,True,105.276295276,0.639039009111,7.6636834293e-05,367.44858305
sim_00004,4,depth,Penetration depth below original surface,T0,Current: median over final 20% before 90% +X cutoff,median,True,4.6715575e-05,46.715575,17286,0.0034365315924275433,-0.010458189672006608,0.010458189672006608,False,0.15,True,False,False,0,0,True,107.176159755,0.320752066655,8.75302281584e-05,393.859643937
sim_00005,5,depth,Penetration depth below original surface,T0,Current: median over final 20% before 90% +X cutoff,median,True,6.661901499999999e-05,66.61901499999999,13746,0.01640878643116823,0.033840116583218255,0.033840116583218255,False,0.15,True,False,False,0,0,True,109.759946449,0.241926176876,4.5e-05,300.0
sim_00006,6,depth,Penetration depth below original surface,T0,Current: median over final 20% before 90% +X cutoff,median,True,2.6879505e-05,26.879504999999998,11594,0.0033698177117541623,0.0010878279160511047,0.0010878279160511047,False,0.15,True,False,False,0,0,True,110.234671953,0.866589137882,8.08580037422e-05,348.980680204
sim_00007,7,depth,Penetration depth below original surface,T0,Current: median over final 20% before 90% +X cutoff,median,True,5.078583e-05,50.78583,16368,0.001588698639644637,-0.0021245552449354658,0.0021245552449354658,False,0.15,True,False,False,0,0,True,110.642328299,0.274154737479,7.4676600105e-05,358.612942181
sim_00008,8,depth,Penetration depth below original surface,T0,Current: median over final 20% before 90% +X cutoff,median,True,3.868263e-05,38.68263,14311,0.04240078104386767,-0.12432343897721485,0.12432343897721485,False,0.15,True,False,False,0,0,True,112.428225508,0.704865651228,6.30987392704e-05,309.241492678
sim_00009,9,depth,Penetration depth below original surface,T0,Current: median over final 20% before 90% +X cutoff,median,True,5.458924e-05,54.58924,10176,0.0028751539341820404,-0.006691609553037272,0.006691609553037272,False,0.15,True,False,False,0,0,True,112.904894498,0.537693260466,4.63068354409e-05,322.169166627
sim_00010,10,depth,Penetration depth below original surface,T0,Current: median over final 20% before 90% +X cutoff,median,True,4.68229e-05,46.822900000000004,10404,0.001441271130423931,-0.0013595360297827535,0.0013595360297827535,False,0.15,True,False,False,0,0,True,113.286681534,0.56768277259,5.80401726566e-05,302.148970527
sim_00011,11,depth,Penetration depth below original surface,T0,Current: median over final 20% before 90% +X cutoff,median,True,3.480239e-05,34.802389999999995,10623,0.004097437823945928,-0.0062020104009908325,0.0062020104009908325,False,0.15,True,False,False,0,0,True,114.820217584,0.948189613582,6.03705790634e-05,353.560035146
sim_00012,12,depth,Penetration depth below original surface,T0,Current: median over final 20% before 90% +X cutoff,median,True,5.470013e-05,54.700129999999994,18661,0.020877728903427248,-0.05032829735534139,0.05032829735534139,False,0.15,True,False,False,0,0,True,115.281467344,0.424433079834,5.4086019252e-05,352.652659088
sim_00001,1,depth,Penetration depth below original surface,T1,Shorter: median over final 10% before 90% +X cutoff,median,True,5.072974e-05,50.72974,6872,0.0018192739546428742,-0.001511345994745735,0.001511345994745735,False,0.15,True,False,False,0,0,True,101.127472137,0.52394730996,4.5e-05,300.0
sim_00002,2,depth,Penetration depth below original surface,T1,Shorter: median over final 10% before 90% +X cutoff,median,True,2.663276e-05,26.63276,5453,0.011332536884062765,-0.026325158471704233,0.026325158471704233,False,0.15,True,False,False,0,0,True,104.101541641,0.916529700054,8.82882842693e-05,394.968412652
