target,target_label,target_definition,target_definition_label,gp_configuration,learned_nugget,fold_count,nugget_variance_normalized_min,nugget_variance_normalized_q25,nugget_variance_normalized_median,nugget_variance_normalized_q75,nugget_variance_normalized_q95,nugget_variance_normalized_max,nugget_variance_um2_min,nugget_variance_um2_q25,nugget_variance_um2_median,nugget_variance_um2_q75,nugget_variance_um2_q95,nugget_variance_um2_max,nugget_std_um_min,nugget_std_um_q25,nugget_std_um_median,nugget_std_um_q75,nugget_std_um_q95,nugget_std_um_max,nugget_fraction_training_target_std_min,nugget_fraction_training_target_std_q25,nugget_fraction_training_target_std_median,nugget_fraction_training_target_std_q75,nugget_fraction_training_target_std_q95,nugget_fraction_training_target_std_max,nugget_fraction_dataset_target_median_min,nugget_fraction_dataset_target_median_q25,nugget_fraction_dataset_target_median_median,nugget_fraction_dataset_target_median_q75,nugget_fraction_dataset_target_median_q95,nugget_fraction_dataset_target_median_max,warning_folds,failed_folds,any_bound_hit_folds
depth,Penetration depth below original surface,T0,Current: median over final 20% before 90% +X cutoff,matern32_learned_nugget,True,230,0.0104328655182228,0.013105686830907575,0.01318010665605765,0.01325648321721315,0.013412166857243014,0.0147879079627073,2.5064219846576954,3.1419541312991375,3.1568429552567627,3.170353302359433,3.1932966579557553,3.4463609812895992,1.5831683374353136,1.7725558178478285,1.7767506721323791,1.7805485946646051,1.7869797586866345,1.8564377127416904,0.1021413996292532,0.11448007175043479,0.1148046456205218,0.11513680211980128,0.11581090686242816,0.1216055424835041,0.0289309433049496,0.03239182508796822,0.03246848218665395,0.032537885723130947,0.03265540932267912,0.0339246894638547,1,0,0
depth,Penetration depth below original surface,T1,Shorter: median over final 10% before 90% +X cutoff,matern32_learned_nugget,True,230,0.0114233209763304,0.014851092850329574,0.014955749576723,0.015035170387284327,0.01521878329277771,0.0165415433167976,2.671625104123005,3.471256053583299,3.4913038958178246,3.508217263932596,3.542559489065164,3.7722228921516567,1.6345106619789929,1.8631307008199747,1.8685031142034252,1.8730235617802433,1.8821688215774337,1.9422211233924047,0.1068799372021263,0.12186505998898348,0.1222937021136615,0.12261798555310283,0.12336443283536298,0.1286139312702852,0.0300045880741396,0.034201348762511054,0.03429996974693415,0.0343829512597552,0.03455083009923214,0.0356532056424302,1,0,0
depth,Penetration depth below original surface,T2,Longer: median over final 30% before 90% +X cutoff,matern32_learned_nugget,True,230,0.0068322777299022,0.009032873098538551,0.00909025596643145,0.009141709238841575,0.00925260920781695,0.0101409587133078,1.7076973438794754,2.254231762766392,2.265422095603153,2.2747349070155627,2.2944804751771257,2.4600671854867087,1.3067889438924234,1.5014099098192957,1.5051319190414871,1.5082224325093683,1.5147541254169457,1.5684601319404674,0.0826575932985124,0.09504142831579855,0.09534283369381524,0.09561228602405147,0.09619047861347033,0.1007023272487178,0.0238674128046688,0.0274220028216184,0.02748998222332975,0.02754642788049655,0.027665723817049355,0.0286466193425112,0,0,0
depth,Penetration depth below original surface,T3,Earlier: median over final 20% before 85% +X cutoff,matern32_learned_nugget,True,230,0.0073594313687439,0.009662516008664575,0.009727646216967801,0.009783610205956476,0.00990699275490005,0.0107740093741376,1.8150490511721464,2.3781303960400497,2.3908114507635885,2.402280345984171,2.422290053640037,2.5820040328286424,1.3472375630051838,1.5421188008553002,1.5462249025547719,1.5499291400026978,1.5563707739907817,1.6068615474983037,0.0857871282229677,0.09829809748474727,0.0986288305281772,0.09891213367822095,0.09953386447721148,0.1037979256735779,0.0245993822025215,0.02815774353805465,0.02823271737180255,0.0283003535150134,0.028417972130195233,0.0293398895925038,2,0,0
depth,Penetration depth below original surface,T4,Later: median over final 20% before 95% +X cutoff,matern32_learned_nugget,True,230,0.0111291559955141,0.01510602831725775,0.015207418825684799,0.0152895038189407,0.015480060023922004,0.0170474145945631,2.6911986865966373,3.651595655605994,3.670319341808028,3.6882699907970493,3.713282243051999,4.000641186387124,1.640487332043938,1.9109148739628423,1.9158077517794707,1.9204869113073044,1.926987863444624,2.0001602901735462,0.1054948150172042,0.12290658339819888,0.12331836367195134,0.12365073315441645,0.12441888483744215,0.1305657481675922,0.0300503905627295,0.03500407298065888,0.0350937005483294,0.03517941323173153,0.03529849744953691,0.0366388674473273,0,0,0
depth,Penetration depth below original surface,T5,Reference: mean of final 50 valid melt-present rows,matern32_learned_nugget,True,230,0.0655339839034243,0.09335708043262808,0.09365490203709764,0.09392602900944833,0.09436883325543707,0.0948676295686476,56.90443809359859,81.05771269817465,81.23481980905504,81.38775379605451,81.58614880647927,81.94819257997634,7.543503038615322,9.00320568712287,9.013036103728972,9.021516157856476,9.032505106740643,9.052524099938998,0.2559960622810912,0.3055439091567683,0.3060308841229754,0.30647353720345827,0.3071951054207793,0.3080058921005369,0.2428618700728417,0.2898567626515416,0.2901732513370146,0.290446265319137,0.2908000527654311,0.2914445610396692,0,0,0
length,Melt-pool length,T0,Current: median over final 20% before 90% +X cutoff,matern52_learned_nugget,True,241,0.02482968981291,0.0335064781482792,0.0336040784165719,0.033712512895891,0.0339193413370894,0.0341752517204426,202.19466234521195,274.93840792707886,275.43254230515004,275.66709017828373,276.0740151488848,276.53875666569473,14.219516951894391,16.581266776910585,16.59616046876958,16.603225294450585,16.615475170722167,16.629454490923468,0.1575743945344865,0.1830477482742666,0.183314152253916,0.1836096753874672,0.1841720427673251,0.1848654962951244,0.0416535465798681,0.0485718727564265,0.0486155011785236,0.0486361963291802,0.0486720801636031,0.0487130300965108,1,0,0
length,Melt-pool length,T1,Shorter: median over final 10% before 90% +X cutoff,matern52_learned_nugget,True,241,0.0244464913113968,0.0325846855522639,0.0326802115163891,0.0327891635446466,0.0329907931332674,0.0332575957512999,201.614084398369,270.51703159045854,271.06503091990544,271.33263271407577,271.72270231586907,272.2822012909771,14.19908744949368,16.447401970842037,16.464052688202425,16.472177534074714,16.48401353784536,16.500975767844068,0.1563537377595971,0.1805122864302148,0.180776689637766,0.1810777831337865,0.1816336784114318,0.1823666519715157,0.0415478974885862,0.0481266823286226,0.0481754039313638,0.0481991780129456,0.0482338112999852,0.0482834444187099,0,0,0
length,Melt-pool length,T2,Longer: median over final 30% before 90% +X cutoff,matern52_learned_nugget,True,241,0.0265056194000979,0.0358557790131203,0.0359443124940723,0.0360583648592955,0.0362864236736179,0.0364844011411113,213.49659568076072,291.1570917353488,291.5740081271097,291.8164716618923,292.2158992656924,292.7231110035254,14.611522702331907,17.063325928298646,17.075538296847622,17.082636554756185,17.09432359778217,17.109152842952962,0.1628054648962926,0.1893562225360452,0.189589853352104,0.1898904022305908,0.1904899568838682,0.1910089033032527,0.0429199398958217,0.0501218756035957,0.050157748259361,0.0501785987079424,0.050212928270607,0.0502564877492731,1,0,0
length,Melt-pool length,T3,Earlier: median over final 20% before 85% +X cutoff,matern52_learned_nugget,True,241,0.0246938666189035,0.0335199970443911,0.0336152680283571,0.0337251331610219,0.0339307138322626,0.0341409563357498,195.19947262588292,267.01221380686513,267.4768677626328,267.705227489058,268.0993195843709,268.64468750436964,13.971380483899326,16.34050837051483,16.354720045376283,16.361700018306713,16.373738717359906,16.390383995024937,0.1571428223588451,0.1830846717898338,0.183344670029857,0.1836440392744124,0.1842029148310706,0.1847727153444194,0.040791797962157,0.0477088657643475,0.0477503591422081,0.0477707383485354,0.0478058873576166,0.0478544860486563,0,0,0
