comparison_type,target,target_definition,reference_model,candidate_model,heldout_simulation_id,heldout_numeric_simulation_id,observed_target_um,reference_predicted_mean_um,candidate_predicted_mean_um,reference_residual_um,candidate_residual_um,reference_absolute_error_um,candidate_absolute_error_um,candidate_minus_reference_absolute_error_um,kernel_family_comparison
within-kernel learned nugget minus no nugget,width,T0,rbf_no_nugget,rbf_learned_nugget,sim_00001,1,126.26144,121.95504469950474,125.88249771683984,4.306395300495254,0.3789422831601428,4.306395300495254,0.3789422831601428,-3.927453017335111,RBF
within-kernel learned nugget minus no nugget,width,T0,rbf_no_nugget,rbf_learned_nugget,sim_00002,2,126.328725,129.0029064325389,122.28344440108476,-2.674181432538916,4.045280598915241,2.674181432538916,4.045280598915241,1.3710991663763248,RBF
within-kernel learned nugget minus no nugget,width,T0,rbf_no_nugget,rbf_learned_nugget,sim_00003,3,127.9412249999,145.86273443622204,145.11427056895732,-17.921509436322054,-17.173045569057336,17.921509436322054,17.173045569057336,-0.7484638672647179,RBF
within-kernel learned nugget minus no nugget,width,T0,rbf_no_nugget,rbf_learned_nugget,sim_00004,4,203.32255,190.9339580242357,202.4555471980361,12.388591975764284,0.8670028019639062,12.388591975764284,0.8670028019639062,-11.521589173800377,RBF
within-kernel learned nugget minus no nugget,width,T0,rbf_no_nugget,rbf_learned_nugget,sim_00005,5,166.993245,173.90818887822346,163.83142240046195,-6.914943878223454,3.161822599538027,6.914943878223454,3.161822599538027,-3.753121278685427,RBF
within-kernel learned nugget minus no nugget,width,T0,rbf_no_nugget,rbf_learned_nugget,sim_00006,6,128.06481,109.59404043747936,125.70666737486148,18.470769562520644,2.3581426251385267,18.470769562520644,2.3581426251385267,-16.112626937382117,RBF
within-kernel learned nugget minus no nugget,width,T0,rbf_no_nugget,rbf_learned_nugget,sim_00007,7,202.28875,197.6142050822371,199.06562603323792,4.674544917762887,3.223123966762074,4.674544917762887,3.223123966762074,-1.451420951000813,RBF
within-kernel learned nugget minus no nugget,width,T0,rbf_no_nugget,rbf_learned_nugget,sim_00008,8,133.3735999999,133.69241465137046,129.30035065810327,-0.3188146514704613,4.073249341796725,0.3188146514704613,4.073249341796725,3.7544346903262635,RBF
within-kernel learned nugget minus no nugget,width,T0,rbf_no_nugget,rbf_learned_nugget,sim_00009,9,127.16849,124.50920923947406,130.89748959400768,2.659280760525945,-3.728999594007675,2.659280760525945,3.728999594007675,1.0697188334817298,RBF
within-kernel learned nugget minus no nugget,width,T0,rbf_no_nugget,rbf_learned_nugget,sim_00010,10,133.94807,130.38117391646654,139.8067759966156,3.5668960835334644,-5.858705996615612,3.5668960835334644,5.858705996615612,2.2918099130821474,RBF
