response,plot_type,varying_features,profile,grid_count,supported_grid_count,supported_fraction,support_distance_threshold,supported_prediction_range,model_configuration,training_sample_size,optimized_kernel,fit_warning_count,fit_warnings,interaction_nonadditivity_std_supported
width,controlled_curve,P,median_reference,101,101,1.0,1.047475935897693,67.41907194199064,matern32_learned_nugget,241,"7.7**2 * Matern(length_scale=29.1, nu=1.5) + WhiteKernel(noise_level=0.0272)",0,,
width,controlled_curve,VX,median_reference,101,101,1.0,1.047475935897693,90.84486483829814,matern32_learned_nugget,241,"7.7**2 * Matern(length_scale=29.1, nu=1.5) + WhiteKernel(noise_level=0.0272)",0,,
width,controlled_curve,LS,median_reference,101,101,1.0,1.047475935897693,49.4605775611399,matern32_learned_nugget,241,"7.7**2 * Matern(length_scale=29.1, nu=1.5) + WhiteKernel(noise_level=0.0272)",0,,
width,controlled_curve,ST,median_reference,101,101,1.0,1.047475935897693,4.19509538522874,matern32_learned_nugget,241,"7.7**2 * Matern(length_scale=29.1, nu=1.5) + WhiteKernel(noise_level=0.0272)",0,,
width,interaction_surface,P x VX,other features at medians,961,817,0.850156087408949,1.047475935897693,135.5089633356397,matern32_learned_nugget,241,"7.7**2 * Matern(length_scale=29.1, nu=1.5) + WhiteKernel(noise_level=0.0272)",0,,3.3224722247247658
width,interaction_surface,P x LS,other features at medians,961,800,0.8324661810613944,1.047475935897693,110.0461562958092,matern32_learned_nugget,241,"7.7**2 * Matern(length_scale=29.1, nu=1.5) + WhiteKernel(noise_level=0.0272)",0,,5.746696738392491
depth,controlled_curve,P,median_reference,101,101,1.0,1.0530560016659813,58.48600270167723,matern32_learned_nugget,230,"2.45**2 * Matern(length_scale=6.65, nu=1.5) + WhiteKernel(noise_level=0.0131)",0,,
depth,controlled_curve,VX,median_reference,101,101,1.0,1.0530560016659813,23.0238299916491,matern32_learned_nugget,230,"2.45**2 * Matern(length_scale=6.65, nu=1.5) + WhiteKernel(noise_level=0.0131)",0,,
depth,controlled_curve,LS,median_reference,101,101,1.0,1.0530560016659813,15.195311918562012,matern32_learned_nugget,230,"2.45**2 * Matern(length_scale=6.65, nu=1.5) + WhiteKernel(noise_level=0.0131)",0,,
depth,controlled_curve,ST,median_reference,101,101,1.0,1.0530560016659813,3.7739021540982804,matern32_learned_nugget,230,"2.45**2 * Matern(length_scale=6.65, nu=1.5) + WhiteKernel(noise_level=0.0131)",0,,
depth,interaction_surface,P x VX,other features at medians,961,816,0.8491155046826223,1.0530560016659813,65.3866525544215,matern32_learned_nugget,230,"2.45**2 * Matern(length_scale=6.65, nu=1.5) + WhiteKernel(noise_level=0.0131)",0,,2.4050159865951137
depth,interaction_surface,P x LS,other features at medians,961,794,0.826222684703434,1.0530560016659813,55.847842732960835,matern32_learned_nugget,230,"2.45**2 * Matern(length_scale=6.65, nu=1.5) + WhiteKernel(noise_level=0.0131)",0,,3.1311066256097533
kinetic_energy,controlled_curve,P,median_reference,101,101,1.0,1.047475935897693,2.8385543880967545,matern32_learned_nugget,241,"10.3**2 * Matern(length_scale=47, nu=1.5) + WhiteKernel(noise_level=0.046)",0,,
kinetic_energy,controlled_curve,VX,median_reference,101,101,1.0,1.047475935897693,0.24336399888831384,matern32_learned_nugget,241,"10.3**2 * Matern(length_scale=47, nu=1.5) + WhiteKernel(noise_level=0.046)",0,,
