analysis_label,phase,phase3_config_fingerprint,run_fingerprint,target,target_label,target_definition,gp_configuration,gp_configuration_label,kernel_family,matern_nu,learned_nugget,fold_index,heldout_simulation_id,heldout_numeric_simulation_id,observed_target_um,predicted_mean_um,residual_um,absolute_error_um,squared_error_um2,latent_predictive_std_um,latent_predictive_variance_um2,total_predictive_std_um,total_predictive_variance_um2,evaluation_predictive_std_um,evaluation_variance_definition,latent_nlpd,total_nlpd,evaluation_nlpd,latent_interval_lower_um,latent_interval_upper_um,total_interval_lower_um,total_interval_upper_um,latent_interval_contains_observed,total_interval_contains_observed,optimized_kernel,optimized_signal_variance_normalized,optimized_length_scale,optimized_noise_variance_normalized,optimized_noise_std_normalized,optimized_noise_variance_um2,optimized_noise_std_um,noise_std_fraction_training_target_std,noise_std_fraction_dataset_target_median,dataset_target_median_um_reporting_only,dataset_target_median_used_for_fitting,numerical_alpha_normalized,numerical_alpha_interpretation,training_size,population_size,heldout_excluded_from_training,heldout_target_used_for_scaling,heldout_target_used_for_fitting,heldout_target_used_for_tuning,x_scaler_fit_on_training_only,y_scaler_fit_on_training_only,normalize_y,feature_columns,training_y_mean_um,training_y_std_um,x_training_mean,x_training_scale,outer_training_simulation_ids_sha256,heldout_P,heldout_VX,heldout_LS,heldout_ST,fold_random_seed,optimizer,n_restarts_optimizer,log_marginal_likelihood,runtime_seconds,warning_count,convergence_warning_count,warnings,convergence_status,failed_fold,constant_bound_hit,constant_bound_side,length_scale_bound_hit,length_scale_bound_side,noise_bound_hit,noise_bound_side,any_hyperparameter_bound_hit
phase4_new_response_compact,Phase 3B,F7F71204D643D1027D0FF4736F24213619BF6A09C2361C3C11F169797AC98A9C,FA5CF4AF93F6FE4FAA59CDCFE08BBE60448F5FA47C794E5CAD1E321AA47D55D9,total_height,T0 total vertical melt-pool height,T0,matern32_learned_nugget,Matérn 3/2 + learned nugget,Matern,1.5,True,0,sim_00001,1,74.86579499999999,71.30541321594012,3.560381784059871,3.560381784059871,12.676318448265349,12.02489111641824,144.5980063617143,12.024891535987868,144.59801645227265,12.024891535987868,total predictive variance including learned WhiteKernel nugget,3.4497502585040274,3.44975029033697,3.44975029033697,47.73662662776037,94.87419980411987,47.736625805403904,94.87420062647634,True,True,"1.09**2 * Matern(length_scale=1.39, nu=1.5) + WhiteKernel(noise_level=8.03e-08)",1.1886817693582017,1.3943318444456507,8.033235818420925e-08,0.00028342963533160967,1.0090558353332518e-05,0.0031765639224376574,0.00028342963533160967,4.468895407987811e-05,71.081635,False,1e-08,numerical jitter only; separate from WhiteKernel nugget,11,12,True,False,False,False,True,True,False,"[""P"",""VX"",""LS"",""ST""]",70.57124181818182,11.207592737157183,"[110.53749362190909,0.5856232005233637,66.80839056829092,345.78568964454547]","[3.5508260439677377,0.2432480481339861,14.883016596164593,32.157820322728114]",ED6D9C3BF106FBB43801B65DED491C04AD051D3B74A91394D409ABDFD108BA91,101.127472137,0.52394730996,45.0,300.0,4236398738,fmin_l_bfgs_b,0,-15.095811481792994,0.22606619994621724,0,0,,completed_without_convergence_warning,False,False,,False,,False,,False
phase4_new_response_compact,Phase 3B,F7F71204D643D1027D0FF4736F24213619BF6A09C2361C3C11F169797AC98A9C,FA5CF4AF93F6FE4FAA59CDCFE08BBE60448F5FA47C794E5CAD1E321AA47D55D9,total_height,T0 total vertical melt-pool height,T0,matern32_learned_nugget,Matérn 3/2 + learned nugget,Matern,1.5,True,1,sim_00002,2,92.05557,60.69873504694357,31.356834953056435,31.356834953056435,983.2510982732217,7.180388927935167,51.557985156413935,7.180389073242355,51.55798724313821,7.180389073242355,total predictive variance including learned WhiteKernel nugget,12.425683112088674,12.425682746396163,12.425682746396163,46.62517274819064,74.7722973456965,46.62517246338855,74.77229763049858,False,False,"1.31**2 * Matern(length_scale=3.21, nu=1.5) + WhiteKernel(noise_level=2.52e-08)",1.720509216238884,3.2106106739985703,2.5176670900404376e-08,0.00015867158189292868,2.0867242754328545e-06,0.0014445498521798597,0.00015867158189292868,2.032240609237336e-05,71.081635,False,1e-08,numerical jitter only; separate from WhiteKernel nugget,11,12,True,False,False,False,True,True,False,"[""P"",""VX"",""LS"",""ST""]",69.008535,9.104023763717434,"[110.26712366699999,0.5499338923329999,62.873091998354546,337.1521975852727]","[4.10116334878848,0.2197435596875935,14.398275640478975,30.500163314441124]",66C692E092F77F680082E5EBF2363897F8A5E9F25CC13DA7E1161E5522F5B651,104.101541641,0.916529700054,88.2882842693,394.968412652,2081551236,fmin_l_bfgs_b,0,-12.732275613060338,0.11290179996285588,0,0,,completed_without_convergence_warning,False,False,,False,,False,,False
phase4_new_response_compact,Phase 3B,F7F71204D643D1027D0FF4736F24213619BF6A09C2361C3C11F169797AC98A9C,FA5CF4AF93F6FE4FAA59CDCFE08BBE60448F5FA47C794E5CAD1E321AA47D55D9,total_height,T0 total vertical melt-pool height,T0,matern32_learned_nugget,Matérn 3/2 + learned nugget,Matern,1.5,True,2,sim_00003,3,62.37197500000001,72.9858527312865,-10.613877731286486,10.613877731286486,112.65440049469916,9.399645927479689,88.35334356198551,9.399648155064385,88.35338543900531,9.399648155064385,total predictive variance including learned WhiteKernel nugget,3.797132553950139,3.7971324887686353,3.7971324887686353,54.56254671342631,91.40915874914668,54.562542347360306,91.40916311521269,True,True,"1.07**2 * Matern(length_scale=1.4, nu=1.5) + WhiteKernel(noise_level=3.49e-07)",1.141970636258694,1.4039066021626887,3.493096045932964e-07,0.0005910241996680815,4.18770197923133e-05,0.006471245613659962,0.0005910241996680815,9.103962807917913e-05,71.081635,False,1e-08,numerical jitter only; separate from WhiteKernel nugget,11,12,True,False,False,False,True,True,False,"[""P"",""VX"",""LS"",""ST""]",71.70704363636364,10.949205831663416,"[110.16032788199999,0.5751603187823636,63.93231472347273,339.6540002763636]","[4.242592731104162,0.24320066876460447,15.73809411827225,33.82959187798519]",028D3227674C96EC3CBFF121915CF5085370294A096AB54B9FC0D516AED76AE8,105.276295276,0.639039009111,76.636834293,367.44858305,3841989131,fmin_l_bfgs_b,0,-14.822123627541215,0.10404170001856983,0,0,,completed_without_convergence_warning,False,False,,False,,False,,False
phase4_new_response_compact,Phase 3B,F7F71204D643D1027D0FF4736F24213619BF6A09C2361C3C11F169797AC98A9C,FA5CF4AF93F6FE4FAA59CDCFE08BBE60448F5FA47C794E5CAD1E321AA47D55D9,total_height,T0 total vertical melt-pool height,T0,matern32_learned_nugget,Matérn 3/2 + learned nugget,Matern,1.5,True,3,sim_00004,4,72.460095,69.5611308948589,2.89896410514109,2.89896410514109,8.40399288289648,10.785966777787818,116.33707933154253,10.785972834833428,116.33720999376466,10.785972834833428,total predictive variance including learned WhiteKernel nugget,3.3333036001849465,3.3333041211854018,3.3333041211854018,48.42063601039479,90.70162577932302,48.42062413858538,90.70163765113243,True,True,"1.06**2 * Matern(length_scale=1.32, nu=1.5) + WhiteKernel(noise_level=1.03e-06)",1.1172275031925814,1.3152688152558973,1.029528560055441e-06,0.0010146568681359432,0.00013066222211137124,0.011430757722538397,0.0010146568681359432,0.00016081168817428575,71.081635,False,1e-08,numerical jitter only; separate from WhiteKernel nugget,11,12,True,False,False,False,True,True,False,"[""P"",""VX"",""LS"",""ST""]",70.78994181818183,11.265638741043746,"[109.98761292936364,0.6040954953692728,62.94200619025455,337.2529947411818]","[4.396443852033959,0.2297744858067637,14.51744765114509,30.688653627948828]",33D282D6EAC06315CDA70B6E5C388800FCD8FBC1AEB7FCEB69ABFD4D34E29FA9,107.176159755,0.320752066655,87.53022815839999,393.859643937,1880529618,fmin_l_bfgs_b,0,-15.0189466151216,0.13702509994618595,0,0,,completed_without_convergence_warning,False,False,,False,,False,,False
phase4_new_response_compact,Phase 3B,F7F71204D643D1027D0FF4736F24213619BF6A09C2361C3C11F169797AC98A9C,FA5CF4AF93F6FE4FAA59CDCFE08BBE60448F5FA47C794E5CAD1E321AA47D55D9,total_height,T0 total vertical melt-pool height,T0,matern32_learned_nugget,Matérn 3/2 + learned nugget,Matern,1.5,True,4,sim_00005,5,84.0996,71.28565954675982,12.813940453240178,12.813940453240178,164.1970699391851,10.423632522624498,108.65211496671516,10.423632712782613,108.65211893099182,10.423632712782613,total predictive variance including learned WhiteKernel nugget,4.018623294557758,4.018623285231612,4.018623285231612,50.8553398024158,91.71597929110384,50.85533942970589,91.71597966381374,True,True,"1.03**2 * Matern(length_scale=1.04, nu=1.5) + WhiteKernel(noise_level=3.61e-08)",1.0641037253542607,1.0404406190753546,3.60571457179642e-08,0.0001898871920851014,3.9642766646438614e-06,0.0019910491366723878,0.0001898871920851014,2.801073915466896e-05,71.081635,False,1e-08,numerical jitter only; separate from WhiteKernel nugget,11,12,True,False,False,False,True,True,False,"[""P"",""VX"",""LS"",""ST""]",69.731805,10.485431454376675,"[109.7527232299091,0.6112614853491819,66.80839056829092,345.7856896445454]","[4.4707273765554785,0.2193609469276098,14.883016596164595,32.157820322728114]",45AEDAC3F92CE8459BC9C0F0B49E8F7917D967152E2983F85AB181D9373741A8,109.759946449,0.241926176876,45.0,300.0,4192104559,fmin_l_bfgs_b,0,-15.293699287412945,0.26311079994775355,0,0,,completed_without_convergence_warning,False,False,,False,,False,,False
phase4_new_response_compact,Phase 3B,F7F71204D643D1027D0FF4736F24213619BF6A09C2361C3C11F169797AC98A9C,FA5CF4AF93F6FE4FAA59CDCFE08BBE60448F5FA47C794E5CAD1E321AA47D55D9,total_height,T0 total vertical melt-pool height,T0,matern32_learned_nugget,Matérn 3/2 + learned nugget,Matern,1.5,True,5,sim_00006,6,53.52373000000001,69.39463550781731,-15.870905507817305,15.870905507817305,251.88564163806566,9.741237949886195,94.89171679630299,9.74123911785757,94.89173955127852,9.74123911785757,total predictive variance including learned WhiteKernel nugget,4.52253344950676,4.5225332511383645,4.5225332511383645,50.30180912604037,88.48746188959426,50.30180683681648,88.48746417881814,True,True,"1.02**2 * Matern(length_scale=0.882, nu=1.5) + WhiteKernel(noise_level=2.34e-07)",1.0474958910030272,0.8819818294792638,2.3433933246502154e-07,0.000484086079602607,2.2754975503953277e-05,0.004770217553105233,0.000484086079602607,6.710900154597221e-05,71.081635,False,1e-08,numerical jitter only; separate from WhiteKernel nugget,11,12,True,False,False,False,True,True,False,"[""P"",""VX"",""LS"",""ST""]",72.51142954545455,9.854068840445011,"[109.70956636590908,0.5544739434395455,63.54857204627273,341.3329005350909]","[4.468157297319663,0.22664645300681796,15.36782263248895,34.697917489465226]",786D9B81B81CAD3B4E460439C79FEA95C54A6E693E57E3C18F29CA8E2C3FDEAC,110.234671953,0.866589137882,80.8580037422,348.980680204,1021136857,fmin_l_bfgs_b,0,-15.429802326484099,0.15295440005138516,0,0,,completed_without_convergence_warning,False,False,,False,,False,,False
phase4_new_response_compact,Phase 3B,F7F71204D643D1027D0FF4736F24213619BF6A09C2361C3C11F169797AC98A9C,FA5CF4AF93F6FE4FAA59CDCFE08BBE60448F5FA47C794E5CAD1E321AA47D55D9,total_height,T0 total vertical melt-pool height,T0,matern32_learned_nugget,Matérn 3/2 + learned nugget,Matern,1.5,True,6,sim_00007,7,69.703175,72.44225057805922,-2.7390755780592144,2.7390755780592144,7.502535022320419,10.517684662749023,110.62169066502602,10.517686850830186,110.6217366921262,10.517686850830186,total predictive variance including learned WhiteKernel nugget,3.3059074044487806,3.3059075983775763,3.3059075983775763,51.82758863907113,93.0569125170473,51.82758435043205,93.05691680568638,True,True,"1.04**2 * Matern(length_scale=1.19, nu=1.5) + WhiteKernel(noise_level=3.62e-07)",1.083387914193438,1.1882024934871127,3.624237763869551e-07,0.0006020164253464809,4.6027100152422805e-05,0.0067843275387043924,0.0006020164253464809,9.544416836647598e-05,71.081635,False,1e-08,numerical jitter only; separate from WhiteKernel nugget,11,12,True,False,False,False,True,True,False,"[""P"",""VX"",""LS"",""ST""]",71.0405709090909,11.269339594513191,"[109.6725066980909,0.6083316162034547,64.11051783147273,340.45724035536364]","[4.461953398298924,0.22400987408569986,15.869294251763638,34.37077824057281]",CB0F63D04B07D03CA975A557BED7FBB7890310E779E905CD4F59DE80D8D4605A,110.642328299,0.274154737479,74.67660010499999,358.612942181,2891756821,fmin_l_bfgs_b,0,-15.036897620585709,0.19152069999836385,0,0,,completed_without_convergence_warning,False,False,,False,,False,,False
phase4_new_response_compact,Phase 3B,F7F71204D643D1027D0FF4736F24213619BF6A09C2361C3C11F169797AC98A9C,FA5CF4AF93F6FE4FAA59CDCFE08BBE60448F5FA47C794E5CAD1E321AA47D55D9,total_height,T0 total vertical melt-pool height,T0,matern32_learned_nugget,Matérn 3/2 + learned nugget,Matern,1.5,True,7,sim_00008,8,63.44792,66.14178150392455,-2.693861503924545,2.693861503924545,7.256889802326611,8.871563800948731,78.7046442743039,8.871566700399384,78.70469571963523,8.871566700399384,total predictive variance including learned WhiteKernel nugget,3.147891659318721,3.1478919560092673,3.1478919560092673,48.753516454065036,83.53004655378406,48.753510771141755,83.53005223670735,True,True,"1.02**2 * Matern(length_scale=0.888, nu=1.5) + WhiteKernel(noise_level=4.23e-07)",1.032797707301844,0.8875183110819492,4.23082388998364e-07,0.0006504478372616547,5.144533130554224e-05,0.0071725400874127045,0.0006504478372616547,0.00010090567116826595,71.081635,False,1e-08,numerical jitter only; separate from WhiteKernel nugget,11,12,True,False,False,False,True,True,False,"[""P"",""VX"",""LS"",""ST""]",71.60923045454545,11.027079615805405,"[109.51015240636364,0.5691760785899093,65.16305063461817,344.9455539465455]","[4.390650491424856,0.2407328412725755,16.148773724835394,33.205238392038105]",2B6BAEA93F34E3692ADCAF249A8BF2F835179267B90591C7D8BDE791A907B402,112.428225508,0.704865651228,63.098739270399996,309.241492678,1709570521,fmin_l_bfgs_b,0,-15.50929634777502,0.1834887999575585,0,0,,completed_without_convergence_warning,False,False,,False,,False,,False
phase4_new_response_compact,Phase 3B,F7F71204D643D1027D0FF4736F24213619BF6A09C2361C3C11F169797AC98A9C,FA5CF4AF93F6FE4FAA59CDCFE08BBE60448F5FA47C794E5CAD1E321AA47D55D9,total_height,T0 total vertical melt-pool height,T0,matern32_learned_nugget,Matérn 3/2 + learned nugget,Matern,1.5,True,8,sim_00009,9,73.34996,73.88656660339637,-0.536606603396379,0.536606603396379,0.28794664680859877,9.267126160961963,85.87962728318561,9.26712649486232,85.87963347177917,9.26712649486232,total predictive variance including learned WhiteKernel nugget,3.1470883046358553,3.147088340545673,3.147088340545673,55.72299932791093,92.05013387888182,55.72299867346623,92.05013453332651,True,True,"1.02**2 * Matern(length_scale=1.03, nu=1.5) + WhiteKernel(noise_level=4.89e-08)",1.0490563262497956,1.0313069530213088,4.8896229656493045e-08,0.000221124918669274,6.188593579456683e-06,0.0024876884007963467,0.00022112491866927404,3.499762492514904e-05,71.081635,False,1e-08,numerical jitter only; separate from WhiteKernel nugget,11,12,True,False,False,False,True,True,False,"[""P"",""VX"",""LS"",""ST""]",70.709045,11.250149534332055,"[109.46681886181818,0.5843735686591819,66.68958734639091,343.7703108602728]","[4.359171628117153,0.24352621682201242,15.050469317042506,34.20431848824839]",F8D40B8173107EBEF6FC0F0AD63CAB12EA9785D57C9DEA66E15D7C377279B4E6,112.904894498,0.537693260466,46.3068354409,322.169166627,2789993877,fmin_l_bfgs_b,0,-15.310581861879118,0.14792519994080067,0,0,,completed_without_convergence_warning,False,False,,False,,False,,False
phase4_new_response_compact,Phase 3B,F7F71204D643D1027D0FF4736F24213619BF6A09C2361C3C11F169797AC98A9C,FA5CF4AF93F6FE4FAA59CDCFE08BBE60448F5FA47C794E5CAD1E321AA47D55D9,total_height,T0 total vertical melt-pool height,T0,matern32_learned_nugget,Matérn 3/2 + learned nugget,Matern,1.5,True,9,sim_00010,10,67.953605,69.5523909616953,-1.5987859616952989,1.5987859616952989,2.5561165513139614,7.876340761485757,62.036743791042035,7.876346222492342,62.03682981656938,7.876346222492342,total predictive variance including learned WhiteKernel nugget,3.0034035926179468,3.003404257392843,3.003404257392843,54.11476306918321,84.99001885420738,54.11475236561031,84.99002955778029,True,True,"1.01**2 * Matern(length_scale=1, nu=1.5) + WhiteKernel(noise_level=6.81e-07)",1.027373162915004,1.0007870641404841,6.812877062610451e-07,0.000825401542439221,8.602552734510891e-05,0.00927499473558389,0.000825401542439221,0.000130483699982195,71.081635,False,1e-08,numerical jitter only; separate from WhiteKernel nugget,11,12,True,False,False,False,True,True,False,"[""P"",""VX"",""LS"",""ST""]",71.19962272727273,11.236948634932872,"[109.43211094945454,0.5816472493751819,65.62292032678182,345.5903286875454]","[4.330042119593474,0.24386544512579544,16.010824549269785,32.42771791783]",A46128905D0C08D9571DD2B80EAA51EE1D9570590F80915623B361C30E968335,113.286681534,0.56768277259,58.0401726566,302.148970527,3941801704,fmin_l_bfgs_b,0,-15.40672408875304,0.12468320003245026,0,0,,completed_without_convergence_warning,False,False,,False,,False,,False
