benchmark,metric,tolerance,surrogate_variant,acquisition_rule,method,mean_curve_first_budget,seed_0_first_budget,seed_1_first_budget,seed_2_first_budget,seed_3_first_budget,seed_4_first_budget
branin,global_error,0.3,fixed_iso_gpc,classifier_entropy,classifier_entropy,8,6,7,8,23,8
branin,global_error,0.3,fixed_iso_gpc,classifier_gated_diversity,classifier_gated_diversity,8,6,10,11,8,8
branin,global_error,0.3,fixed_iso_gpc,classifier_margin,classifier_margin,8,6,7,8,23,8
branin,global_error,0.3,fixed_iso_gpc,classifier_uncertainty_repulsion,classifier_uncertainty_repulsion,8,6,9,11,8,8
branin,global_error,0.3,fixed_iso_gpc,random,random,8,6,7,14,19,7
branin,global_error,0.3,optimized_ard_gpc,classifier_entropy,classifier_entropy,11,8,11,11,13,10
branin,global_error,0.3,optimized_ard_gpc,classifier_gated_diversity,classifier_gated_diversity,14,8,17,8,17,12
branin,global_error,0.3,optimized_ard_gpc,classifier_margin,classifier_margin,11,8,11,11,13,10
branin,global_error,0.3,optimized_ard_gpc,classifier_uncertainty_repulsion,classifier_uncertainty_repulsion,12,8,11,9,15,15
branin,global_error,0.3,optimized_ard_gpc,random,random,13,7,12,8,15,13
branin,global_error,0.3,optimized_iso_gpc,classifier_entropy,classifier_entropy,8,8,7,7,16,8
branin,global_error,0.3,optimized_iso_gpc,classifier_gated_diversity,classifier_gated_diversity,9,7,7,9,18,7
branin,global_error,0.3,optimized_iso_gpc,classifier_margin,classifier_margin,9,7,7,7,16,8
branin,global_error,0.3,optimized_iso_gpc,classifier_uncertainty_repulsion,classifier_uncertainty_repulsion,9,7,7,9,20,7
branin,global_error,0.3,optimized_iso_gpc,random,random,8,7,7,14,15,7
branin,global_error,0.25,fixed_iso_gpc,classifier_entropy,classifier_entropy,12,7,9,8,23,10
branin,global_error,0.25,fixed_iso_gpc,classifier_gated_diversity,classifier_gated_diversity,11,7,11,12,15,8
branin,global_error,0.25,fixed_iso_gpc,classifier_margin,classifier_margin,12,7,9,8,23,10
branin,global_error,0.25,fixed_iso_gpc,classifier_uncertainty_repulsion,classifier_uncertainty_repulsion,11,7,10,12,15,10
branin,global_error,0.25,fixed_iso_gpc,random,random,13,7,9,14,24,8
branin,global_error,0.25,optimized_ard_gpc,classifier_entropy,classifier_entropy,15,9,19,12,15,12
branin,global_error,0.25,optimized_ard_gpc,classifier_gated_diversity,classifier_gated_diversity,16,8,17,10,19,14
branin,global_error,0.25,optimized_ard_gpc,classifier_margin,classifier_margin,14,8,19,12,15,12
branin,global_error,0.25,optimized_ard_gpc,classifier_uncertainty_repulsion,classifier_uncertainty_repulsion,15,8,12,12,16,16
branin,global_error,0.25,optimized_ard_gpc,random,random,14,8,13,14,15,13
branin,global_error,0.25,optimized_iso_gpc,classifier_entropy,classifier_entropy,13,8,11,20,17,9
branin,global_error,0.25,optimized_iso_gpc,classifier_gated_diversity,classifier_gated_diversity,14,7,12,10,24,8
branin,global_error,0.25,optimized_iso_gpc,classifier_margin,classifier_margin,11,7,11,20,17,9
branin,global_error,0.25,optimized_iso_gpc,classifier_uncertainty_repulsion,classifier_uncertainty_repulsion,13,7,10,10,21,10
branin,global_error,0.25,optimized_iso_gpc,random,random,13,8,10,14,15,7
branin,global_error,0.2,fixed_iso_gpc,classifier_entropy,classifier_entropy,23,8,20,null,24,26
branin,global_error,0.2,fixed_iso_gpc,classifier_gated_diversity,classifier_gated_diversity,12,8,16,16,20,11
branin,global_error,0.2,fixed_iso_gpc,classifier_margin,classifier_margin,23,8,20,null,24,26
branin,global_error,0.2,fixed_iso_gpc,classifier_uncertainty_repulsion,classifier_uncertainty_repulsion,13,8,18,16,20,13
branin,global_error,0.2,fixed_iso_gpc,random,random,16,10,null,20,24,9
branin,global_error,0.2,optimized_ard_gpc,classifier_entropy,classifier_entropy,18,10,26,23,16,28
branin,global_error,0.2,optimized_ard_gpc,classifier_gated_diversity,classifier_gated_diversity,22,14,27,13,27,17
branin,global_error,0.2,optimized_ard_gpc,classifier_margin,classifier_margin,17,13,26,23,16,28
branin,global_error,0.2,optimized_ard_gpc,classifier_uncertainty_repulsion,classifier_uncertainty_repulsion,20,13,20,18,23,17
branin,global_error,0.2,optimized_ard_gpc,random,random,15,13,22,14,21,13
branin,global_error,0.2,optimized_iso_gpc,classifier_entropy,classifier_entropy,17,9,13,21,18,26
branin,global_error,0.2,optimized_iso_gpc,classifier_gated_diversity,classifier_gated_diversity,16,7,13,14,26,13
branin,global_error,0.2,optimized_iso_gpc,classifier_margin,classifier_margin,16,7,13,21,18,26
branin,global_error,0.2,optimized_iso_gpc,classifier_uncertainty_repulsion,classifier_uncertainty_repulsion,19,7,22,11,27,12
branin,global_error,0.2,optimized_iso_gpc,random,random,15,12,22,14,21,9
branin,global_error,0.15,fixed_iso_gpc,classifier_entropy,classifier_entropy,49,12,null,null,24,null
branin,global_error,0.15,fixed_iso_gpc,classifier_gated_diversity,classifier_gated_diversity,20,12,19,33,23,12
branin,global_error,0.15,fixed_iso_gpc,classifier_margin,classifier_margin,49,12,null,null,24,null
branin,global_error,0.15,fixed_iso_gpc,classifier_uncertainty_repulsion,classifier_uncertainty_repulsion,21,11,19,24,24,18
branin,global_error,0.15,fixed_iso_gpc,random,random,28,14,null,22,26,13
branin,global_error,0.15,optimized_ard_gpc,classifier_entropy,classifier_entropy,28,15,null,29,18,44
branin,global_error,0.15,optimized_ard_gpc,classifier_gated_diversity,classifier_gated_diversity,27,18,28,14,29,32
branin,global_error,0.15,optimized_ard_gpc,classifier_margin,classifier_margin,29,13,null,29,18,44
branin,global_error,0.15,optimized_ard_gpc,classifier_uncertainty_repulsion,classifier_uncertainty_repulsion,23,15,21,24,25,29
branin,global_error,0.15,optimized_ard_gpc,random,random,21,14,null,20,21,17
branin,global_error,0.15,optimized_iso_gpc,classifier_entropy,classifier_entropy,21,19,14,26,21,36
branin,global_error,0.15,optimized_iso_gpc,classifier_gated_diversity,classifier_gated_diversity,21,16,16,16,29,15
branin,global_error,0.15,optimized_iso_gpc,classifier_margin,classifier_margin,21,11,14,26,21,36
branin,global_error,0.15,optimized_iso_gpc,classifier_uncertainty_repulsion,classifier_uncertainty_repulsion,22,10,24,13,29,15
branin,global_error,0.15,optimized_iso_gpc,random,random,21,12,null,20,21,11
branin,global_error,0.1,fixed_iso_gpc,classifier_entropy,classifier_entropy,null,22,null,null,32,null
branin,global_error,0.1,fixed_iso_gpc,classifier_gated_diversity,classifier_gated_diversity,32,21,20,null,27,25
branin,global_error,0.1,fixed_iso_gpc,classifier_margin,classifier_margin,null,22,null,null,32,null
branin,global_error,0.1,fixed_iso_gpc,classifier_uncertainty_repulsion,classifier_uncertainty_repulsion,28,25,21,null,27,23
branin,global_error,0.1,fixed_iso_gpc,random,random,null,14,null,null,39,null
branin,global_error,0.1,optimized_ard_gpc,classifier_entropy,classifier_entropy,44,26,null,31,23,45
branin,global_error,0.1,optimized_ard_gpc,classifier_gated_diversity,classifier_gated_diversity,31,24,28,26,31,37
branin,global_error,0.1,optimized_ard_gpc,classifier_margin,classifier_margin,44,16,null,31,23,45
branin,global_error,0.1,optimized_ard_gpc,classifier_uncertainty_repulsion,classifier_uncertainty_repulsion,32,17,24,31,27,32
branin,global_error,0.1,optimized_ard_gpc,random,random,null,21,null,28,36,50
branin,global_error,0.1,optimized_iso_gpc,classifier_entropy,classifier_entropy,36,23,21,35,23,41
branin,global_error,0.1,optimized_iso_gpc,classifier_gated_diversity,classifier_gated_diversity,28,16,24,24,30,29
branin,global_error,0.1,optimized_iso_gpc,classifier_margin,classifier_margin,32,15,21,35,23,41
branin,global_error,0.1,optimized_iso_gpc,classifier_uncertainty_repulsion,classifier_uncertainty_repulsion,27,24,24,18,32,22
branin,global_error,0.1,optimized_iso_gpc,random,random,null,15,null,26,36,50
branin,global_error,0.08,fixed_iso_gpc,classifier_entropy,classifier_entropy,null,41,null,null,46,null
branin,global_error,0.08,fixed_iso_gpc,classifier_gated_diversity,classifier_gated_diversity,45,33,24,null,30,25
branin,global_error,0.08,fixed_iso_gpc,classifier_margin,classifier_margin,null,41,null,null,46,null
branin,global_error,0.08,fixed_iso_gpc,classifier_uncertainty_repulsion,classifier_uncertainty_repulsion,null,27,25,null,38,24
branin,global_error,0.08,fixed_iso_gpc,random,random,null,null,null,null,null,null
branin,global_error,0.08,optimized_ard_gpc,classifier_entropy,classifier_entropy,46,28,null,34,42,46
branin,global_error,0.08,optimized_ard_gpc,classifier_gated_diversity,classifier_gated_diversity,34,24,31,31,31,37
branin,global_error,0.08,optimized_ard_gpc,classifier_margin,classifier_margin,48,18,null,34,42,46
branin,global_error,0.08,optimized_ard_gpc,classifier_uncertainty_repulsion,classifier_uncertainty_repulsion,33,23,26,31,36,40
branin,global_error,0.08,optimized_ard_gpc,random,random,null,null,null,28,39,null
branin,global_error,0.08,optimized_iso_gpc,classifier_entropy,classifier_entropy,39,38,28,36,36,42
branin,global_error,0.08,optimized_iso_gpc,classifier_gated_diversity,classifier_gated_diversity,30,18,26,29,37,33
branin,global_error,0.08,optimized_iso_gpc,classifier_margin,classifier_margin,36,21,28,36,36,42
branin,global_error,0.08,optimized_iso_gpc,classifier_uncertainty_repulsion,classifier_uncertainty_repulsion,31,27,24,22,33,26
branin,global_error,0.08,optimized_iso_gpc,random,random,null,null,null,29,37,null
branin,global_error,0.06,fixed_iso_gpc,classifier_entropy,classifier_entropy,null,null,null,null,null,null
branin,global_error,0.06,fixed_iso_gpc,classifier_gated_diversity,classifier_gated_diversity,null,37,32,null,null,null
branin,global_error,0.06,fixed_iso_gpc,classifier_margin,classifier_margin,null,null,null,null,null,null
branin,global_error,0.06,fixed_iso_gpc,classifier_uncertainty_repulsion,classifier_uncertainty_repulsion,null,34,38,null,null,null
branin,global_error,0.06,fixed_iso_gpc,random,random,null,null,null,null,null,null
branin,global_error,0.06,optimized_ard_gpc,classifier_entropy,classifier_entropy,null,42,null,39,46,46
branin,global_error,0.06,optimized_ard_gpc,classifier_gated_diversity,classifier_gated_diversity,39,31,39,39,32,40
branin,global_error,0.06,optimized_ard_gpc,classifier_margin,classifier_margin,null,37,null,39,46,46
branin,global_error,0.06,optimized_ard_gpc,classifier_uncertainty_repulsion,classifier_uncertainty_repulsion,40,29,28,32,37,43
branin,global_error,0.06,optimized_ard_gpc,random,random,null,null,null,null,null,null
branin,global_error,0.06,optimized_iso_gpc,classifier_entropy,classifier_entropy,43,46,29,41,null,46
branin,global_error,0.06,optimized_iso_gpc,classifier_gated_diversity,classifier_gated_diversity,38,30,31,47,38,38
branin,global_error,0.06,optimized_iso_gpc,classifier_margin,classifier_margin,41,28,29,41,45,46
branin,global_error,0.06,optimized_iso_gpc,classifier_uncertainty_repulsion,classifier_uncertainty_repulsion,39,36,30,39,45,37
branin,global_error,0.06,optimized_iso_gpc,random,random,null,null,null,null,null,null
branin,near_boundary_error_q20,0.5,fixed_iso_gpc,classifier_entropy,classifier_entropy,6,6,6,6,23,6
branin,near_boundary_error_q20,0.5,fixed_iso_gpc,classifier_gated_diversity,classifier_gated_diversity,6,6,6,6,12,6
branin,near_boundary_error_q20,0.5,fixed_iso_gpc,classifier_margin,classifier_margin,6,6,6,6,23,6
branin,near_boundary_error_q20,0.5,fixed_iso_gpc,classifier_uncertainty_repulsion,classifier_uncertainty_repulsion,6,6,6,6,12,6
branin,near_boundary_error_q20,0.5,fixed_iso_gpc,random,random,6,6,6,6,24,6
branin,near_boundary_error_q20,0.5,optimized_ard_gpc,classifier_entropy,classifier_entropy,6,6,6,6,16,6
