experiment_name,complete_content_bundle_sha256,file_count,total_size_bytes,partition
P-100p408926704_VX-0p564694322144_LS-6p38706769001e-05_ST-381p633419878_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-8p54288845105e-06_H-790e4fd6dd,a3b505ffeb53799954e1b695c9b3b944ff441790dd043d9c1c285b12528a678b,780,67629947,old-data-remote-clean
P-101p127472137_VX-0p52394730996_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-3p56864695376e-06_H-b0e5aed98c,ccdf1498f859c3dde0ba6071e9517543b463edacac22bcce73d97af6363b3a93,1095,46308584,old-data-local
P-102p025474754_VX-0p424029390103_LS-7p94734719352e-05_ST-354p238131711_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p13768543304e-05_H-6f31342894,c1b64be371b40546f65524f8d92cbc66a4d79141721205410708700bf1f38ee2,594,66355252,old-data-remote-clean
P-102p449509144_VX-0p918837420936_LS-5p51471704636e-05_ST-339p471112188_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p25024394207e-06_H-b41981edcb,9b11a8073cd4cad925aa0dca268b1a1cc5f4006a9902d13fa57999fcad25a0e4,1215,68600085,old-data-remote-clean
P-102p928146519_VX-0p633805217924_LS-5p29394366699e-05_ST-318p223787128_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p61136145079e-06_H-6c9c68731f,22e9fe9e31121d7266d731828a4fd96c335d66563183f2bb161c9f3a78fb2fae,861,68147790,new-data
P-104p101541641_VX-0p916529700054_LS-8p82882842693e-05_ST-394p968412652_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p2634634783e-06_H-6014a1f9c3,c5991d3e5502ae5e4056a74726bbef8b2fe2e454f30e560bc738cc7cfb5bbe1a,1209,68910487,old-data-local
P-105p276295276_VX-0p639039009111_LS-7p6636834293e-05_ST-367p44858305_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p00125_DT-1p00822530836e-05_H-bf889bf790,a73d852e4820928c90aee859f0c1b75fb04443f80e86f7a97c8516b448dfa1b5,402,39725734,old-data-local
P-107p176159755_VX-0p320752066655_LS-8p75302281584e-05_ST-393p859643937_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p50400296819e-05_H-8daf8adcd4,ee3c63c073b6e8d5ac494cf955941241910cae36bc75d7acd583308c66d50358,430,11882602,old-data-local
P-109p741517589_VX-0p915030812968_LS-7p99759662409e-05_ST-303p804431165_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p27208541466e-06_H-0e4c2fc094,4777a24a268f3a3f649a87e48e42dc63985f22385195bbb567c0c05493a8e4a3,1203,69029767,new-data
P-109p759946449_VX-0p241926176876_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-7p72873359867e-06_H-fb250c7cf9,6ff7f8ed13bf2da5d4d4f9e51768fdf0b2ce86ba5f3d1b166ce1a524f0be2eac,528,42016140,old-data-local
