experiment_name,folder_name_valid,P,VX,LS,ST,XI,XF,XL,TE,DT,material,folder_hash,partition,P_unit,VX_unit,LS_unit,ST_unit,parameter_values_match_folder_and_partition,parameter_units_match_week6,label_frame_count,frames_csv_row_count,frames_csv_schema_valid,frames_csv_frame_index_valid,frames_csv_timestep_matches_partition_ledger,frames_csv_label_matches_final_label,parameters_path,parameters_sha256,frames_csv_path,frames_csv_sha256
P-102p928146519_VX-0p633805217924_LS-5p29394366699e-05_ST-318p223787128_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p61136145079e-06_H-6c9c68731f,True,102.928146519,0.633805217924,5.29394366699e-05,318.223787128,0.0002,0.0014,0.0012,0.0021,7.61136145079e-06,TI64,6c9c68731f,new-data,W,m/s,m,K,True,True,274,274,True,True,True,True,P-102p928146519_VX-0p633805217924_LS-5p29394366699e-05_ST-318p223787128_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p61136145079e-06_H-6c9c68731f/parameters.json,bcd12a566337ae9fbce76f758476b495fd861e00c348268cc2fa4112f35721ab,P-102p928146519_VX-0p633805217924_LS-5p29394366699e-05_ST-318p223787128_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p61136145079e-06_H-6c9c68731f/frames.csv,5d6d8eeca5c42b985416b74d02b020ef4200b6d599d12adcd41c71c675694fab
P-109p741517589_VX-0p915030812968_LS-7p99759662409e-05_ST-303p804431165_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p27208541466e-06_H-0e4c2fc094,True,109.741517589,0.915030812968,7.99759662409e-05,303.804431165,0.0002,0.0014,0.0012,0.0021,5.27208541466e-06,TI64,0e4c2fc094,new-data,W,m/s,m,K,True,True,388,388,True,True,True,True,P-109p741517589_VX-0p915030812968_LS-7p99759662409e-05_ST-303p804431165_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p27208541466e-06_H-0e4c2fc094/parameters.json,f0045cac7db05c59706a6cab40089cbdaa9ebf55e4f4a2ceba3a1cca83fe041b,P-109p741517589_VX-0p915030812968_LS-7p99759662409e-05_ST-303p804431165_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p27208541466e-06_H-0e4c2fc094/frames.csv,c1aa8de1b1a702512245a2570695b8386132ea901bbddaeab9c1fd04f05693e1
P-111p098510779_VX-0p492021331775_LS-4p80108469254e-05_ST-345p911753718_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-9p80469807196e-06_H-0602c4a780,True,111.098510779,0.492021331775,4.80108469254e-05,345.911753718,0.0002,0.0014,0.0012,0.0021,9.80469807196e-06,TI64,0602c4a780,new-data,W,m/s,m,K,True,True,215,215,True,True,True,True,P-111p098510779_VX-0p492021331775_LS-4p80108469254e-05_ST-345p911753718_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-9p80469807196e-06_H-0602c4a780/parameters.json,9dbf508947a61cb37a68c4a5c02612cd77fdfe5a50b438a9cbb72b9837ad1388,P-111p098510779_VX-0p492021331775_LS-4p80108469254e-05_ST-345p911753718_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-9p80469807196e-06_H-0602c4a780/frames.csv,9252d414ed1a4b86a112dcbd4b16b28ddf57cc41ae5a931afa67059b5ae09bad
P-113p729503671_VX-0p646987288946_LS-8p28088886776e-05_ST-328p878079062_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p45628343159e-06_H-0e4c2fc094,True,113.729503671,0.646987288946,8.28088886776e-05,328.878079062,0.0002,0.0014,0.0012,0.0021,7.45628343159e-06,TI64,0e4c2fc094,new-data,W,m/s,m,K,True,True,280,280,True,True,True,True,P-113p729503671_VX-0p646987288946_LS-8p28088886776e-05_ST-328p878079062_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p45628343159e-06_H-0e4c2fc094/parameters.json,872124d2827a6650c3d15d1b01ded0eb6c3222c7d1093cde769320de4218990b,P-113p729503671_VX-0p646987288946_LS-8p28088886776e-05_ST-328p878079062_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p45628343159e-06_H-0e4c2fc094/frames.csv,8ce3b79076bb451f799616e85c1c28041ded296f0a56d77aff649a5426821ae2
P-115p973342836_VX-0p629021136955_LS-5p81694798744e-05_ST-308p264473639_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p66925039494e-06_H-27614c4053,True,115.973342836,0.629021136955,5.81694798744e-05,308.264473639,0.0002,0.0014,0.0012,0.0021,7.66925039494e-06,TI64,27614c4053,new-data,W,m/s,m,K,True,True,267,267,True,True,True,True,P-115p973342836_VX-0p629021136955_LS-5p81694798744e-05_ST-308p264473639_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p66925039494e-06_H-27614c4053/parameters.json,88e92ed7c7684fc1281c352a98ea8c23e5bf67e306bdc22cfe524c1780cd8916,P-115p973342836_VX-0p629021136955_LS-5p81694798744e-05_ST-308p264473639_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p66925039494e-06_H-27614c4053/frames.csv,12315541374a54049872c3ea6bddbfaa00042c2157ecc3a9e45027b3c1101de2
P-117p204089079_VX-0p299188895548_LS-6p61946140465e-05_ST-399p004242061_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p61239961603e-05_H-0e4c2fc094,True,117.204089079,0.299188895548,6.61946140465e-05,399.004242061,0.0002,0.0014,0.0012,0.0021,1.61239961603e-05,TI64,0e4c2fc094,new-data,W,m/s,m,K,True,True,132,132,True,True,True,True,P-117p204089079_VX-0p299188895548_LS-6p61946140465e-05_ST-399p004242061_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p61239961603e-05_H-0e4c2fc094/parameters.json,d59234df406f33c0c90573e4f039db5fb4db0cbc9abb197b5f93033c2cc245d9,P-117p204089079_VX-0p299188895548_LS-6p61946140465e-05_ST-399p004242061_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p61239961603e-05_H-0e4c2fc094/frames.csv,8075d0b8e4863ef57930a3af82db4c6efeb0e5e7c5bc1d940db141566abd1886
P-118p239150472_VX-0p728951155133_LS-5p59862781201e-05_ST-395p421202378_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-6p61789280262e-06_H-44aa3a8888,True,118.239150472,0.728951155133,5.59862781201e-05,395.421202378,0.0002,0.0014,0.0012,0.0021,6.61789280262e-06,TI64,44aa3a8888,new-data,W,m/s,m,K,True,True,317,317,True,True,True,True,P-118p239150472_VX-0p728951155133_LS-5p59862781201e-05_ST-395p421202378_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-6p61789280262e-06_H-44aa3a8888/parameters.json,7318bbf40eade10f6d6458066adc25ff4ab4f39dff35f31468af1ca41c97c4a7,P-118p239150472_VX-0p728951155133_LS-5p59862781201e-05_ST-395p421202378_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-6p61789280262e-06_H-44aa3a8888/frames.csv,c219bb47d879b7f2f9876d164961dac0c101a18594a508aefb89f6d5aa89c22b
P-119p523515535_VX-0p859779155666_LS-6p70931710444e-05_ST-392p874711106_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p61088341259e-06_H-2934a8b202,True,119.523515535,0.859779155666,6.70931710444e-05,392.874711106,0.0002,0.0014,0.0012,0.0021,5.61088341259e-06,TI64,2934a8b202,new-data,W,m/s,m,K,True,True,369,369,True,True,True,True,P-119p523515535_VX-0p859779155666_LS-6p70931710444e-05_ST-392p874711106_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p61088341259e-06_H-2934a8b202/parameters.json,6d9aab8bba0f2bfaf62555433627544e3d766a9ae248e1cbd423a7a236ef1912,P-119p523515535_VX-0p859779155666_LS-6p70931710444e-05_ST-392p874711106_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p61088341259e-06_H-2934a8b202/frames.csv,a41ab7e7b90d505e6322e2a60f648bf083301a7690777a403726899b65dea786
P-120p079917874_VX-0p610410046914_LS-8p29242579558e-05_ST-398p6729924_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p90308191584e-06_H-a88ac79600,True,120.079917874,0.610410046914,8.29242579558e-05,398.6729924,0.0002,0.0014,0.0012,0.0021,7.90308191584e-06,TI64,a88ac79600,new-data,W,m/s,m,K,True,True,261,261,True,True,True,True,P-120p079917874_VX-0p610410046914_LS-8p29242579558e-05_ST-398p6729924_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p90308191584e-06_H-a88ac79600/parameters.json,8d14f75f15abbb9053edf5c53edfbe0412803e30e40e437ff542914f70add0e1,P-120p079917874_VX-0p610410046914_LS-8p29242579558e-05_ST-398p6729924_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p90308191584e-06_H-a88ac79600/frames.csv,76a9720c5085399a44f28415c1aa7b9a5438c1a563a5f52363b099180b78369b
P-120p906267006_VX-0p64748664338_LS-6p03748750968e-05_ST-359p518818343_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p45053299916e-06_H-c5f6eebf67,True,120.906267006,0.64748664338,6.03748750968e-05,359.518818343,0.0002,0.0014,0.0012,0.0021,7.45053299916e-06,TI64,c5f6eebf67,new-data,W,m/s,m,K,True,True,275,275,True,True,True,True,P-120p906267006_VX-0p64748664338_LS-6p03748750968e-05_ST-359p518818343_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p45053299916e-06_H-c5f6eebf67/parameters.json,083bae8da4bfb3008666d1e0d16c356ed7ed613a61da62a5536dec37c1f295c3,P-120p906267006_VX-0p64748664338_LS-6p03748750968e-05_ST-359p518818343_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p45053299916e-06_H-c5f6eebf67/frames.csv,a47dd1ae41b7d75b18d0e16fd47e2874fbe8e1931211e6fbf8a7e0f723ff73b3
