partition,collapsed_label_sequence,experiment_count,partition_experiment_count,experiment_percent
combined,Initial Emptiness -> Forming Phase -> Conduction,135,407,33.16953316953317
combined,Initial Emptiness -> Forming Phase -> Conduction -> Scanning Stopped,95,407,23.34152334152334
combined,Initial Emptiness -> Forming Phase -> Conduction -> Scanning Stopped -> Solidifying Stopped,92,407,22.604422604422606
combined,Initial Emptiness -> Forming Phase -> Keyhole,27,407,6.6339066339066335
combined,Initial Emptiness -> Forming Phase -> Conduction -> Keyhole,8,407,1.9656019656019657
combined,Initial Emptiness -> Forming Phase -> Keyhole -> Conduction,6,407,1.4742014742014742
combined,Initial Emptiness -> Forming Phase -> Keyhole -> Scanning Stopped -> Screenshot Bug,4,407,0.9828009828009828
combined,Forming Phase -> Initial Emptiness -> Forming Phase -> Conduction -> Scanning Stopped -> Solidifying Stopped,2,407,0.4914004914004914
combined,Forming Phase -> Initial Emptiness -> Forming Phase -> Conduction -> Scanning Stopped,1,407,0.2457002457002457
combined,Forming Phase -> Initial Emptiness -> Forming Phase -> Keyhole -> Forming Phase -> Conduction -> Scanning Stopped -> Solidifying Stopped,1,407,0.2457002457002457
combined,Initial Emptiness -> Forming Phase,1,407,0.2457002457002457
combined,Initial Emptiness -> Forming Phase -> Conduction -> Forming Phase -> Conduction,1,407,0.2457002457002457
combined,Initial Emptiness -> Forming Phase -> Conduction -> Forming Phase -> Conduction -> Scanning Stopped,1,407,0.2457002457002457
combined,Initial Emptiness -> Forming Phase -> Conduction -> Keyhole -> Scanning Stopped,1,407,0.2457002457002457
combined,Initial Emptiness -> Forming Phase -> Conduction -> Scanning Stopped -> Screenshot Bug -> Scanning Stopped -> Screenshot Bug,1,407,0.2457002457002457
combined,Initial Emptiness -> Forming Phase -> Conduction -> Scanning Stopped -> Solidifying Stopped -> Initial Emptiness,1,407,0.2457002457002457
combined,Initial Emptiness -> Forming Phase -> Initial Emptiness -> Forming Phase -> Conduction,1,407,0.2457002457002457
combined,Initial Emptiness -> Forming Phase -> Initial Emptiness -> Forming Phase -> Conduction -> Scanning Stopped,1,407,0.2457002457002457
combined,Initial Emptiness -> Forming Phase -> Initial Emptiness -> Keyhole,1,407,0.2457002457002457
combined,Initial Emptiness -> Forming Phase -> Keyhole -> Conduction -> Keyhole -> Conduction,1,407,0.2457002457002457
combined,Initial Emptiness -> Forming Phase -> Keyhole -> Conduction -> Keyhole -> Conduction -> Keyhole -> Conduction -> Keyhole -> Conduction -> Keyhole -> Conduction -> Keyhole -> Conduction -> Keyhole -> Conduction -> Keyhole -> Conduction -> Keyhole -> Conduction -> Keyhole -> Conduction -> Keyhole -> Conduction -> Scanning Stopped,1,407,0.2457002457002457
combined,Initial Emptiness -> Forming Phase -> Keyhole -> Conduction -> Keyhole -> Conduction -> Keyhole -> Conduction -> Keyhole -> Conduction -> Keyhole -> Conduction -> Keyhole -> Conduction -> Keyhole -> Conduction -> Keyhole -> Conduction -> Keyhole -> Scanning Stopped -> Screenshot Bug,1,407,0.2457002457002457
combined,Initial Emptiness -> Forming Phase -> Keyhole -> Conduction -> Keyhole -> Conduction -> Keyhole -> Conduction -> Keyhole -> Conduction -> Keyhole -> Conduction -> Keyhole -> Conduction -> Keyhole -> Conduction -> Keyhole -> Conduction -> Scanning Stopped -> Screenshot Bug,1,407,0.2457002457002457
combined,Initial Emptiness -> Forming Phase -> Keyhole -> Conduction -> Keyhole -> Conduction -> Keyhole -> Conduction -> Keyhole -> Conduction -> Keyhole -> Conduction -> Scanning Stopped,1,407,0.2457002457002457
combined,Initial Emptiness -> Forming Phase -> Keyhole -> Conduction -> Keyhole -> Conduction -> Keyhole -> Conduction -> Keyhole -> Conduction -> Scanning Stopped -> Screenshot Bug -> Scanning Stopped -> Solidifying Stopped,1,407,0.2457002457002457
combined,Initial Emptiness -> Forming Phase -> Keyhole -> Conduction -> Keyhole -> Conduction -> Keyhole -> Conduction -> Scanning Stopped,1,407,0.2457002457002457
combined,Initial Emptiness -> Forming Phase -> Keyhole -> Conduction -> Keyhole -> Conduction -> Keyhole -> Conduction -> Scanning Stopped -> Screenshot Bug -> Scanning Stopped -> Screenshot Bug,1,407,0.2457002457002457
combined,Initial Emptiness -> Forming Phase -> Keyhole -> Conduction -> Keyhole -> Conduction -> Scanning Stopped,1,407,0.2457002457002457
combined,Initial Emptiness -> Forming Phase -> Keyhole -> Conduction -> Keyhole -> Conduction -> Scanning Stopped -> Solidifying Stopped,1,407,0.2457002457002457
combined,Initial Emptiness -> Forming Phase -> Keyhole -> Conduction -> Scanning Stopped -> Screenshot Bug,1,407,0.2457002457002457
combined,Initial Emptiness -> Forming Phase -> Keyhole -> Conduction -> Scanning Stopped -> Screenshot Bug -> Scanning Stopped,1,407,0.2457002457002457
combined,Initial Emptiness -> Forming Phase -> Keyhole -> Conduction -> Scanning Stopped -> Screenshot Bug -> Scanning Stopped -> Screenshot Bug,1,407,0.2457002457002457
combined,Initial Emptiness -> Forming Phase -> Keyhole -> Conduction -> Scanning Stopped -> Screenshot Bug -> Scanning Stopped -> Screenshot Bug -> Scanning Stopped -> Screenshot Bug,1,407,0.2457002457002457
combined,Initial Emptiness -> Forming Phase -> Keyhole -> Conduction -> Scanning Stopped -> Solidifying Stopped,1,407,0.2457002457002457
combined,Initial Emptiness -> Forming Phase -> Keyhole -> Forming Phase -> Conduction,1,407,0.2457002457002457
combined,Initial Emptiness -> Forming Phase -> Keyhole -> Forming Phase -> Conduction -> Keyhole -> Conduction -> Keyhole -> Conduction -> Scanning Stopped -> Screenshot Bug,1,407,0.2457002457002457
combined,Initial Emptiness -> Forming Phase -> Keyhole -> Forming Phase -> Conduction -> Keyhole -> Conduction -> Scanning Stopped -> Screenshot Bug -> Scanning Stopped -> Screenshot Bug -> Scanning Stopped -> Screenshot Bug,1,407,0.2457002457002457
combined,Initial Emptiness -> Forming Phase -> Keyhole -> Forming Phase -> Conduction -> Scanning Stopped -> Screenshot Bug -> Scanning Stopped -> Screenshot Bug -> Scanning Stopped -> Screenshot Bug -> Scanning Stopped -> Solidifying Stopped,1,407,0.2457002457002457
combined,Initial Emptiness -> Forming Phase -> Keyhole -> Forming Phase -> Conduction -> Scanning Stopped -> Solidifying Stopped,1,407,0.2457002457002457
combined,Initial Emptiness -> Forming Phase -> Keyhole -> Forming Phase -> Keyhole -> Conduction -> Keyhole -> Conduction -> Keyhole -> Conduction -> Keyhole -> Conduction -> Keyhole -> Conduction -> Keyhole -> Conduction -> Scanning Stopped -> Screenshot Bug -> Scanning Stopped -> Solidifying Stopped,1,407,0.2457002457002457
combined,Initial Emptiness -> Forming Phase -> Keyhole -> Forming Phase -> Keyhole -> Conduction -> Scanning Stopped -> Screenshot Bug -> Scanning Stopped -> Screenshot Bug -> Scanning Stopped -> Screenshot Bug,1,407,0.2457002457002457
combined,Initial Emptiness -> Forming Phase -> Keyhole -> Forming Phase -> Keyhole -> Conduction -> Scanning Stopped -> Screenshot Bug -> Scanning Stopped -> Solidifying Stopped,1,407,0.2457002457002457
