source,partition,feature,unit,count,missing_count,min,q05,q25,median,mean,q75,q95,max,std,unique_count
sph_v2,new-data,P,W,165,0,102.928146519,120.2451877004,203.030488295,265.432977562,277.33473067960006,370.938359136,437.5793831977999,449.762375807,101.33828690379957,165
sph_v2,new-data,VX,m/s,165,0,0.20359066256,0.257057973024,0.448546579177,0.63969291749,0.6318002079427212,0.831533579891,0.961924145874,0.993777087019,0.22301564743006608,165
sph_v2,new-data,LS,m,165,0,4.00293473664e-05,4.088304530964e-05,4.43635630435e-05,5.7030843283e-05,5.979901926867818e-05,7.31988762132e-05,8.648325676133999e-05,8.87652204691e-05,1.545899777047434e-05,165
sph_v2,new-data,ST,K,165,0,300.218383071,303.7826769066,324.134516573,347.682708595,349.5389496581091,375.783913497,395.5920932848,399.817710522,30.30474787626127,165
sph_v2,old-data-local,P,W,179,0,52.5445860993,74.35232393932,112.666560003,151.505871803,156.33708293500277,203.22117786,238.3442404361,248.695097131,53.617106125389796,179
sph_v2,old-data-local,VX,m/s,179,0,0.201002332148,0.23265182292699998,0.4248738665605,0.635786516528,0.621988369681743,0.844861677783,0.9587574220057999,0.995509859725,0.23856087929162798,168
sph_v2,old-data-local,LS,m,179,0,4.5e-05,4.5e-05,5.057101075085e-05,6.21634030137e-05,6.338730341938324e-05,7.50548015555e-05,8.547375565780999e-05,8.84568803437e-05,1.3704954481154625e-05,153
sph_v2,old-data-local,ST,K,179,0,300.0,300.0,312.972996826,347.110895162,344.3816754095698,371.83820776050004,394.86442433990004,399.182507166,32.54042789698238,153
sph_v2,old-data-remote-clean,P,W,63,0,76.6986127633,91.57004963264,124.0870225755,162.201106716,164.7519893434159,212.168555089,239.9076070322,246.882256304,52.08521502060424,63
sph_v2,old-data-remote-clean,VX,m/s,63,0,0.225166085115,0.2532238566807,0.375990879947,0.584146530445,0.5997131171447301,0.8240029467475001,0.965979974163,0.998321353283,0.24777961586476965,63
sph_v2,old-data-remote-clean,LS,m,63,0,4.53091383738e-05,4.8694550529510005e-05,5.953192105865e-05,6.88880703989e-05,6.843729307711745e-05,7.782634117305e-05,8.673625563754e-05,8.97039861056e-05,1.1788161956045432e-05,63
sph_v2,old-data-remote-clean,ST,K,63,0,306.057190902,309.7334836744,338.313632602,359.100984903,360.606343255,389.2924236485,398.4254905824,399.457924021,29.40496523610491,63
sph_v2,combined,P,W,407,0,52.5445860993,82.86071009372,134.6893662215,193.81397439,206.69273645241944,244.14187063999998,405.84804133629996,449.762375807,96.13473668173587,407
sph_v2,combined,VX,m/s,407,0,0.201002332148,0.2439957615214,0.4242312349685,0.633805217924,0.6225181298862382,0.8427994043455,0.9628843086995,0.998321353283,0.2335231075229117,396
sph_v2,combined,LS,m,407,0,4.00293473664e-05,4.251610294892e-05,4.871066304415e-05,6.23730108092e-05,6.271428735936094e-05,7.48940524483e-05,8.616168435644e-05,8.97039861056e-05,1.4451224251736663e-05,381
sph_v2,combined,ST,K,407,0,300.0,300.0,322.0156422975,349.298273812,348.98389733898284,377.63112590549997,395.5387540089,399.817710522,31.585959297032645,381
Week 6,Week 6 exact population,P,W,241,0,52.5445860993,77.1412079225,113.286681534,153.721476211,158.17914139994892,206.272219756,238.319282705,248.695097131,53.077130046052524,241
Week 6,Week 6 exact population,VX,m/s,241,0,0.201002332148,0.237113609615,0.40901295179,0.621036488786,0.6170430614295352,0.844140965531,0.963213148682,0.998321353283,0.24080860656029449,230
Week 6,Week 6 exact population,LS,m,241,0,4.5e-05,4.5e-05,5.40074605054e-05,6.45833025222e-05,6.468328810827841e-05,7.55711119508e-05,8.56302518524e-05,8.97039861056e-05,1.3418983866031391e-05,215
Week 6,Week 6 exact population,ST,K,241,0,300.0,300.0,319.105471156,349.969995372,348.48158867275527,378.601004081,395.193912826,399.457924021,32.4974955523508,215
