experiment_name,partition,repository_file_count,repository_size_bytes,monitor_dat_count,monitor_dat_names,front_png_count,side_png_count,top_png_count,gif_count,has_parameters_json,has_frames_csv,has_required_phase2_monitors,all_three_frame_views_match_label_count,missing_expected_file_count
P-102p928146519_VX-0p633805217924_LS-5p29394366699e-05_ST-318p223787128_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p61136145079e-06_H-6c9c68731f,new-data,861,68147790,34,"[""average-temperature_gas.dat"",""average-temperature_melt.dat"",""average-temperature_substrate.dat"",""dt.dat"",""iter.dat"",""kinetic-energy_gas.dat"",""kinetic-energy_melt.dat"",""maximum-temperature_gas.dat"",""maximum-temperature_melt.dat"",""maximum-temperature_substrate.dat"",""maximum-thermal-conductivity_gas.dat"",""maximum-thermal-conductivity_melt.dat"",""maximum-thermal-conductivity_substrate.dat"",""maximum-velocity_gas.dat"",""maximum-velocity_melt.dat"",""maximum-viscosity_gas.dat"",""maximum-viscosity_melt.dat"",""minimum-heat-capacity_gas.dat"",""minimum-heat-capacity_melt.dat"",""minimum-heat-capacity_substrate.dat"",""minimum-temperature_gas.dat"",""minimum-temperature_melt.dat"",""minimum-temperature_substrate.dat"",""particle-number_gas.dat"",""particle-number_melt.dat"",""particle-number_substrate.dat"",""position-bounds_gas.dat"",""position-bounds_melt.dat"",""time.dat"",""total-energy_gas.dat"",""total-energy_melt.dat"",""total-energy_substrate.dat"",""transferred-laser-power_melt.dat"",""transferred-laser-power_substrate.dat""]",274,274,274,3,True,True,True,True,0
P-109p741517589_VX-0p915030812968_LS-7p99759662409e-05_ST-303p804431165_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p27208541466e-06_H-0e4c2fc094,new-data,1203,69029767,34,"[""average-temperature_gas.dat"",""average-temperature_melt.dat"",""average-temperature_substrate.dat"",""dt.dat"",""iter.dat"",""kinetic-energy_gas.dat"",""kinetic-energy_melt.dat"",""maximum-temperature_gas.dat"",""maximum-temperature_melt.dat"",""maximum-temperature_substrate.dat"",""maximum-thermal-conductivity_gas.dat"",""maximum-thermal-conductivity_melt.dat"",""maximum-thermal-conductivity_substrate.dat"",""maximum-velocity_gas.dat"",""maximum-velocity_melt.dat"",""maximum-viscosity_gas.dat"",""maximum-viscosity_melt.dat"",""minimum-heat-capacity_gas.dat"",""minimum-heat-capacity_melt.dat"",""minimum-heat-capacity_substrate.dat"",""minimum-temperature_gas.dat"",""minimum-temperature_melt.dat"",""minimum-temperature_substrate.dat"",""particle-number_gas.dat"",""particle-number_melt.dat"",""particle-number_substrate.dat"",""position-bounds_gas.dat"",""position-bounds_melt.dat"",""time.dat"",""total-energy_gas.dat"",""total-energy_melt.dat"",""total-energy_substrate.dat"",""transferred-laser-power_melt.dat"",""transferred-laser-power_substrate.dat""]",388,388,388,3,True,True,True,True,0
P-111p098510779_VX-0p492021331775_LS-4p80108469254e-05_ST-345p911753718_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-9p80469807196e-06_H-0602c4a780,new-data,684,66980875,34,"[""average-temperature_gas.dat"",""average-temperature_melt.dat"",""average-temperature_substrate.dat"",""dt.dat"",""iter.dat"",""kinetic-energy_gas.dat"",""kinetic-energy_melt.dat"",""maximum-temperature_gas.dat"",""maximum-temperature_melt.dat"",""maximum-temperature_substrate.dat"",""maximum-thermal-conductivity_gas.dat"",""maximum-thermal-conductivity_melt.dat"",""maximum-thermal-conductivity_substrate.dat"",""maximum-velocity_gas.dat"",""maximum-velocity_melt.dat"",""maximum-viscosity_gas.dat"",""maximum-viscosity_melt.dat"",""minimum-heat-capacity_gas.dat"",""minimum-heat-capacity_melt.dat"",""minimum-heat-capacity_substrate.dat"",""minimum-temperature_gas.dat"",""minimum-temperature_melt.dat"",""minimum-temperature_substrate.dat"",""particle-number_gas.dat"",""particle-number_melt.dat"",""particle-number_substrate.dat"",""position-bounds_gas.dat"",""position-bounds_melt.dat"",""time.dat"",""total-energy_gas.dat"",""total-energy_melt.dat"",""total-energy_substrate.dat"",""transferred-laser-power_melt.dat"",""transferred-laser-power_substrate.dat""]",215,215,215,3,True,True,True,True,0
P-113p729503671_VX-0p646987288946_LS-8p28088886776e-05_ST-328p878079062_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p45628343159e-06_H-0e4c2fc094,new-data,879,68411521,34,"[""average-temperature_gas.dat"",""average-temperature_melt.dat"",""average-temperature_substrate.dat"",""dt.dat"",""iter.dat"",""kinetic-energy_gas.dat"",""kinetic-energy_melt.dat"",""maximum-temperature_gas.dat"",""maximum-temperature_melt.dat"",""maximum-temperature_substrate.dat"",""maximum-thermal-conductivity_gas.dat"",""maximum-thermal-conductivity_melt.dat"",""maximum-thermal-conductivity_substrate.dat"",""maximum-velocity_gas.dat"",""maximum-velocity_melt.dat"",""maximum-viscosity_gas.dat"",""maximum-viscosity_melt.dat"",""minimum-heat-capacity_gas.dat"",""minimum-heat-capacity_melt.dat"",""minimum-heat-capacity_substrate.dat"",""minimum-temperature_gas.dat"",""minimum-temperature_melt.dat"",""minimum-temperature_substrate.dat"",""particle-number_gas.dat"",""particle-number_melt.dat"",""particle-number_substrate.dat"",""position-bounds_gas.dat"",""position-bounds_melt.dat"",""time.dat"",""total-energy_gas.dat"",""total-energy_melt.dat"",""total-energy_substrate.dat"",""transferred-laser-power_melt.dat"",""transferred-laser-power_substrate.dat""]",280,280,280,3,True,True,True,True,0
P-208p096600196_VX-0p256636148953_LS-4p52492384214e-05_ST-395p602757306_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p87975101041e-05_H-1980b1708d,new-data,378,65303917,34,"[""average-temperature_gas.dat"",""average-temperature_melt.dat"",""average-temperature_substrate.dat"",""dt.dat"",""iter.dat"",""kinetic-energy_gas.dat"",""kinetic-energy_melt.dat"",""maximum-temperature_gas.dat"",""maximum-temperature_melt.dat"",""maximum-temperature_substrate.dat"",""maximum-thermal-conductivity_gas.dat"",""maximum-thermal-conductivity_melt.dat"",""maximum-thermal-conductivity_substrate.dat"",""maximum-velocity_gas.dat"",""maximum-velocity_melt.dat"",""maximum-viscosity_gas.dat"",""maximum-viscosity_melt.dat"",""minimum-heat-capacity_gas.dat"",""minimum-heat-capacity_melt.dat"",""minimum-heat-capacity_substrate.dat"",""minimum-temperature_gas.dat"",""minimum-temperature_melt.dat"",""minimum-temperature_substrate.dat"",""particle-number_gas.dat"",""particle-number_melt.dat"",""particle-number_substrate.dat"",""position-bounds_gas.dat"",""position-bounds_melt.dat"",""time.dat"",""total-energy_gas.dat"",""total-energy_melt.dat"",""total-energy_substrate.dat"",""transferred-laser-power_melt.dat"",""transferred-laser-power_substrate.dat""]",113,113,113,3,True,True,True,True,0
P-339p704237738_VX-0p701398887747_LS-5p24684299583e-05_ST-300p218383071_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-6p87785607775e-06_H-1d842653b1,new-data,948,69423325,34,"[""average-temperature_gas.dat"",""average-temperature_melt.dat"",""average-temperature_substrate.dat"",""dt.dat"",""iter.dat"",""kinetic-energy_gas.dat"",""kinetic-energy_melt.dat"",""maximum-temperature_gas.dat"",""maximum-temperature_melt.dat"",""maximum-temperature_substrate.dat"",""maximum-thermal-conductivity_gas.dat"",""maximum-thermal-conductivity_melt.dat"",""maximum-thermal-conductivity_substrate.dat"",""maximum-velocity_gas.dat"",""maximum-velocity_melt.dat"",""maximum-viscosity_gas.dat"",""maximum-viscosity_melt.dat"",""minimum-heat-capacity_gas.dat"",""minimum-heat-capacity_melt.dat"",""minimum-heat-capacity_substrate.dat"",""minimum-temperature_gas.dat"",""minimum-temperature_melt.dat"",""minimum-temperature_substrate.dat"",""particle-number_gas.dat"",""particle-number_melt.dat"",""particle-number_substrate.dat"",""position-bounds_gas.dat"",""position-bounds_melt.dat"",""time.dat"",""total-energy_gas.dat"",""total-energy_melt.dat"",""total-energy_substrate.dat"",""transferred-laser-power_melt.dat"",""transferred-laser-power_substrate.dat""]",303,303,303,3,True,True,True,True,0
P-101p127472137_VX-0p52394730996_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-3p56864695376e-06_H-b0e5aed98c,old-data-local,1095,46308584,34,"[""average-temperature_gas.dat"",""average-temperature_melt.dat"",""average-temperature_substrate.dat"",""dt.dat"",""iter.dat"",""kinetic-energy_gas.dat"",""kinetic-energy_melt.dat"",""maximum-temperature_gas.dat"",""maximum-temperature_melt.dat"",""maximum-temperature_substrate.dat"",""maximum-thermal-conductivity_gas.dat"",""maximum-thermal-conductivity_melt.dat"",""maximum-thermal-conductivity_substrate.dat"",""maximum-velocity_gas.dat"",""maximum-velocity_melt.dat"",""maximum-viscosity_gas.dat"",""maximum-viscosity_melt.dat"",""minimum-heat-capacity_gas.dat"",""minimum-heat-capacity_melt.dat"",""minimum-heat-capacity_substrate.dat"",""minimum-temperature_gas.dat"",""minimum-temperature_melt.dat"",""minimum-temperature_substrate.dat"",""particle-number_gas.dat"",""particle-number_melt.dat"",""particle-number_substrate.dat"",""position-bounds_gas.dat"",""position-bounds_melt.dat"",""time.dat"",""total-energy_gas.dat"",""total-energy_melt.dat"",""total-energy_substrate.dat"",""transferred-laser-power_melt.dat"",""transferred-laser-power_substrate.dat""]",352,352,352,3,True,True,True,True,0
P-104p101541641_VX-0p916529700054_LS-8p82882842693e-05_ST-394p968412652_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p2634634783e-06_H-6014a1f9c3,old-data-local,1209,68910487,34,"[""average-temperature_gas.dat"",""average-temperature_melt.dat"",""average-temperature_substrate.dat"",""dt.dat"",""iter.dat"",""kinetic-energy_gas.dat"",""kinetic-energy_melt.dat"",""maximum-temperature_gas.dat"",""maximum-temperature_melt.dat"",""maximum-temperature_substrate.dat"",""maximum-thermal-conductivity_gas.dat"",""maximum-thermal-conductivity_melt.dat"",""maximum-thermal-conductivity_substrate.dat"",""maximum-velocity_gas.dat"",""maximum-velocity_melt.dat"",""maximum-viscosity_gas.dat"",""maximum-viscosity_melt.dat"",""minimum-heat-capacity_gas.dat"",""minimum-heat-capacity_melt.dat"",""minimum-heat-capacity_substrate.dat"",""minimum-temperature_gas.dat"",""minimum-temperature_melt.dat"",""minimum-temperature_substrate.dat"",""particle-number_gas.dat"",""particle-number_melt.dat"",""particle-number_substrate.dat"",""position-bounds_gas.dat"",""position-bounds_melt.dat"",""time.dat"",""total-energy_gas.dat"",""total-energy_melt.dat"",""total-energy_substrate.dat"",""transferred-laser-power_melt.dat"",""transferred-laser-power_substrate.dat""]",390,390,390,3,True,True,True,True,0
P-105p276295276_VX-0p639039009111_LS-7p6636834293e-05_ST-367p44858305_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p00125_DT-1p00822530836e-05_H-bf889bf790,old-data-local,402,39725734,34,"[""average-temperature_gas.dat"",""average-temperature_melt.dat"",""average-temperature_substrate.dat"",""dt.dat"",""iter.dat"",""kinetic-energy_gas.dat"",""kinetic-energy_melt.dat"",""maximum-temperature_gas.dat"",""maximum-temperature_melt.dat"",""maximum-temperature_substrate.dat"",""maximum-thermal-conductivity_gas.dat"",""maximum-thermal-conductivity_melt.dat"",""maximum-thermal-conductivity_substrate.dat"",""maximum-velocity_gas.dat"",""maximum-velocity_melt.dat"",""maximum-viscosity_gas.dat"",""maximum-viscosity_melt.dat"",""minimum-heat-capacity_gas.dat"",""minimum-heat-capacity_melt.dat"",""minimum-heat-capacity_substrate.dat"",""minimum-temperature_gas.dat"",""minimum-temperature_melt.dat"",""minimum-temperature_substrate.dat"",""particle-number_gas.dat"",""particle-number_melt.dat"",""particle-number_substrate.dat"",""position-bounds_gas.dat"",""position-bounds_melt.dat"",""time.dat"",""total-energy_gas.dat"",""total-energy_melt.dat"",""total-energy_substrate.dat"",""transferred-laser-power_melt.dat"",""transferred-laser-power_substrate.dat""]",121,121,121,3,True,True,True,True,0
P-107p176159755_VX-0p320752066655_LS-8p75302281584e-05_ST-393p859643937_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p50400296819e-05_H-8daf8adcd4,old-data-local,430,11882602,2,"[""iter.dat"",""position-bounds_melt.dat""]",141,141,141,3,True,True,False,True,2
