experiment_name,partition,week6_simulation_id,XF,sph_v2_folder_domain_max_m,week6_domain_max_reconstructed_m,absolute_error_m,mapping_matches_week6,compatibility_rule
P-101p127472137_VX-0p52394730996_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-3p56864695376e-06_H-b0e5aed98c,old-data-local,sim_00001,0.0012,0.001212,0.0012119999999999703,2.970713952610282e-17,True,"domain_max_x = min(folder XF, folder XL) + 12 µm boundary-wall extension"
P-104p101541641_VX-0p916529700054_LS-8p82882842693e-05_ST-394p968412652_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p2634634783e-06_H-6014a1f9c3,old-data-local,sim_00002,0.0014,0.001212,0.0012119999999999258,7.41594285980085e-17,True,"domain_max_x = min(folder XF, folder XL) + 12 µm boundary-wall extension"
P-105p276295276_VX-0p639039009111_LS-7p6636834293e-05_ST-367p44858305_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p00125_DT-1p00822530836e-05_H-bf889bf790,old-data-local,sim_00003,0.0014,0.001212,0.0012119999999999729,2.710505431213761e-17,True,"domain_max_x = min(folder XF, folder XL) + 12 µm boundary-wall extension"
P-107p176159755_VX-0p320752066655_LS-8p75302281584e-05_ST-393p859643937_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p50400296819e-05_H-8daf8adcd4,old-data-local,sim_00004,0.0014,0.001212,0.001211999999999983,1.691355389077387e-17,True,"domain_max_x = min(folder XF, folder XL) + 12 µm boundary-wall extension"
P-109p759946449_VX-0p241926176876_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-7p72873359867e-06_H-fb250c7cf9,old-data-local,sim_00005,0.0012,0.001212,0.0012119999999999987,1.3010426069826053e-18,True,"domain_max_x = min(folder XF, folder XL) + 12 µm boundary-wall extension"
P-110p234671953_VX-0p866589137882_LS-8p08580037422e-05_ST-348p980680204_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p56679098795e-06_H-6705b84f8a,old-data-local,sim_00006,0.0014,0.001212,0.0012119999999999432,5.681219383824043e-17,True,"domain_max_x = min(folder XF, folder XL) + 12 µm boundary-wall extension"
P-110p642328299_VX-0p274154737479_LS-7p4676600105e-05_ST-358p612942181_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p7596342297e-05_H-b40dbd8ddd,old-data-local,sim_00007,0.0014,0.001212,0.001211999999999985,1.496198998029996e-17,True,"domain_max_x = min(folder XF, folder XL) + 12 µm boundary-wall extension"
P-112p428225508_VX-0p704865651228_LS-6p30987392704e-05_ST-309p241492678_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-6p84402849623e-06_H-30d8d23b36,old-data-local,sim_00008,0.0014,0.001212,0.0012119999999999373,6.266688556966216e-17,True,"domain_max_x = min(folder XF, folder XL) + 12 µm boundary-wall extension"
P-112p904894498_VX-0p537693260466_LS-4p63068354409e-05_ST-322p169166627_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p00125_DT-1p19825809506e-05_H-bf889bf790,old-data-local,sim_00009,0.0014,0.001212,0.0012119999999999687,3.122502256758253e-17,True,"domain_max_x = min(folder XF, folder XL) + 12 µm boundary-wall extension"
P-113p286681534_VX-0p56768277259_LS-5p80401726566e-05_ST-302p148970527_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p00125_DT-1p13495658689e-05_H-bf889bf790,old-data-local,sim_00010,0.0014,0.001212,0.0012119999999999828,1.713039432527097e-17,True,"domain_max_x = min(folder XF, folder XL) + 12 µm boundary-wall extension"
