experiment_name,partition,week6_simulation_id,has_keyhole,max_depth_um,T0_depth_um,G3_persistent_depth_um,max_depth_minus_G3_um,max_depth_over_G3,width_at_max_depth_um,total_height_at_max_depth_um,depth_ambiguity_score,flag_depth_bounding_box_ambiguity_candidate,max_depth_row_index,max_depth_iteration,max_depth_time_s,gif_path_in_repository,diagnostic_limitation,permanently_excluded,selected_for_visual_review,visual_review_rank,nearest_saved_frame_timestep,side_frame_path_in_repository,local_side_frame_path,side_gif_size_bytes,local_side_gif_path,visual_review_status,visual_review_note,reviewer,reviewed_at_utc,visual_evidence_scope,exclusion_decision
P-420p548248194_VX-0p890019823061_LS-4p2728397196e-05_ST-342p58191385_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p42023950256e-06_H-39de960155,new-data,,True,311.9998,86.40669,131.71314999999998,180.28665,2.368782464013654,279.3203,370.4492,427.05985501576725,True,109723.0,109723.0,0.001993291,P-420p548248194_VX-0p890019823061_LS-4p2728397196e-05_ST-342p58191385_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p42023950256e-06_H-39de960155/gif_files/animation_ss_side.gif,Bounding-box monitors cannot identify connected components; flags select cases for visual review and are not exclusions.,False,True,1.0,109799.0,P-420p548248194_VX-0p890019823061_LS-4p2728397196e-05_ST-342p58191385_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p42023950256e-06_H-39de960155/frames/side/frame_00364.png,\\?\C:\Users\ozgur\Documents\thesis-week7-sph-v2-audit\data\raw\sph_v2\d69dac5bda8b622bc0de316b112815c6056c06ec\P-420p548248194_VX-0p890019823061_LS-4p2728397196e-05_ST-342p58191385_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p42023950256e-06_H-39de960155\frames\side\frame_00364.png,1119992.0,\\?\C:\Users\ozgur\Documents\thesis-week7-sph-v2-audit\data\raw\sph_v2\d69dac5bda8b622bc0de316b112815c6056c06ec\P-420p548248194_VX-0p890019823061_LS-4p2728397196e-05_ST-342p58191385_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p42023950256e-06_H-39de960155\gif_files\animation_ss_side.gif,REVIEWED,"The nearest saved side frame shows no clearly visible red melt component at the numerical maximum. The transient monitor event cannot be confirmed from this one rendered frame, so the visual result is inconclusive and the automatic flag remains for later GIF or connected-component sensitivity analysis.",Codex visual inspection,2026-08-08T16:21:26Z,Side frame nearest max-depth iteration plus pinned side-GIF reference,Retain; no exclusion
P-339p704237738_VX-0p701398887747_LS-5p24684299583e-05_ST-300p218383071_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-6p87785607775e-06_H-1d842653b1,new-data,,True,311.9999,85.48333000000001,150.4327,161.5672,2.074016487106859,232.18318,346.66426,335.0930365756914,True,110260.0,110260.0,0.002003043,P-339p704237738_VX-0p701398887747_LS-5p24684299583e-05_ST-300p218383071_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-6p87785607775e-06_H-1d842653b1/gif_files/animation_ss_side.gif,Bounding-box monitors cannot identify connected components; flags select cases for visual review and are not exclusions.,False,True,2.0,110173.0,P-339p704237738_VX-0p701398887747_LS-5p24684299583e-05_ST-300p218383071_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-6p87785607775e-06_H-1d842653b1/frames/side/frame_00287.png,\\?\C:\Users\ozgur\Documents\thesis-week7-sph-v2-audit\data\raw\sph_v2\d69dac5bda8b622bc0de316b112815c6056c06ec\P-339p704237738_VX-0p701398887747_LS-5p24684299583e-05_ST-300p218383071_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-6p87785607775e-06_H-1d842653b1\frames\side\frame_00287.png,945910.0,\\?\C:\Users\ozgur\Documents\thesis-week7-sph-v2-audit\data\raw\sph_v2\d69dac5bda8b622bc0de316b112815c6056c06ec\P-339p704237738_VX-0p701398887747_LS-5p24684299583e-05_ST-300p218383071_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-6p87785607775e-06_H-1d842653b1\gif_files\animation_ss_side.gif,REVIEWED,The nearest saved side frame shows one continuous red melt region and no obvious detached lower component. This does not invalidate the numerical flag because the maximum-depth spike can be shorter than the saved-frame cadence and bounding-box monitors do not encode connectivity.,Codex visual inspection,2026-08-08T16:21:26Z,Side frame nearest max-depth iteration plus pinned side-GIF reference,Retain; no exclusion
P-400p342090514_VX-0p84724542505_LS-4p08786684736e-05_ST-395p5494372_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p69388805225e-06_H-39de960155,new-data,,True,311.9905,90.50685,151.18835,160.80214999999998,2.0635882328234945,115.56094,325.44889,331.8294245527184,True,98924.0,98924.0,0.001797172,P-400p342090514_VX-0p84724542505_LS-4p08786684736e-05_ST-395p5494372_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p69388805225e-06_H-39de960155/gif_files/animation_ss_side.gif,Bounding-box monitors cannot identify connected components; flags select cases for visual review and are not exclusions.,False,True,3.0,99040.0,P-400p342090514_VX-0p84724542505_LS-4p08786684736e-05_ST-395p5494372_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p69388805225e-06_H-39de960155/frames/side/frame_00308.png,\\?\C:\Users\ozgur\Documents\thesis-week7-sph-v2-audit\data\raw\sph_v2\d69dac5bda8b622bc0de316b112815c6056c06ec\P-400p342090514_VX-0p84724542505_LS-4p08786684736e-05_ST-395p5494372_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p69388805225e-06_H-39de960155\frames\side\frame_00308.png,1083008.0,\\?\C:\Users\ozgur\Documents\thesis-week7-sph-v2-audit\data\raw\sph_v2\d69dac5bda8b622bc0de316b112815c6056c06ec\P-400p342090514_VX-0p84724542505_LS-4p08786684736e-05_ST-395p5494372_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p69388805225e-06_H-39de960155\gif_files\animation_ss_side.gif,REVIEWED,The nearest saved side frame shows no clearly visible red melt component. The visual evidence is therefore inconclusive for connectedness; retain the automatically selected case for later GIF or particle-level sensitivity analysis.,Codex visual inspection,2026-08-08T16:21:26Z,Side frame nearest max-depth iteration plus pinned side-GIF reference,Retain; no exclusion
P-140p119887795_VX-0p222892199661_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-8p38873219639e-06_H-fb250c7cf9,old-data-local,sim_00036,True,182.7274,86.1642,78.00963999999999,104.71776,2.342369481515361,180.65769,201.92373,245.28768519665005,True,68230.0,68230.0,0.001239745,P-140p119887795_VX-0p222892199661_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-8p38873219639e-06_H-fb250c7cf9/gif_files/animation_ss_side.gif,Bounding-box monitors cannot identify connected components; flags select cases for visual review and are not exclusions.,False,True,4.0,68329.0,P-140p119887795_VX-0p222892199661_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-8p38873219639e-06_H-fb250c7cf9/frames/side/frame_00148.png,\\?\C:\Users\ozgur\Documents\thesis-week7-sph-v2-audit\data\raw\sph_v2\d69dac5bda8b622bc0de316b112815c6056c06ec\P-140p119887795_VX-0p222892199661_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-8p38873219639e-06_H-fb250c7cf9\frames\side\frame_00148.png,451605.0,\\?\C:\Users\ozgur\Documents\thesis-week7-sph-v2-audit\data\raw\sph_v2\d69dac5bda8b622bc0de316b112815c6056c06ec\P-140p119887795_VX-0p222892199661_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-8p38873219639e-06_H-fb250c7cf9\gif_files\animation_ss_side.gif,REVIEWED,"Two small colored components are clearly separated below the main red melt region in the nearest saved side frame. This supports retaining a disconnected-lower-component sensitivity flag, but a rendered image alone is not a basis for permanent exclusion.",Codex visual inspection,2026-08-08T16:21:26Z,Side frame nearest max-depth iteration plus pinned side-GIF reference,Retain; no exclusion
P-377p008330657_VX-0p791215989527_LS-4p31405408456e-05_ST-371p11107289_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-6p09709695819e-06_H-3d091b92d3,new-data,,True,311.9946,94.584615,194.4043,117.59029999999998,1.6048749950489778,410.4493,393.66728,188.71773213030775,True,111086.0,111086.0,0.002018044,P-377p008330657_VX-0p791215989527_LS-4p31405408456e-05_ST-371p11107289_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-6p09709695819e-06_H-3d091b92d3/gif_files/animation_ss_side.gif,Bounding-box monitors cannot identify connected components; flags select cases for visual review and are not exclusions.,False,False,,,,,,,not_selected,,,,,
P-391p91054261_VX-0p798138981731_LS-4p10405950637e-05_ST-398p591592241_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-6p04421123819e-06_H-eac21b41c2,new-data,,True,311.9938,111.341,196.45185,115.54195,1.5881438632418072,321.0353,376.69374,183.49723883949176,True,114337.0,114337.0,0.002077085,P-391p91054261_VX-0p798138981731_LS-4p10405950637e-05_ST-398p591592241_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-6p04421123819e-06_H-eac21b41c2/gif_files/animation_ss_side.gif,Bounding-box monitors cannot identify connected components; flags select cases for visual review and are not exclusions.,False,False,,,,,,,not_selected,,,,,
P-135p208661893_VX-0p295797438033_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-6p32116012922e-06_H-fb250c7cf9,old-data-local,sim_00029,True,139.3355,119.1028,78.404255,60.93124499999999,1.7771420696491531,166.40794,161.07114,108.2834788455996,True,68795.0,68795.0,0.001250006,P-135p208661893_VX-0p295797438033_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-6p32116012922e-06_H-fb250c7cf9/gif_files/animation_ss_side.gif,Bounding-box monitors cannot identify connected components; flags select cases for visual review and are not exclusions.,False,False,,,,,,,not_selected,,,,,
P-449p762375807_VX-0p721910835583_LS-4p02949716673e-05_ST-312p266645761_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-6p68243273994e-06_H-c87ffcf9e3,new-data,,True,311.9952,172.24105000000003,233.1426,78.85260000000002,1.3382161818560832,239.36657,387.3443,105.521825301425,True,113092.0,113092.0,0.002054474,P-449p762375807_VX-0p721910835583_LS-4p02949716673e-05_ST-312p266645761_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-6p68243273994e-06_H-c87ffcf9e3/gif_files/animation_ss_side.gif,Bounding-box monitors cannot identify connected components; flags select cases for visual review and are not exclusions.,False,False,,,,,,,not_selected,,,,,
P-367p938083726_VX-0p695829187084_LS-4p35800266683e-05_ST-364p389584597_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-6p93290924348e-06_H-c87ffcf9e3,new-data,,True,302.819,152.05270000000002,271.0418,31.777199999999997,1.1172409569298904,154.54322,324.98207,35.50278933655251,False,31338.0,31338.0,0.000569757,P-367p938083726_VX-0p695829187084_LS-4p35800266683e-05_ST-364p389584597_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-6p93290924348e-06_H-c87ffcf9e3/gif_files/animation_ss_side.gif,Bounding-box monitors cannot identify connected components; flags select cases for visual review and are not exclusions.,False,False,,,,,,,not_selected,,,,,
P-399p256835613_VX-0p656366203199_LS-4p10009761764e-05_ST-341p515144691_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p34973948918e-06_H-3c3f1974a9,new-data,,True,311.9639,167.5395,282.3002,29.66369999999995,1.1050785653003432,98.93701,326.5437,32.780719037499736,False,113747.0,113747.0,0.00206637,P-399p256835613_VX-0p656366203199_LS-4p10009761764e-05_ST-341p515144691_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p34973948918e-06_H-3c3f1974a9/gif_files/animation_ss_side.gif,Bounding-box monitors cannot identify connected components; flags select cases for visual review and are not exclusions.,False,False,,,,,,,not_selected,,,,,
P-353p971838789_VX-0p831374608218_LS-4p0859447809e-05_ST-397p346534493_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p80258352291e-06_H-eac21b41c2,new-data,,True,234.8576,82.59679,206.4062,28.451400000000007,1.137841789636164,141.99056,255.19721,32.373191893654365,False,26266.0,26266.0,0.0004776284,P-353p971838789_VX-0p831374608218_LS-4p0859447809e-05_ST-397p346534493_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p80258352291e-06_H-eac21b41c2/gif_files/animation_ss_side.gif,Bounding-box monitors cannot identify connected components; flags select cases for visual review and are not exclusions.,False,False,,,,,,,not_selected,,,,,
P-446p579563616_VX-0p74347743801_LS-4p27116473193e-05_ST-393p115972114_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-6p48859044859e-06_H-4a563c0a8f,new-data,,True,311.9884,150.2361,285.03290000000004,26.95549999999997,1.0945697847511635,219.79874,341.05144,29.504675832859963,False,111243.0,111243.0,0.002020895,P-446p579563616_VX-0p74347743801_LS-4p27116473193e-05_ST-393p115972114_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-6p48859044859e-06_H-4a563c0a8f/gif_files/animation_ss_side.gif,Bounding-box monitors cannot identify connected components; flags select cases for visual review and are not exclusions.,False,False,,,,,,,not_selected,,,,,
P-324p489523844_VX-0p639524903021_LS-7p4699050731e-05_ST-392p096101418_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p54328811939e-06_H-eed8ed7ef3,new-data,,False,106.0038,86.342,86.71844,19.28536,1.2223905319330006,199.83718,139.1252,23.57424146891941,False,107618.0,107618.0,0.001955062,P-324p489523844_VX-0p639524903021_LS-7p4699050731e-05_ST-392p096101418_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p54328811939e-06_H-eed8ed7ef3/gif_files/animation_ss_side.gif,Bounding-box monitors cannot identify connected components; flags select cases for visual review and are not exclusions.,False,False,,,,,,,not_selected,,,,,
P-372p630059968_VX-0p727703112845_LS-4p39975555357e-05_ST-362p949632289_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-6p62924277478e-06_H-54d2aec398,new-data,,True,275.7146,143.55285,254.94905,20.76555000000002,1.0814498034018956,150.47851,292.24656,22.456899965032253,False,44954.0,44954.0,0.0008170343,P-372p630059968_VX-0p727703112845_LS-4p39975555357e-05_ST-362p949632289_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-6p62924277478e-06_H-54d2aec398/gif_files/animation_ss_side.gif,Bounding-box monitors cannot identify connected components; flags select cases for visual review and are not exclusions.,False,False,,,,,,,not_selected,,,,,
P-227p095146149_VX-0p485569900572_LS-4p61845747353e-05_ST-309p475761642_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-9p93496630935e-06_H-c5f6eebf67,new-data,,True,207.3806,138.5759,187.6205,19.760099999999994,1.1053195146585797,159.38885999999997,226.14943,21.84122414160499,False,43573.0,43573.0,0.0007919543,P-227p095146149_VX-0p485569900572_LS-4p61845747353e-05_ST-309p475761642_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-9p93496630935e-06_H-c5f6eebf67/gif_files/animation_ss_side.gif,Bounding-box monitors cannot identify connected components; flags select cases for visual review and are not exclusions.,False,False,,,,,,,not_selected,,,,,
