experiment_name,partition,week6_simulation_id,new_T0_start_row_index,old_T0_start_row_index,new_T0_end_row_index,old_T0_end_row_index,new_T0_start_time_s,old_T0_start_time_s,new_T0_end_time_s,old_T0_end_time_s,new_width_um,old_width_um,difference_width_um,relative_difference_width_um,identical_within_tolerance_width_um,new_depth_um,old_depth_um,difference_depth_um,relative_difference_depth_um,identical_within_tolerance_depth_um,new_total_height_um,old_total_height_um,difference_total_height_um,relative_difference_total_height_um,identical_within_tolerance_total_height_um,new_kinetic_energy_nJ,old_kinetic_energy_nJ,difference_kinetic_energy_nJ,relative_difference_kinetic_energy_nJ,identical_within_tolerance_kinetic_energy_nJ,window_endpoints_identical
P-101p127472137_VX-0p52394730996_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-3p56864695376e-06_H-b0e5aed98c,old-data-local,sim_00001,55052.0,55052,68795.0,68795,0.001000422,0.001000422,0.001250006,0.001250006,126.26144,126.26144,0.0,0.0,True,50.71019,50.71019,0.0,0.0,True,74.86579499999999,74.86579499999999,0.0,0.0,True,1.011336,1.011336,0.0,0.0,True,True
P-104p101541641_VX-0p916529700054_LS-8p82882842693e-05_ST-394p968412652_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p2634634783e-06_H-6014a1f9c3,old-data-local,sim_00002,54593.0,54593,65498.0,65498,0.0009920863,0.0009920863,0.00119013,0.00119013,126.328725,126.328725,0.0,0.0,True,26.660185,26.660185,0.0,0.0,True,92.05556999999999,92.05557,-1.4210854715202004e-14,-1.5437256773492363e-16,True,0.8618126,0.8618125999999999,1.1102230246251565e-16,1.2882418110679244e-16,True,True
P-105p276295276_VX-0p639039009111_LS-7p6636834293e-05_ST-367p44858305_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p00125_DT-1p00822530836e-05_H-bf889bf790,old-data-local,sim_00003,58064.0,58064,68795.0,68795,0.001055122,0.001055122,0.001250006,0.001250006,127.941225,127.9412249999,1.000017846308765e-10,7.816228477643125e-13,True,34.838854999999995,34.838855,-7.105427357601002e-15,-2.0395123081975575e-16,True,62.371975000000006,62.37197500000001,-7.105427357601002e-15,-1.1392019184258637e-16,True,0.75972415,0.75972415,0.0,0.0,True,True
P-135p208661893_VX-0p295797438033_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-6p32116012922e-06_H-fb250c7cf9,old-data-local,sim_00029,55045.0,55045,68795.0,68795,0.001000295,0.001000295,0.001250006,0.001250006,167.08695,167.08695,0.0,0.0,True,119.1028,119.1028,0.0,0.0,True,139.68542000000002,139.68542,2.842170943040401e-14,2.0346940597239146e-16,True,1.474215,1.474215,0.0,0.0,True,True
P-83p4130417347_VX-0p322492976823_LS-7p74299080266e-05_ST-371p281013063_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p49588392607e-05_H-b41989dc4b,old-data-local,sim_00161,98534.0,98534,115599.0,115599,0.00179009,0.00179009,0.002100003,0.002100003,178.4476,178.4476,0.0,0.0,True,38.774775,38.774775,0.0,0.0,True,63.33304,63.33304,0.0,0.0,True,0.7334078500000001,0.73340785,1.1102230246251565e-16,1.5137866667573255e-16,True,True
P-100p408926704_VX-0p564694322144_LS-6p38706769001e-05_ST-381p633419878_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-8p54288845105e-06_H-790e4fd6dd,old-data-remote-clean,sim_00180,88480.0,88480,106329.0,106329,0.001607501,0.001607501,0.001931653,0.001931653,143.24009,143.24009,0.0,0.0,True,35.697935,35.697935,0.0,0.0,True,63.685435000000005,63.685435000000005,0.0,0.0,True,0.79449695,0.79449695,0.0,0.0,True,True
P-102p025474754_VX-0p424029390103_LS-7p94734719352e-05_ST-354p238131711_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p13768543304e-05_H-6f31342894,old-data-remote-clean,sim_00181,96984.0,96984,115599.0,115599,0.00176194,0.00176194,0.002100003,0.002100003,175.93614,175.93614,0.0,0.0,True,38.81103,38.81103,0.0,0.0,True,70.06358499999999,70.06358499999999,0.0,0.0,True,0.9243316500000001,0.92433165,1.1102230246251565e-16,1.2011089576183577e-16,True,True
P-102p449509144_VX-0p918837420936_LS-5p51471704636e-05_ST-339p471112188_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p25024394207e-06_H-b41981edcb,old-data-remote-clean,sim_00182,54398.0,54398,65334.0,65334,0.0009885449,0.0009885449,0.001187151,0.001187151,108.36397,108.3639699999,1.000017846308765e-10,9.228324195852993e-13,True,34.705600000000004,34.705600000000004,0.0,0.0,True,54.921009999999995,54.92101,-7.105427357601002e-15,-1.293753949099079e-16,True,0.7329561,0.7329561,0.0,0.0,True,True
P-110p110895975_VX-0p451651242475_LS-8p6859144947e-05_ST-349p969995372_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p06810745755e-05_H-6f31342894,old-data-remote-clean,sim_00183,96675.0,96675,115599.0,115599,0.001756329,0.001756329,0.002100003,0.002100003,182.68797999999998,182.68798,-2.842170943040401e-14,-1.55575147474968e-16,True,38.797700000000006,38.797700000000006,0.0,0.0,True,71.42119000000001,71.42119000000001,0.0,0.0,True,0.9390010999999999,0.9390011,-1.1102230246251565e-16,-1.1823447540425207e-16,True,True
P-110p131967455_VX-0p225166085115_LS-5p63312318207e-05_ST-326p092691949_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-2p14247212255e-05_H-b41981edcb,old-data-remote-clean,sim_00184,100807.0,100807,115599.0,115599,0.001831369,0.001831369,0.002100003,0.002100003,183.08306,183.0830599999,9.99875737761613e-11,5.461323061577401e-13,True,54.712819999999994,54.71282,-7.105427357601002e-15,-1.2986768654222176e-16,True,68.70544000000001,68.70544000000001,0.0,0.0,True,1.1168799999999999,1.11688,-2.220446049250313e-16,-1.9880793364106375e-16,True,True
